,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
,0c:73:eb:d0:0e:b0,74:da:da:c1:3d:0d,74:da:da:c0:d7:81,74:da:da:c1:3d:05,74:da:da:c1:3d:09,74:da:da:c0:f3:05,0c:73:eb:d0:76:50,0c:73:eb:d0:0e:d8,0c:73:eb:d0:2a:18,74:da:da:c1:3d:35,0c:73:eb:d0:76:38,0c:73:eb:d0:19:98,74:da:da:c0:d7:dd,74:da:da:c0:d8:25,74:da:da:c1:3d:85,74:da:da:c0:d7:e9,74:da:da:c1:3d:0e,74:da:da:c1:3d:06,74:da:da:c0:d7:9d,74:da:da:c1:17:75,0c:73:eb:d0:2a:68,74:da:da:c1:3b:cd,c0:61:18:93:3e:54,74:da:da:c0:de:2d,0c:73:eb:d0:0e:90,0c:73:eb:d0:2a:10,74:da:da:c0:d7:c5,0c:73:eb:d0:13:a0,74:da:da:c1:03:61,74:da:da:c0:d8:1d,74:da:da:c1:3b:69,74:da:da:c1:3b:c9,0c:73:eb:d0:0e:a8,0c:73:eb:d0:0e:c0,74:da:da:c0:d8:7d,0c:73:eb:d0:2a:58,74:da:da:c0:f3:06,74:da:da:98:ea:64,0c:73:eb:d0:19:88,0c:73:eb:d0:76:28,74:da:da:c0:d7:82,74:da:da:98:ea:5c,74:da:da:c1:5e:ed,0c:73:eb:d0:76:30,74:da:da:c0:d8:59,74:da:da:c1:4a:7d,74:da:da:c1:3d:36,74:da:da:c1:3c:cd,0c:73:eb:d0:2a:50,74:da:da:c0:d6:f5,74:da:da:c0:d7:ea,74:da:da:c1:3d:86,0c:73:eb:d0:2a:20,74:da:da:98:91:d4,74:da:da:c0:d8:05,74:da:da:98:8f:3c,74:da:da:c1:3b:65,74:da:da:c0:f3:59,74:da:da:c0:d7:de,74:da:da:c0:d8:26,74:da:da:c0:d7:01,0c:73:eb:d0:76:10,0c:73:eb:d0:19:b8,74:da:da:c1:3d:0a,0c:73:eb:d0:76:48,0c:73:eb:d0:2a:40,74:da:da:98:ea:54,74:da:da:c1:25:a1,74:da:da:c1:3b:19,74:da:da:c1:25:69,74:da:da:c1:47:cd,74:da:da:c1:25:e5,0c:73:eb:d0:2a:98,74:da:da:98:ea:50,0c:73:eb:d0:2a:90,74:da:da:c1:3b:49,0c:73:eb:d0:0e:a0,74:da:da:c0:e0:6d,74:da:da:c0:d8:1e,74:da:da:c1:3c:85,74:da:da:c0:f6:15,74:da:da:c0:d7:02,74:da:da:c1:48:bd,0c:73:eb:d0:13:b0,0c:73:eb:d0:7f:18,74:da:da:98:85:00,0c:73:eb:d0:2a:60,0c:73:eb:d0:0e:b8,74:da:da:c1:04:4d,74:da:da:c0:f3:01,c0:61:18:93:35:28,74:da:da:c1:3b:29,74:da:da:c1:3b:45,74:da:da:c1:25:9d,0c:73:eb:d0:7f:10,74:da:da:98:8f:30,0c:73:eb:d0:0e:98,74:da:da:c0:d7:9e,74:da:da:c0:d9:39,74:da:da:c1:04:45,0c:73:eb:d0:19:a0,0c:73:eb:d0:7c:38,74:da:da:c1:4a:85,0c:73:eb:d0:7c:08,0c:73:eb:d0:11:e0,0c:73:eb:d0:2a:30,74:da:da:c1:3b:ce,74:da:da:c1:4a:69
1526460116161,-25,-38,-47,-49,-50,-50,-52,-53,-54,-56,-56,-57,-58,-59,-60,-61,-63,-63,-63,-64,-65,-65,-65,-67,-67,-69,-70,-70,-70,-71,-73,-73,-73,-73,-74,-75,-76,-76,-76,-76,-77,-77,-77,-78,-78,-78,-79,-79,-79,-79,-80,-80,-81,-81,-81,-81,-81,-81,-83,-83,-83,-84,-84,-85,-85,-86,-86,-87,-87,-88,-88,-88,-89,-89,-89,-89,-90,-90,-91,-93,-94,-94,-95,-95,-97,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460119198,-33,-40,-47,-51,-52,-50,-41,-56,-46,-50,-63,-200,-73,-68,-59,-200,-51,-60,-57,-72,-79,-69,-63,-75,-64,-69,-57,-64,-94,-55,-78,-77,-200,-200,-200,-71,-72,-200,-69,-64,-80,-88,-200,-82,-80,-200,-67,-200,-78,-200,-86,-80,-200,-87,-80,-85,-79,-63,-85,-81,-80,-88,-84,-80,-86,-78,-86,-200,-89,-89,-200,-200,-84,-91,-85,-92,-200,-84,-80,-200,-200,-200,-200,-200,-200,-200,-80,-85,-90,-92,-95,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460122236,-33,-36,-45,-47,-52,-51,-42,-56,-45,-52,-68,-200,-73,-69,-56,-79,-52,-58,-57,-73,-75,-69,-77,-69,-60,-71,-51,-65,-82,-60,-74,-80,-59,-200,-71,-73,-78,-78,-75,-66,-78,-79,-200,-75,-80,-78,-67,-87,-78,-200,-81,-82,-200,-87,-80,-85,-79,-63,-90,-85,-85,-83,-87,-82,-85,-80,-86,-83,-89,-87,-200,-81,-79,-91,-92,-92,-200,-86,-89,-200,-89,-200,-96,-200,-200,-200,-80,-80,-90,-92,-95,-95,-90,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460125287,-35,-41,-48,-47,-55,-50,-46,-53,-49,-53,-60,-200,-64,-64,-54,-65,-58,-60,-56,-70,-76,-72,-77,-66,-63,-64,-62,-66,-82,-60,-69,-81,-68,-200,-74,-76,-77,-80,-85,-70,-79,-82,-200,-75,-81,-80,-71,-87,-78,-200,-82,-82,-200,-88,-80,-79,-79,-63,-79,-84,-85,-89,-82,-80,-85,-80,-86,-83,-89,-85,-200,-81,-79,-85,-91,-92,-200,-86,-88,-200,-92,-95,-91,-200,-200,-200,-91,-80,-90,-92,-83,-95,-93,-94,-91,-81,-81,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460128338,-35,-44,-45,-52,-53,-53,-48,-48,-47,-47,-62,-79,-69,-64,-56,-56,-57,-60,-59,-71,-63,-72,-71,-66,-62,-63,-59,-64,-79,-63,-76,-86,-68,-200,-78,-76,-77,-84,-72,-67,-74,-74,-200,-74,-81,-80,-71,-74,-200,-200,-83,-79,-200,-87,-83,-84,-79,-200,-83,-88,-85,-82,-79,-81,-81,-82,-200,-83,-200,-90,-200,-81,-87,-93,-91,-200,-89,-84,-88,-200,-89,-95,-91,-200,-96,-200,-91,-81,-200,-84,-86,-200,-93,-94,-91,-81,-81,-92,-82,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526460131390,-33,-42,-48,-50,-48,-49,-49,-52,-49,-44,-59,-83,-79,-65,-57,-56,-60,-58,-57,-71,-70,-61,-69,-66,-66,-66,-59,-64,-79,-57,-80,-84,-68,-200,-78,-74,-74,-79,-75,-68,-75,-76,-200,-73,-81,-80,-75,-82,-78,-200,-83,-79,-200,-83,-80,-92,-200,-200,-85,-85,-200,-83,-79,-77,-81,-82,-200,-200,-89,-90,-200,-91,-87,-88,-92,-200,-89,-84,-87,-200,-89,-95,-91,-200,-96,-200,-91,-81,-200,-84,-86,-200,-93,-94,-91,-81,-81,-92,-82,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526460134446,-32,-42,-46,-50,-55,-50,-45,-54,-61,-49,-63,-83,-71,-68,-62,-64,-60,-56,-56,-71,-71,-60,-68,-75,-58,-60,-59,-64,-74,-59,-78,-84,-63,-200,-78,-74,-73,-74,-75,-66,-73,-76,-200,-79,-80,-200,-75,-82,-75,-200,-78,-79,-200,-83,-73,-81,-200,-200,-83,-85,-78,-83,-84,-79,-83,-82,-200,-200,-87,-90,-200,-91,-87,-88,-87,-200,-89,-93,-87,-200,-93,-200,-94,-200,-96,-200,-200,-84,-87,-84,-86,-200,-200,-200,-200,-200,-200,-200,-82,-96,-92,-95,-97,-200,-200,-200,-200,-200
1526460137503,-26,-46,-47,-52,-58,-55,-41,-51,-51,-49,-75,-65,-76,-67,-57,-54,-63,-56,-55,-77,-74,-64,-70,-76,-59,-65,-63,-64,-79,-60,-82,-79,-64,-86,-69,-75,-77,-72,-71,-65,-79,-85,-200,-74,-82,-78,-71,-82,-75,-200,-80,-78,-200,-90,-73,-81,-85,-200,-82,-84,-78,-86,-84,-74,-83,-84,-200,-77,-85,-88,-200,-91,-87,-91,-87,-200,-85,-90,-87,-200,-93,-90,-94,-200,-200,-200,-80,-84,-88,-200,-200,-200,-200,-200,-87,-200,-76,-200,-200,-200,-92,-95,-97,-200,-200,-200,-200,-200
1526460140553,-26,-47,-45,-51,-59,-55,-46,-49,-49,-48,-58,-81,-70,-71,-58,-57,-62,-56,-55,-78,-71,-63,-67,-74,-59,-64,-63,-65,-79,-58,-82,-78,-63,-80,-73,-75,-76,-75,-72,-68,-80,-87,-200,-74,-81,-79,-72,-200,-75,-200,-81,-79,-200,-90,-73,-81,-85,-200,-82,-83,-78,-80,-82,-77,-83,-81,-200,-77,-86,-88,-200,-85,-87,-92,-90,-200,-85,-83,-88,-200,-93,-90,-94,-200,-200,-200,-79,-84,-88,-200,-200,-200,-200,-200,-87,-79,-72,-200,-200,-200,-92,-95,-97,-200,-200,-200,-200,-200
1526460143603,-32,-37,-46,-51,-51,-53,-48,-51,-48,-51,-67,-81,-68,-72,-60,-57,-60,-55,-59,-81,-73,-65,-65,-77,-61,-64,-59,-66,-79,-59,-71,-76,-67,-80,-73,-75,-76,-76,-72,-67,-76,-87,-200,-74,-80,-81,-73,-81,-78,-200,-79,-80,-200,-89,-73,-85,-86,-77,-81,-85,-200,-85,-82,-75,-82,-81,-200,-78,-88,-88,-200,-85,-92,-94,-90,-200,-85,-88,-90,-200,-92,-91,-200,-200,-200,-200,-79,-77,-88,-85,-200,-200,-200,-200,-87,-79,-72,-200,-200,-200,-200,-200,-200,-92,-95,-200,-200,-200
1526460146663,-36,-43,-50,-52,-56,-51,-45,-53,-59,-49,-62,-77,-68,-66,-61,-54,-64,-57,-65,-78,-72,-76,-67,-70,-64,-64,-58,-62,-81,-61,-68,-76,-65,-80,-74,-74,-75,-76,-71,-65,-73,-74,-200,-75,-82,-87,-84,-77,-78,-200,-79,-76,-200,-88,-73,-84,-82,-77,-83,-82,-200,-84,-80,-77,-83,-82,-84,-78,-88,-91,-200,-79,-80,-93,-90,-89,-93,-88,-87,-200,-92,-91,-200,-200,-200,-200,-79,-78,-89,-82,-90,-93,-200,-200,-200,-79,-72,-200,-200,-200,-200,-90,-200,-92,-95,-200,-200,-200
