,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A68,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,DLINK_D00EC0,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:0e:90,74:da:da:c1:3d:85,0c:73:eb:d0:13:a0,74:da:da:c1:3d:35,74:da:da:c1:3d:09,74:da:da:c1:3d:0d,74:da:da:c0:d7:81,74:da:da:c1:3d:36,74:da:da:c1:3b:c9,0c:73:eb:d0:0e:d8,74:da:da:c0:d8:1d,74:da:da:c1:3d:86,74:da:da:c0:d7:dd,0c:73:eb:d0:76:50,0c:73:eb:d0:0e:b0,74:da:da:c0:f3:05,0c:73:eb:d0:2a:10,0c:73:eb:d0:19:b8,c0:61:18:93:35:28,74:da:da:c0:d7:e9,74:da:da:c1:25:e5,0c:73:eb:d0:76:28,74:da:da:c1:25:a1,0c:73:eb:d0:2a:18,74:da:da:c1:3d:05,74:da:da:c0:d8:05,74:da:da:c1:3c:cd,74:da:da:c0:d7:9d,74:da:da:98:ea:50,74:da:da:c0:d8:25,74:da:da:c1:25:9d,74:da:da:c0:d7:de,74:da:da:c0:de:2d,0c:73:eb:d0:0e:98,74:da:da:c1:25:69,0c:73:eb:d0:7f:10,0c:73:eb:d0:2a:40,74:da:da:c1:3c:8d,0c:73:eb:d0:76:30,74:da:da:c0:d8:1e,0c:73:eb:d0:2a:98,74:da:da:c1:17:75,74:da:da:c0:d7:ea,74:da:da:c1:3d:0e,0c:73:eb:d0:19:88,74:da:da:98:8f:30,74:da:da:c1:3b:69,74:da:da:c0:f3:59,0c:73:eb:d0:2a:58,74:da:da:c1:3b:cd,0c:73:eb:d0:0e:a8,0c:73:eb:d0:0e:b8,74:da:da:98:ea:64,0c:73:eb:d0:76:48,0c:73:eb:d0:0e:a0,0c:73:eb:d0:2a:68,c0:61:18:93:3e:54,74:da:da:c1:3c:4d,74:da:da:98:ea:5c,74:da:da:c1:25:d9,74:da:da:c0:d8:59,74:da:da:c1:3d:06,74:da:da:c0:d7:ed,0c:73:eb:d0:76:38,0c:73:eb:d0:76:10,74:da:da:c0:d7:c5,0c:73:eb:d0:2a:90,74:da:da:c0:d8:26,74:da:da:c1:47:cd,74:da:da:c0:f3:06,74:da:da:c0:d7:82,74:da:da:c1:04:4d,74:da:da:c1:3c:55,74:da:da:c1:03:61,74:da:da:c0:d8:7d,0c:73:eb:d0:2a:30,74:da:da:c1:04:45,0c:73:eb:d0:19:98,74:da:da:c1:3b:ca,74:da:da:c0:d8:06,74:da:da:c1:3b:45,74:da:da:c1:3d:0a,0c:73:eb:d0:2a:28,74:da:da:c1:3b:19,74:da:da:c0:d6:f5,74:da:da:98:85:00,74:da:da:c1:47:ce,0c:73:eb:d0:13:a8,0c:73:eb:d0:0e:c0,0c:73:eb:d0:19:a0,0c:73:eb:d0:2a:60,74:da:da:c1:3b:65,0c:73:eb:d0:2a:48,0c:73:eb:d0:19:90,74:da:da:c1:5e:ed,74:da:da:c0:d7:09,74:da:da:98:91:d4,74:da:da:98:ea:65,74:da:da:c0:f3:01,0c:73:eb:d0:11:e0,74:da:da:c1:17:76,74:da:da:c0:d7:b9,0c:73:eb:d0:7e:f8,74:da:da:98:8f:3c,74:da:da:98:8f:34,74:da:da:98:85:60,0c:73:eb:d0:7f:08,74:da:da:98:ea:54
1526452251612,-37,-44,-49,-50,-53,-54,-54,-55,-55,-56,-57,-58,-60,-62,-62,-62,-62,-64,-64,-65,-65,-66,-67,-68,-69,-71,-71,-72,-72,-72,-72,-73,-73,-74,-75,-75,-76,-77,-77,-78,-78,-78,-79,-79,-79,-80,-80,-81,-82,-82,-82,-82,-82,-82,-82,-82,-82,-83,-83,-83,-83,-84,-84,-85,-86,-87,-88,-89,-89,-90,-90,-90,-90,-90,-90,-90,-91,-92,-93,-94,-94,-95,-96,-96,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452254646,-42,-48,-50,-44,-66,-59,-60,-52,-48,-58,-51,-63,-56,-57,-65,-59,-69,-69,-72,-59,-65,-63,-81,-69,-200,-75,-73,-200,-65,-200,-200,-83,-68,-59,-200,-200,-71,-200,-73,-84,-68,-200,-69,-61,-84,-200,-90,-86,-61,-200,-200,-88,-84,-80,-200,-81,-200,-76,-81,-200,-83,-78,-200,-84,-200,-200,-200,-84,-87,-84,-75,-89,-88,-200,-91,-86,-200,-200,-83,-200,-200,-91,-200,-200,-200,-83,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452257693,-36,-48,-51,-40,-70,-56,-60,-54,-48,-54,-51,-62,-64,-59,-59,-58,-64,-69,-72,-58,-63,-66,-81,-69,-63,-70,-72,-79,-63,-67,-200,-82,-68,-63,-77,-200,-72,-200,-70,-83,-68,-200,-69,-61,-83,-200,-91,-86,-69,-200,-200,-84,-85,-83,-200,-79,-200,-78,-80,-200,-83,-77,-200,-85,-200,-84,-200,-88,-87,-85,-76,-88,-88,-200,-91,-84,-200,-92,-83,-200,-94,-91,-200,-200,-200,-84,-93,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452260744,-37,-49,-52,-41,-70,-58,-59,-53,-48,-56,-50,-64,-61,-57,-64,-59,-67,-67,-72,-59,-63,-63,-76,-71,-63,-73,-73,-76,-67,-68,-200,-84,-69,-69,-78,-200,-72,-200,-68,-84,-68,-200,-70,-61,-84,-85,-91,-86,-68,-80,-82,-84,-85,-84,-200,-79,-81,-78,-81,-200,-81,-77,-200,-84,-200,-84,-200,-88,-87,-84,-76,-90,-88,-200,-88,-87,-200,-96,-83,-200,-94,-92,-200,-200,-200,-84,-93,-95,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452263795,-36,-49,-51,-41,-68,-66,-60,-53,-50,-62,-50,-63,-62,-60,-61,-57,-68,-67,-71,-59,-61,-65,-82,-67,-62,-72,-72,-77,-64,-67,-200,-80,-66,-58,-78,-200,-72,-77,-74,-83,-200,-200,-70,-63,-84,-87,-92,-86,-67,-81,-79,-82,-84,-81,-200,-80,-82,-79,-81,-200,-79,-76,-95,-82,-200,-85,-200,-88,-87,-84,-77,-88,-90,-200,-88,-88,-200,-95,-83,-200,-200,-91,-200,-200,-200,-91,-95,-95,-92,-76,-77,-90,-90,-95,-97,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452266850,-37,-49,-52,-40,-72,-66,-59,-54,-50,-53,-50,-63,-58,-60,-59,-60,-68,-67,-66,-60,-64,-64,-82,-70,-63,-73,-73,-77,-64,-65,-200,-80,-71,-69,-78,-85,-69,-76,-75,-83,-200,-82,-71,-70,-84,-87,-93,-88,-67,-78,-79,-82,-85,-83,-200,-80,-82,-79,-79,-200,-79,-90,-95,-87,-200,-87,-84,-89,-87,-93,-82,-90,-89,-200,-88,-87,-200,-92,-83,-200,-93,-93,-200,-200,-200,-90,-95,-95,-87,-76,-77,-96,-90,-95,-97,-97,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452269903,-42,-47,-52,-40,-71,-58,-59,-54,-49,-53,-52,-63,-59,-59,-58,-59,-68,-65,-71,-58,-63,-65,-82,-69,-63,-72,-71,-77,-65,-66,-75,-83,-69,-62,-79,-85,-70,-76,-75,-83,-200,-82,-69,-69,-83,-84,-95,-88,-63,-80,-79,-83,-81,-85,-200,-81,-82,-80,-83,-200,-80,-83,-95,-87,-200,-87,-84,-89,-90,-79,-77,-92,-89,-200,-200,-87,-87,-92,-82,-200,-93,-90,-200,-200,-200,-89,-92,-200,-87,-74,-87,-96,-90,-95,-97,-97,-96,-90,-93,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526452272961,-42,-48,-51,-41,-67,-59,-55,-53,-49,-63,-49,-64,-56,-58,-64,-61,-66,-66,-66,-57,-63,-65,-200,-68,-63,-72,-72,-77,-63,-67,-75,-81,-68,-69,-78,-85,-69,-77,-75,-83,-200,-82,-69,-62,-82,-84,-95,-86,-63,-80,-200,-83,-81,-84,-200,-81,-200,-80,-83,-200,-75,-76,-200,-83,-200,-86,-84,-89,-89,-83,-79,-89,-89,-200,-89,-85,-87,-91,-83,-200,-93,-90,-200,-200,-200,-90,-94,-200,-87,-75,-87,-96,-200,-200,-97,-200,-96,-90,-93,-94,-95,-95,-200,-200,-200,-200,-200,-200
1526452276015,-37,-47,-50,-45,-74,-59,-59,-54,-49,-51,-49,-64,-60,-56,-64,-59,-64,-68,-70,-61,-60,-63,-78,-70,-63,-72,-69,-65,-58,-67,-75,-82,-70,-71,-78,-200,-73,-76,-200,-83,-200,-82,-68,-61,-81,-84,-95,-86,-64,-80,-80,-86,-86,-84,-200,-80,-200,-79,-79,-86,-82,-79,-200,-82,-200,-86,-87,-89,-89,-86,-75,-90,-89,-200,-89,-86,-87,-93,-83,-200,-200,-93,-200,-200,-200,-90,-93,-200,-200,-75,-76,-200,-200,-200,-200,-200,-200,-90,-93,-94,-95,-95,-96,-200,-200,-200,-200,-200
