,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D013A8,DLINK_D02A60,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:0e:90,74:da:da:c1:3d:35,74:da:da:c1:3d:85,0c:73:eb:d0:13:a0,74:da:da:c1:3b:c9,74:da:da:c0:d8:1d,74:da:da:c0:d7:81,74:da:da:c1:3d:36,0c:73:eb:d0:0e:d8,0c:73:eb:d0:0e:b0,74:da:da:c0:f3:05,0c:73:eb:d0:76:50,74:da:da:c1:3d:0d,74:da:da:c1:3d:0e,74:da:da:c0:d7:e9,0c:73:eb:d0:19:b8,0c:73:eb:d0:76:28,74:da:da:c1:3d:05,74:da:da:c0:d8:25,74:da:da:c1:3d:09,74:da:da:c1:3d:86,74:da:da:c1:25:e5,0c:73:eb:d0:2a:10,74:da:da:c0:d7:dd,74:da:da:98:ea:50,0c:73:eb:d0:76:30,c0:61:18:93:35:28,74:da:da:c0:d7:ea,0c:73:eb:d0:2a:18,0c:73:eb:d0:2a:40,74:da:da:c1:3c:cd,74:da:da:c0:de:2d,0c:73:eb:d0:0e:98,0c:73:eb:d0:2a:68,74:da:da:c0:d7:9d,74:da:da:c1:25:9d,74:da:da:c1:25:a1,74:da:da:c0:d8:05,74:da:da:c1:3d:06,0c:73:eb:d0:2a:58,74:da:da:c0:d7:82,74:da:da:c1:3c:4d,74:da:da:98:85:00,74:da:da:c0:d8:59,74:da:da:c1:3c:8d,0c:73:eb:d0:76:38,74:da:da:c1:3b:cd,c0:61:18:93:3e:54,74:da:da:c1:3b:ca,74:da:da:c1:25:69,74:da:da:c0:d8:1e,74:da:da:c0:f3:06,74:da:da:c0:d8:26,74:da:da:c0:d7:de,0c:73:eb:d0:0e:b8,0c:73:eb:d0:19:88,0c:73:eb:d0:7f:10,0c:73:eb:d0:0e:a0,74:da:da:98:ea:64,74:da:da:c0:d8:7d,74:da:da:c1:47:cd,74:da:da:c0:f3:59,74:da:da:c1:3c:55,74:da:da:c0:d7:c5,74:da:da:98:ea:5c,0c:73:eb:d0:76:48,74:da:da:c1:04:4d,0c:73:eb:d0:2a:30,74:da:da:98:ea:54,0c:73:eb:d0:0e:c0,74:da:da:c1:3b:69,74:da:da:c1:04:49,74:da:da:c1:47:ce,0c:73:eb:d0:19:90,0c:73:eb:d0:11:e0,74:da:da:c0:f3:01,74:da:da:c0:d6:f5,0c:73:eb:d0:19:98,74:da:da:c1:3b:45,74:da:da:c1:5e:ed,0c:73:eb:d0:2a:28,0c:73:eb:d0:13:a8,0c:73:eb:d0:2a:60,74:da:da:c0:d7:ed,0c:73:eb:d0:2a:98,0c:73:eb:d0:76:10,74:da:da:c1:3d:0a,0c:73:eb:d0:7e:e8,74:da:da:c1:25:d9,74:da:da:c1:17:75,0c:73:eb:d0:2a:90,74:da:da:c1:3b:65,74:da:da:c1:25:e6,74:da:da:c1:03:61,74:da:da:c1:4a:7d,0c:73:eb:d0:7f:08,0c:73:eb:d0:19:a0,0c:73:eb:d0:0e:a8,74:da:da:98:8f:30,74:da:da:c1:04:45,74:da:da:c1:4a:69,0c:73:eb:d0:7f:18,0c:73:eb:d0:76:58,74:da:da:c1:3c:85,0c:73:eb:d0:0e:c8,74:da:da:c0:d7:19
1526452322519,-37,-42,-47,-48,-48,-52,-52,-54,-57,-58,-58,-59,-61,-61,-62,-62,-62,-62,-62,-63,-64,-64,-64,-65,-66,-67,-68,-69,-70,-70,-70,-70,-71,-71,-71,-72,-73,-74,-76,-77,-77,-77,-77,-79,-79,-81,-81,-81,-82,-82,-83,-84,-84,-85,-85,-85,-85,-85,-86,-86,-86,-86,-87,-87,-88,-88,-89,-89,-89,-90,-94,-94,-95,-95,-95,-96,-97,-97,-97,-97,-98,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452325231,-39,-43,-48,-50,-50,-54,-58,-61,-56,-66,-59,-65,-57,-80,-65,-63,-64,-59,-63,-53,-63,-64,-59,-61,-67,-57,-68,-78,-68,-71,-66,-200,-65,-200,-68,-200,-67,-74,-88,-81,-88,-77,-200,-91,-79,-86,-81,-200,-82,-82,-86,-86,-84,-84,-200,-81,-200,-85,-86,-86,-91,-90,-200,-87,-84,-79,-96,-85,-200,-200,-94,-94,-95,-200,-200,-200,-200,-93,-97,-200,-98,-97,-73,-77,-86,-87,-92,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452325566,-39,-43,-48,-50,-50,-54,-58,-61,-56,-66,-59,-65,-57,-80,-65,-63,-64,-59,-63,-53,-63,-64,-59,-61,-67,-57,-68,-78,-68,-71,-66,-200,-65,-200,-68,-200,-67,-74,-88,-81,-88,-77,-200,-91,-79,-86,-81,-200,-82,-82,-86,-86,-84,-84,-200,-81,-200,-85,-86,-86,-91,-90,-200,-87,-84,-79,-96,-85,-200,-200,-94,-94,-95,-200,-200,-200,-200,-93,-97,-200,-98,-97,-73,-77,-86,-87,-92,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452328274,-41,-44,-53,-50,-52,-50,-64,-61,-55,-71,-56,-62,-59,-85,-69,-65,-66,-76,-61,-61,-65,-60,-59,-59,-67,-60,-200,-78,-67,-71,-70,-200,-64,-200,-67,-200,-67,-78,-93,-81,-87,-79,-91,-91,-87,-85,-84,-73,-88,-200,-85,-86,-85,-81,-200,-86,-200,-85,-82,-74,-88,-90,-200,-86,-83,-82,-96,-82,-200,-200,-94,-200,-200,-200,-93,-200,-200,-93,-200,-200,-94,-97,-73,-77,-86,-88,-90,-96,-75,-77,-88,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452328632,-41,-44,-53,-50,-52,-50,-64,-61,-55,-71,-56,-62,-59,-85,-69,-65,-66,-76,-61,-61,-65,-60,-59,-59,-67,-60,-200,-78,-67,-71,-70,-200,-64,-200,-67,-200,-67,-78,-93,-81,-87,-79,-91,-91,-87,-85,-84,-73,-88,-200,-85,-86,-85,-81,-200,-86,-200,-85,-82,-74,-88,-90,-200,-86,-83,-82,-96,-82,-200,-200,-94,-200,-200,-200,-93,-200,-200,-93,-200,-200,-94,-97,-73,-77,-86,-88,-90,-96,-75,-77,-88,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452331309,-40,-42,-50,-48,-50,-51,-62,-61,-57,-72,-63,-60,-58,-86,-64,-58,-67,-62,-63,-59,-63,-65,-56,-59,-69,-58,-67,-77,-66,-75,-66,-200,-65,-89,-67,-81,-62,-78,-89,-82,-90,-81,-88,-200,-87,-88,-85,-73,-89,-76,-86,-81,-91,-82,-89,-86,-200,-88,-81,-74,-91,-91,-85,-86,-83,-82,-200,-82,-200,-200,-94,-200,-200,-200,-97,-200,-200,-95,-93,-200,-96,-97,-74,-200,-200,-88,-92,-200,-78,-77,-91,-91,-90,-87,-90,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452331685,-40,-42,-50,-48,-50,-51,-62,-61,-57,-72,-63,-60,-58,-86,-64,-58,-67,-62,-63,-59,-63,-65,-56,-59,-69,-58,-67,-77,-66,-75,-66,-200,-65,-89,-67,-81,-62,-78,-89,-82,-90,-81,-88,-200,-87,-88,-85,-73,-89,-76,-86,-81,-91,-82,-89,-86,-200,-88,-81,-74,-91,-91,-85,-86,-83,-82,-200,-82,-200,-200,-94,-200,-200,-200,-97,-200,-200,-95,-93,-200,-96,-97,-74,-200,-200,-88,-92,-200,-78,-77,-91,-91,-90,-87,-90,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452334359,-40,-43,-50,-47,-48,-51,-63,-61,-53,-67,-60,-65,-59,-86,-64,-67,-57,-62,-60,-56,-63,-67,-56,-61,-66,-74,-67,-77,-68,-73,-63,-79,-65,-72,-71,-81,-67,-84,-91,-82,-87,-79,-92,-200,-87,-86,-86,-73,-90,-76,-86,-79,-92,-84,-89,-81,-200,-89,-79,-74,-95,-84,-86,-86,-83,-82,-200,-85,-200,-200,-85,-200,-200,-93,-95,-200,-200,-95,-92,-200,-96,-95,-84,-94,-200,-87,-91,-200,-77,-200,-91,-87,-93,-87,-90,-94,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452334743,-40,-43,-50,-47,-48,-51,-63,-61,-53,-67,-60,-65,-59,-86,-64,-67,-57,-62,-60,-56,-63,-67,-56,-61,-66,-74,-67,-77,-68,-73,-63,-79,-65,-72,-71,-81,-67,-84,-91,-82,-87,-79,-92,-200,-87,-86,-86,-73,-90,-76,-86,-79,-92,-84,-89,-81,-200,-89,-79,-74,-95,-84,-86,-86,-83,-82,-200,-85,-200,-200,-85,-200,-200,-93,-95,-200,-200,-95,-92,-200,-96,-95,-84,-94,-200,-87,-91,-200,-77,-200,-91,-87,-93,-87,-90,-94,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
