,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,whu2011314,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A98,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,DLINK_D02A30,DLINK_D00EB8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:0e:90,74:da:da:c1:3d:85,74:da:da:c1:3d:35,74:da:da:c1:3b:c9,0c:73:eb:d0:13:a0,74:da:da:c0:d8:25,0c:73:eb:d0:0e:d8,74:da:da:c1:3d:09,74:da:da:c1:3d:0d,74:da:da:c1:3d:86,74:da:da:c0:d8:1d,74:da:da:c1:3d:36,0c:73:eb:d0:19:b8,0c:73:eb:d0:76:30,74:da:da:c1:3d:05,0c:73:eb:d0:0e:98,74:da:da:c0:d7:81,74:da:da:c0:d7:dd,74:da:da:c1:25:a1,74:da:da:c1:25:e5,74:da:da:c1:3c:cd,0c:73:eb:d0:76:50,74:da:da:98:ea:50,0c:73:eb:d0:0e:b0,74:da:da:c0:f3:05,0c:73:eb:d0:2a:10,c0:61:18:93:35:28,74:da:da:c1:25:9d,0c:73:eb:d0:2a:58,74:da:da:c1:3b:ca,74:da:da:c0:de:2d,0c:73:eb:d0:76:28,0c:73:eb:d0:2a:18,74:da:da:c1:3d:0e,74:da:da:c0:d7:e9,0c:73:eb:d0:2a:40,74:da:da:c0:d7:ea,74:da:da:c0:d7:9d,74:da:da:c0:d8:59,74:da:da:c0:d8:26,0c:73:eb:d0:2a:60,74:da:da:c0:d7:ed,0c:73:eb:d0:2a:68,74:da:da:c0:d7:de,0c:73:eb:d0:76:10,0c:73:eb:d0:2a:98,0c:73:eb:d0:76:48,0c:73:eb:d0:76:38,74:da:da:98:ea:5c,74:da:da:c0:d8:1e,74:da:da:c1:47:cd,74:da:da:c1:3c:8d,74:da:da:c1:3d:06,74:da:da:c0:d8:05,74:da:da:98:8f:30,74:da:da:98:ea:64,0c:73:eb:d0:7f:10,74:da:da:c1:3b:69,74:da:da:c0:f3:06,0c:73:eb:d0:19:88,74:da:da:c1:3c:55,74:da:da:c1:3c:4d,74:da:da:c1:5e:ed,74:da:da:c0:d7:c5,74:da:da:c0:d7:82,74:da:da:c1:3d:0a,74:da:da:c0:f3:59,74:da:da:c1:3b:cd,0c:73:eb:d0:0e:a0,0c:73:eb:d0:13:a8,0c:73:eb:d0:11:e0,74:da:da:c0:d8:06,74:da:da:c1:02:95,74:da:da:c1:4a:85,74:da:da:c1:03:61,0c:73:eb:d0:19:98,74:da:da:c1:3b:65,74:da:da:c1:04:45,74:da:da:98:8f:34,74:da:da:c1:04:4d,c0:61:18:93:3e:54,0c:73:eb:d0:0e:a8,74:da:da:c0:d7:19,0c:73:eb:d0:19:a8,74:da:da:c1:3b:19,74:da:da:98:85:00,74:da:da:c0:d8:7d,0c:73:eb:d0:19:a0,0c:73:eb:d0:0e:c0,0c:73:eb:d0:2a:30,0c:73:eb:d0:0e:b8,0c:73:eb:d0:7f:18,0c:73:eb:d0:2a:90,74:da:da:98:ea:54,74:da:da:c1:25:69,74:da:da:c0:f3:01,0c:73:eb:d0:7e:f8,0c:73:eb:d0:7c:38,74:da:da:c1:3b:45,0c:73:eb:d0:7f:08,74:da:da:c1:56:ed,0c:73:eb:d0:7a:68
1526452976296,-37,-44,-49,-50,-51,-53,-55,-57,-58,-60,-61,-62,-62,-62,-63,-64,-64,-65,-67,-67,-68,-69,-69,-71,-73,-74,-75,-75,-76,-76,-76,-76,-77,-77,-77,-77,-78,-78,-79,-80,-80,-80,-81,-82,-82,-82,-82,-83,-84,-85,-85,-85,-86,-86,-86,-86,-86,-87,-88,-88,-88,-89,-89,-89,-90,-90,-90,-90,-91,-92,-93,-94,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452979332,-36,-47,-40,-49,-49,-54,-55,-55,-64,-59,-60,-60,-63,-81,-64,-62,-78,-67,-65,-69,-79,-67,-79,-65,-73,-68,-75,-73,-76,-76,-82,-76,-77,-78,-70,-76,-80,-78,-79,-87,-78,-200,-81,-81,-91,-82,-200,-91,-87,-84,-84,-85,-88,-84,-86,-200,-86,-89,-88,-88,-200,-88,-200,-89,-88,-92,-90,-200,-91,-200,-93,-94,-200,-200,-83,-89,-89,-90,-93,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452982371,-37,-48,-38,-52,-50,-55,-56,-49,-64,-59,-60,-61,-63,-65,-61,-64,-66,-66,-66,-68,-78,-67,-79,-62,-78,-75,-78,-73,-77,-76,-82,-200,-74,-77,-72,-75,-81,-200,-79,-88,-79,-200,-81,-80,-91,-80,-200,-91,-81,-86,-84,-200,-88,-88,-200,-87,-81,-88,-89,-200,-200,-89,-200,-85,-87,-92,-90,-200,-200,-200,-200,-93,-200,-200,-83,-89,-89,-90,-93,-94,-77,-77,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452985416,-36,-46,-38,-51,-50,-55,-56,-55,-64,-59,-59,-61,-62,-65,-58,-61,-70,-66,-67,-68,-80,-60,-79,-67,-76,-69,-75,-73,-77,-75,-86,-200,-74,-76,-71,-80,-78,-200,-79,-88,-80,-200,-81,-80,-91,-80,-200,-87,-87,-86,-84,-200,-87,-88,-200,-91,-81,-90,-87,-85,-200,-87,-92,-86,-87,-92,-88,-200,-200,-200,-200,-93,-200,-200,-83,-92,-90,-90,-95,-94,-77,-77,-94,-89,-97,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452988480,-37,-46,-38,-51,-49,-54,-55,-55,-65,-59,-61,-61,-61,-65,-61,-64,-68,-65,-65,-69,-84,-62,-200,-65,-75,-68,-77,-73,-78,-75,-81,-79,-75,-76,-72,-79,-79,-74,-79,-88,-78,-94,-81,-80,-200,-80,-200,-87,-87,-86,-83,-84,-87,-87,-89,-91,-83,-90,-86,-85,-200,-90,-91,-85,-86,-92,-88,-200,-200,-96,-200,-94,-200,-200,-81,-91,-90,-90,-93,-200,-74,-79,-94,-98,-97,-98,-78,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452991543,-37,-47,-38,-47,-50,-55,-56,-54,-66,-59,-60,-61,-62,-77,-63,-64,-66,-65,-65,-69,-79,-58,-80,-65,-73,-71,-78,-73,-77,-75,-81,-79,-74,-76,-73,-79,-79,-74,-80,-87,-82,-94,-200,-81,-200,-83,-81,-87,-88,-86,-83,-84,-87,-87,-83,-88,-83,-90,-86,-85,-200,-90,-91,-85,-87,-92,-88,-87,-200,-96,-97,-92,-200,-200,-83,-89,-89,-90,-94,-95,-77,-79,-94,-93,-97,-98,-78,-86,-89,-85,-91,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452994601,-37,-87,-39,-51,-51,-47,-56,-54,-65,-59,-61,-61,-62,-83,-62,-65,-69,-66,-66,-68,-78,-61,-86,-66,-72,-73,-78,-74,-73,-76,-81,-79,-75,-76,-73,-76,-79,-74,-81,-88,-77,-94,-63,-80,-200,-84,-78,-95,-87,-86,-83,-85,-87,-87,-89,-88,-83,-93,-86,-81,-200,-90,-92,-85,-87,-93,-88,-87,-200,-96,-97,-92,-200,-200,-83,-92,-89,-200,-94,-94,-76,-79,-94,-93,-96,-93,-80,-86,-89,-85,-91,-95,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452997661,-37,-44,-39,-51,-49,-55,-56,-51,-67,-59,-59,-61,-64,-81,-62,-61,-70,-65,-62,-67,-79,-62,-86,-65,-73,-66,-78,-74,-76,-76,-82,-79,-74,-75,-64,-75,-79,-200,-80,-88,-76,-94,-83,-81,-200,-80,-74,-95,-87,-86,-85,-85,-87,-91,-89,-87,-200,-91,-86,-82,-200,-88,-92,-85,-87,-93,-84,-87,-200,-200,-95,-94,-200,-200,-83,-90,-89,-200,-94,-94,-76,-79,-96,-93,-96,-93,-76,-200,-89,-85,-91,-95,-91,-98,-200,-200,-200,-200,-200,-200,-200,-200
1526453000713,-37,-46,-39,-52,-50,-50,-56,-55,-67,-59,-56,-61,-64,-81,-62,-68,-71,-66,-65,-70,-78,-68,-86,-64,-73,-74,-75,-73,-77,-76,-82,-79,-74,-76,-74,-76,-78,-200,-80,-89,-79,-200,-83,-81,-89,-83,-74,-67,-87,-86,-84,-85,-86,-91,-89,-89,-200,-92,-87,-80,-200,-88,-91,-88,-89,-93,-84,-200,-200,-200,-95,-95,-200,-200,-81,-90,-200,-91,-95,-94,-76,-80,-95,-200,-96,-93,-80,-87,-89,-86,-88,-200,-91,-98,-200,-200,-200,-200,-200,-200,-200,-200
