,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,DLINK_D00ED8,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,whjx-gaofeng-13,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,ez-hr-honglianhu-1,ChinaNet-GLeE,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:2a:98,74:da:da:c0:d8:59,74:da:da:c0:d8:05,0c:73:eb:d0:2a:58,74:da:da:c1:17:75,74:da:da:c0:d7:ed,0c:73:eb:d0:2a:48,74:da:da:c1:47:cd,74:da:da:c0:d7:e9,74:da:da:c0:d7:dd,74:da:da:c1:04:49,0c:73:eb:d0:2a:28,0c:73:eb:d0:19:a8,74:da:da:c1:3d:85,74:da:da:98:ea:4c,74:da:da:c1:14:99,0c:73:eb:d0:2a:10,74:da:da:c1:3d:0d,74:da:da:c1:47:ce,0c:73:eb:d0:2a:38,0c:73:eb:d0:0e:d8,74:da:da:c1:3d:09,0c:73:eb:d0:2a:30,74:da:da:98:8f:34,0c:73:eb:d0:0e:c0,74:da:da:c0:d8:06,74:da:da:c1:3d:35,74:da:da:c1:4a:c9,74:da:da:c0:d7:81,74:da:da:98:8f:30,0c:73:eb:d0:2a:18,74:da:da:c1:4a:7d,74:da:da:c0:d7:ea,74:da:da:98:ea:64,74:da:da:c1:04:45,74:da:da:c1:17:76,74:da:da:c0:d7:09,0c:73:eb:d0:2a:20,74:da:da:c1:02:95,74:da:da:c1:04:4d,0c:73:eb:d0:76:48,74:da:da:c1:3d:05,74:da:da:c0:d8:25,0c:73:eb:d0:0e:90,0c:73:eb:d0:76:58,0c:73:eb:d0:13:c0,74:da:da:c1:3c:8d,74:da:da:c1:3b:4d,74:da:da:c1:3b:9d,0c:73:eb:d0:2a:60,74:da:da:c1:3b:45,0c:73:eb:d0:76:40,74:da:da:c0:d8:1d,74:da:da:c1:4a:a5,74:da:da:98:ea:54,74:da:da:c0:d7:ee,0c:73:eb:d0:0e:b0,74:da:da:c0:d7:11,74:da:da:c0:e0:69,74:da:da:c1:25:9d,74:da:da:98:8f:64,74:da:da:98:ea:5c,74:da:da:98:ea:4d,74:da:da:c1:4a:a6,74:da:da:98:db:44,74:da:da:c0:f3:05,74:da:da:c0:d7:0a,0c:73:eb:d0:76:50,74:da:da:c0:d7:de,0c:73:eb:d0:0e:b8,0c:73:eb:d0:2a:88,74:da:da:c1:3c:6d,74:da:da:c1:25:e5,74:da:da:c1:14:9a,0c:73:eb:d0:76:30,74:da:da:c1:4a:7e,74:da:da:c0:d7:82,0c:73:eb:d0:7e:f0,0c:73:eb:d0:19:c8,0c:73:eb:d0:11:b8,0c:73:eb:d0:7e:e8,74:da:da:98:7a:60,0c:73:eb:d0:76:10,0c:73:eb:d0:11:e8,0c:73:eb:d0:7c:30,0c:73:eb:d0:2a:90,58:6a:b1:be:ee:b0,0c:73:eb:d0:0e:d0,74:da:da:c0:e0:81,74:da:da:98:7a:68,0c:73:eb:d0:19:b0,0c:73:eb:d0:11:b0,74:da:da:c1:3c:99,74:da:da:c0:d7:9d,0c:73:eb:d0:11:f0,74:da:da:c1:61:69,74:da:da:c0:e0:71,74:da:da:c1:25:a1,74:da:da:c1:25:69,70:ba:ef:d9:96:b0,88:94:7e:bd:41:1c,74:da:da:c1:5e:ed,74:da:da:c1:3c:f5,0c:73:eb:d0:76:20,74:da:da:98:7a:4c,74:da:da:c1:3c:cd,74:da:da:c1:03:61,0c:73:eb:d0:19:b8,0c:73:eb:d0:13:a0,74:da:da:c1:3b:65,74:da:da:98:7a:50
1526461934670,-32,-45,-46,-49,-49,-54,-54,-56,-57,-58,-62,-62,-64,-66,-67,-67,-68,-68,-69,-69,-69,-69,-70,-70,-71,-71,-72,-73,-75,-75,-75,-75,-76,-76,-76,-78,-78,-78,-78,-78,-78,-79,-79,-79,-80,-80,-80,-82,-82,-82,-83,-83,-84,-84,-84,-85,-87,-87,-87,-88,-88,-89,-89,-91,-91,-91,-91,-92,-92,-92,-93,-93,-93,-94,-94,-94,-95,-95,-95,-95,-96,-96,-96,-97,-97,-99,-100,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461937710,-44,-42,-55,-46,-64,-64,-56,-49,-58,-63,-68,-200,-57,-74,-59,-76,-200,-200,-68,-77,-72,-67,-85,-62,-64,-67,-78,-62,-72,-200,-66,-71,-81,-200,-69,-76,-72,-73,-82,-82,-73,-77,-85,-74,-80,-72,-84,-79,-60,-200,-200,-68,-200,-200,-200,-90,-200,-200,-200,-82,-81,-200,-86,-200,-87,-200,-200,-200,-88,-89,-83,-200,-200,-95,-91,-200,-200,-90,-200,-90,-94,-88,-200,-200,-84,-200,-200,-60,-79,-88,-93,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461940757,-48,-42,-47,-47,-59,-62,-50,-50,-59,-62,-75,-200,-55,-74,-57,-76,-200,-200,-73,-74,-72,-68,-79,-73,-61,-65,-78,-66,-75,-88,-69,-68,-86,-200,-69,-76,-70,-73,-82,-80,-70,-78,-73,-75,-80,-84,-84,-81,-61,-200,-83,-67,-200,-78,-200,-87,-200,-200,-200,-84,-85,-200,-86,-200,-88,-200,-95,-200,-85,-89,-79,-200,-200,-91,-91,-200,-200,-87,-200,-91,-93,-88,-92,-200,-86,-200,-200,-64,-79,-88,-93,-94,-81,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461943805,-45,-42,-49,-52,-66,-61,-53,-55,-71,-64,-64,-71,-62,-72,-53,-79,-200,-62,-69,-74,-72,-70,-79,-77,-69,-64,-76,-66,-70,-86,-78,-69,-86,-79,-69,-79,-70,-68,-88,-81,-73,-78,-80,-83,-78,-80,-85,-83,-61,-200,-81,-68,-200,-78,-200,-88,-86,-200,-200,-87,-88,-200,-84,-200,-88,-200,-95,-200,-86,-89,-80,-90,-200,-91,-91,-200,-200,-87,-200,-84,-91,-91,-97,-200,-88,-200,-200,-58,-77,-88,-93,-94,-81,-87,-93,-86,-91,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461946859,-43,-41,-57,-47,-61,-65,-57,-52,-62,-66,-71,-67,-61,-73,-55,-79,-63,-62,-68,-75,-74,-65,-86,-78,-59,-65,-77,-60,-70,-82,-69,-69,-89,-79,-70,-86,-77,-72,-84,-86,-71,-79,-80,-83,-82,-69,-85,-81,-66,-200,-85,-72,-200,-79,-200,-93,-91,-200,-84,-83,-82,-200,-88,-200,-87,-200,-94,-93,-86,-89,-83,-91,-200,-94,-96,-200,-200,-87,-200,-84,-92,-90,-94,-200,-86,-200,-93,-58,-79,-200,-93,-93,-81,-87,-93,-86,-91,-93,-95,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461949907,-47,-40,-49,-47,-59,-66,-57,-51,-61,-63,-74,-78,-61,-71,-56,-81,-62,-64,-66,-76,-74,-64,-86,-78,-56,-66,-77,-62,-77,-85,-70,-70,-87,-79,-69,-85,-74,-73,-85,-87,-68,-76,-80,-80,-82,-81,-85,-84,-63,-200,-87,-68,-200,-81,-200,-88,-91,-200,-84,-87,-80,-200,-88,-200,-85,-200,-94,-93,-89,-89,-81,-91,-200,-93,-95,-200,-200,-93,-200,-86,-92,-88,-94,-200,-86,-200,-100,-63,-75,-200,-200,-93,-200,-87,-91,-89,-91,-93,-95,-96,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461952958,-42,-41,-50,-51,-59,-65,-57,-50,-59,-63,-71,-70,-64,-77,-42,-80,-63,-64,-68,-69,-67,-64,-77,-76,-57,-74,-78,-61,-70,-82,-73,-74,-83,-200,-64,-84,-68,-73,-85,-84,-73,-81,-82,-82,-82,-75,-84,-78,-65,-200,-87,-73,-200,-81,-200,-91,-95,-200,-88,-84,-81,-200,-85,-200,-85,-200,-94,-93,-91,-200,-77,-91,-200,-90,-95,-200,-200,-88,-200,-83,-92,-84,-94,-200,-85,-200,-100,-58,-76,-82,-200,-93,-200,-87,-91,-89,-91,-200,-95,-96,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461956012,-41,-43,-50,-49,-59,-64,-54,-49,-60,-65,-72,-74,-60,-76,-58,-80,-69,-76,-70,-74,-67,-66,-85,-74,-58,-74,-77,-61,-70,-83,-72,-73,-86,-200,-63,-84,-68,-73,-85,-83,-75,-79,-82,-82,-200,-82,-82,-82,-61,-200,-84,-71,-200,-78,-200,-92,-88,-200,-88,-84,-79,-200,-85,-200,-85,-200,-200,-94,-91,-85,-79,-96,-200,-94,-96,-200,-200,-85,-96,-91,-200,-85,-96,-96,-88,-200,-100,-57,-77,-82,-200,-94,-200,-89,-91,-89,-91,-200,-95,-200,-95,-95,-98,-200,-200,-200,-200,-200,-200,-200,-200
1526461959059,-45,-40,-49,-50,-66,-65,-48,-53,-61,-65,-71,-69,-66,-76,-54,-76,-54,-77,-68,-65,-67,-70,-80,-74,-56,-72,-82,-54,-70,-79,-71,-70,-86,-200,-63,-76,-70,-74,-88,-86,-72,-80,-82,-82,-92,-78,-82,-85,-67,-200,-84,-79,-200,-78,-200,-90,-88,-200,-88,-83,-82,-200,-85,-200,-85,-200,-200,-94,-94,-85,-76,-96,-200,-94,-96,-200,-200,-85,-96,-85,-91,-86,-96,-96,-87,-200,-200,-62,-79,-81,-200,-95,-200,-88,-200,-200,-93,-200,-96,-200,-95,-95,-98,-87,-91,-200,-200,-200,-200,-200,-200
