,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D00EB8,WHU-2018,WHU-2018,whjx-gaofeng-13,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:47:cd,0c:73:eb:d0:2a:48,74:da:da:c0:d7:ed,74:da:da:c0:d7:09,0c:73:eb:d0:2a:98,0c:73:eb:d0:2a:20,74:da:da:c1:4a:c9,74:da:da:c1:3b:4d,74:da:da:c1:4a:7d,74:da:da:c0:d8:59,74:da:da:c0:d7:ee,74:da:da:c1:17:75,0c:73:eb:d0:2a:28,0c:73:eb:d0:0e:d0,74:da:da:c1:4a:a5,74:da:da:c1:02:95,0c:73:eb:d0:2a:38,74:da:da:c1:04:4d,0c:73:eb:d0:2a:58,74:da:da:c0:d8:05,0c:73:eb:d0:76:40,0c:73:eb:d0:19:b0,74:da:da:c1:14:99,0c:73:eb:d0:0e:c0,0c:73:eb:d0:2a:88,74:da:da:c1:4a:ca,74:da:da:c0:d7:e9,74:da:da:c0:d7:0a,74:da:da:c1:3b:9d,0c:73:eb:d0:19:a8,74:da:da:c1:3b:45,0c:73:eb:d0:0e:d8,74:da:da:c1:3d:0d,74:da:da:c0:d7:81,74:da:da:c1:4a:7e,74:da:da:c1:3c:6d,74:da:da:98:7a:68,0c:73:eb:d0:76:10,0c:73:eb:d0:2a:10,74:da:da:c1:4a:a6,74:da:da:c1:47:ce,74:da:da:98:8f:64,74:da:da:c0:d7:dd,0c:73:eb:d0:13:c0,74:da:da:c1:17:76,74:da:da:98:db:44,74:da:da:c0:d7:ea,74:da:da:c1:25:a1,74:da:da:c1:3d:35,74:da:da:c1:04:49,0c:73:eb:d0:2a:18,74:da:da:c1:04:45,74:da:da:c1:3b:e9,0c:73:eb:d0:2a:30,74:da:da:98:7a:50,74:da:da:98:8f:30,0c:73:eb:d0:76:20,74:da:da:c1:14:9a,0c:73:eb:d0:76:58,74:da:da:c1:25:9d,0c:73:eb:d0:2a:60,74:da:da:c1:61:69,74:da:da:98:7a:60,0c:73:eb:d0:19:98,74:da:da:c1:3d:85,74:da:da:c1:3d:09,74:da:da:98:ea:64,74:da:da:98:ea:4c,74:da:da:c0:de:2d,74:da:da:c1:3d:05,0c:73:eb:d0:11:d0,0c:73:eb:d0:0e:90,74:da:da:c0:e0:71,0c:73:eb:d0:0e:98,74:da:da:c1:3b:4e,74:da:da:c1:04:4e,0c:73:eb:d0:76:50,0c:73:eb:d0:2a:90,0c:73:eb:d0:11:b0,74:da:da:c0:f3:05,0c:73:eb:d0:76:30,74:da:da:c0:d8:25,74:da:da:c0:d8:1d,0c:73:eb:d0:11:f0,0c:73:eb:d0:7c:10,0c:73:eb:d0:0e:b8,0c:73:eb:d0:7e:d8,0c:73:eb:d0:13:a0,58:6a:b1:be:ee:b0,74:da:da:c0:d8:06,74:da:da:c1:3c:8d,74:da:da:98:7a:6c,0c:73:eb:d0:76:48,74:da:da:c1:5e:ed,0c:73:eb:d0:2a:50,74:da:da:c1:3b:85,0c:73:eb:d0:2a:68,74:da:da:c1:3b:79,0c:73:eb:d0:19:c8,74:da:da:c1:3c:99,0c:73:eb:d0:11:b8,74:da:da:c0:e0:81,74:da:da:c0:d8:7d
1526458307639,-35,-36,-40,-44,-49,-49,-50,-51,-55,-57,-57,-59,-59,-59,-62,-63,-63,-65,-65,-67,-67,-67,-68,-68,-70,-70,-70,-73,-73,-74,-75,-77,-77,-78,-79,-79,-79,-79,-81,-82,-83,-83,-83,-84,-85,-85,-85,-85,-85,-86,-86,-86,-86,-87,-87,-87,-87,-88,-88,-88,-88,-89,-89,-89,-89,-89,-90,-91,-91,-92,-93,-93,-93,-93,-94,-94,-94,-94,-95,-95,-95,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458310673,-39,-39,-30,-59,-60,-49,-67,-63,-200,-73,-54,-62,-71,-57,-70,-65,-54,-66,-67,-73,-65,-84,-74,-70,-60,-79,-74,-74,-70,-75,-88,-70,-200,-74,-78,-200,-72,-200,-78,-87,-72,-82,-66,-85,-79,-200,-92,-77,-81,-200,-200,-200,-83,-84,-200,-86,-92,-90,-89,-200,-67,-84,-200,-200,-76,-78,-200,-200,-200,-200,-90,-92,-94,-200,-94,-200,-94,-200,-96,-200,-200,-200,-200,-97,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458313710,-41,-37,-33,-58,-57,-48,-72,-65,-51,-75,-55,-60,-76,-59,-65,-63,-58,-69,-71,-71,-64,-84,-74,-72,-60,-78,-68,-72,-69,-65,-89,-78,-200,-71,-78,-200,-73,-200,-79,-86,-70,-82,-68,-80,-79,-200,-93,-74,-82,-83,-86,-83,-83,-78,-200,-84,-92,-90,-87,-83,-67,-83,-200,-200,-76,-78,-200,-200,-200,-200,-92,-89,-94,-93,-94,-200,-94,-200,-96,-200,-200,-86,-200,-97,-97,-89,-95,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458316732,-36,-38,-32,-58,-59,-49,-64,-65,-50,-70,-54,-60,-71,-60,-67,-61,-53,-69,-63,-73,-70,-77,-73,-73,-61,-78,-70,-73,-69,-74,-89,-76,-200,-72,-78,-200,-68,-80,-72,-86,-72,-83,-62,-80,-79,-200,-92,-77,-82,-81,-86,-84,-200,-77,-92,-87,-91,-89,-87,-85,-200,-85,-200,-200,-89,-80,-86,-83,-85,-83,-96,-92,-200,-93,-94,-200,-94,-200,-200,-200,-200,-84,-200,-200,-200,-89,-95,-96,-98,-94,-94,-94,-95,-95,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526458319785,-39,-37,-34,-61,-64,-54,-62,-65,-52,-71,-54,-58,-71,-59,-71,-64,-59,-71,-67,-62,-67,-77,-74,-73,-60,-78,-69,-73,-68,-79,-89,-76,-200,-72,-78,-200,-68,-94,-74,-86,-71,-83,-67,-81,-79,-200,-91,-75,-82,-82,-86,-84,-200,-84,-92,-87,-90,-90,-87,-85,-200,-83,-200,-200,-89,-78,-87,-83,-85,-83,-92,-92,-94,-94,-94,-200,-94,-200,-96,-200,-200,-84,-200,-200,-200,-89,-95,-96,-98,-94,-94,-94,-95,-95,-96,-95,-200,-200,-200,-200,-200,-200,-200
1526458322837,-39,-40,-32,-63,-59,-49,-58,-62,-52,-74,-54,-62,-72,-60,-68,-64,-59,-73,-62,-75,-71,-77,-74,-73,-60,-78,-69,-73,-70,-79,-200,-76,-200,-70,-79,-200,-68,-94,-74,-86,-71,-82,-63,-84,-78,-90,-90,-76,-81,-81,-89,-83,-200,-77,-92,-85,-90,-90,-87,-85,-78,-84,-200,-200,-80,-78,-87,-83,-80,-83,-93,-92,-94,-97,-93,-200,-200,-200,-96,-200,-200,-84,-200,-200,-200,-200,-95,-200,-98,-94,-93,-94,-95,-95,-96,-95,-88,-91,-200,-200,-200,-200,-200
1526458325862,-38,-39,-32,-64,-61,-46,-60,-64,-50,-73,-54,-59,-66,-60,-66,-61,-52,-70,-68,-72,-64,-200,-71,-71,-68,-77,-70,-73,-69,-75,-200,-76,-200,-69,-79,-200,-70,-80,-74,-88,-72,-82,-65,-82,-78,-90,-92,-72,-81,-81,-86,-84,-200,-83,-91,-85,-89,-90,-87,-84,-78,-84,-200,-200,-77,-78,-87,-65,-84,-200,-92,-200,-94,-91,-92,-200,-200,-200,-96,-200,-200,-84,-200,-200,-200,-200,-95,-200,-200,-94,-93,-95,-200,-200,-200,-95,-88,-91,-96,-200,-200,-200,-200
1526458328917,-39,-38,-34,-58,-64,-49,-61,-62,-51,-80,-54,-64,-65,-59,-63,-62,-59,-74,-65,-72,-64,-200,-76,-65,-60,-77,-70,-73,-71,-74,-200,-74,-200,-69,-81,-200,-70,-80,-72,-84,-71,-80,-68,-81,-82,-90,-90,-75,-81,-82,-92,-84,-200,-78,-91,-86,-89,-90,-89,-83,-77,-84,-200,-200,-78,-78,-86,-83,-84,-200,-96,-88,-94,-94,-92,-200,-95,-200,-96,-200,-200,-84,-200,-200,-200,-87,-98,-200,-200,-93,-93,-95,-200,-200,-200,-200,-88,-91,-96,-200,-200,-200,-200
1526458331964,-39,-38,-33,-61,-64,-53,-62,-60,-49,-71,-54,-63,-71,-59,-66,-63,-58,-69,-68,-71,-69,-87,-72,-75,-60,-78,-70,-74,-70,-73,-200,-73,-200,-74,-77,-200,-70,-80,-80,-83,-72,-83,-63,-81,-79,-200,-93,-76,-83,-82,-92,-84,-200,-79,-92,-85,-93,-89,-89,-84,-78,-84,-200,-200,-78,-77,-87,-83,-87,-89,-95,-88,-93,-94,-92,-200,-95,-200,-96,-200,-200,-85,-200,-200,-200,-87,-98,-200,-96,-93,-200,-98,-200,-200,-95,-200,-200,-200,-96,-89,-200,-200,-200
