,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,DLINK_D02A28,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,WHU-2018,DLINK_D02A18,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
,74:da:da:c0:d7:ed,0c:73:eb:d0:2a:48,74:da:da:c1:47:cd,0c:73:eb:d0:2a:20,74:da:da:c1:4a:7d,74:da:da:c0:d7:ee,0c:73:eb:d0:0e:d0,74:da:da:c1:17:75,0c:73:eb:d0:2a:98,74:da:da:c1:4a:c9,74:da:da:c0:d7:09,0c:73:eb:d0:2a:38,74:da:da:c1:3b:4d,74:da:da:c0:d7:dd,74:da:da:c1:4a:a5,74:da:da:c0:d8:59,0c:73:eb:d0:2a:88,0c:73:eb:d0:2a:28,0c:73:eb:d0:2a:58,74:da:da:c1:04:4d,74:da:da:c1:02:95,74:da:da:c0:d7:e9,74:da:da:c1:3b:9d,74:da:da:98:7a:68,74:da:da:c0:d7:81,0c:73:eb:d0:0e:c0,74:da:da:c1:25:a1,0c:73:eb:d0:76:40,74:da:da:c0:d8:05,0c:73:eb:d0:19:a8,74:da:da:c1:14:99,0c:73:eb:d0:13:c0,0c:73:eb:d0:2a:30,0c:73:eb:d0:0e:d8,74:da:da:c1:4a:ca,0c:73:eb:d0:2a:10,74:da:da:c1:3d:09,74:da:da:c1:17:76,74:da:da:c0:d7:0a,74:da:da:c1:47:ce,74:da:da:98:8f:64,74:da:da:c1:61:69,74:da:da:c1:3b:e9,74:da:da:c1:4a:7e,0c:73:eb:d0:2a:60,74:da:da:c1:3d:35,74:da:da:c0:d8:25,74:da:da:c1:3c:6d,74:da:da:c1:3d:85,0c:73:eb:d0:19:b0,74:da:da:c1:4a:a6,74:da:da:c1:04:45,74:da:da:c1:25:9d,74:da:da:98:ea:4c,74:da:da:98:7a:60,74:da:da:98:8f:30,74:da:da:c1:04:49,74:da:da:c0:de:2d,74:da:da:98:ea:64,74:da:da:c1:3b:45,74:da:da:c1:3d:0d,0c:73:eb:d0:76:58,0c:73:eb:d0:0e:b8,0c:73:eb:d0:2a:90,0c:73:eb:d0:2a:18,0c:73:eb:d0:0e:90,0c:73:eb:d0:76:20,74:da:da:c0:d7:ea,74:da:da:98:7a:50,74:da:da:c0:d8:06,0c:73:eb:d0:0e:98,74:da:da:c0:e0:81,74:da:da:c1:14:9a,74:da:da:c0:e0:71,0c:73:eb:d0:76:50,74:da:da:c0:f3:05,0c:73:eb:d0:11:b0,74:da:da:98:7a:6c,0c:73:eb:d0:19:c8,74:da:da:c0:d8:7d,74:da:da:c1:3c:8d,74:da:da:c1:3c:99,74:da:da:c0:d8:1d,0c:73:eb:d0:11:f0,0c:73:eb:d0:11:d0,74:da:da:c1:3d:05,74:da:da:c0:e0:69,0c:73:eb:d0:76:48,74:da:da:c1:3b:79,74:da:da:c1:3b:4e,74:da:da:c1:4a:ed,0c:73:eb:d0:11:b8,0c:73:eb:d0:11:e8,74:da:da:c1:3b:85,0c:73:eb:d0:13:a0,0c:73:eb:d0:76:30,74:da:da:98:db:44,0c:73:eb:d0:76:10,74:da:da:98:7a:4c,0c:73:eb:d0:7c:48,74:da:da:c1:3c:d1,0c:73:eb:d0:7e:d8
1526458381394,-33,-40,-43,-46,-50,-55,-56,-58,-59,-60,-61,-62,-65,-66,-67,-68,-68,-68,-68,-69,-70,-70,-70,-72,-72,-73,-74,-74,-76,-76,-77,-77,-77,-77,-78,-78,-78,-79,-79,-80,-81,-81,-81,-82,-82,-82,-83,-83,-83,-83,-84,-84,-84,-84,-84,-85,-85,-85,-85,-85,-85,-86,-87,-87,-89,-89,-90,-90,-91,-91,-92,-92,-94,-94,-95,-95,-96,-96,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458384430,-32,-37,-63,-54,-49,-48,-56,-64,-52,-50,-57,-53,-58,-79,-65,-200,-71,-71,-57,-76,-73,-62,-200,-200,-83,-63,-83,-64,-56,-73,-200,-75,-81,-200,-72,-84,-79,-86,-73,-78,-80,-87,-200,-65,-200,-84,-92,-83,-84,-200,-82,-90,-200,-68,-200,-88,-83,-88,-200,-200,-200,-84,-89,-200,-200,-200,-85,-200,-92,-200,-200,-87,-94,-200,-200,-200,-97,-96,-200,-200,-87,-90,-94,-95,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458387476,-33,-41,-57,-54,-48,-47,-58,-66,-58,-51,-58,-57,-57,-79,-65,-200,-64,-71,-63,-76,-72,-62,-73,-77,-83,-62,-84,-65,-59,-73,-200,-75,-84,-84,-72,-80,-79,-87,-74,-79,-83,-88,-83,-66,-200,-84,-88,-85,-84,-200,-85,-90,-200,-82,-82,-87,-83,-87,-200,-86,-200,-82,-89,-200,-86,-200,-82,-200,-92,-200,-200,-87,-94,-96,-200,-200,-97,-96,-200,-200,-87,-90,-94,-95,-97,-93,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458390528,-32,-40,-56,-57,-51,-48,-62,-64,-57,-49,-56,-56,-60,-78,-72,-200,-77,-71,-57,-77,-66,-62,-73,-77,-83,-64,-84,-68,-59,-74,-200,-83,-83,-88,-72,-76,-79,-86,-75,-79,-84,-86,-83,-67,-200,-93,-88,-85,-84,-200,-82,-90,-200,-83,-86,-86,-86,-87,-200,-86,-200,-83,-89,-200,-88,-83,-82,-200,-92,-200,-84,-87,-94,-96,-200,-200,-97,-96,-200,-200,-87,-90,-94,-95,-97,-93,-95,-91,-93,-94,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458393575,-33,-39,-57,-57,-51,-48,-62,-64,-52,-51,-58,-55,-59,-79,-66,-68,-70,-61,-57,-78,-72,-61,-73,-79,-86,-64,-84,-66,-60,-70,-81,-82,-81,-88,-72,-77,-200,-86,-74,-79,-84,-85,-83,-67,-200,-81,-88,-85,-85,-84,-82,-90,-200,-85,-86,-86,-84,-88,-87,-85,-200,-83,-200,-200,-89,-85,-86,-200,-89,-200,-84,-200,-94,-96,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-97,-93,-95,-91,-93,-94,-96,-94,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200
1526458396626,-33,-40,-55,-57,-49,-48,-58,-64,-52,-50,-66,-58,-60,-79,-66,-67,-79,-71,-62,-77,-73,-60,-73,-77,-84,-64,-200,-65,-59,-70,-82,-82,-84,-88,-72,-77,-200,-85,-74,-79,-81,-87,-200,-67,-200,-83,-200,-86,-86,-84,-82,-90,-200,-83,-86,-86,-85,-87,-87,-84,-200,-83,-200,-200,-88,-85,-75,-200,-91,-200,-84,-200,-94,-200,-200,-200,-96,-94,-200,-200,-200,-94,-200,-94,-96,-94,-97,-94,-93,-94,-96,-94,-96,-97,-96,-200,-200,-200,-200,-200,-200,-200
1526458399679,-33,-39,-53,-53,-51,-48,-62,-65,-57,-51,-58,-59,-60,-78,-67,-67,-77,-69,-63,-78,-71,-62,-73,-77,-85,-61,-87,-61,-61,-69,-82,-84,-84,-200,-72,-77,-200,-85,-75,-79,-83,-86,-200,-67,-200,-83,-88,-85,-86,-84,-84,-90,-90,-83,-80,-87,-84,-93,-84,-84,-200,-83,-200,-95,-83,-85,-84,-200,-89,-200,-80,-200,-96,-94,-200,-200,-96,-94,-200,-200,-200,-94,-200,-94,-96,-94,-97,-94,-200,-200,-200,-94,-96,-97,-96,-97,-200,-200,-200,-200,-200,-200
1526458402747,-34,-39,-56,-55,-50,-48,-64,-65,-58,-51,-60,-58,-60,-78,-67,-67,-73,-71,-65,-79,-73,-62,-73,-76,-86,-62,-87,-67,-60,-69,-83,-83,-84,-82,-72,-77,-200,-86,-75,-78,-82,-87,-200,-67,-200,-84,-88,-86,-86,-200,-85,-200,-90,-83,-85,-90,-84,-93,-84,-85,-200,-83,-200,-95,-83,-83,-85,-200,-91,-200,-80,-200,-93,-95,-200,-200,-96,-94,-200,-200,-87,-90,-95,-94,-96,-94,-97,-93,-200,-200,-200,-200,-200,-200,-96,-97,-200,-200,-200,-200,-200,-200
1526458405815,-32,-38,-57,-52,-50,-48,-59,-64,-53,-46,-59,-58,-61,-78,-71,-68,-72,-71,-57,-77,-72,-62,-73,-80,-84,-64,-85,-66,-52,-74,-83,-76,-83,-81,-72,-81,-200,-86,-75,-78,-82,-87,-82,-67,-200,-84,-89,-85,-200,-84,-83,-89,-90,-83,-85,-90,-84,-89,-86,-84,-200,-82,-200,-95,-83,-85,-84,-200,-89,-200,-80,-200,-95,-95,-200,-200,-200,-200,-200,-200,-87,-90,-95,-95,-96,-200,-94,-92,-200,-200,-200,-200,-200,-200,-200,-97,-87,-200,-200,-200,-200,-200
