,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A38,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,74:da:da:c1:4a:c9,0c:73:eb:d0:2a:48,0c:73:eb:d0:76:40,74:da:da:c0:d7:09,0c:73:eb:d0:0e:d0,74:da:da:c0:d7:ed,74:da:da:c1:4a:7d,0c:73:eb:d0:2a:20,74:da:da:c1:47:cd,74:da:da:c1:04:4d,0c:73:eb:d0:2a:98,74:da:da:c0:d7:ee,74:da:da:c1:3b:9d,0c:73:eb:d0:2a:38,0c:73:eb:d0:2a:58,74:da:da:c1:02:95,74:da:da:c1:4a:a5,74:da:da:c0:d8:05,0c:73:eb:d0:2a:28,74:da:da:c1:3b:e9,74:da:da:c1:17:75,0c:73:eb:d0:0e:c0,74:da:da:c0:d7:81,74:da:da:c1:4a:ca,74:da:da:c1:25:a1,74:da:da:c1:17:76,0c:73:eb:d0:0e:d8,74:da:da:c1:4a:7e,74:da:da:c1:3b:45,74:da:da:c1:3b:4d,74:da:da:c1:14:99,74:da:da:c1:14:9a,0c:73:eb:d0:2a:88,74:da:da:c1:61:69,0c:73:eb:d0:13:c0,74:da:da:c1:3c:6d,74:da:da:c0:d7:e9,0c:73:eb:d0:0e:b8,74:da:da:c1:3b:79,74:da:da:98:7a:60,74:da:da:c1:47:ce,74:da:da:c0:d7:0a,74:da:da:98:ea:64,0c:73:eb:d0:2a:60,0c:73:eb:d0:2a:10,74:da:da:98:7a:50,74:da:da:c1:04:49,74:da:da:c0:de:2d,0c:73:eb:d0:2a:90,74:da:da:c0:d7:dd,74:da:da:c1:4a:a6,0c:73:eb:d0:76:20,0c:73:eb:d0:2a:18,74:da:da:c1:3d:35,74:da:da:c1:3c:99,74:da:da:98:ea:4c,74:da:da:c0:e0:71,0c:73:eb:d0:11:b8,74:da:da:c1:3d:0d,74:da:da:c1:3d:85,0c:73:eb:d0:76:48,0c:73:eb:d0:19:a8,74:da:da:98:7a:68,74:da:da:c0:e0:81,0c:73:eb:d0:2a:30,74:da:da:c1:04:45,0c:73:eb:d0:76:58,74:da:da:98:7a:6c,74:da:da:98:8f:64,74:da:da:c1:25:9d,74:da:da:98:8f:30,74:da:da:c1:3d:05,0c:73:eb:d0:11:d0,74:da:da:c0:d7:11,74:da:da:c0:d7:ea,74:da:da:c0:d8:25,74:da:da:c1:3c:d1,0c:73:eb:d0:0e:a8,0c:73:eb:d0:7e:f0,74:da:da:c1:3c:e1,74:da:da:c0:d8:59,0c:73:eb:d0:19:b0,74:da:da:c0:f3:05,0c:73:eb:d0:13:a0,74:da:da:c0:d7:82,74:da:da:c0:e0:69,74:da:da:c1:3d:09,0c:73:eb:d0:19:c8,0c:73:eb:d0:76:50,0c:73:eb:d0:11:f0,0c:73:eb:d0:0e:90,0c:73:eb:d0:76:10,74:da:da:c0:d8:06,74:da:da:c1:4a:ed,0c:73:eb:d0:13:d0,74:da:da:c1:25:e5,0c:73:eb:d0:0e:b0,0c:73:eb:d0:2a:50,0c:73:eb:d0:7e:d8,74:da:da:c0:d8:1d,0c:73:eb:d0:76:28,74:da:da:c1:03:61,74:da:da:98:ea:54,74:da:da:98:db:44,0c:73:eb:d0:7e:e8,0c:73:eb:d0:76:30,0c:73:eb:d0:11:e8,74:da:da:98:ea:5c,74:da:da:c0:d7:01,0c:73:eb:d0:7c:30
1526458821057,-37,-38,-46,-48,-48,-50,-50,-52,-53,-54,-55,-58,-59,-60,-61,-64,-65,-66,-68,-71,-72,-72,-73,-74,-74,-74,-74,-76,-76,-77,-77,-77,-78,-78,-79,-79,-79,-80,-80,-81,-82,-82,-83,-83,-84,-84,-86,-86,-86,-86,-87,-87,-88,-88,-88,-89,-89,-89,-89,-89,-89,-89,-90,-90,-91,-91,-91,-91,-91,-91,-93,-94,-95,-95,-95,-95,-96,-96,-97,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458823807,-37,-33,-64,-51,-55,-47,-200,-54,-52,-74,-53,-59,-74,-57,-63,-74,-200,-69,-60,-200,-67,-71,-62,-80,-200,-79,-200,-89,-61,-64,-63,-82,-62,-85,-77,-85,-53,-200,-200,-200,-82,-78,-200,-200,-79,-200,-85,-95,-200,-200,-83,-83,-200,-78,-200,-76,-200,-200,-200,-200,-89,-200,-200,-81,-85,-89,-200,-200,-200,-200,-200,-200,-93,-92,-95,-200,-200,-200,-200,-200,-55,-79,-93,-94,-96,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458824102,-37,-33,-64,-51,-55,-47,-200,-54,-52,-74,-53,-59,-74,-57,-63,-74,-200,-69,-60,-200,-67,-71,-62,-80,-200,-79,-200,-89,-61,-64,-63,-82,-62,-85,-77,-85,-53,-200,-200,-200,-82,-78,-200,-200,-79,-200,-85,-95,-200,-200,-83,-83,-200,-78,-200,-76,-200,-200,-200,-200,-89,-200,-200,-81,-85,-89,-200,-200,-200,-200,-200,-200,-93,-92,-95,-200,-200,-200,-200,-200,-55,-79,-93,-94,-96,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458826856,-40,-34,-62,-50,-57,-48,-75,-56,-48,-74,-51,-56,-74,-57,-62,-71,-64,-72,-62,-200,-68,-74,-66,-79,-83,-81,-69,-91,-78,-66,-62,-81,-71,-85,-78,-89,-54,-90,-91,-92,-83,-76,-86,-200,-79,-90,-88,-95,-200,-72,-81,-85,-79,-76,-200,-75,-92,-200,-200,-200,-88,-77,-87,-85,-83,-91,-86,-200,-82,-200,-83,-92,-92,-92,-94,-200,-200,-200,-200,-200,-63,-79,-93,-94,-96,-96,-71,-81,-90,-91,-93,-94,-95,-96,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458827162,-40,-34,-62,-50,-57,-48,-75,-56,-48,-74,-51,-56,-74,-57,-62,-71,-64,-72,-62,-200,-68,-74,-66,-79,-83,-81,-69,-91,-78,-66,-62,-81,-71,-85,-78,-89,-54,-90,-91,-92,-83,-76,-86,-200,-79,-90,-88,-95,-200,-72,-81,-85,-79,-76,-200,-75,-92,-200,-200,-200,-88,-77,-87,-85,-83,-91,-86,-200,-82,-200,-83,-92,-92,-92,-94,-200,-200,-200,-200,-200,-63,-79,-93,-94,-96,-96,-71,-81,-90,-91,-93,-94,-95,-96,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458829913,-41,-34,-64,-50,-51,-43,-62,-59,-48,-73,-57,-57,-77,-55,-60,-78,-66,-68,-61,-200,-67,-69,-66,-79,-79,-80,-66,-91,-78,-63,-61,-82,-72,-84,-73,-83,-56,-93,-91,-92,-80,-76,-87,-200,-69,-91,-88,-200,-200,-71,-78,-87,-80,-77,-200,-77,-90,-200,-200,-200,-90,-79,-87,-83,-86,-90,-91,-200,-82,-86,-85,-89,-92,-94,-94,-91,-200,-200,-92,-200,-61,-81,-200,-200,-200,-200,-71,-81,-90,-93,-88,-94,-95,-96,-98,-87,-91,-94,-96,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458830234,-41,-34,-64,-50,-51,-43,-62,-59,-48,-73,-57,-57,-77,-55,-60,-78,-66,-68,-61,-200,-67,-69,-66,-79,-79,-80,-66,-91,-78,-63,-61,-82,-72,-84,-73,-83,-56,-93,-91,-92,-80,-76,-87,-200,-69,-91,-88,-200,-200,-71,-78,-87,-80,-77,-200,-77,-90,-200,-200,-200,-90,-79,-87,-83,-86,-90,-91,-200,-82,-86,-85,-89,-92,-94,-94,-91,-200,-200,-92,-200,-61,-81,-200,-200,-200,-200,-71,-81,-90,-93,-88,-94,-95,-96,-98,-87,-91,-94,-96,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458832967,-41,-30,-66,-50,-49,-42,-59,-53,-50,-73,-51,-57,-73,-53,-65,-78,-67,-69,-64,-200,-66,-72,-64,-80,-79,-81,-66,-91,-77,-63,-61,-83,-87,-84,-60,-60,-53,-93,-91,-89,-80,-76,-87,-200,-69,-91,-88,-200,-200,-70,-79,-87,-81,-77,-200,-76,-90,-200,-92,-90,-90,-76,-93,-82,-87,-92,-88,-200,-82,-88,-84,-85,-93,-93,-94,-91,-200,-200,-92,-200,-61,-82,-92,-200,-200,-200,-200,-81,-82,-93,-88,-200,-92,-96,-200,-87,-89,-94,-96,-94,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458833284,-41,-30,-66,-50,-49,-42,-59,-53,-50,-73,-51,-57,-73,-53,-65,-78,-67,-69,-64,-200,-66,-72,-64,-80,-79,-81,-66,-91,-77,-63,-61,-83,-87,-84,-60,-60,-53,-93,-91,-89,-80,-76,-87,-200,-69,-91,-88,-200,-200,-70,-79,-87,-81,-77,-200,-76,-90,-200,-92,-90,-90,-76,-93,-82,-87,-92,-88,-200,-82,-88,-84,-85,-93,-93,-94,-91,-200,-200,-92,-200,-61,-82,-92,-200,-200,-200,-200,-81,-82,-93,-88,-200,-92,-96,-200,-87,-89,-94,-96,-94,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458836021,-39,-33,-67,-50,-51,-44,-60,-54,-49,-66,-58,-56,-73,-54,-64,-73,-67,-69,-64,-76,-61,-69,-68,-79,-79,-80,-66,-89,-75,-63,-63,-83,-73,-84,-74,-85,-55,-92,-91,-92,-80,-74,-87,-200,-59,-91,-88,-200,-96,-75,-75,-88,-81,-78,-200,-78,-94,-200,-92,-90,-200,-75,-92,-81,-88,-90,-86,-200,-82,-88,-84,-91,-98,-93,-92,-91,-200,-200,-91,-200,-62,-82,-92,-200,-200,-94,-200,-200,-82,-91,-200,-200,-92,-200,-200,-200,-89,-94,-96,-94,-97,-95,-200,-200,-200,-200,-200,-200,-200,-200
