,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whjx-gaofeng-13,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whjx-gaofeng-1,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:0e:d0,74:da:da:c1:4a:7d,74:da:da:c1:4a:c9,0c:73:eb:d0:2a:38,74:da:da:c1:4a:a5,0c:73:eb:d0:2a:20,74:da:da:c0:d7:ed,74:da:da:c1:4a:ca,0c:73:eb:d0:2a:48,74:da:da:c0:d7:09,0c:73:eb:d0:76:40,74:da:da:c1:04:4d,0c:73:eb:d0:11:b8,0c:73:eb:d0:2a:88,74:da:da:c1:17:75,74:da:da:c1:4a:7e,0c:73:eb:d0:2a:98,0c:73:eb:d0:19:b0,74:da:da:c1:3b:9d,74:da:da:c1:61:69,0c:73:eb:d0:0e:c0,74:da:da:c1:3b:e9,74:da:da:c1:47:cd,74:da:da:c0:d8:59,74:da:da:c1:4a:a6,0c:73:eb:d0:2a:58,74:da:da:c0:d7:81,0c:73:eb:d0:2a:28,74:da:da:c0:d7:0a,74:da:da:c0:d7:ee,74:da:da:c0:d7:e9,74:da:da:c1:25:a1,0c:73:eb:d0:0e:d8,74:da:da:c1:3c:6d,74:da:da:c1:17:76,74:da:da:c0:d8:05,0c:73:eb:d0:2a:18,74:da:da:98:7a:4c,74:da:da:c1:14:99,74:da:da:98:8f:64,74:da:da:98:ea:64,74:da:da:c1:3b:45,0c:73:eb:d0:76:48,74:da:da:c0:d7:dd,0c:73:eb:d0:76:20,74:da:da:c1:3b:4d,74:da:da:98:ea:4c,74:da:da:98:7a:6c,74:da:da:c0:f3:59,74:da:da:c0:d8:25,0c:73:eb:d0:11:b0,74:da:da:98:db:44,74:da:da:98:7a:60,74:da:da:c0:e0:81,74:da:da:c1:25:e5,74:da:da:c1:25:9d,0c:73:eb:d0:2a:90,0c:73:eb:d0:0e:b8,74:da:da:c1:02:95,74:da:da:c1:14:9a,0c:73:eb:d0:13:c0,74:da:da:c1:04:49,74:da:da:c1:3d:09,74:da:da:c1:3b:9e,74:da:da:c1:47:ce,74:da:da:c1:3d:05,74:da:da:c1:3c:91,74:da:da:c1:03:61,0c:73:eb:d0:76:58,74:da:da:c0:e0:69,74:da:da:98:8f:30,74:da:da:98:7a:50,0c:73:eb:d0:2a:30,74:da:da:c1:3d:35,0c:73:eb:d0:7e:f0,74:da:da:c1:3c:f9,0c:73:eb:d0:7c:30,74:da:da:c1:4a:ed,58:6a:b1:be:ee:b0,0c:73:eb:d0:0e:b0,74:da:da:98:7a:68,74:da:da:c1:25:69,0c:73:eb:d0:76:50,0c:73:eb:d0:19:a8,58:6a:b1:bf:26:b0,74:da:da:98:8f:34,74:da:da:c0:f3:05,74:da:da:c0:d7:9d,74:da:da:c0:d7:11,74:da:da:c0:de:2d,74:da:da:c1:3d:85,74:da:da:c1:3c:8d,74:da:da:c1:3d:0d,0c:73:eb:d0:76:30,0c:73:eb:d0:11:f0,74:da:da:c1:04:45
1526462434713,-35,-41,-45,-49,-49,-51,-56,-56,-58,-61,-61,-64,-65,-67,-67,-68,-69,-69,-69,-69,-71,-72,-73,-74,-75,-76,-77,-77,-78,-79,-79,-81,-82,-82,-82,-83,-83,-84,-84,-85,-85,-85,-85,-85,-86,-86,-88,-88,-88,-88,-89,-89,-89,-90,-90,-91,-91,-91,-92,-92,-92,-93,-93,-93,-94,-94,-95,-95,-95,-96,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462437752,-34,-44,-41,-58,-66,-49,-54,-54,-53,-57,-56,-59,-200,-63,-66,-72,-70,-75,-58,-200,-68,-82,-59,-76,-86,-84,-77,-200,-90,-71,-200,-200,-200,-87,-200,-75,-200,-86,-200,-87,-200,-93,-200,-86,-92,-78,-84,-200,-200,-90,-85,-87,-90,-200,-200,-200,-94,-200,-84,-200,-200,-87,-88,-200,-93,-200,-200,-200,-200,-200,-95,-77,-85,-88,-93,-93,-94,-95,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462440788,-24,-47,-42,-57,-69,-47,-55,-59,-49,-58,-61,-61,-200,-72,-64,-73,-70,-78,-59,-200,-74,-82,-59,-76,-83,-84,-77,-200,-87,-70,-68,-200,-200,-86,-93,-75,-200,-88,-200,-85,-93,-91,-200,-86,-90,-77,-83,-200,-200,-90,-89,-88,-91,-200,-200,-200,-94,-200,-80,-200,-78,-88,-87,-200,-93,-200,-200,-200,-89,-200,-95,-77,-86,-91,-93,-93,-94,-95,-94,-94,-94,-95,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462443837,-25,-46,-42,-54,-72,-48,-54,-59,-49,-58,-57,-61,-200,-67,-67,-73,-72,-77,-58,-200,-70,-82,-58,-76,-86,-84,-76,-200,-87,-69,-69,-87,-84,-86,-93,-75,-89,-85,-82,-85,-93,-87,-200,-86,-90,-79,-81,-200,-200,-91,-87,-87,-93,-93,-94,-95,-94,-200,-82,-200,-78,-87,-87,-200,-93,-95,-200,-94,-91,-200,-94,-77,-85,-88,-92,-93,-94,-95,-93,-94,-94,-95,-97,-91,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462446886,-32,-46,-39,-56,-65,-53,-51,-59,-48,-58,-58,-61,-88,-65,-65,-74,-71,-77,-56,-200,-71,-83,-53,-75,-84,-79,-76,-65,-91,-70,-68,-87,-84,-87,-91,-76,-89,-86,-80,-86,-93,-87,-200,-86,-91,-77,-81,-200,-200,-91,-88,-89,-93,-93,-94,-95,-93,-200,-82,-200,-78,-86,-87,-200,-200,-96,-96,-94,-91,-98,-95,-82,-90,-91,-92,-96,-200,-95,-93,-95,-94,-95,-96,-90,-98,-92,-95,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526462449939,-25,-46,-41,-55,-67,-47,-52,-56,-46,-58,-59,-61,-88,-64,-60,-76,-71,-77,-58,-200,-71,-83,-57,-75,-84,-84,-78,-71,-90,-69,-68,-87,-84,-88,-90,-75,-89,-88,-80,-85,-94,-88,-200,-83,-91,-77,-81,-200,-200,-88,-92,-90,-92,-97,-94,-92,-92,-200,-81,-200,-200,-88,-86,-200,-92,-96,-96,-95,-91,-92,-94,-83,-84,-89,-94,-89,-200,-95,-93,-95,-96,-97,-96,-87,-98,-92,-96,-95,-87,-200,-200,-200,-200,-200,-200,-200
1526462452989,-25,-49,-43,-52,-68,-49,-56,-59,-51,-58,-63,-60,-90,-64,-66,-76,-70,-74,-59,-200,-70,-83,-57,-75,-86,-82,-78,-72,-91,-68,-68,-200,-82,-90,-93,-75,-87,-88,-82,-85,-94,-87,-200,-83,-91,-74,-84,-200,-200,-88,-92,-91,-92,-97,-200,-92,-92,-200,-81,-200,-200,-88,-88,-200,-93,-96,-96,-95,-200,-92,-93,-83,-84,-92,-94,-89,-200,-200,-92,-96,-96,-97,-96,-87,-200,-92,-96,-95,-87,-200,-200,-200,-200,-200,-200,-200
1526462456032,-23,-48,-28,-55,-67,-48,-52,-61,-51,-59,-63,-62,-91,-68,-65,-73,-71,-74,-58,-200,-70,-200,-51,-72,-83,-82,-78,-66,-92,-69,-71,-83,-83,-90,-93,-75,-87,-83,-81,-86,-94,-87,-200,-84,-200,-80,-83,-200,-200,-88,-86,-91,-90,-93,-200,-94,-93,-200,-76,-200,-200,-86,-88,-200,-93,-94,-200,-95,-200,-92,-93,-83,-84,-89,-94,-89,-200,-200,-92,-94,-96,-97,-200,-87,-200,-200,-96,-200,-87,-93,-200,-200,-200,-200,-200,-200
1526462459084,-24,-47,-43,-54,-67,-52,-59,-55,-51,-56,-57,-61,-90,-64,-65,-74,-71,-73,-59,-200,-73,-200,-58,-72,-82,-82,-82,-73,-93,-69,-73,-83,-81,-90,-93,-77,-87,-77,-81,-86,-96,-88,-200,-85,-90,-81,-83,-200,-200,-92,-88,-91,-90,-93,-200,-93,-93,-200,-80,-200,-200,-87,-91,-200,-93,-94,-95,-95,-200,-95,-95,-200,-86,-92,-200,-89,-200,-200,-94,-94,-200,-200,-200,-91,-200,-200,-200,-200,-200,-93,-93,-94,-200,-200,-200,-200
