,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:3b:9d,74:da:da:c1:4a:c9,0c:73:eb:d0:0e:d0,0c:73:eb:d0:2a:48,74:da:da:c1:4a:7d,74:da:da:c1:4a:a5,74:da:da:c0:d7:09,0c:73:eb:d0:2a:20,0c:73:eb:d0:2a:38,74:da:da:c0:d7:ed,0c:73:eb:d0:76:40,74:da:da:c1:4a:ca,74:da:da:c1:17:75,74:da:da:c1:4a:a6,0c:73:eb:d0:2a:98,74:da:da:c1:47:cd,74:da:da:c0:d7:ee,74:da:da:c1:3b:e9,74:da:da:c1:04:4d,74:da:da:c1:61:69,74:da:da:c1:4a:7e,74:da:da:c0:d8:59,0c:73:eb:d0:11:b8,74:da:da:98:ea:4c,74:da:da:c1:02:95,74:da:da:c1:3b:4d,74:da:da:98:7a:4c,0c:73:eb:d0:2a:28,0c:73:eb:d0:2a:88,74:da:da:c1:3c:99,74:da:da:98:7a:50,0c:73:eb:d0:2a:58,0c:73:eb:d0:0e:d8,0c:73:eb:d0:19:b0,74:da:da:c0:e0:81,0c:73:eb:d0:19:a8,74:da:da:c0:d7:0a,74:da:da:98:7a:68,0c:73:eb:d0:0e:c0,74:da:da:c1:25:a1,74:da:da:98:7a:6c,74:da:da:c1:17:76,74:da:da:98:db:44,74:da:da:98:7a:60,74:da:da:c0:e0:69,74:da:da:c1:3b:9e,74:da:da:c1:14:99,0c:73:eb:d0:2a:30,74:da:da:c1:25:9d,74:da:da:c1:3d:09,74:da:da:c1:3c:f9,74:da:da:c1:3b:45,74:da:da:c1:3d:0d,74:da:da:c0:d7:81,0c:73:eb:d0:76:20,74:da:da:c1:3c:8d,0c:73:eb:d0:11:f0,0c:73:eb:d0:2a:90,0c:73:eb:d0:11:b0,74:da:da:c1:3c:6d,74:da:da:c1:25:e5,74:da:da:c0:e0:71,74:da:da:c1:25:d9,74:da:da:c1:25:69,0c:73:eb:d0:2a:18,74:da:da:c0:d7:9d,0c:73:eb:d0:0e:98,74:da:da:98:8f:64,74:da:da:c1:47:ce,74:da:da:c1:04:45,74:da:da:c1:03:61,0c:73:eb:d0:76:58,74:da:da:c0:d8:25,74:da:da:c0:de:2d,74:da:da:c0:d8:05,74:da:da:c0:d7:dd,74:da:da:c1:3d:35,74:da:da:c1:3d:05,0c:73:eb:d0:0e:b8,74:da:da:c1:3d:85,0c:73:eb:d0:0e:b0,74:da:da:c1:3c:91,74:da:da:c1:14:9a,74:da:da:c1:5e:ed,74:da:da:98:74:94,0c:73:eb:d0:11:d0,74:da:da:98:8f:30,74:da:da:c0:d7:e9,74:da:da:98:ea:50,74:da:da:98:85:00,74:da:da:c1:3b:79,0c:73:eb:d0:13:a0,74:da:da:c1:04:49,0c:73:eb:d0:7f:08,74:da:da:98:ea:64,0c:73:eb:d0:0e:a0,74:da:da:c0:d8:1d,0c:73:eb:d0:13:c0,74:da:da:c1:3b:85,0c:73:eb:d0:2a:60,74:da:da:c0:f3:59,74:da:da:c1:3c:45
1526462973106,-46,-49,-49,-52,-53,-56,-57,-59,-60,-63,-63,-65,-68,-68,-69,-69,-71,-71,-72,-74,-75,-78,-80,-80,-81,-81,-82,-82,-84,-84,-85,-85,-85,-86,-86,-87,-88,-88,-88,-88,-89,-90,-90,-91,-91,-92,-92,-92,-92,-93,-93,-93,-94,-95,-95,-95,-95,-95,-95,-95,-96,-96,-96,-97,-98,-98,-101,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462976145,-50,-52,-35,-52,-45,-77,-68,-51,-60,-50,-63,-64,-70,-78,-65,-58,-72,-86,-72,-71,-81,-67,-89,-79,-79,-79,-200,-200,-67,-85,-79,-200,-81,-200,-200,-91,-85,-200,-76,-78,-200,-90,-91,-92,-94,-89,-75,-200,-92,-200,-93,-79,-88,-87,-200,-200,-200,-93,-200,-87,-200,-200,-200,-200,-99,-200,-200,-90,-94,-94,-95,-96,-96,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462979184,-56,-40,-37,-43,-54,-67,-56,-52,-52,-50,-66,-58,-67,-80,-62,-65,-71,-75,-72,-71,-75,-66,-88,-79,-79,-77,-83,-68,-69,-86,-79,-74,-81,-81,-200,-88,-85,-91,-73,-74,-200,-90,-90,-92,-94,-89,-77,-200,-92,-200,-93,-81,-88,-87,-200,-200,-200,-93,-84,-87,-200,-200,-200,-200,-88,-93,-200,-90,-94,-94,-95,-95,-93,-98,-78,-78,-91,-93,-93,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462982239,-50,-43,-35,-44,-56,-60,-50,-50,-50,-50,-65,-59,-65,-78,-59,-62,-78,-80,-76,-71,-73,-72,-89,-79,-82,-81,-84,-67,-65,-86,-79,-73,-91,-84,-83,-84,-85,-86,-77,-74,-200,-91,-90,-91,-94,-87,-77,-200,-92,-86,-93,-77,-88,-87,-200,-200,-200,-93,-84,-83,-96,-200,-200,-200,-86,-93,-200,-89,-94,-94,-95,-95,-93,-98,-78,-78,-92,-88,-93,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462985286,-55,-34,-40,-45,-57,-67,-51,-52,-58,-49,-62,-54,-64,-79,-69,-68,-73,-81,-80,-200,-72,-73,-85,-81,-84,-82,-84,-68,-67,-88,-84,-74,-91,-84,-83,-86,-83,-86,-83,-78,-93,-89,-88,-96,-200,-86,-76,-90,-92,-86,-200,-79,-87,-86,-94,-200,-200,-200,-83,-90,-96,-200,-200,-98,-86,-93,-95,-89,-94,-200,-200,-92,-91,-200,-78,-78,-92,-88,-94,-96,-97,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462988335,-45,-36,-38,-42,-63,-71,-51,-52,-52,-49,-70,-55,-65,-80,-72,-67,-85,-77,-73,-200,-77,-70,-85,-82,-88,-78,-88,-68,-68,-90,-87,-74,-91,-84,-85,-86,-84,-91,-83,-78,-88,-85,-89,-93,-200,-86,-73,-89,-93,-86,-200,-77,-91,-87,-94,-200,-200,-200,-83,-90,-96,-200,-200,-98,-92,-200,-94,-91,-92,-200,-92,-91,-92,-94,-200,-89,-92,-88,-94,-200,-97,-93,-95,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462991386,-56,-42,-39,-47,-53,-62,-59,-49,-55,-53,-65,-62,-64,-82,-68,-63,-73,-89,-76,-200,-71,-71,-88,-82,-81,-81,-85,-65,-72,-81,-82,-70,-200,-81,-85,-93,-82,-95,-83,-77,-99,-93,-86,-93,-200,-86,-73,-90,-89,-200,-200,-81,-91,-87,-95,-200,-88,-200,-87,-85,-200,-200,-200,-98,-92,-200,-94,-88,-95,-200,-94,-91,-92,-94,-85,-89,-200,-94,-94,-200,-200,-93,-95,-97,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462994432,-62,-36,-35,-46,-50,-60,-57,-52,-54,-49,-59,-57,-62,-78,-73,-57,-71,-80,-75,-200,-71,-66,-88,-82,-78,-77,-83,-71,-70,-81,-81,-73,-200,-79,-85,-81,-84,-91,-200,-76,-94,-93,-88,-93,-200,-200,-78,-90,-95,-95,-97,-84,-88,-83,-90,-95,-88,-200,-88,-85,-200,-95,-200,-95,-94,-200,-94,-88,-95,-200,-95,-91,-88,-94,-85,-89,-200,-94,-200,-200,-200,-91,-95,-97,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462997481,-49,-39,-36,-44,-45,-61,-52,-63,-53,-53,-66,-57,-62,-81,-65,-58,-69,-77,-88,-200,-75,-62,-88,-76,-80,-77,-81,-65,-73,-87,-77,-78,-200,-87,-200,-81,-83,-93,-79,-74,-98,-91,-92,-92,-200,-80,-79,-89,-80,-94,-97,-87,-93,-79,-88,-95,-88,-200,-87,-90,-200,-95,-200,-95,-94,-200,-200,-88,-95,-200,-95,-91,-88,-200,-85,-88,-200,-94,-200,-200,-200,-92,-96,-200,-92,-94,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
