,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D02A20,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,whjx-gaofeng-1,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro
,74:da:da:c1:4a:c9,0c:73:eb:d0:0e:d0,74:da:da:c0:d7:ed,74:da:da:c1:4a:7d,74:da:da:c0:d7:09,0c:73:eb:d0:2a:48,0c:73:eb:d0:2a:20,0c:73:eb:d0:2a:38,74:da:da:c1:3b:9d,74:da:da:c1:47:cd,74:da:da:c1:4a:ca,0c:73:eb:d0:76:40,74:da:da:c0:d8:59,74:da:da:c1:4a:a5,0c:73:eb:d0:2a:98,74:da:da:c1:17:75,74:da:da:c0:d7:ee,0c:73:eb:d0:2a:88,74:da:da:c1:4a:7e,74:da:da:c0:d7:e9,74:da:da:c1:14:99,0c:73:eb:d0:2a:58,74:da:da:c1:61:69,0c:73:eb:d0:19:b0,0c:73:eb:d0:0e:c0,74:da:da:c0:e0:81,74:da:da:c1:4a:a6,74:da:da:98:ea:4c,0c:73:eb:d0:2a:28,74:da:da:98:7a:50,74:da:da:c1:25:a1,0c:73:eb:d0:19:a8,74:da:da:c1:3b:e9,74:da:da:c1:04:4d,74:da:da:c0:d7:0a,0c:73:eb:d0:11:b8,74:da:da:c1:3b:4d,0c:73:eb:d0:13:c0,74:da:da:c0:d7:81,74:da:da:98:7a:4c,74:da:da:c1:02:95,74:da:da:c1:3b:45,0c:73:eb:d0:2a:60,0c:73:eb:d0:11:b0,74:da:da:98:ea:64,74:da:da:c1:04:49,0c:73:eb:d0:76:20,74:da:da:c0:d8:25,74:da:da:c1:17:76,74:da:da:c1:3d:0d,74:da:da:c0:e0:71,74:da:da:c1:25:9d,0c:73:eb:d0:2a:30,0c:73:eb:d0:2a:18,74:da:da:c0:d7:dd,74:da:da:c1:25:69,74:da:da:c1:3d:35,74:da:da:98:8f:64,0c:73:eb:d0:76:58,74:da:da:c1:3c:99,74:da:da:c1:3c:6d,74:da:da:98:7a:6c,74:da:da:c1:47:ce,74:da:da:98:db:44,74:da:da:c0:d7:9d,0c:73:eb:d0:2a:10,74:da:da:98:7a:68,74:da:da:c1:3d:09,74:da:da:c1:03:61,74:da:da:c1:3c:f9,74:da:da:c1:3c:8d,0c:73:eb:d0:11:f0,74:da:da:c0:de:2d,74:da:da:c1:14:9a,0c:73:eb:d0:13:a0,0c:73:eb:d0:11:d0,58:6a:b1:bf:26:b0,74:da:da:c1:3c:45,74:da:da:98:7a:60,74:da:da:c1:3b:85,0c:73:eb:d0:0e:d8,0c:73:eb:d0:0e:b8,74:da:da:c1:3c:91,74:da:da:98:8f:30,74:da:da:98:74:94,74:da:da:c1:04:45,74:da:da:c0:e0:69,74:da:da:c1:3b:9e,74:da:da:c1:3c:d1,0c:73:eb:d0:7e:f0,74:da:da:c1:25:e5,0c:73:eb:d0:11:e8,74:da:da:c1:3d:85,74:da:da:c0:d8:05,0c:73:eb:d0:0e:98,74:da:da:c1:3c:e1
1526463045041,-38,-39,-47,-47,-49,-49,-50,-51,-53,-56,-58,-59,-64,-66,-67,-67,-70,-71,-71,-74,-75,-75,-75,-76,-76,-76,-78,-78,-78,-79,-79,-79,-80,-80,-83,-83,-83,-83,-84,-84,-85,-86,-86,-87,-88,-89,-90,-90,-91,-91,-91,-92,-92,-92,-92,-93,-93,-93,-93,-94,-94,-94,-94,-94,-94,-94,-94,-94,-95,-95,-95,-95,-95,-96,-96,-97,-97,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463048078,-41,-48,-61,-53,-62,-56,-49,-57,-49,-59,-58,-58,-73,-56,-62,-67,-76,-73,-77,-200,-76,-83,-74,-91,-83,-200,-79,-200,-83,-77,-92,-200,-80,-74,-89,-80,-83,-200,-91,-86,-82,-79,-93,-90,-200,-200,-200,-200,-200,-95,-200,-200,-94,-92,-200,-200,-200,-200,-200,-91,-93,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200,-76,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463051108,-40,-47,-61,-49,-63,-53,-55,-56,-50,-64,-58,-57,-73,-57,-72,-68,-76,-72,-77,-200,-76,-78,-72,-91,-83,-200,-80,-82,-83,-78,-92,-200,-83,-70,-88,-80,-83,-200,-91,-91,-84,-81,-94,-94,-200,-200,-90,-95,-200,-95,-200,-89,-94,-92,-200,-200,-200,-200,-200,-91,-94,-92,-200,-200,-200,-200,-88,-96,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200,-76,-97,-82,-91,-92,-94,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463054153,-45,-45,-59,-49,-62,-53,-54,-59,-50,-58,-63,-65,-70,-59,-77,-64,-74,-79,-77,-200,-85,-86,-72,-88,-83,-200,-80,-82,-84,-80,-87,-90,-79,-75,-91,-82,-86,-200,-87,-91,-81,-84,-94,-94,-200,-200,-90,-95,-200,-95,-200,-91,-94,-92,-200,-200,-200,-92,-95,-91,-94,-89,-200,-97,-200,-200,-88,-96,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200,-79,-97,-82,-91,-93,-94,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463057197,-42,-48,-81,-52,-60,-57,-50,-56,-49,-62,-56,-59,-70,-63,-77,-66,-80,-79,-77,-200,-85,-80,-72,-87,-85,-200,-78,-82,-79,-73,-87,-91,-81,-71,-90,-89,-83,-200,-85,-91,-82,-81,-92,-94,-200,-200,-93,-95,-200,-200,-200,-91,-96,-92,-200,-200,-200,-93,-95,-200,-89,-92,-200,-91,-200,-200,-88,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-93,-79,-91,-93,-94,-94,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463060219,-34,-46,-61,-56,-60,-52,-47,-60,-51,-62,-62,-55,-70,-58,-72,-68,-81,-76,-81,-81,-77,-87,-200,-81,-81,-200,-84,-78,-80,-82,-87,-91,-75,-81,-90,-89,-79,-86,-85,-91,-82,-88,-92,-93,-200,-93,-96,-95,-94,-200,-200,-91,-91,-200,-90,-200,-200,-92,-95,-200,-90,-92,-200,-95,-200,-200,-77,-95,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-80,-93,-79,-200,-95,-200,-98,-96,-97,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526463063263,-32,-48,-60,-59,-61,-48,-49,-75,-52,-69,-65,-57,-83,-60,-72,-74,-77,-73,-76,-90,-78,-81,-72,-84,-83,-86,-83,-76,-85,-75,-91,-85,-69,-78,-93,-81,-79,-86,-91,-90,-89,-85,-94,-91,-200,-93,-96,-200,-91,-200,-200,-94,-91,-93,-94,-200,-200,-93,-200,-200,-90,-200,-200,-92,-200,-200,-87,-95,-200,-96,-97,-97,-200,-200,-200,-97,-200,-200,-91,-200,-200,-200,-94,-200,-98,-95,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526463066311,-26,-48,-59,-57,-60,-50,-49,-75,-50,-68,-66,-56,-83,-59,-74,-74,-76,-79,-77,-90,-78,-81,-72,-84,-79,-86,-83,-76,-83,-78,-91,-85,-72,-77,-94,-85,-80,-86,-89,-88,-87,-85,-92,-93,-200,-93,-92,-200,-93,-200,-94,-94,-92,-92,-94,-200,-200,-92,-200,-200,-90,-200,-200,-93,-200,-200,-87,-95,-200,-96,-94,-97,-200,-200,-200,-98,-200,-200,-92,-200,-200,-200,-94,-200,-98,-95,-200,-90,-95,-200,-200,-200,-200,-200,-200,-200
1526463069360,-25,-55,-60,-57,-60,-55,-51,-72,-51,-69,-65,-55,-83,-59,-72,-74,-78,-79,-81,-90,-77,-80,-69,-85,-81,-86,-82,-76,-81,-78,-90,-85,-74,-82,-94,-86,-80,-200,-89,-90,-88,-83,-95,-93,-200,-94,-92,-200,-92,-200,-94,-93,-91,-92,-93,-200,-200,-87,-200,-200,-200,-200,-200,-90,-200,-200,-84,-200,-200,-96,-94,-97,-200,-200,-200,-98,-200,-200,-89,-200,-200,-200,-91,-200,-200,-95,-200,-89,-94,-92,-200,-200,-200,-200,-200,-200
