,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:F7,78:A5:04:41:EB:D9,78:A5:04:41:EB:CA,78:A5:04:41:E9:E7,78:A5:04:41:E5:75,78:A5:04:41:E7:9C,78:A5:04:41:EB:FC,78:A5:04:41:EB:93,78:A5:04:41:E9:DF,78:A5:04:41:EB:B1,78:A5:04:41:E7:A3,78:A5:04:41:EB:EC,78:A5:04:41:E5:67,78:A5:04:41:EB:EA,78:A5:04:41:EE:01
1526443507605,-87,-96,-91,-96,-77,-74,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526443507755,-93,-96,-92,-93,-75,-74,-75,-94,-200,-200,-200,-200,-200,-200,-200
1526443507857,-85,-200,-91,-94,-200,-73,-76,-91,-200,-200,-200,-200,-200,-200,-200
1526443507960,-200,-200,-96,-200,-76,-74,-76,-92,-200,-200,-200,-200,-200,-200,-200
1526443512497,-79,-200,-91,-200,-73,-78,-75,-200,-83,-200,-200,-200,-200,-200,-200
1526443512615,-200,-200,-200,-200,-71,-78,-200,-200,-84,-200,-200,-200,-200,-200,-200
1526443512700,-79,-200,-200,-200,-72,-78,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526443512805,-200,-200,-200,-200,-71,-79,-75,-200,-84,-200,-200,-200,-200,-200,-200
1526443512923,-80,-200,-91,-200,-72,-79,-75,-200,-84,-200,-200,-200,-200,-200,-200
1526443513039,-79,-200,-200,-91,-200,-200,-75,-90,-87,-96,-200,-200,-200,-200,-200
1526443517569,-77,-200,-81,-90,-200,-200,-73,-200,-200,-95,-94,-200,-200,-200,-200
1526443517662,-77,-200,-200,-200,-200,-68,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526443517772,-78,-200,-80,-200,-70,-200,-74,-200,-200,-200,-200,-93,-99,-200,-200
1526443517881,-77,-200,-79,-91,-72,-68,-73,-200,-200,-200,-200,-200,-200,-100,-200
1526443517997,-77,-200,-200,-91,-72,-68,-73,-200,-86,-200,-200,-200,-200,-200,-97
1526443522505,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443522624,-87,-200,-92,-200,-79,-74,-78,-200,-93,-200,-200,-200,-200,-200,-200
1526443522716,-200,-100,-92,-101,-78,-73,-78,-96,-92,-200,-200,-200,-200,-200,-200
1526443522898,-86,-200,-200,-99,-79,-74,-77,-95,-93,-200,-200,-200,-200,-200,-200
1526443523004,-86,-200,-93,-200,-78,-74,-77,-93,-91,-200,-200,-200,-200,-200,-200
1526443527561,-79,-200,-200,-200,-71,-74,-200,-200,-81,-200,-200,-93,-200,-200,-200
1526443527660,-79,-200,-200,-200,-73,-75,-77,-200,-80,-200,-200,-93,-200,-200,-200
1526443527760,-78,-200,-200,-200,-72,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526443527868,-79,-200,-200,-200,-73,-74,-77,-200,-80,-200,-200,-94,-200,-200,-200
1526443532486,-79,-200,-85,-89,-73,-68,-73,-200,-83,-200,-200,-94,-200,-200,-200
1526443532634,-78,-200,-200,-200,-71,-68,-200,-200,-83,-200,-200,-200,-200,-200,-200
1526443532719,-79,-90,-200,-200,-72,-200,-74,-200,-200,-200,-95,-200,-200,-200,-200
