,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:BF,78:A5:04:41:E9:E8,78:A5:04:41:EB:D9,78:A5:04:41:EB:E1,78:A5:04:41:EB:F6,78:A5:04:41:E5:67,78:A5:04:41:EB:B2,78:A5:04:41:EB:E4,78:A5:04:41:EB:EA,78:A5:04:41:EB:AB,78:A5:04:41:EB:B1
1526449022241,-79,-89,-96,-87,-82,-93,-200,-200,-200,-200,-200
1526449022348,-79,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200
1526449022456,-79,-88,-95,-84,-81,-89,-90,-200,-200,-200,-200
1526449022601,-80,-90,-200,-200,-81,-89,-88,-94,-200,-200,-200
1526449022729,-200,-200,-200,-82,-82,-200,-200,-94,-200,-200,-200
1526449027141,-78,-200,-200,-200,-87,-200,-200,-95,-200,-200,-200
1526449027277,-78,-200,-200,-86,-86,-200,-200,-200,-200,-200,-200
1526449027375,-78,-200,-200,-200,-89,-200,-88,-200,-96,-200,-200
1526449027478,-77,-200,-200,-81,-90,-200,-200,-200,-200,-200,-200
1526449027587,-77,-89,-200,-78,-200,-77,-200,-200,-200,-200,-200
1526449027691,-77,-200,-200,-87,-85,-200,-92,-200,-100,-200,-200
1526449032292,-82,-200,-200,-86,-85,-85,-94,-200,-200,-200,-200
1526449032403,-81,-200,-200,-88,-83,-85,-98,-200,-99,-200,-200
1526449032511,-200,-200,-200,-89,-83,-200,-95,-200,-200,-200,-200
1526449032612,-84,-89,-200,-92,-82,-200,-200,-200,-200,-200,-200
1526449037244,-82,-90,-200,-200,-200,-200,-95,-200,-200,-200,-200
1526449037349,-81,-92,-200,-200,-200,-91,-200,-200,-200,-200,-200
1526449037458,-200,-92,-200,-83,-80,-200,-200,-200,-200,-200,-200
1526449037560,-200,-93,-200,-82,-78,-200,-200,-200,-200,-200,-200
1526449037661,-79,-89,-200,-81,-79,-200,-82,-200,-200,-200,-200
1526449042200,-200,-200,-94,-82,-81,-77,-81,-200,-200,-200,-200
1526449042320,-200,-200,-200,-200,-200,-78,-82,-200,-200,-94,-200
1526449042421,-200,-200,-93,-81,-200,-78,-200,-200,-200,-200,-96
1526449042600,-200,-200,-200,-81,-200,-200,-83,-200,-200,-200,-200
1526449047150,-84,-200,-200,-86,-200,-86,-89,-200,-200,-200,-200
1526449047357,-200,-200,-200,-85,-81,-200,-89,-200,-200,-200,-200
1526449047459,-200,-200,-200,-84,-81,-85,-89,-200,-97,-200,-200
1526449047560,-200,-200,-200,-84,-82,-200,-89,-200,-99,-200,-200
1526449047662,-200,-200,-200,-85,-200,-86,-200,-200,-96,-200,-200
1526449052156,-80,-93,-200,-84,-80,-93,-93,-200,-200,-200,-200
1526449052247,-80,-200,-200,-83,-81,-200,-91,-200,-200,-200,-200
1526449052354,-81,-200,-200,-81,-82,-200,-91,-200,-200,-200,-200
1526449052459,-80,-200,-200,-83,-82,-200,-91,-200,-200,-200,-200
1526449052576,-82,-91,-200,-82,-81,-200,-200,-200,-200,-200,-200
1526449052699,-79,-90,-94,-83,-200,-76,-82,-200,-200,-200,-200
1526449057345,-80,-200,-92,-200,-200,-76,-82,-200,-200,-200,-200
1526449057601,-79,-200,-92,-83,-85,-200,-200,-200,-200,-200,-200
1526449062147,-79,-200,-200,-88,-83,-85,-97,-200,-200,-200,-200
1526449062245,-80,-200,-200,-88,-84,-85,-200,-200,-98,-200,-200
1526449062408,-82,-200,-200,-87,-84,-85,-200,-200,-200,-200,-200
1526449062545,-82,-200,-200,-88,-85,-86,-97,-200,-97,-200,-200
1526449062646,-83,-92,-200,-89,-83,-86,-200,-200,-200,-200,-200
1526449067408,-89,-90,-200,-200,-83,-200,-200,-200,-200,-200,-200
1526449067508,-88,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200
1526449067617,-87,-200,-200,-83,-86,-200,-200,-200,-200,-200,-200
1526449072132,-80,-200,-200,-83,-84,-77,-200,-200,-200,-200,-200
1526449072263,-80,-94,-200,-200,-82,-200,-200,-200,-200,-200,-200
1526449072344,-80,-200,-200,-82,-200,-76,-85,-95,-200,-200,-200
1526449072560,-81,-200,-200,-82,-82,-84,-84,-200,-200,-200,-95
1526449077178,-80,-200,-200,-85,-82,-83,-200,-200,-200,-200,-200
1526449077283,-200,-200,-200,-87,-81,-200,-92,-200,-200,-200,-200
1526449077377,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526449077476,-81,-200,-200,-88,-80,-200,-89,-200,-200,-200,-200
1526449077580,-82,-200,-200,-88,-82,-83,-88,-200,-200,-200,-200
1526449077680,-82,-90,-200,-90,-200,-200,-87,-200,-200,-200,-200
1526449082181,-79,-200,-200,-81,-81,-200,-200,-200,-200,-200,-200
1526449082286,-81,-89,-200,-81,-80,-200,-200,-200,-200,-200,-200
1526449082390,-200,-91,-200,-81,-200,-200,-200,-93,-200,-200,-200
1526449082492,-200,-200,-200,-84,-80,-200,-200,-200,-200,-200,-200
1526449082600,-84,-200,-200,-85,-81,-200,-200,-200,-200,-200,-200
1526449082710,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200
