,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,0119.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011d.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:FB,78:A5:04:41:EB:B2,7C:66:9D:7B:2E:21,78:A5:04:41:EB:EA,78:A5:04:41:EB:D8,78:A5:04:41:EB:AB,78:A5:04:41:E5:3E,78:A5:04:41:E5:59,78:A5:04:41:EB:AA,78:A5:04:41:EB:DF,78:A5:04:41:EB:D1,7C:66:9D:7B:47:FC,78:A5:04:41:E9:A7,7C:66:9D:7B:2D:79,78:A5:04:41:E9:C8,78:A5:04:41:EB:B5,F4:B8:5E:AA:7A:3E,78:A5:04:41:E9:E0,78:A5:04:41:E7:A7,78:A5:04:41:E9:F2,78:A5:04:41:EB:D4,78:A5:04:41:EE:08,78:A5:04:41:E9:BB,78:A5:04:41:EB:FE,78:A5:04:41:E9:CB,78:A5:04:41:EB:E4,78:A5:04:41:EE:0A,78:A5:04:41:EB:94,78:A5:04:41:E9:F3,78:A5:04:41:EB:F6,78:A5:04:41:EB:E8,78:A5:04:41:E9:BE
1526463182411,-74,-92,-92,-92,-86,-89,-94,-91,-75,-80,-91,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463182501,-74,-92,-92,-93,-200,-200,-200,-92,-200,-200,-200,-200,-74,-99,-84,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463182603,-74,-91,-93,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-84,-89,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463182715,-74,-200,-92,-93,-200,-89,-200,-91,-200,-200,-200,-86,-75,-200,-200,-200,-200,-91,-95,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463182839,-74,-200,-94,-92,-200,-200,-200,-200,-75,-200,-200,-85,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463187296,-200,-200,-95,-95,-200,-82,-200,-200,-200,-72,-200,-85,-67,-200,-200,-200,-200,-200,-200,-92,-92,-97,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463187383,-68,-88,-94,-200,-200,-84,-200,-200,-200,-72,-200,-200,-200,-200,-200,-93,-200,-200,-200,-93,-200,-200,-200,-96,-85,-91,-200,-200,-200,-200,-200,-200
1526463187493,-69,-88,-97,-200,-200,-200,-200,-200,-71,-73,-200,-200,-67,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526463187595,-68,-200,-94,-200,-86,-84,-200,-200,-72,-73,-200,-200,-67,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463187720,-68,-200,-200,-200,-200,-84,-200,-200,-72,-76,-200,-200,-67,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-85,-200,-200,-97,-200,-200,-200,-200
1526463187822,-68,-200,-97,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-92,-200,-200,-200,-200,-200,-200
1526463192286,-74,-200,-97,-200,-200,-91,-200,-200,-83,-87,-200,-200,-69,-200,-200,-88,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200
1526463192384,-74,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-70,-200,-200,-200,-97,-200,-200,-200,-200,-200,-97,-200,-92,-200,-92,-200,-94,-200,-200,-200
1526463192493,-74,-200,-95,-200,-87,-89,-200,-200,-84,-87,-200,-200,-70,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-93,-200,-200,-200
1526463192604,-74,-200,-95,-200,-88,-200,-94,-200,-85,-200,-200,-88,-200,-200,-200,-88,-200,-99,-200,-200,-200,-200,-200,-200,-93,-200,-92,-200,-94,-200,-200,-200
1526463192707,-75,-200,-95,-200,-87,-91,-200,-200,-84,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200
1526463192851,-74,-200,-96,-200,-200,-90,-95,-200,-84,-200,-200,-88,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526463197294,-200,-200,-200,-200,-84,-200,-92,-200,-75,-200,-93,-200,-74,-200,-86,-90,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526463197409,-200,-200,-200,-200,-200,-200,-93,-90,-200,-80,-91,-200,-75,-200,-85,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463197508,-200,-91,-200,-93,-200,-200,-200,-92,-73,-80,-200,-86,-75,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526463197636,-75,-200,-200,-95,-200,-200,-92,-200,-200,-80,-90,-200,-76,-200,-85,-200,-200,-91,-200,-94,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526463197702,-74,-200,-200,-200,-200,-89,-200,-200,-75,-80,-200,-85,-76,-200,-85,-89,-200,-91,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526463197827,-200,-200,-94,-92,-85,-200,-200,-93,-200,-80,-200,-200,-200,-200,-200,-87,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463197928,-200,-200,-96,-200,-200,-84,-200,-200,-200,-200,-200,-84,-200,-200,-77,-200,-200,-92,-200,-91,-93,-200,-94,-200,-200,-200,-200,-200,-200,-98,-200,-200
1526463202391,-68,-89,-95,-200,-200,-200,-200,-93,-71,-72,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526463202520,-200,-200,-200,-200,-200,-200,-200,-200,-71,-72,-200,-85,-67,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463202632,-68,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-67,-97,-200,-200,-200,-200,-200,-200,-93,-200,-200,-93,-86,-200,-200,-96,-200,-200,-200,-200
1526463202749,-68,-200,-200,-200,-200,-84,-200,-200,-73,-72,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463202840,-66,-200,-94,-200,-200,-200,-200,-200,-71,-200,-200,-200,-68,-200,-200,-93,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526463207288,-200,-200,-200,-200,-89,-200,-200,-200,-84,-87,-200,-88,-70,-200,-200,-89,-98,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200
1526463207382,-73,-200,-200,-200,-87,-200,-96,-200,-83,-200,-200,-89,-70,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526463207486,-200,-200,-200,-200,-200,-89,-200,-200,-83,-87,-200,-87,-70,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463207588,-75,-200,-97,-200,-87,-90,-93,-200,-200,-200,-200,-88,-70,-200,-200,-88,-200,-200,-200,-94,-200,-200,-200,-200,-93,-200,-200,-200,-95,-200,-200,-200
1526463207693,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-89,-70,-200,-200,-89,-100,-200,-200,-95,-200,-200,-200,-200,-92,-200,-93,-200,-95,-200,-200,-200
1526463207817,-75,-99,-200,-200,-88,-90,-200,-200,-200,-87,-200,-88,-70,-200,-200,-89,-200,-200,-200,-95,-200,-200,-200,-200,-92,-95,-200,-200,-96,-200,-200,-200
1526463207934,-200,-90,-96,-200,-87,-200,-200,-200,-200,-88,-200,-88,-74,-200,-200,-89,-200,-98,-200,-93,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200
1526463212306,-76,-92,-200,-200,-200,-200,-94,-92,-200,-200,-200,-87,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463212400,-200,-91,-200,-200,-84,-89,-200,-200,-75,-200,-93,-87,-200,-200,-85,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463212498,-74,-92,-200,-200,-84,-200,-91,-200,-75,-200,-200,-86,-75,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463212604,-200,-92,-95,-200,-200,-89,-200,-200,-76,-200,-200,-86,-75,-200,-200,-88,-200,-92,-200,-200,-200,-200,-200,-200,-90,-200,-92,-200,-200,-200,-200,-200
1526463212747,-200,-92,-200,-200,-200,-200,-200,-200,-75,-80,-200,-86,-200,-200,-85,-200,-200,-92,-200,-92,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526463212860,-74,-95,-200,-92,-85,-200,-200,-92,-75,-80,-200,-200,-200,-200,-86,-90,-200,-93,-200,-200,-200,-200,-200,-200,-92,-200,-92,-200,-200,-200,-200,-200
1526463212969,-200,-200,-200,-200,-86,-200,-200,-200,-72,-72,-200,-85,-67,-97,-200,-200,-200,-91,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463217409,-200,-89,-200,-200,-200,-84,-200,-200,-200,-73,-200,-200,-66,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-97,-200
1526463217513,-68,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-86,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200
1526463217616,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463217716,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463217844,-68,-200,-200,-200,-87,-200,-200,-200,-200,-86,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-92,-200,-200,-200,-97,-200,-200
1526463222320,-74,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-69,-200,-200,-89,-99,-200,-200,-200,-200,-200,-95,-200,-200,-200,-93,-200,-93,-200,-200,-200
1526463222413,-74,-200,-97,-200,-88,-200,-95,-200,-83,-200,-200,-89,-69,-200,-200,-90,-200,-98,-200,-95,-200,-200,-200,-200,-200,-98,-200,-200,-94,-200,-200,-200
1526463222582,-74,-200,-200,-200,-87,-91,-95,-200,-83,-200,-200,-88,-70,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200
1526463222700,-200,-200,-95,-200,-200,-200,-95,-200,-83,-200,-200,-88,-70,-200,-200,-200,-98,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-94,-200,-200,-200
1526463222794,-200,-200,-200,-200,-87,-200,-200,-200,-84,-200,-200,-88,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-93,-200,-95,-200,-200,-200
1526463222897,-200,-200,-200,-200,-87,-90,-200,-200,-83,-87,-200,-90,-70,-200,-85,-200,-200,-98,-200,-93,-200,-200,-200,-200,-200,-97,-92,-200,-94,-200,-200,-200
1526463227338,-74,-200,-200,-92,-87,-88,-94,-200,-75,-80,-90,-85,-75,-200,-85,-90,-200,-91,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463227446,-74,-200,-200,-200,-84,-90,-90,-91,-76,-200,-200,-86,-74,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-91,-200,-200,-200,-200,-200
1526463227561,-200,-200,-200,-200,-85,-200,-200,-200,-73,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526463227674,-73,-200,-200,-92,-84,-200,-200,-93,-200,-80,-93,-85,-200,-200,-85,-200,-200,-91,-93,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526463227796,-74,-200,-200,-200,-200,-200,-200,-93,-75,-200,-91,-200,-75,-200,-86,-200,-200,-92,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526463227901,-200,-200,-200,-200,-200,-200,-200,-92,-71,-200,-91,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
