,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:E4,78:A5:04:41:E9:F3,78:A5:04:41:EB:AB,78:A5:04:41:EB:D4,78:A5:04:41:E7:A7,78:A5:04:41:EE:0A,78:A5:04:41:EB:F6,78:A5:04:41:EB:B2,78:A5:04:41:E9:FB,78:A5:04:41:EB:BF,78:A5:04:41:E9:F2,78:A5:04:41:E9:C8,78:A5:04:41:EB:E1,78:A5:04:41:EB:B5,78:A5:04:41:E9:A7,78:A5:04:41:E9:8E,78:A5:04:41:EB:AA,78:A5:04:41:E5:59,78:A5:04:41:EB:FE,78:A5:04:41:EB:DF,78:A5:04:41:E9:E3,7C:66:9D:7B:47:FC,78:A5:04:41:EB:EA,78:A5:04:41:EB:D8,78:A5:04:41:E9:A0,78:A5:04:41:E7:FE,78:A5:04:41:EB:AC,78:A5:04:41:EE:08
1526452022524,-72,-87,-66,-74,-71,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452022625,-70,-86,-65,-200,-68,-70,-76,-68,-89,-88,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452022733,-70,-200,-64,-200,-71,-69,-75,-68,-87,-200,-86,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452022835,-71,-200,-65,-200,-200,-200,-76,-68,-87,-200,-89,-200,-89,-73,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452022942,-71,-88,-200,-200,-71,-71,-200,-200,-86,-200,-200,-200,-200,-74,-83,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452023054,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452027393,-69,-200,-65,-73,-68,-200,-200,-70,-86,-200,-200,-200,-200,-72,-200,-200,-91,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452027497,-200,-200,-68,-73,-68,-200,-200,-69,-86,-200,-200,-200,-85,-72,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452027589,-200,-85,-200,-73,-200,-200,-200,-200,-88,-200,-80,-200,-85,-72,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452027699,-67,-200,-68,-200,-200,-200,-86,-200,-87,-88,-200,-200,-200,-71,-200,-200,-200,-200,-97,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526452027808,-68,-85,-68,-73,-68,-200,-200,-70,-86,-200,-83,-200,-200,-71,-200,-200,-91,-200,-95,-91,-93,-98,-200,-200,-200,-200,-200,-200
1526452027985,-76,-200,-68,-200,-68,-200,-200,-70,-86,-92,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452032417,-200,-200,-74,-78,-72,-200,-200,-200,-94,-200,-200,-85,-93,-200,-200,-200,-90,-97,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526452032515,-200,-200,-72,-77,-72,-200,-200,-84,-200,-200,-93,-86,-200,-85,-88,-93,-90,-200,-200,-91,-200,-99,-200,-200,-200,-200,-200,-200
1526452032645,-200,-200,-73,-200,-200,-84,-200,-200,-95,-200,-93,-85,-200,-200,-200,-200,-91,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526452032756,-76,-200,-200,-200,-200,-200,-200,-200,-94,-200,-94,-200,-96,-84,-90,-93,-91,-96,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526452032862,-76,-97,-200,-200,-74,-200,-200,-200,-200,-95,-200,-85,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200
1526452032962,-75,-200,-200,-200,-75,-200,-200,-88,-96,-96,-200,-86,-200,-200,-89,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452033073,-71,-87,-200,-72,-200,-200,-200,-69,-94,-200,-91,-85,-91,-74,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452037472,-70,-86,-65,-71,-71,-72,-77,-70,-87,-200,-200,-200,-87,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452037655,-200,-200,-68,-200,-70,-73,-78,-200,-86,-200,-200,-200,-89,-74,-84,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452037772,-71,-200,-66,-200,-70,-200,-200,-69,-87,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452037880,-200,-200,-65,-72,-68,-200,-200,-68,-89,-88,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452037988,-69,-200,-200,-200,-69,-200,-200,-200,-85,-200,-90,-85,-88,-200,-200,-200,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452042542,-200,-200,-67,-200,-200,-200,-84,-72,-200,-200,-84,-200,-83,-71,-89,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200
1526452042654,-66,-85,-200,-200,-67,-200,-85,-71,-200,-200,-200,-200,-200,-72,-200,-200,-90,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526452042796,-68,-200,-200,-200,-68,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452042902,-200,-85,-200,-200,-68,-200,-200,-200,-200,-200,-83,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200
1526452047400,-200,-200,-74,-200,-73,-200,-200,-200,-200,-200,-91,-200,-93,-83,-89,-200,-90,-200,-200,-200,-200,-100,-200,-200,-200,-200,-200,-200
1526452047514,-75,-200,-200,-78,-72,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-92,-91,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200
1526452047628,-200,-200,-76,-200,-73,-87,-200,-91,-200,-96,-95,-85,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452047718,-77,-200,-200,-79,-73,-87,-200,-200,-95,-200,-200,-200,-95,-200,-89,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200
1526452047828,-200,-200,-74,-80,-200,-200,-200,-86,-97,-96,-200,-200,-200,-85,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-99,-200,-200,-200
1526452047942,-76,-200,-73,-79,-200,-87,-200,-82,-200,-200,-90,-200,-200,-85,-90,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452052452,-200,-200,-66,-200,-70,-72,-200,-69,-200,-200,-200,-87,-200,-74,-83,-200,-91,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200
1526452052571,-200,-85,-93,-72,-200,-71,-200,-200,-200,-200,-200,-89,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452052649,-200,-200,-66,-200,-69,-200,-200,-200,-200,-200,-200,-86,-200,-74,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452052753,-70,-200,-200,-72,-69,-200,-200,-69,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452052865,-69,-87,-66,-72,-200,-72,-200,-200,-86,-200,-200,-200,-89,-73,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452052966,-200,-86,-66,-72,-70,-200,-79,-70,-200,-200,-200,-87,-88,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452057419,-200,-200,-200,-73,-200,-200,-200,-70,-200,-200,-200,-85,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452057507,-69,-84,-68,-73,-67,-79,-200,-69,-200,-200,-87,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200
1526452057684,-72,-86,-68,-73,-200,-78,-76,-200,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-99,-200,-200,-200,-200,-200,-200
1526452057793,-69,-200,-67,-73,-200,-76,-76,-200,-88,-90,-200,-86,-200,-71,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452057915,-200,-85,-200,-74,-68,-83,-79,-67,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200
1526452058031,-76,-85,-200,-200,-68,-81,-200,-69,-94,-92,-200,-86,-95,-84,-200,-86,-87,-94,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526452062449,-75,-200,-75,-83,-73,-200,-200,-200,-200,-200,-200,-86,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452062538,-200,-200,-74,-200,-72,-87,-200,-200,-200,-93,-94,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452062676,-74,-200,-75,-77,-200,-88,-200,-90,-200,-93,-91,-200,-200,-84,-90,-93,-200,-92,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200
1526452062807,-74,-200,-76,-200,-73,-85,-200,-87,-200,-93,-200,-200,-200,-200,-90,-200,-91,-93,-200,-91,-200,-200,-96,-97,-200,-200,-200,-200
1526452062920,-200,-200,-73,-200,-200,-200,-200,-200,-200,-92,-200,-85,-200,-82,-91,-200,-91,-92,-200,-200,-200,-200,-94,-100,-200,-200,-200,-200
1526452063039,-200,-84,-65,-200,-200,-200,-200,-93,-200,-94,-200,-200,-200,-82,-85,-200,-90,-92,-200,-200,-200,-200,-200,-98,-200,-200,-200,-200
1526452067437,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-86,-76,-200,-95,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452067575,-71,-85,-200,-200,-70,-200,-78,-200,-200,-87,-200,-200,-86,-200,-85,-200,-92,-200,-200,-200,-200,-200,-95,-200,-200,-200,-93,-200
1526452067678,-71,-85,-65,-72,-200,-71,-77,-68,-200,-200,-200,-85,-87,-74,-84,-200,-200,-92,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200
1526452067796,-70,-86,-65,-71,-200,-72,-200,-69,-200,-200,-89,-200,-87,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452067909,-71,-200,-65,-72,-200,-200,-78,-200,-200,-87,-200,-200,-86,-200,-84,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452068028,-200,-85,-65,-72,-70,-75,-200,-200,-86,-88,-83,-87,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200
1526452072458,-69,-200,-70,-70,-200,-75,-83,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526452072545,-68,-84,-70,-71,-68,-200,-83,-74,-86,-200,-200,-200,-200,-73,-200,-200,-200,-87,-200,-89,-200,-200,-200,-200,-200,-91,-200,-200
1526452072662,-68,-200,-200,-72,-200,-75,-200,-74,-86,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-90,-200,-200,-200,-200,-200
1526452072778,-68,-84,-70,-71,-200,-200,-200,-75,-200,-200,-85,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200
1526452072877,-69,-200,-69,-72,-200,-75,-200,-200,-87,-200,-200,-200,-200,-200,-200,-87,-200,-200,-98,-200,-200,-200,-90,-200,-200,-200,-200,-200
1526452072999,-200,-200,-71,-72,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-89,-87,-200,-200,-200,-89,-200,-200,-200,-200,-92,-200,-200,-200
1526452073080,-200,-200,-77,-200,-200,-81,-200,-88,-94,-200,-90,-86,-200,-200,-200,-87,-90,-200,-200,-200,-200,-104,-95,-200,-200,-200,-200,-200
1526452077494,-79,-200,-200,-82,-200,-84,-200,-89,-200,-200,-200,-86,-95,-200,-89,-91,-200,-200,-200,-91,-200,-200,-96,-200,-200,-200,-200,-200
1526452077609,-78,-200,-74,-79,-72,-200,-200,-200,-200,-200,-91,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452077730,-76,-200,-74,-79,-73,-86,-200,-200,-200,-96,-200,-86,-200,-87,-89,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526452077821,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-92,-200,-200,-90,-200,-200,-95,-200,-200,-200,-200,-200
1526452077932,-200,-96,-200,-200,-73,-200,-200,-92,-200,-93,-90,-200,-96,-200,-88,-200,-87,-91,-200,-90,-200,-98,-200,-200,-200,-200,-200,-200
1526452078080,-70,-200,-66,-72,-200,-200,-200,-91,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200
1526452082414,-200,-85,-66,-72,-200,-200,-78,-69,-85,-88,-91,-85,-87,-75,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452082517,-200,-87,-200,-72,-69,-72,-79,-200,-85,-87,-200,-85,-88,-75,-84,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452082664,-70,-85,-66,-72,-69,-73,-200,-69,-87,-87,-200,-86,-200,-75,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-94
1526452082775,-200,-86,-200,-72,-69,-72,-200,-68,-85,-200,-200,-200,-87,-75,-84,-200,-91,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95
1526452082899,-200,-200,-66,-72,-69,-200,-200,-68,-200,-200,-200,-89,-87,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452083028,-70,-200,-66,-200,-200,-73,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
