,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0115.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0121.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011e.0012-vlucci.com A1.4.0.1,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E5:56,78:A5:04:41:E7:98,78:A5:04:41:EB:C9,78:A5:04:41:EB:B7,78:A5:04:41:E9:E0,78:A5:04:41:E5:77,7C:66:9D:7B:2B:E4,78:A5:04:41:EB:85,78:A5:04:41:E7:FE,78:A5:04:41:E7:CC,78:A5:04:41:E7:81,F4:B8:5E:AA:79:6C,78:A5:04:41:EB:AC,F4:B8:5E:AA:79:4E,78:A5:04:41:EB:94,78:A5:04:41:E7:91,78:A5:04:41:E9:A5,F4:B8:5E:AA:78:68,F4:B8:5E:AA:77:73,78:A5:04:41:E9:E3,78:A5:04:41:E5:5F
1526456227142,-82,-95,-75,-88,-79,-64,-97,-79,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456227236,-81,-200,-75,-200,-81,-64,-96,-200,-200,-81,-67,-94,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526456227339,-80,-200,-75,-200,-200,-65,-96,-79,-82,-81,-200,-200,-86,-93,-200,-200,-200,-200,-200,-200,-200
1526456227470,-80,-200,-75,-88,-79,-200,-200,-200,-200,-200,-67,-93,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526456227575,-82,-200,-76,-86,-79,-64,-96,-80,-81,-200,-66,-95,-85,-92,-93,-200,-200,-200,-200,-200,-200
1526456231995,-200,-200,-82,-200,-92,-72,-200,-200,-200,-83,-84,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526456232100,-200,-200,-81,-84,-200,-72,-200,-200,-200,-83,-69,-200,-91,-200,-93,-200,-200,-200,-200,-200,-200
1526456232208,-73,-200,-200,-84,-93,-72,-95,-93,-200,-200,-69,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200
1526456232312,-72,-200,-81,-85,-200,-72,-96,-200,-89,-83,-69,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526456232423,-200,-200,-200,-200,-95,-200,-200,-92,-200,-200,-69,-200,-93,-93,-93,-99,-200,-200,-200,-200,-200
1526456232526,-73,-200,-81,-200,-200,-73,-200,-200,-200,-200,-69,-92,-200,-94,-200,-200,-200,-200,-200,-200,-200
1526456232625,-200,-200,-200,-84,-200,-200,-200,-90,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456237039,-77,-200,-81,-85,-81,-200,-200,-200,-84,-82,-70,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200
1526456237128,-77,-200,-200,-85,-200,-65,-200,-200,-83,-83,-70,-200,-200,-93,-94,-200,-200,-200,-200,-200,-200
1526456237256,-77,-200,-82,-84,-80,-67,-200,-200,-83,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456237349,-77,-200,-82,-200,-79,-200,-200,-91,-83,-200,-70,-200,-200,-91,-95,-200,-92,-200,-200,-200,-200
1526456237457,-200,-200,-82,-85,-200,-66,-200,-91,-82,-83,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456237561,-77,-200,-82,-200,-80,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456242011,-200,-200,-74,-200,-80,-200,-95,-80,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200
1526456242126,-200,-100,-74,-200,-80,-66,-200,-200,-83,-81,-66,-200,-200,-93,-200,-200,-200,-97,-200,-200,-200
1526456242245,-93,-95,-74,-200,-200,-65,-200,-80,-200,-81,-200,-200,-85,-96,-200,-200,-200,-200,-98,-200,-200
1526456242334,-200,-200,-74,-88,-80,-200,-94,-80,-200,-81,-67,-95,-86,-94,-200,-200,-200,-200,-200,-200,-200
1526456242471,-91,-200,-200,-200,-80,-65,-200,-80,-82,-80,-66,-94,-200,-200,-200,-200,-200,-98,-96,-200,-200
1526456242568,-200,-200,-75,-90,-80,-65,-200,-81,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
