,vlucci.com AC-V1.4.0.0,0116.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0113.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,0118.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0115.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EE:07,7C:66:9D:7B:2B:DE,78:A5:04:41:E5:5F,78:A5:04:41:E5:56,7C:66:9D:7B:2B:BA,7C:66:9D:7B:2B:D3,7C:66:9D:7B:2E:16,F4:B8:5E:AA:79:4E,78:A5:04:41:E7:91,F4:B8:5E:AA:77:73,78:A5:04:41:EB:C7,7C:66:9D:7B:2B:E4,BC:6A:29:BE:31:61,78:A5:04:41:E7:81,7C:66:9D:7B:47:3D,BC:6A:29:BE:2F:12,78:A5:04:41:EB:C9
1526458852266,-84,-71,-90,-90,-87,-62,-68,-77,-96,-87,-200,-200,-200,-200,-200,-200,-200
1526458852401,-83,-71,-92,-89,-200,-62,-69,-200,-200,-88,-82,-71,-200,-200,-200,-200,-200
1526458852489,-84,-71,-200,-88,-88,-200,-69,-75,-200,-200,-200,-71,-93,-200,-200,-200,-200
1526458852596,-200,-73,-200,-89,-200,-60,-66,-72,-200,-71,-84,-82,-200,-92,-200,-200,-200
1526458857162,-200,-72,-200,-200,-200,-61,-68,-200,-200,-72,-200,-200,-95,-92,-200,-200,-200
1526458857285,-200,-72,-200,-200,-200,-61,-68,-72,-200,-200,-85,-200,-93,-200,-200,-200,-200
1526458857389,-200,-70,-88,-90,-200,-61,-68,-200,-200,-71,-200,-200,-94,-200,-200,-200,-200
1526458857503,-200,-200,-86,-200,-87,-200,-67,-200,-84,-71,-84,-82,-96,-200,-200,-200,-200
1526458857595,-200,-200,-200,-200,-200,-200,-67,-200,-83,-71,-200,-200,-99,-200,-200,-200,-200
1526458862037,-200,-74,-200,-200,-91,-66,-74,-74,-200,-80,-84,-200,-200,-200,-200,-200,-200
1526458862154,-200,-74,-200,-200,-89,-200,-75,-74,-94,-79,-84,-87,-200,-200,-200,-200,-200
1526458862232,-200,-73,-200,-95,-88,-65,-74,-74,-93,-79,-200,-200,-200,-200,-200,-200,-200
1526458862347,-200,-73,-200,-95,-200,-65,-73,-200,-93,-79,-83,-200,-200,-200,-200,-200,-200
1526458862453,-200,-73,-200,-94,-89,-65,-73,-200,-92,-79,-84,-85,-200,-200,-200,-200,-200
1526458862600,-200,-200,-94,-96,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200
1526458867026,-86,-74,-93,-200,-200,-200,-71,-80,-200,-200,-83,-200,-200,-200,-200,-200,-200
1526458867171,-85,-73,-200,-200,-89,-200,-71,-80,-200,-85,-82,-73,-96,-200,-200,-200,-200
1526458867261,-85,-74,-95,-200,-91,-63,-71,-200,-200,-84,-82,-73,-200,-200,-200,-200,-200
1526458867374,-85,-74,-200,-200,-200,-63,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200
1526458867476,-85,-200,-200,-200,-200,-64,-71,-81,-200,-85,-82,-73,-200,-200,-200,-200,-200
1526458867589,-200,-200,-200,-200,-89,-63,-71,-81,-200,-85,-200,-200,-200,-200,-200,-200,-200
1526458872024,-87,-200,-200,-200,-200,-61,-69,-73,-200,-73,-200,-80,-200,-200,-200,-200,-200
1526458872154,-200,-200,-200,-200,-89,-62,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458872217,-87,-72,-200,-200,-89,-200,-69,-73,-200,-72,-85,-200,-97,-200,-200,-200,-200
1526458872336,-200,-200,-200,-90,-200,-200,-200,-72,-200,-200,-200,-200,-200,-95,-97,-200,-200
1526458872444,-200,-73,-86,-200,-88,-62,-200,-71,-85,-74,-200,-94,-200,-93,-200,-200,-200
1526458877039,-96,-75,-200,-95,-90,-66,-76,-72,-89,-80,-200,-90,-200,-200,-200,-200,-200
1526458877138,-96,-74,-200,-95,-89,-65,-200,-72,-200,-200,-85,-89,-200,-200,-200,-200,-200
1526458877239,-200,-200,-200,-200,-90,-66,-76,-74,-88,-80,-200,-200,-200,-200,-200,-200,-200
1526458877360,-200,-75,-200,-200,-87,-66,-75,-75,-200,-80,-83,-88,-200,-200,-200,-200,-200
1526458877472,-200,-76,-200,-96,-200,-66,-200,-72,-200,-79,-200,-200,-200,-200,-200,-97,-200
1526458877602,-94,-75,-200,-92,-200,-66,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200
1526458882026,-85,-72,-90,-200,-90,-200,-73,-200,-93,-81,-81,-200,-200,-200,-200,-200,-200
1526458882155,-200,-72,-200,-200,-200,-63,-73,-200,-200,-81,-82,-72,-200,-200,-200,-200,-200
1526458882252,-200,-70,-200,-91,-200,-63,-200,-200,-200,-81,-82,-70,-200,-200,-200,-200,-200
1526458882368,-85,-71,-200,-200,-89,-63,-200,-200,-200,-80,-200,-72,-200,-200,-200,-200,-200
1526458882458,-200,-71,-200,-200,-200,-200,-200,-78,-200,-200,-82,-71,-94,-200,-200,-200,-200
1526458882567,-200,-71,-94,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458887045,-200,-72,-200,-200,-200,-58,-71,-73,-200,-72,-200,-200,-200,-200,-200,-200,-200
1526458887171,-86,-72,-200,-200,-200,-61,-71,-72,-82,-72,-200,-85,-200,-200,-96,-200,-200
1526458887312,-87,-72,-88,-200,-200,-61,-72,-72,-200,-72,-83,-200,-97,-200,-95,-200,-200
1526458887476,-87,-75,-88,-200,-88,-60,-72,-74,-200,-70,-84,-200,-200,-91,-200,-200,-200
1526458892037,-96,-75,-200,-94,-200,-66,-200,-73,-92,-200,-85,-200,-200,-200,-200,-200,-200
1526458892167,-200,-200,-200,-94,-90,-65,-73,-200,-93,-82,-85,-200,-200,-200,-200,-200,-200
