,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:A3,78:A5:04:41:E7:84,78:A5:04:41:EB:EC,78:A5:04:41:E7:9C,78:A5:04:41:EB:D9,78:A5:04:41:EE:01,78:A5:04:41:E9:9B,78:A5:04:41:E9:E8,78:A5:04:41:E5:75,78:A5:04:41:EB:EA,78:A5:04:41:E9:DF,78:A5:04:41:EB:FC,78:A5:04:41:EB:B1,78:A5:04:41:E9:8C
1526465137508,-92,-87,-91,-88,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465137645,-200,-200,-92,-88,-200,-95,-95,-89,-200,-200,-200,-200,-200,-200
1526465137861,-200,-88,-200,-88,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526465142456,-90,-86,-200,-85,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200
1526465142562,-91,-86,-87,-84,-200,-200,-200,-86,-94,-98,-91,-200,-200,-200
1526465142660,-200,-86,-200,-84,-200,-93,-200,-200,-94,-200,-89,-95,-200,-200
1526465142794,-200,-86,-88,-85,-200,-200,-200,-200,-93,-200,-89,-200,-96,-200
1526465142859,-200,-87,-200,-84,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526465142972,-200,-87,-93,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200
1526465147495,-100,-95,-92,-93,-94,-200,-200,-92,-200,-200,-91,-200,-200,-200
1526465147601,-200,-200,-91,-200,-200,-200,-200,-92,-200,-200,-89,-200,-200,-200
1526465147815,-97,-96,-96,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-99
1526465147907,-200,-200,-94,-89,-92,-200,-200,-93,-200,-200,-200,-200,-200,-200
1526465152499,-94,-200,-200,-91,-200,-200,-92,-91,-200,-200,-200,-200,-200,-200
1526465152608,-200,-94,-95,-91,-200,-200,-94,-90,-200,-200,-200,-200,-200,-200
1526465152746,-200,-93,-200,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465152847,-200,-92,-200,-86,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200
1526465157436,-93,-200,-200,-90,-96,-200,-200,-85,-93,-200,-200,-200,-200,-200
1526465157535,-200,-200,-88,-89,-97,-200,-200,-200,-93,-200,-93,-200,-97,-97
1526465157645,-200,-85,-89,-90,-96,-200,-200,-85,-200,-200,-200,-200,-200,-97
1526465157763,-93,-85,-88,-200,-95,-200,-200,-85,-200,-200,-200,-200,-95,-200
1526465157854,-93,-85,-200,-200,-200,-200,-200,-86,-91,-200,-93,-200,-200,-200
1526465162415,-200,-94,-95,-200,-96,-200,-200,-94,-200,-200,-95,-200,-200,-200
1526465162521,-200,-96,-98,-200,-95,-200,-200,-94,-200,-200,-93,-200,-200,-200
1526465162639,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465162837,-92,-97,-93,-89,-91,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526465167544,-91,-200,-200,-200,-95,-200,-96,-89,-200,-200,-200,-200,-200,-200
1526465167663,-200,-200,-200,-89,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200
