,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,WHU-2018,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro_5GHz
,0c:73:eb:d0:13:c0,74:da:da:98:7a:60,74:da:da:98:7a:68,74:da:da:98:7a:50,0c:73:eb:d0:11:b0,74:da:da:c0:e0:71,74:da:da:98:7a:69,0c:73:eb:d0:76:40,74:da:da:98:7a:61,74:da:da:98:7a:4c,74:da:da:c1:3c:91,0c:73:eb:d0:11:b8,74:da:da:c1:3c:d1,74:da:da:c0:e0:81,0c:73:eb:d0:7e:f0,0c:73:eb:d0:11:d0,74:da:da:98:7a:6c,74:da:da:c1:3b:9d,74:da:da:c1:3c:e1,0c:73:eb:d0:7e:d8,74:da:da:98:ea:4c,0c:73:eb:d0:13:a8,74:da:da:98:7a:6d,74:da:da:98:7a:51,74:da:da:c1:3b:4d,0c:73:eb:d0:7c:38,74:da:da:c0:e0:72,74:da:da:c0:e0:82,74:da:da:c1:56:ed,0c:73:eb:d0:7e:e8,0c:73:eb:d0:7c:30,74:da:da:c1:3c:ad,74:da:da:c1:3c:6d,0c:73:eb:d0:0e:d0,74:da:da:c1:61:69,74:da:da:c1:4a:ed,74:da:da:c1:3c:99,74:da:da:c1:4a:c9,0c:73:eb:d0:11:e0,74:da:da:98:74:94,0c:73:eb:d0:2a:48,0c:73:eb:d0:19:a8,74:da:da:c1:3c:f9,74:da:da:c0:d8:59,0c:73:eb:d0:11:f0,0c:73:eb:d0:7f:10,74:da:da:98:8f:64,74:da:da:c1:3c:d2,74:da:da:c1:3b:85,74:da:da:c1:3c:51,0c:73:eb:d0:19:b0,74:da:da:c1:4a:f5,74:da:da:98:8f:30,74:da:da:c1:3c:e2,74:da:da:c1:3b:49,74:da:da:c0:d7:b9,74:da:da:c1:56:a1,74:da:da:98:ea:4d,74:da:da:98:7a:4d,74:da:da:c0:f3:01,0c:73:eb:d0:11:e8,0c:73:eb:d0:7e:e0,74:da:da:c1:3c:92,74:da:da:c1:3c:dd,0c:73:eb:d0:76:20,74:da:da:c1:3c:ae,0c:73:eb:d0:0e:c0,74:da:da:c1:3c:9a,0c:73:eb:d0:7a:68,74:da:da:c0:d8:05,74:da:da:98:85:00,74:da:da:c1:4b:01,74:da:da:c0:d7:ed,74:da:da:98:ea:5c,0c:73:eb:d0:2a:98,0c:73:eb:d0:76:48,74:da:da:98:db:44,74:da:da:98:91:d4,0c:73:eb:d0:7c:18,74:da:da:c0:e0:69,74:da:da:98:85:4c,0c:73:eb:d0:7e:f8,74:da:da:98:8f:34,0c:73:eb:d0:13:b8,74:da:da:c1:3c:fa,0c:73:eb:d0:11:c0,74:da:da:c0:d8:1d,0c:73:eb:d0:2a:30,0c:73:eb:d0:76:58,0c:73:eb:d0:7c:48,74:da:da:c1:3c:8d,74:da:da:98:92:14,0c:73:eb:d0:2a:38,0c:73:eb:d0:13:d0,0c:73:eb:d0:7f:08,0c:73:eb:d0:2a:58,74:da:da:c0:e0:6a,74:da:da:c1:56:ee,0c:73:eb:d0:2a:20,0c:73:eb:d0:2a:10,0c:73:eb:d0:76:30,74:da:da:c1:3b:4e
1526447722572,-29,-34,-36,-36,-39,-40,-46,-47,-47,-50,-51,-52,-52,-53,-55,-55,-55,-56,-57,-58,-58,-59,-61,-63,-63,-64,-67,-67,-67,-67,-68,-68,-68,-68,-69,-72,-72,-73,-74,-74,-75,-75,-75,-75,-76,-76,-78,-80,-81,-81,-82,-82,-83,-84,-84,-84,-85,-85,-86,-86,-87,-87,-88,-89,-89,-89,-90,-90,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447725616,-27,-22,-49,-42,-46,-48,-49,-49,-48,-43,-63,-54,-66,-53,-47,-58,-51,-55,-58,-75,-55,-62,-60,-64,-63,-72,-66,-67,-67,-74,-69,-72,-80,-79,-64,-78,-69,-70,-79,-70,-78,-75,-75,-75,-76,-76,-82,-80,-200,-81,-82,-82,-83,-73,-200,-86,-78,-85,-79,-85,-87,-87,-83,-85,-89,-89,-90,-90,-91,-92,-78,-83,-86,-88,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447728647,-28,-29,-37,-37,-46,-46,-52,-47,-49,-43,-58,-50,-60,-59,-50,-57,-49,-52,-50,-70,-53,-68,-66,-62,-57,-62,-65,-71,-69,-84,-71,-65,-88,-82,-67,-76,-66,-75,-71,-66,-73,-74,-75,-78,-76,-200,-82,-200,-200,-200,-69,-80,-200,-74,-69,-86,-73,-200,-81,-84,-200,-200,-83,-85,-82,-90,-200,-200,-200,-200,-76,-83,-86,-88,-89,-89,-82,-85,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447731684,-26,-22,-51,-38,-46,-58,-52,-47,-50,-46,-58,-55,-60,-55,-48,-56,-47,-53,-52,-70,-53,-60,-66,-63,-55,-60,-63,-73,-71,-84,-71,-65,-88,-82,-65,-72,-69,-75,-65,-72,-75,-74,-75,-80,-76,-70,-86,-200,-200,-200,-78,-78,-200,-74,-69,-79,-71,-200,-83,-84,-200,-77,-85,-85,-76,-89,-200,-90,-200,-200,-78,-83,-86,-88,-68,-89,-82,-85,-92,-57,-79,-80,-80,-85,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447734717,-34,-28,-39,-36,-46,-46,-51,-53,-50,-44,-57,-52,-59,-54,-49,-59,-46,-54,-51,-69,-56,-59,-69,-63,-57,-61,-64,-74,-54,-84,-72,-64,-88,-82,-67,-75,-68,-75,-67,-72,-73,-78,-77,-82,-80,-72,-83,-88,-200,-200,-80,-78,-200,-74,-69,-79,-71,-200,-82,-86,-200,-77,-85,-84,-76,-89,-200,-90,-200,-200,-79,-83,-86,-88,-68,-89,-81,-85,-92,-62,-71,-82,-80,-85,-90,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447737732,-34,-14,-39,-24,-46,-47,-52,-48,-50,-44,-56,-51,-61,-54,-46,-55,-49,-56,-52,-69,-53,-61,-66,-63,-56,-63,-63,-72,-54,-84,-70,-64,-82,-82,-67,-78,-68,-75,-65,-72,-73,-78,-76,-82,-76,-72,-83,-88,-200,-200,-80,-78,-200,-73,-68,-79,-71,-200,-83,-81,-200,-77,-84,-84,-76,-89,-200,-89,-200,-200,-79,-83,-200,-90,-68,-89,-81,-85,-92,-62,-71,-82,-80,-85,-91,-91,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447740761,-35,-15,-39,-45,-47,-49,-53,-53,-50,-42,-63,-54,-60,-54,-48,-58,-47,-56,-53,-67,-54,-62,-67,-65,-57,-63,-62,-73,-67,-200,-73,-68,-81,-75,-67,-73,-68,-76,-66,-74,-76,-78,-75,-79,-79,-71,-79,-89,-200,-84,-81,-81,-88,-74,-68,-200,-71,-200,-83,-86,-200,-78,-84,-85,-83,-89,-200,-88,-200,-200,-80,-80,-200,-90,-69,-89,-83,-200,-200,-56,-68,-82,-81,-86,-91,-91,-91,-90,-78,-81,-81,-89,-89,-91,-92,-200,-200,-200,-200,-200,-200,-200
1526447743792,-28,-30,-39,-34,-45,-48,-49,-53,-49,-44,-56,-51,-61,-54,-52,-57,-49,-56,-51,-66,-57,-61,-71,-66,-57,-64,-63,-73,-71,-200,-74,-68,-78,-75,-64,-77,-65,-76,-67,-70,-73,-80,-76,-80,-79,-70,-83,-89,-200,-84,-80,-79,-88,-74,-68,-78,-71,-200,-81,-85,-200,-79,-84,-85,-83,-89,-200,-88,-200,-200,-79,-83,-83,-90,-68,-89,-82,-200,-200,-58,-66,-80,-81,-86,-90,-90,-200,-90,-78,-81,-81,-89,-89,-91,-92,-200,-200,-200,-200,-200,-200,-200
1526447746828,-27,-31,-34,-38,-47,-48,-49,-52,-48,-42,-55,-51,-59,-51,-49,-58,-47,-56,-53,-70,-58,-56,-50,-48,-59,-61,-62,-67,-67,-200,-76,-68,-85,-81,-65,-78,-69,-76,-65,-68,-73,-75,-74,-80,-84,-70,-83,-82,-200,-83,-80,-80,-86,-73,-69,-78,-71,-200,-81,-85,-89,-81,-85,-86,-83,-89,-200,-88,-200,-88,-78,-84,-83,-89,-69,-87,-83,-200,-200,-56,-67,-83,-81,-86,-90,-90,-200,-90,-78,-81,-81,-89,-89,-91,-92,-82,-89,-91,-200,-200,-200,-200
