,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D00EC0,WHU-2018,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:98:7a:68,0c:73:eb:d0:7e:f0,74:da:da:c0:e0:81,74:da:da:c0:e0:71,74:da:da:c0:e0:69,0c:73:eb:d0:13:c0,74:da:da:c0:e0:72,74:da:da:c0:e0:82,74:da:da:c1:56:ed,74:da:da:c1:3c:e1,74:da:da:98:7a:60,74:da:da:98:7a:50,0c:73:eb:d0:7c:38,0c:73:eb:d0:7e:e8,0c:73:eb:d0:11:f0,74:da:da:98:7a:6c,0c:73:eb:d0:7e:d8,74:da:da:c1:3c:ad,74:da:da:c1:3c:d1,0c:73:eb:d0:13:a8,74:da:da:98:7a:69,0c:73:eb:d0:11:b0,0c:73:eb:d0:11:e0,0c:73:eb:d0:11:b8,74:da:da:98:8f:34,74:da:da:c1:3c:99,0c:73:eb:d0:76:40,74:da:da:98:ea:4c,74:da:da:c1:3c:8d,0c:73:eb:d0:19:a8,74:da:da:98:7a:4c,74:da:da:c1:3c:e2,0c:73:eb:d0:76:48,0c:73:eb:d0:7f:10,74:da:da:c0:e0:6a,0c:73:eb:d0:11:d0,74:da:da:98:7a:61,74:da:da:98:7a:51,74:da:da:c1:3b:9d,74:da:da:98:8f:30,0c:73:eb:d0:76:20,74:da:da:c0:d7:19,74:da:da:c0:d7:b9,0c:73:eb:d0:7e:e0,74:da:da:98:85:4c,0c:73:eb:d0:76:58,74:da:da:98:7a:6d,74:da:da:c1:56:ee,74:da:da:c1:3c:f9,0c:73:eb:d0:11:e8,74:da:da:c1:3b:4d,0c:73:eb:d0:7c:30,0c:73:eb:d0:7c:18,74:da:da:c1:56:a1,74:da:da:98:91:d4,74:da:da:98:91:d5,74:da:da:c1:3b:49,74:da:da:c1:3c:dd,0c:73:eb:d0:7e:f8,74:da:da:98:db:44,74:da:da:c1:3c:f5,74:da:da:c0:f3:01,0c:73:eb:d0:7c:00,74:da:da:98:85:00,74:da:da:c1:3c:91,74:da:da:98:8f:64,74:da:da:c0:d7:ed,0c:73:eb:d0:7a:68,0c:73:eb:d0:76:30,74:da:da:98:85:60,74:da:da:c0:e2:d9,0c:73:eb:d0:7f:08,74:da:da:98:74:94,0c:73:eb:d0:2a:48,0c:73:eb:d0:0e:c0,0c:73:eb:d0:13:d0,0c:73:eb:d0:0e:d0,0c:73:eb:d0:7c:10,74:da:da:c1:3c:cd,0c:73:eb:d0:19:98,74:da:da:c1:3b:e9,74:da:da:c1:4b:01,74:da:da:c0:d8:59,74:da:da:c1:3c:51,74:da:da:c1:4b:05,74:da:da:98:92:14,0c:73:eb:d0:19:b0,74:da:da:c1:3b:85,0c:73:eb:d0:2a:98,74:da:da:c1:4a:c9,74:da:da:c1:4a:ed,74:da:da:c1:4b:59,74:da:da:c1:3c:6d,74:da:da:c1:61:69
1526449023797,-30,-35,-35,-40,-44,-50,-55,-55,-55,-59,-61,-61,-62,-62,-64,-66,-69,-69,-69,-70,-71,-72,-72,-73,-73,-73,-75,-75,-76,-76,-77,-78,-78,-78,-79,-80,-80,-80,-80,-80,-80,-80,-81,-82,-82,-82,-83,-83,-83,-83,-83,-84,-84,-84,-84,-85,-85,-86,-87,-87,-87,-87,-87,-87,-88,-88,-88,-88,-89,-89,-89,-89,-90,-90,-90,-90,-90,-91,-91,-91,-91,-92,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449026840,-51,-32,-35,-45,-48,-65,-61,-52,-59,-67,-69,-72,-86,-63,-65,-73,-69,-72,-69,-72,-74,-72,-86,-73,-84,-64,-82,-78,-84,-76,-86,-73,-81,-86,-76,-84,-82,-88,-87,-87,-80,-80,-81,-81,-90,-83,-83,-88,-79,-82,-81,-76,-85,-84,-200,-200,-83,-78,-87,-91,-87,-87,-87,-87,-85,-87,-88,-88,-89,-91,-200,-89,-87,-91,-90,-90,-90,-91,-90,-91,-91,-89,-83,-82,-83,-88,-91,-200,-200,-200,-200,-200,-200,-200
1526449029893,-54,-38,-36,-44,-47,-66,-63,-52,-59,-66,-69,-73,-87,-72,-70,-73,-80,-76,-78,-77,-74,-200,-97,-81,-83,-66,-82,-78,-76,-78,-86,-76,-81,-88,-76,-88,-82,-92,-87,-86,-200,-200,-89,-85,-87,-85,-89,-88,-78,-82,-83,-75,-89,-200,-200,-200,-83,-83,-200,-91,-95,-92,-93,-200,-82,-87,-92,-200,-200,-91,-200,-200,-92,-91,-200,-200,-200,-200,-92,-200,-91,-89,-88,-82,-74,-88,-91,-84,-85,-86,-90,-200,-200,-200
1526449032936,-53,-36,-35,-43,-45,-66,-62,-52,-56,-65,-70,-73,-88,-71,-63,-72,-72,-73,-79,-72,-73,-200,-97,-81,-85,-63,-79,-77,-76,-78,-86,-74,-81,-89,-74,-85,-82,-88,-80,-86,-200,-200,-90,-85,-87,-78,-89,-88,-81,-80,-81,-73,-84,-200,-200,-200,-83,-78,-200,-90,-95,-90,-88,-200,-79,-87,-92,-200,-200,-91,-200,-90,-86,-86,-200,-200,-88,-91,-91,-200,-91,-89,-80,-80,-74,-88,-91,-84,-85,-85,-89,-200,-200,-200
1526449035972,-60,-36,-35,-45,-50,-70,-64,-54,-58,-65,-68,-72,-78,-67,-64,-73,-71,-77,-79,-71,-74,-83,-84,-79,-88,-62,-79,-75,-76,-75,-86,-72,-81,-86,-74,-85,-86,-88,-79,-90,-200,-80,-88,-85,-88,-78,-89,-89,-74,-81,-84,-75,-84,-200,-200,-200,-85,-79,-200,-90,-90,-89,-88,-88,-79,-87,-88,-91,-200,-91,-200,-91,-86,-88,-200,-90,-88,-92,-91,-200,-93,-90,-82,-84,-74,-86,-91,-84,-85,-85,-89,-200,-200,-200
1526449039019,-58,-36,-33,-44,-49,-68,-62,-53,-56,-64,-68,-70,-77,-70,-64,-73,-69,-75,-81,-73,-74,-83,-88,-80,-88,-60,-82,-78,-86,-78,-86,-75,-84,-86,-76,-85,-86,-88,-85,-91,-87,-80,-88,-78,-88,-80,-89,-88,-75,-81,-82,-74,-86,-200,-200,-200,-85,-77,-200,-90,-89,-89,-88,-88,-79,-200,-88,-89,-200,-91,-200,-91,-87,-88,-200,-90,-88,-91,-91,-200,-93,-87,-83,-81,-78,-86,-200,-84,-85,-85,-89,-200,-200,-200
1526449042060,-54,-35,-34,-45,-49,-66,-62,-55,-57,-64,-67,-75,-79,-69,-65,-74,-73,-75,-81,-69,-73,-83,-82,-80,-86,-61,-82,-79,-88,-78,-86,-74,-82,-86,-75,-85,-84,-90,-85,-91,-87,-81,-88,-78,-88,-80,-90,-88,-76,-82,-84,-74,-88,-200,-86,-200,-85,-79,-200,-90,-90,-90,-88,-88,-79,-200,-88,-89,-200,-91,-200,-90,-90,-88,-200,-90,-88,-91,-91,-200,-93,-87,-82,-81,-78,-86,-200,-200,-85,-85,-89,-91,-200,-200
1526449045103,-48,-33,-25,-42,-48,-71,-64,-53,-56,-62,-67,-75,-84,-68,-67,-75,-74,-76,-85,-71,-73,-83,-85,-82,-93,-66,-82,-76,-85,-78,-86,-54,-82,-86,-76,-82,-85,-89,-89,-88,-87,-81,-88,-82,-88,-80,-90,-88,-81,-82,-82,-93,-88,-200,-86,-200,-85,-88,-200,-91,-88,-90,-89,-88,-77,-200,-88,-89,-200,-91,-200,-90,-86,-88,-200,-89,-89,-91,-91,-200,-93,-87,-85,-89,-78,-86,-200,-200,-85,-200,-200,-91,-200,-200
1526449048143,-58,-37,-34,-48,-46,-66,-61,-53,-59,-62,-68,-73,-85,-69,-70,-73,-74,-43,-85,-72,-72,-200,-87,-82,-93,-63,-83,-77,-85,-78,-86,-74,-82,-86,-75,-82,-83,-89,-87,-84,-87,-81,-88,-77,-200,-80,-89,-89,-78,-82,-83,-77,-88,-200,-86,-200,-200,-80,-90,-91,-88,-90,-91,-200,-77,-200,-87,-89,-200,-200,-200,-90,-89,-88,-200,-89,-89,-91,-200,-200,-200,-89,-82,-89,-78,-200,-200,-200,-85,-200,-200,-91,-200,-200
1526449051185,-51,-38,-37,-44,-50,-74,-61,-54,-57,-62,-66,-73,-80,-74,-74,-73,-73,-77,-85,-71,-72,-91,-86,-82,-93,-64,-83,-78,-85,-200,-86,-72,-83,-88,-75,-82,-82,-88,-79,-84,-86,-81,-89,-77,-89,-84,-89,-88,-77,-83,-78,-81,-83,-200,-88,-200,-200,-86,-90,-90,-88,-90,-88,-200,-89,-88,-89,-200,-200,-90,-200,-90,-88,-200,-200,-91,-89,-91,-200,-200,-200,-88,-82,-89,-82,-200,-200,-200,-83,-200,-89,-91,-90,-200
1526449054226,-59,-33,-36,-43,-47,-73,-62,-54,-57,-64,-69,-72,-76,-65,-66,-74,-74,-76,-200,-71,-73,-91,-85,-79,-87,-65,-81,-76,-86,-200,-86,-72,-82,-85,-77,-89,-84,-89,-79,-86,-86,-80,-90,-79,-89,-80,-89,-89,-78,-80,-82,-77,-87,-200,-88,-200,-81,-77,-90,-91,-89,-90,-93,-200,-89,-87,-88,-200,-200,-90,-200,-90,-85,-200,-200,-90,-200,-93,-200,-200,-90,-90,-81,-84,-83,-200,-200,-89,-84,-200,-90,-200,-89,-200
1526449057266,-56,-36,-35,-43,-48,-70,-60,-53,-57,-64,-69,-73,-76,-65,-65,-74,-73,-75,-200,-72,-73,-80,-87,-79,-87,-64,-81,-76,-86,-78,-85,-72,-78,-85,-75,-89,-83,-89,-84,-88,-86,-80,-90,-79,-88,-82,-89,-89,-79,-83,-82,-73,-85,-200,-88,-200,-85,-79,-200,-91,-90,-90,-93,-200,-83,-87,-88,-200,-200,-90,-200,-90,-87,-89,-200,-90,-200,-93,-90,-200,-91,-88,-81,-85,-82,-84,-200,-89,-84,-200,-90,-91,-89,-200
1526449060308,-60,-33,-43,-51,-56,-65,-63,-53,-66,-71,-69,-80,-83,-70,-66,-75,-72,-77,-200,-70,-74,-80,-82,-81,-87,-64,-81,-75,-87,-78,-85,-72,-80,-85,-77,-89,-83,-89,-86,-88,-200,-80,-90,-75,-88,-82,-89,-89,-79,-83,-88,-79,-93,-200,-200,-200,-85,-78,-200,-91,-90,-90,-91,-200,-83,-89,-88,-200,-200,-200,-200,-200,-87,-89,-200,-88,-85,-93,-90,-200,-91,-89,-84,-86,-79,-84,-200,-89,-84,-200,-89,-91,-89,-200
1526449063324,-52,-35,-36,-45,-49,-71,-62,-54,-58,-63,-68,-74,-83,-65,-66,-73,-76,-77,-200,-77,-73,-80,-85,-81,-86,-65,-200,-76,-87,-79,-86,-72,-80,-200,-78,-89,-86,-90,-85,-88,-200,-82,-87,-76,-88,-82,-200,-89,-70,-85,-82,-79,-86,-200,-84,-200,-85,-79,-200,-200,-89,-92,-91,-200,-83,-89,-88,-200,-200,-200,-89,-90,-88,-89,-200,-88,-85,-200,-90,-200,-93,-89,-83,-86,-76,-84,-200,-93,-200,-200,-91,-91,-89,-90
1526449066375,-58,-34,-34,-46,-47,-69,-61,-53,-58,-61,-69,-73,-78,-65,-70,-73,-73,-74,-200,-71,-72,-80,-85,-82,-84,-63,-84,-80,-87,-79,-86,-73,-79,-86,-76,-89,-83,-90,-83,-86,-84,-86,-87,-78,-92,-80,-89,-88,-78,-80,-82,-74,-86,-200,-84,-200,-85,-79,-200,-89,-89,-92,-91,-200,-83,-89,-88,-200,-200,-91,-89,-90,-87,-88,-200,-90,-85,-91,-89,-200,-93,-90,-81,-84,-76,-84,-200,-93,-200,-84,-91,-91,-200,-90
