,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:13:b8,74:da:da:98:85:4c,74:da:da:98:85:4d,74:da:da:98:85:1c,74:da:da:98:74:80,74:da:da:98:85:60,0c:73:eb:d0:13:90,0c:73:eb:d0:11:c0,0c:73:eb:d0:7f:08,74:da:da:c1:56:a1,0c:73:eb:d0:7f:10,74:da:da:c1:3d:2d,74:da:da:c0:d7:b9,0c:73:eb:d0:11:e0,0c:73:eb:d0:13:a8,0c:73:eb:d0:7e:f8,74:da:da:98:85:00,74:da:da:c0:d7:19,0c:73:eb:d0:13:c8,74:da:da:98:74:34,0c:73:eb:d0:11:c8,74:da:da:c1:56:a2,74:da:da:c1:3c:45,0c:73:eb:d0:19:90,0c:73:eb:d0:7c:38,0c:73:eb:d0:76:18,0c:73:eb:d0:11:f8,74:da:da:c1:3a:81,74:da:da:98:74:74,0c:73:eb:d0:11:d8,74:da:da:c1:3b:29,74:da:da:c0:f3:01,0c:73:eb:d0:13:98,74:da:da:98:91:d4,50:3a:a0:ea:01:66,74:da:da:c1:3c:55,74:da:da:98:7a:4c,74:da:da:98:85:61,74:da:da:98:74:81,74:da:da:98:92:14,74:da:da:98:85:1d,74:da:da:c0:e0:69,74:da:da:98:ea:5c,74:da:da:c0:e2:d9,74:da:da:c0:d8:3d,74:da:da:c0:f4:69,0c:73:eb:d0:7e:e0,d8:15:0d:6c:13:98,74:da:da:98:66:cc,74:da:da:98:85:01,74:da:da:98:90:94,74:da:da:c1:3c:11,74:da:da:c1:02:8d,0c:73:eb:d0:7f:18,74:da:da:98:7a:60,74:da:da:c0:e0:71,74:da:da:c1:03:2d,74:da:da:c1:3a:8d,74:da:da:c1:3c:51,0c:73:eb:d0:76:10,74:da:da:98:ea:54,0c:73:eb:d0:13:b0,74:da:da:c1:3d:2e,0c:73:eb:d0:7c:40,74:da:da:c1:6b:4d,74:da:da:c0:d7:ba,74:da:da:c0:e0:81,74:da:da:c1:25:e5,74:da:da:c0:e0:72,0c:73:eb:d0:13:d8,0c:73:eb:d0:7e:e8,74:da:da:c0:d7:0d,74:da:da:c0:d7:9d,74:da:da:98:90:2c,0c:73:eb:d0:11:b0,0c:73:eb:d0:19:b8,0c:73:eb:d0:76:30,0c:73:eb:d0:11:b8,0c:73:eb:d0:7f:00,0c:73:eb:d0:7e:f0,0c:73:eb:d0:13:c0,74:da:da:98:ea:50,0c:73:eb:d0:19:c8,0c:73:eb:d0:7c:08,74:da:da:c1:03:21,0c:73:eb:d0:7c:28,74:da:da:c1:3c:4d,0c:73:eb:d0:19:88,74:da:da:c1:3c:85,74:da:da:c1:3a:dd
1526457576770,-15,-38,-44,-48,-49,-50,-51,-54,-55,-56,-59,-62,-62,-65,-68,-68,-69,-69,-70,-70,-71,-71,-72,-72,-73,-73,-73,-75,-75,-75,-75,-75,-76,-76,-76,-77,-77,-78,-78,-78,-79,-79,-80,-80,-81,-83,-83,-83,-84,-85,-85,-86,-86,-86,-87,-87,-87,-87,-88,-88,-88,-88,-88,-89,-89,-90,-90,-90,-90,-91,-91,-91,-91,-92,-92,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457579806,-41,-41,-44,-66,-66,-67,-67,-55,-55,-58,-74,-73,-62,-65,-85,-68,-81,-69,-89,-87,-84,-80,-72,-72,-75,-75,-83,-84,-81,-75,-83,-80,-76,-76,-69,-80,-77,-80,-79,-78,-81,-79,-86,-80,-89,-85,-83,-85,-84,-200,-85,-86,-89,-86,-87,-87,-89,-87,-200,-90,-88,-92,-88,-71,-89,-90,-90,-200,-90,-91,-91,-91,-91,-92,-92,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457582842,-38,-54,-42,-60,-70,-62,-59,-54,-62,-59,-68,-71,-62,-80,-77,-85,-74,-69,-85,-89,-78,-75,-74,-82,-70,-70,-80,-76,-81,-200,-83,-78,-76,-200,-70,-80,-77,-81,-78,-86,-81,-200,-86,-80,-89,-84,-88,-77,-200,-200,-92,-86,-91,-86,-200,-200,-89,-87,-200,-90,-200,-91,-88,-68,-89,-90,-200,-200,-90,-90,-91,-200,-91,-92,-200,-200,-91,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457585872,-37,-51,-43,-59,-67,-59,-59,-54,-65,-56,-69,-72,-78,-64,-74,-81,-73,-88,-79,-89,-78,-80,-74,-82,-68,-73,-78,-74,-81,-200,-84,-78,-80,-84,-71,-79,-200,-81,-79,-86,-82,-200,-86,-200,-88,-84,-86,-80,-200,-200,-92,-200,-91,-89,-91,-200,-89,-200,-87,-90,-200,-91,-200,-70,-200,-200,-200,-200,-200,-91,-87,-200,-200,-200,-200,-200,-91,-94,-89,-89,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526457588903,-40,-50,-43,-56,-69,-57,-60,-54,-62,-60,-70,-71,-78,-69,-74,-81,-73,-88,-82,-85,-85,-76,-74,-79,-68,-69,-77,-75,-78,-200,-84,-78,-78,-84,-68,-80,-200,-79,-79,-86,-80,-200,-86,-200,-88,-83,-87,-80,-200,-200,-92,-88,-88,-93,-91,-200,-90,-200,-90,-90,-200,-91,-200,-70,-200,-200,-200,-200,-200,-89,-87,-200,-200,-200,-200,-200,-91,-94,-89,-90,-90,-90,-89,-90,-91,-200,-200,-200,-200,-200
1526457591932,-38,-53,-43,-63,-67,-57,-59,-53,-61,-58,-69,-72,-80,-69,-83,-84,-76,-86,-83,-83,-76,-76,-75,-80,-78,-72,-77,-75,-82,-200,-84,-78,-78,-84,-71,-80,-200,-81,-79,-88,-80,-200,-87,-200,-88,-84,-87,-75,-200,-200,-92,-81,-90,-93,-91,-200,-90,-200,-90,-89,-200,-91,-200,-68,-200,-200,-200,-200,-91,-89,-91,-200,-200,-200,-200,-200,-91,-94,-89,-90,-90,-90,-89,-90,-91,-200,-200,-200,-200,-200
1526457594959,-37,-49,-40,-64,-67,-62,-66,-53,-64,-69,-71,-79,-86,-68,-83,-84,-66,-86,-89,-85,-80,-78,-81,-80,-77,-72,-78,-75,-81,-200,-84,-81,-78,-84,-70,-80,-200,-81,-79,-88,-80,-200,-87,-200,-89,-83,-92,-85,-200,-200,-200,-88,-90,-93,-91,-81,-90,-200,-90,-89,-200,-90,-200,-70,-200,-200,-200,-200,-91,-89,-91,-200,-200,-200,-200,-200,-200,-93,-89,-90,-90,-90,-92,-90,-91,-200,-200,-200,-200,-200
1526457597992,-43,-49,-43,-62,-69,-61,-56,-54,-61,-56,-70,-71,-86,-67,-80,-79,-74,-87,-79,-88,-75,-78,-74,-80,-74,-72,-81,-74,-67,-84,-84,-78,-77,-85,-70,-82,-200,-80,-79,-88,-80,-200,-87,-91,-89,-83,-92,-77,-200,-200,-200,-87,-90,-91,-200,-84,-90,-200,-90,-89,-200,-91,-200,-70,-200,-200,-200,-200,-91,-92,-91,-200,-200,-200,-200,-200,-91,-93,-200,-90,-90,-200,-91,-90,-91,-89,-200,-200,-200,-200
1526457601034,-38,-47,-43,-56,-67,-61,-56,-53,-60,-55,-68,-72,-78,-70,-78,-84,-72,-87,-79,-85,-80,-77,-74,-84,-79,-70,-76,-74,-67,-84,-84,-81,-81,-80,-69,-82,-200,-79,-78,-88,-82,-200,-87,-91,-89,-81,-92,-77,-200,-200,-89,-87,-90,-89,-200,-84,-87,-200,-200,-89,-200,-90,-200,-73,-200,-200,-200,-200,-91,-92,-91,-200,-200,-200,-200,-200,-91,-93,-200,-90,-200,-200,-90,-91,-91,-90,-83,-200,-200,-200
