,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,MERCURY_0166,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:98:85:4c,0c:73:eb:d0:13:b8,74:da:da:98:85:4d,74:da:da:c1:56:a1,0c:73:eb:d0:11:e0,0c:73:eb:d0:7f:08,0c:73:eb:d0:11:c0,74:da:da:98:85:60,0c:73:eb:d0:13:90,74:da:da:c0:f3:01,74:da:da:98:85:00,0c:73:eb:d0:7f:10,0c:73:eb:d0:13:98,74:da:da:98:85:1c,0c:73:eb:d0:7c:40,74:da:da:c1:3c:55,74:da:da:c1:56:a2,74:da:da:c1:3d:2d,0c:73:eb:d0:19:90,74:da:da:c0:d7:19,0c:73:eb:d0:7e:f8,74:da:da:98:85:1d,74:da:da:98:74:80,74:da:da:c0:e0:69,d8:15:0d:6c:13:98,0c:73:eb:d0:7a:68,0c:73:eb:d0:13:c8,74:da:da:c0:d7:b9,74:da:da:98:91:d4,0c:73:eb:d0:7e:e0,74:da:da:98:74:74,74:da:da:c1:3b:29,74:da:da:98:74:34,0c:73:eb:d0:7f:18,74:da:da:98:90:94,0c:73:eb:d0:11:c8,74:da:da:98:85:61,50:3a:a0:ea:01:66,0c:73:eb:d0:7e:e8,0c:73:eb:d0:13:a8,0c:73:eb:d0:7c:38,74:da:da:c1:3c:4d,74:da:da:c0:d8:3d,74:da:da:c0:e2:d9,74:da:da:98:7a:4c,74:da:da:98:74:81,0c:73:eb:d0:7c:08,74:da:da:98:85:01,74:da:da:c1:3c:51,74:da:da:98:ea:5c,74:da:da:c0:f4:69,0c:73:eb:d0:11:d8,0c:73:eb:d0:7c:28,0c:73:eb:d0:19:c8,74:da:da:98:7a:68,74:da:da:98:92:14,0c:73:eb:d0:76:10,74:da:da:98:7a:60,0c:73:eb:d0:13:b0,0c:73:eb:d0:11:b8,74:da:da:c0:d7:11,74:da:da:98:90:2c,0c:73:eb:d0:7f:00,74:da:da:c1:25:e5,74:da:da:c1:3a:81,ec:26:ca:0b:d4:1e,74:da:da:98:ea:54,74:da:da:c1:02:8d,74:da:da:c1:3c:45,74:da:da:c1:3c:11,74:da:da:c1:03:2d,74:da:da:c1:3a:8d,0c:73:eb:d0:11:f8,74:da:da:98:ea:50,0c:73:eb:d0:13:d8,74:da:da:c1:03:21,74:da:da:c1:56:ed,0c:73:eb:d0:13:d0,74:da:da:c1:3c:85,0c:73:eb:d0:19:c0,74:da:da:c1:6b:4d,0c:73:eb:d0:76:18,74:da:da:c0:d7:9d,0c:73:eb:d0:19:a0,74:da:da:c0:e0:71,74:da:da:98:66:cc,74:da:da:c1:3a:dd
1526457811021,-15,-35,-46,-51,-53,-55,-60,-60,-61,-61,-63,-64,-65,-65,-67,-69,-70,-70,-70,-71,-72,-75,-75,-75,-76,-76,-77,-77,-77,-77,-78,-78,-79,-80,-80,-81,-82,-82,-82,-83,-83,-83,-83,-84,-84,-84,-85,-86,-86,-86,-87,-87,-87,-89,-89,-89,-90,-90,-90,-90,-90,-90,-91,-91,-92,-92,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457814062,-31,-39,-46,-69,-200,-55,-57,-59,-63,-200,-61,-63,-73,-57,-69,-200,-200,-69,-70,-71,-77,-78,-66,-200,-79,-200,-75,-77,-77,-88,-78,-85,-81,-89,-79,-78,-86,-200,-200,-83,-82,-200,-84,-84,-200,-83,-200,-86,-86,-200,-87,-200,-88,-89,-200,-89,-90,-90,-200,-200,-90,-200,-90,-91,-92,-200,-92,-85,-86,-88,-89,-89,-90,-90,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457817087,-32,-32,-47,-76,-78,-54,-63,-57,-62,-200,-59,-68,-75,-60,-67,-78,-84,-75,-68,-72,-78,-77,-67,-86,-79,-200,-75,-75,-77,-88,-79,-82,-79,-90,-76,-76,-86,-88,-200,-80,-76,-200,-84,-82,-200,-84,-200,-86,-86,-200,-90,-200,-87,-89,-200,-83,-90,-90,-200,-200,-90,-200,-90,-90,-92,-200,-92,-85,-86,-86,-89,-89,-90,-90,-91,-91,-79,-87,-87,-92,-200,-200,-200,-200,-200,-200,-200
1526457820120,-31,-40,-48,-79,-78,-55,-61,-56,-59,-200,-67,-66,-79,-66,-67,-79,-84,-74,-72,-72,-77,-76,-69,-84,-80,-87,-79,-79,-77,-88,-80,-85,-77,-90,-76,-77,-85,-88,-200,-77,-78,-200,-84,-82,-200,-85,-90,-86,-86,-200,-90,-200,-87,-89,-200,-81,-88,-92,-200,-200,-90,-200,-90,-90,-89,-200,-92,-85,-82,-86,-89,-89,-90,-90,-88,-91,-74,-87,-87,-95,-200,-200,-200,-200,-200,-200,-200
1526457823153,-30,-33,-47,-79,-78,-55,-59,-56,-57,-200,-65,-65,-71,-55,-68,-81,-84,-74,-70,-70,-77,-76,-70,-84,-83,-87,-75,-78,-79,-88,-79,-78,-77,-89,-77,-77,-85,-85,-200,-77,-84,-200,-84,-82,-200,-85,-90,-200,-86,-200,-90,-200,-84,-200,-200,-81,-87,-92,-200,-200,-90,-200,-90,-90,-91,-200,-200,-83,-82,-88,-89,-89,-89,-90,-89,-91,-74,-87,-87,-95,-85,-200,-200,-200,-200,-200,-200
1526457826169,-32,-36,-47,-68,-76,-54,-60,-56,-62,-200,-65,-66,-72,-54,-67,-81,-85,-72,-72,-70,-72,-76,-72,-84,-74,-87,-77,-77,-78,-200,-77,-78,-78,-89,-70,-76,-82,-87,-200,-76,-77,-87,-85,-200,-200,-83,-90,-200,-84,-200,-90,-88,-84,-90,-200,-88,-89,-92,-92,-200,-87,-200,-91,-89,-91,-200,-87,-88,-82,-90,-200,-88,-89,-89,-89,-200,-74,-84,-200,-90,-85,-80,-91,-200,-200,-200,-200
1526457829203,-31,-15,-47,-72,-76,-54,-60,-57,-59,-200,-67,-66,-73,-53,-69,-81,-85,-72,-72,-67,-72,-76,-72,-86,-80,-88,-78,-77,-78,-200,-77,-81,-78,-89,-70,-80,-83,-86,-200,-77,-77,-87,-84,-200,-200,-83,-200,-200,-85,-200,-200,-90,-84,-90,-200,-88,-88,-200,-92,-200,-87,-200,-91,-89,-91,-200,-87,-88,-85,-86,-200,-88,-89,-89,-89,-200,-200,-84,-200,-90,-84,-80,-91,-88,-200,-200,-200
1526457832234,-30,-35,-47,-73,-76,-53,-61,-57,-60,-200,-67,-66,-73,-53,-66,-200,-85,-72,-70,-70,-72,-77,-71,-84,-77,-86,-77,-77,-78,-88,-77,-80,-78,-200,-76,-77,-83,-88,-200,-82,-72,-87,-85,-200,-200,-83,-200,-200,-84,-89,-200,-86,-90,-90,-200,-88,-87,-200,-93,-200,-87,-200,-91,-89,-91,-200,-87,-88,-85,-86,-200,-90,-87,-88,-89,-88,-200,-84,-200,-90,-84,-80,-91,-88,-90,-200,-200
1526457835272,-15,-35,-47,-78,-200,-61,-65,-63,-61,-200,-66,-68,-80,-52,-67,-81,-83,-75,-70,-70,-76,-76,-79,-84,-77,-86,-72,-79,-72,-91,-77,-80,-78,-200,-76,-75,-80,-88,-200,-78,-81,-200,-85,-200,-200,-84,-200,-200,-85,-89,-200,-86,-90,-89,-200,-200,-87,-86,-93,-200,-87,-200,-91,-89,-93,-200,-87,-89,-84,-86,-200,-89,-88,-88,-90,-93,-87,-200,-200,-200,-85,-81,-200,-88,-90,-200,-200
