,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D07F10,WHU-2018,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:11:c8,74:da:da:98:74:34,74:da:da:98:74:35,0c:73:eb:d0:7f:00,74:da:da:c1:03:21,0c:73:eb:d0:13:90,74:da:da:98:90:94,0c:73:eb:d0:13:c8,74:da:da:98:74:75,74:da:da:98:74:80,74:da:da:c1:3d:2d,74:da:da:98:74:74,0c:73:eb:d0:11:c0,0c:73:eb:d0:13:98,74:da:da:98:74:81,74:da:da:c1:02:91,74:da:da:98:90:2c,74:da:da:c1:3c:11,74:da:da:c1:3c:45,0c:73:eb:d0:7e:d0,0c:73:eb:d0:19:c0,74:da:da:c1:03:2d,74:da:da:c0:d6:ed,74:da:da:98:85:4c,74:da:da:c0:d7:11,74:da:da:98:ea:54,74:da:da:98:85:1c,74:da:da:c1:3c:4d,0c:73:eb:d0:13:b8,74:da:da:c0:d6:f5,74:da:da:c1:02:8d,74:da:da:98:85:60,74:da:da:c1:03:1d,0c:73:eb:d0:13:b0,0c:73:eb:d0:11:d8,74:da:da:98:66:cc,74:da:da:c1:3a:8d,0c:73:eb:d0:19:c8,0c:73:eb:d0:76:18,74:da:da:98:ea:64,50:3a:a0:ea:01:66,74:da:da:c1:3c:55,74:da:da:c1:3d:2e,74:da:da:c1:3c:85,0c:73:eb:d0:7f:08,0c:73:eb:d0:7c:40,74:da:da:c1:6b:4d,0c:73:eb:d0:11:e0,74:da:da:c1:03:22,74:da:da:c1:25:e5,74:da:da:c0:d7:0d,0c:73:eb:d0:13:d8,74:da:da:98:85:00,0c:73:eb:d0:7c:28,0c:73:eb:d0:76:28,74:da:da:c0:d7:9d,0c:73:eb:d0:0e:a0,0c:73:eb:d0:19:80,0c:73:eb:d0:7f:10,0c:73:eb:d0:76:10,0c:73:eb:d0:19:90,74:da:da:c1:25:d9,d8:15:0d:6c:13:98,74:da:da:c1:3a:dd,0c:73:eb:d0:13:a0
1526460931706,-34,-37,-43,-52,-53,-61,-63,-64,-66,-68,-69,-70,-77,-77,-79,-80,-81,-81,-81,-81,-82,-83,-83,-84,-84,-84,-84,-85,-86,-86,-87,-87,-87,-88,-88,-88,-88,-89,-89,-89,-90,-90,-90,-90,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460934733,-14,-23,-41,-58,-60,-61,-54,-65,-82,-70,-75,-65,-79,-65,-80,-83,-83,-77,-72,-81,-78,-78,-81,-84,-72,-84,-86,-86,-81,-86,-87,-87,-86,-85,-85,-82,-91,-88,-85,-87,-90,-90,-90,-90,-90,-91,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460937744,-30,-36,-42,-55,-60,-58,-64,-66,-82,-65,-76,-62,-82,-66,-82,-83,-83,-75,-75,-200,-79,-78,-84,-78,-72,-83,-85,-82,-78,-200,-78,-90,-86,-85,-88,-82,-89,-88,-85,-89,-84,-83,-200,-200,-90,-90,-87,-90,-88,-90,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460940771,-37,-36,-41,-65,-56,-60,-62,-61,-81,-64,-76,-62,-84,-67,-82,-83,-83,-76,-73,-200,-78,-79,-83,-76,-73,-84,-86,-83,-77,-200,-80,-90,-86,-86,-83,-78,-90,-87,-85,-89,-84,-83,-200,-200,-89,-90,-88,-90,-88,-90,-91,-92,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460943799,-38,-36,-41,-62,-60,-60,-62,-67,-81,-65,-77,-63,-80,-67,-83,-80,-83,-76,-75,-200,-79,-79,-83,-78,-72,-84,-84,-83,-80,-89,-76,-90,-86,-84,-84,-81,-91,-86,-85,-89,-85,-83,-200,-200,-89,-90,-88,-90,-88,-92,-91,-92,-91,-88,-90,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526460946824,-29,-36,-41,-58,-58,-60,-64,-61,-82,-64,-76,-63,-86,-68,-83,-84,-82,-78,-72,-88,-77,-78,-83,-77,-74,-83,-82,-78,-79,-89,-79,-90,-83,-85,-85,-81,-90,-87,-85,-89,-84,-83,-200,-200,-89,-200,-88,-200,-88,-92,-200,-200,-89,-88,-92,-89,-92,-85,-90,-90,-200,-200,-200,-200,-200
1526460949851,-16,-36,-41,-55,-59,-60,-63,-64,-82,-64,-76,-64,-83,-68,-82,-83,-81,-76,-75,-88,-76,-79,-84,-79,-74,-83,-84,-81,-81,-89,-78,-200,-85,-85,-83,-80,-90,-87,-84,-200,-85,-84,-200,-200,-200,-200,-88,-200,-87,-91,-200,-200,-89,-88,-92,-92,-92,-85,-90,-90,-200,-200,-200,-200,-200
1526460952863,-29,-35,-41,-56,-56,-62,-58,-60,-82,-65,-75,-63,-84,-68,-83,-83,-81,-76,-75,-86,-79,-79,-84,-77,-75,-82,-84,-79,-79,-200,-78,-86,-85,-85,-82,-80,-90,-86,-85,-200,-85,-84,-200,-200,-200,-200,-88,-200,-87,-91,-200,-200,-83,-200,-92,-92,-200,-85,-90,-90,-200,-200,-200,-200,-200
1526460955890,-29,-16,-41,-57,-61,-60,-66,-63,-82,-73,-76,-62,-81,-67,-81,-80,-81,-76,-72,-91,-77,-79,-84,-77,-74,-82,-84,-80,-77,-200,-79,-86,-85,-84,-82,-80,-90,-86,-85,-200,-84,-86,-200,-200,-200,-88,-88,-200,-87,-91,-93,-200,-83,-200,-200,-93,-200,-85,-200,-90,-200,-200,-200,-200,-200
1526460958923,-27,-36,-41,-55,-60,-60,-64,-64,-82,-63,-76,-63,-81,-68,-82,-83,-80,-76,-76,-91,-80,-79,-84,-79,-73,-82,-84,-81,-77,-200,-78,-92,-85,-82,-82,-80,-200,-86,-85,-200,-83,-86,-200,-200,-90,-88,-87,-200,-87,-91,-93,-200,-83,-200,-91,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460961956,-28,-34,-41,-54,-58,-59,-63,-67,-81,-63,-75,-63,-82,-69,-81,-81,-82,-76,-75,-86,-75,-78,-83,-79,-75,-82,-84,-63,-80,-92,-79,-88,-85,-84,-88,-80,-200,-89,-85,-90,-85,-83,-200,-200,-90,-88,-88,-200,-200,-200,-91,-200,-83,-200,-91,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460964988,-14,-36,-41,-66,-59,-41,-63,-67,-81,-63,-78,-65,-83,-70,-80,-83,-90,-77,-75,-86,-80,-78,-84,-77,-75,-85,-84,-81,-76,-92,-79,-88,-85,-87,-88,-80,-94,-88,-200,-90,-84,-83,-200,-200,-90,-88,-89,-200,-86,-89,-91,-200,-200,-200,-91,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460968025,-36,-24,-42,-63,-60,-61,-60,-62,-81,-63,-76,-61,-85,-68,-82,-82,-80,-76,-75,-88,-78,-79,-83,-77,-74,-84,-200,-81,-76,-88,-78,-88,-85,-87,-82,-81,-90,-88,-200,-90,-84,-83,-200,-200,-90,-88,-86,-200,-87,-90,-91,-200,-200,-200,-89,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526460971057,-30,-35,-36,-56,-58,-58,-59,-63,-81,-63,-77,-63,-85,-70,-82,-82,-80,-76,-73,-88,-78,-80,-83,-77,-72,-84,-200,-81,-76,-88,-78,-88,-85,-82,-83,-81,-90,-89,-200,-90,-85,-83,-200,-200,-90,-88,-86,-200,-87,-90,-91,-200,-81,-200,-89,-84,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526460974086,-28,-35,-42,-55,-58,-61,-62,-64,-82,-64,-77,-63,-83,-66,-80,-83,-80,-76,-74,-84,-80,-78,-83,-78,-74,-84,-83,-81,-80,-88,-78,-87,-85,-87,-87,-81,-87,-85,-85,-200,-84,-83,-200,-200,-88,-200,-89,-200,-87,-90,-90,-200,-85,-200,-89,-84,-90,-200,-200,-200,-84,-93,-200,-200,-200
