,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A38,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,74:da:da:98:7a:50,74:da:da:98:7a:4c,0c:73:eb:d0:11:b8,0c:73:eb:d0:11:b0,74:da:da:98:7a:60,74:da:da:98:7a:51,0c:73:eb:d0:13:c0,74:da:da:98:7a:6c,74:da:da:c1:3c:91,74:da:da:98:7a:68,0c:73:eb:d0:76:40,0c:73:eb:d0:11:d0,74:da:da:c1:3b:9d,74:da:da:c0:e0:81,74:da:da:c1:3c:d1,74:da:da:c0:e0:71,0c:73:eb:d0:7e:f0,74:da:da:98:7a:6d,74:da:da:98:7a:4d,74:da:da:98:74:94,74:da:da:98:7a:69,74:da:da:c1:56:ed,74:da:da:98:7a:61,74:da:da:c1:3c:e1,74:da:da:c0:e0:69,74:da:da:c1:3b:4d,0c:73:eb:d0:7c:38,74:da:da:c1:61:69,0c:73:eb:d0:7e:d8,0c:73:eb:d0:7c:48,0c:73:eb:d0:11:e0,74:da:da:c1:4a:ed,0c:73:eb:d0:0e:d0,0c:73:eb:d0:7e:e0,74:da:da:c1:3c:92,74:da:da:98:85:00,74:da:da:c1:3b:49,74:da:da:c1:3c:f9,74:da:da:c1:3c:ad,74:da:da:c1:3c:d2,74:da:da:c1:4a:f5,74:da:da:98:85:4c,74:da:da:c1:3c:99,74:da:da:98:ea:4c,74:da:da:c0:e0:72,0c:73:eb:d0:7c:30,0c:73:eb:d0:19:b0,0c:73:eb:d0:2a:48,74:da:da:c1:56:a1,74:da:da:c1:4a:a5,74:da:da:c1:3c:51,0c:73:eb:d0:19:a8,0c:73:eb:d0:2a:20,74:da:da:c1:4a:7d,74:da:da:c1:3c:6d,0c:73:eb:d0:11:f0,74:da:da:c0:e0:82,74:da:da:c0:d7:b9,74:da:da:c0:d8:59,74:da:da:c1:3c:e2,74:da:da:c1:4b:01,0c:73:eb:d0:2a:38,0c:73:eb:d0:76:58,0c:73:eb:d0:76:20,74:da:da:98:92:14,74:da:da:c1:3b:85,0c:73:eb:d0:7f:10,0c:73:eb:d0:7e:e8,74:da:da:c1:4a:c9,74:da:da:c0:d7:ed,0c:73:eb:d0:2a:98,0c:73:eb:d0:76:48,74:da:da:c1:3c:8d,74:da:da:c1:3c:9a,74:da:da:c0:e2:d9,74:da:da:c0:d7:19,74:da:da:c1:3c:fa,0c:73:eb:d0:2a:58,0c:73:eb:d0:2a:10,74:da:da:c0:e0:6a,74:da:da:c1:3c:f5,74:da:da:98:8f:64,0c:73:eb:d0:13:a8,74:da:da:98:8f:34,74:da:da:c0:d7:09,74:da:da:c1:04:45,0c:73:eb:d0:7c:00,0c:73:eb:d0:11:e8,74:da:da:c1:3c:dd,74:da:da:c0:d7:dd,0c:73:eb:d0:2a:30,74:da:da:c1:3b:e9,74:da:da:c0:d8:05,74:da:da:c1:4b:59,74:da:da:98:ea:4d,74:da:da:98:85:60,74:da:da:98:91:d4,74:da:da:98:8d:78,0c:73:eb:d0:13:d0,74:da:da:c1:47:cd
1526465553589,-26,-31,-36,-40,-41,-45,-47,-50,-51,-54,-55,-57,-57,-58,-59,-61,-62,-63,-63,-63,-66,-68,-70,-71,-71,-71,-72,-72,-73,-74,-75,-75,-75,-75,-77,-78,-79,-79,-80,-80,-80,-80,-81,-82,-82,-83,-83,-83,-85,-85,-85,-85,-87,-87,-87,-88,-88,-88,-88,-89,-89,-89,-89,-90,-90,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465556629,-32,-49,-45,-37,-39,-54,-49,-50,-40,-57,-58,-60,-51,-59,-66,-64,-56,-63,-68,-62,-71,-72,-72,-62,-79,-71,-72,-72,-81,-76,-75,-75,-74,-200,-67,-200,-79,-80,-72,-81,-87,-80,-67,-60,-200,-80,-79,-72,-200,-200,-200,-200,-87,-86,-87,-78,-79,-200,-61,-86,-89,-86,-91,-200,-91,-91,-86,-73,-76,-81,-82,-85,-85,-86,-88,-88,-89,-89,-89,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465559665,-30,-50,-47,-15,-38,-53,-54,-51,-41,-53,-55,-61,-51,-60,-67,-62,-56,-65,-67,-64,-72,-70,-70,-58,-81,-200,-81,-74,-82,-77,-200,-73,-73,-200,-62,-200,-80,-81,-73,-81,-87,-200,-67,-59,-200,-77,-77,-71,-200,-200,-200,-72,-84,-86,-200,-82,-79,-200,-76,-88,-200,-86,-88,-200,-91,-92,-86,-82,-78,-82,-82,-85,-85,-88,-88,-88,-89,-91,-90,-90,-89,-80,-82,-82,-86,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465562700,-31,-50,-47,-35,-39,-55,-51,-52,-39,-54,-58,-58,-51,-62,-70,-60,-53,-65,-68,-66,-72,-71,-70,-58,-81,-200,-81,-73,-84,-79,-200,-73,-74,-200,-63,-200,-78,-80,-74,-81,-87,-200,-67,-61,-200,-77,-78,-73,-200,-200,-200,-74,-83,-86,-85,-80,-79,-200,-77,-88,-200,-86,-88,-87,-91,-92,-88,-82,-77,-81,-81,-87,-85,-87,-88,-88,-89,-91,-90,-88,-89,-81,-82,-82,-86,-86,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465565741,-15,-58,-46,-37,-48,-55,-51,-53,-21,-62,-58,-60,-47,-70,-75,-60,-58,-64,-68,-63,-71,-64,-69,-65,-88,-200,-82,-72,-84,-76,-85,-73,-74,-81,-62,-88,-79,-79,-74,-81,-87,-200,-67,-60,-87,-77,-77,-78,-200,-200,-200,-74,-83,-87,-85,-78,-81,-200,-72,-89,-200,-86,-88,-87,-91,-92,-88,-82,-76,-82,-81,-86,-85,-88,-88,-88,-89,-89,-90,-88,-89,-81,-82,-83,-86,-86,-88,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465568775,-31,-50,-50,-37,-40,-54,-52,-53,-39,-54,-58,-61,-47,-59,-66,-63,-56,-64,-68,-63,-72,-64,-70,-64,-81,-200,-84,-73,-81,-80,-85,-73,-74,-81,-63,-88,-79,-83,-75,-81,-86,-200,-67,-60,-85,-77,-79,-77,-200,-200,-200,-71,-85,-87,-85,-80,-79,-200,-74,-89,-200,-200,-88,-87,-200,-92,-89,-82,-80,-81,-81,-86,-85,-88,-86,-200,-89,-78,-90,-89,-89,-82,-82,-83,-86,-86,-88,-86,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465571814,-31,-50,-48,-37,-39,-53,-52,-50,-39,-50,-58,-60,-50,-60,-67,-63,-61,-65,-68,-65,-72,-71,-71,-62,-80,-200,-81,-72,-81,-79,-85,-74,-73,-81,-64,-89,-79,-80,-73,-81,-86,-200,-67,-57,-85,-81,-77,-70,-200,-200,-200,-71,-89,-87,-85,-78,-79,-200,-75,-89,-200,-200,-200,-87,-200,-200,-86,-75,-78,-82,-81,-86,-86,-86,-87,-200,-89,-78,-89,-89,-200,-80,-200,-83,-90,-86,-86,-86,-90,-92,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465574850,-31,-51,-49,-37,-41,-54,-53,-53,-41,-62,-58,-62,-49,-61,-68,-62,-61,-64,-68,-66,-71,-74,-70,-61,-81,-79,-83,-75,-82,-78,-85,-75,-74,-82,-64,-89,-78,-80,-73,-81,-88,-200,-69,-62,-85,-79,-77,-78,-200,-200,-200,-71,-89,-87,-85,-85,-78,-200,-91,-89,-200,-200,-92,-87,-91,-92,-84,-76,-78,-82,-200,-87,-84,-85,-87,-200,-91,-89,-89,-89,-89,-80,-82,-83,-90,-200,-86,-86,-90,-92,-89,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526465577892,-31,-50,-47,-40,-40,-54,-51,-52,-40,-54,-59,-59,-49,-59,-64,-62,-58,-63,-69,-63,-72,-71,-71,-61,-80,-79,-86,-73,-80,-76,-82,-73,-82,-82,-63,-89,-79,-81,-73,-81,-87,-200,-70,-60,-86,-80,-76,-76,-200,-200,-200,-71,-88,-200,-86,-80,-78,-200,-76,-89,-200,-200,-92,-86,-91,-91,-84,-74,-76,-81,-200,-89,-87,-85,-87,-200,-91,-89,-90,-89,-88,-81,-82,-82,-90,-200,-86,-89,-90,-92,-87,-76,-87,-88,-200,-200,-200,-200,-200,-200
