,null,vlucci.com AC-V1.4.0.0,0113.0012-vlucci.com A1.4.0.1,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,0114.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011c.0012-vlucci.com A1.4.0.1
,BC:6A:29:BE:31:61,78:A5:04:41:EE:15,7C:66:9D:7B:2B:BA,7C:66:9D:7B:47:3D,7C:66:9D:7B:46:8C,78:A5:04:41:E7:EF,78:A5:04:41:E7:A2,78:A5:04:41:EE:1D,BC:6A:29:BE:2F:12,7C:66:9D:7B:2B:CB,78:A5:04:41:E7:93,78:A5:04:41:E5:70,F4:B8:5E:AA:77:73
1526442491096,-69,-86,-66,-67,-59,-84,-86,-200,-200,-200,-200,-200,-200
1526442491239,-200,-86,-68,-73,-60,-84,-86,-83,-72,-200,-200,-200,-200
1526442491345,-200,-86,-68,-200,-59,-200,-200,-200,-72,-200,-200,-200,-200
1526442491455,-81,-200,-67,-200,-61,-85,-200,-75,-200,-200,-200,-200,-200
1526442496053,-200,-85,-75,-66,-61,-84,-200,-200,-200,-60,-200,-200,-200
1526442496149,-78,-200,-76,-67,-61,-200,-84,-200,-200,-60,-200,-200,-200
1526442496258,-200,-84,-76,-66,-60,-200,-200,-200,-71,-200,-200,-200,-200
1526442496393,-200,-200,-200,-67,-62,-200,-200,-200,-200,-200,-200,-200,-200
1526442501031,-77,-200,-76,-77,-66,-200,-200,-200,-200,-67,-200,-200,-200
1526442501160,-200,-84,-200,-77,-66,-200,-200,-76,-88,-67,-200,-200,-200
1526442501269,-77,-83,-200,-78,-65,-200,-200,-200,-200,-67,-200,-200,-200
1526442501367,-73,-200,-76,-200,-66,-200,-200,-200,-200,-67,-90,-200,-200
1526442505987,-200,-200,-66,-81,-66,-86,-83,-200,-82,-60,-200,-90,-200
1526442506219,-200,-83,-66,-200,-66,-85,-85,-80,-200,-61,-90,-200,-200
1526442506320,-200,-83,-67,-68,-67,-85,-200,-78,-200,-62,-200,-89,-200
1526442510988,-82,-200,-200,-200,-80,-81,-200,-76,-200,-74,-200,-200,-200
