,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EE:1D,78:A5:04:41:E5:62,78:A5:04:41:E7:88,78:A5:04:41:E7:EF,78:A5:04:41:EB:CE,78:A5:04:41:EB:98,78:A5:04:41:E9:EB,7C:66:9D:7B:47:3D,78:A5:04:41:E5:70,78:A5:04:41:EE:15,BC:6A:29:BE:2F:12,78:A5:04:41:E9:92,78:A5:04:41:E7:D5,78:A5:04:41:E7:98,78:A5:04:41:E9:D7,78:A5:04:41:E9:8A,BC:6A:29:BE:31:61,78:A5:04:41:EE:08,7C:66:9D:7B:46:8C,78:A5:04:41:E9:D2
1526446676457,-83,-72,-61,-82,-83,-69,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446676563,-82,-72,-61,-82,-83,-69,-69,-91,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446676755,-83,-200,-200,-200,-77,-69,-68,-200,-200,-79,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446681484,-87,-80,-200,-74,-78,-78,-75,-200,-200,-80,-200,-80,-59,-200,-200,-200,-200,-200,-200,-200
1526446681599,-200,-80,-55,-72,-78,-200,-200,-90,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446681697,-200,-80,-55,-74,-77,-200,-76,-90,-200,-80,-200,-80,-60,-76,-76,-86,-100,-200,-200,-200
1526446686462,-200,-200,-62,-81,-200,-200,-76,-200,-200,-200,-200,-200,-58,-79,-76,-86,-99,-200,-200,-200
1526446686523,-200,-200,-62,-81,-200,-200,-76,-93,-200,-80,-93,-77,-58,-79,-76,-86,-98,-200,-200,-200
1526446686667,-200,-200,-62,-81,-200,-65,-200,-93,-200,-80,-200,-77,-200,-200,-76,-200,-200,-88,-200,-200
1526446686742,-82,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-76,-200,-98,-200,-200,-200
