,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,0120.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
,78:A5:04:41:EE:08,78:A5:04:41:E9:EB,78:A5:04:41:E7:98,78:A5:04:41:E5:62,78:A5:04:41:E7:88,78:A5:04:41:E9:D7,78:A5:04:41:E9:8A,78:A5:04:41:EB:FB,78:A5:04:41:EB:98,BC:6A:29:BE:31:7F,F4:B8:5E:AA:7A:38,78:A5:04:41:E7:D5,78:A5:04:41:E7:EF,78:A5:04:41:E9:92,7C:66:9D:7B:2E:21,78:A5:04:41:E9:D2,78:A5:04:41:EE:15,78:A5:04:41:E5:34,78:A5:04:41:E9:82,78:A5:04:41:E5:70,7C:66:9D:7B:47:FC
1526441042935,-85,-61,-82,-62,-76,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441043070,-86,-61,-82,-62,-200,-81,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441043172,-200,-61,-82,-200,-200,-200,-77,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441047804,-200,-61,-200,-63,-200,-69,-68,-200,-76,-95,-87,-66,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526441047910,-200,-200,-200,-63,-82,-200,-68,-200,-76,-200,-87,-200,-83,-70,-200,-200,-200,-200,-200,-200,-200
1526441048027,-200,-61,-200,-63,-200,-69,-68,-200,-76,-94,-200,-200,-84,-200,-97,-200,-200,-200,-200,-200,-200
1526441048137,-200,-61,-200,-200,-200,-200,-68,-200,-77,-200,-200,-200,-83,-200,-99,-200,-200,-200,-200,-200,-200
1526441048240,-200,-81,-200,-200,-200,-200,-200,-200,-76,-94,-200,-67,-86,-74,-200,-200,-200,-200,-200,-200,-200
1526441052833,-200,-82,-200,-200,-200,-84,-200,-200,-78,-100,-200,-66,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526441053000,-200,-81,-200,-200,-200,-83,-200,-89,-200,-200,-200,-67,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526441053101,-200,-82,-200,-65,-200,-81,-200,-200,-79,-200,-200,-67,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526441053204,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-67,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526441057814,-200,-60,-82,-200,-200,-74,-84,-80,-75,-200,-200,-68,-90,-83,-200,-200,-200,-200,-200,-200,-200
1526441057937,-200,-64,-84,-66,-200,-200,-84,-200,-73,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441058057,-200,-64,-200,-67,-200,-200,-92,-200,-200,-200,-200,-73,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526441062805,-200,-60,-200,-63,-200,-66,-68,-200,-200,-96,-87,-67,-83,-200,-96,-200,-200,-200,-200,-200,-200
1526441062958,-81,-200,-200,-63,-200,-200,-200,-200,-77,-200,-88,-66,-200,-78,-95,-200,-200,-200,-200,-200,-200
1526441063073,-81,-200,-200,-63,-200,-200,-200,-200,-77,-200,-200,-67,-200,-77,-200,-83,-200,-200,-200,-200,-200
1526441063179,-200,-200,-200,-63,-200,-200,-200,-200,-77,-200,-200,-67,-84,-77,-200,-200,-200,-200,-200,-200,-200
1526441067818,-90,-82,-200,-200,-200,-200,-74,-86,-77,-200,-200,-66,-86,-75,-200,-200,-200,-200,-200,-200,-200
1526441067910,-200,-82,-200,-200,-200,-85,-74,-86,-77,-200,-92,-66,-85,-75,-200,-200,-200,-200,-200,-200,-200
1526441068024,-200,-83,-200,-64,-200,-200,-75,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441068137,-200,-83,-200,-200,-200,-88,-74,-86,-77,-100,-200,-66,-200,-77,-200,-200,-94,-200,-200,-200,-200
1526441072832,-200,-60,-84,-62,-78,-73,-200,-79,-74,-200,-200,-68,-200,-80,-200,-200,-200,-87,-200,-200,-200
1526441072916,-200,-60,-85,-63,-79,-74,-200,-80,-200,-200,-200,-68,-200,-78,-200,-200,-200,-200,-200,-200,-200
1526441073026,-200,-60,-84,-200,-79,-75,-83,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441073130,-200,-60,-85,-63,-79,-200,-82,-80,-200,-94,-200,-68,-200,-200,-200,-200,-200,-88,-88,-89,-200
1526441077826,-200,-60,-200,-63,-200,-68,-67,-200,-200,-96,-88,-200,-200,-76,-200,-200,-200,-200,-200,-90,-200
1526441077958,-82,-200,-200,-62,-200,-68,-67,-200,-200,-200,-87,-66,-200,-200,-95,-200,-200,-200,-200,-200,-200
1526441078060,-200,-60,-200,-200,-200,-68,-68,-200,-76,-200,-88,-200,-84,-77,-96,-82,-200,-200,-200,-91,-200
1526441078179,-82,-59,-200,-200,-200,-70,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441082814,-200,-200,-200,-64,-200,-84,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200
1526441082914,-200,-200,-200,-64,-200,-75,-79,-200,-76,-200,-200,-200,-88,-74,-200,-200,-200,-200,-200,-200,-97
1526441083027,-200,-72,-200,-200,-86,-200,-200,-200,-76,-200,-200,-67,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526441083153,-200,-69,-80,-64,-200,-200,-78,-200,-76,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441087806,-200,-200,-80,-62,-200,-75,-200,-200,-78,-103,-200,-66,-200,-200,-200,-82,-200,-200,-200,-200,-200
1526441087945,-85,-60,-79,-200,-77,-200,-200,-79,-78,-200,-200,-66,-86,-73,-200,-81,-200,-200,-200,-200,-200
1526441088071,-84,-60,-80,-62,-200,-75,-200,-79,-78,-100,-200,-66,-86,-200,-200,-81,-200,-200,-89,-200,-200
1526441088173,-82,-200,-80,-63,-200,-73,-200,-200,-78,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441092818,-82,-58,-84,-200,-200,-200,-66,-200,-200,-95,-200,-66,-200,-200,-200,-81,-200,-200,-200,-200,-200
1526441092926,-82,-57,-85,-200,-200,-83,-67,-200,-77,-200,-200,-66,-200,-200,-100,-200,-200,-200,-200,-200,-200
1526441093028,-200,-58,-85,-200,-200,-200,-68,-200,-200,-200,-88,-66,-200,-76,-200,-80,-200,-200,-200,-200,-200
1526441093128,-200,-58,-85,-61,-200,-200,-67,-200,-77,-94,-200,-66,-89,-78,-200,-80,-200,-200,-200,-200,-200
1526441097869,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-68,-200,-78,-200,-200,-200,-200,-200,-200,-200
1526441097972,-200,-76,-200,-200,-92,-200,-83,-200,-89,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441098072,-200,-200,-200,-62,-200,-72,-200,-200,-81,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200
1526441098178,-200,-66,-84,-200,-200,-69,-73,-200,-200,-200,-200,-66,-200,-78,-200,-200,-200,-200,-200,-200,-200
1526441102802,-200,-200,-82,-200,-82,-77,-81,-200,-79,-200,-200,-65,-200,-76,-200,-200,-200,-88,-200,-200,-200
1526441102912,-200,-200,-82,-62,-83,-200,-200,-82,-200,-200,-200,-65,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526441103016,-200,-59,-82,-62,-82,-78,-200,-80,-79,-200,-200,-65,-86,-76,-200,-200,-200,-200,-200,-200,-200
1526441103136,-200,-200,-200,-62,-200,-200,-200,-200,-79,-200,-200,-65,-200,-75,-200,-200,-200,-200,-200,-200,-200
1526441103236,-200,-57,-200,-62,-200,-200,-67,-200,-79,-200,-200,-65,-85,-200,-96,-200,-200,-200,-200,-200,-200
1526441107905,-200,-57,-200,-62,-200,-77,-200,-200,-83,-200,-200,-200,-85,-76,-95,-81,-200,-200,-200,-200,-200
1526441108002,-200,-57,-84,-62,-200,-77,-200,-200,-200,-98,-200,-68,-200,-76,-200,-200,-200,-200,-200,-200,-200
1526441108106,-200,-57,-84,-62,-200,-200,-67,-200,-83,-200,-200,-68,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526441108211,-200,-200,-200,-61,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
