,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,BC:6A:29:BE:31:17,78:A5:04:41:EB:F1,78:A5:04:41:EB:A5,78:A5:04:41:E5:68,BC:6A:29:BE:2F:54,78:A5:04:41:EE:17,78:A5:04:41:E9:A0,78:A5:04:41:E9:98,78:A5:04:41:E7:9D,78:A5:04:41:E9:B3,78:A5:04:41:E9:CC,78:A5:04:41:E9:AB,78:A5:04:41:EE:06
1526449673568,-84,-83,-62,-84,-88,-85,-78,-62,-200,-200,-200,-200,-200
1526449673672,-84,-82,-63,-83,-88,-84,-200,-61,-86,-90,-88,-200,-200
1526449673781,-85,-81,-200,-89,-81,-85,-79,-62,-86,-90,-88,-200,-200
1526449678496,-200,-75,-57,-200,-200,-79,-76,-200,-200,-200,-88,-200,-200
1526449678592,-200,-75,-57,-200,-200,-79,-76,-62,-200,-80,-88,-84,-200
1526449678702,-90,-74,-57,-88,-79,-80,-76,-62,-200,-200,-88,-200,-200
1526449678850,-90,-75,-58,-88,-81,-80,-75,-61,-200,-200,-200,-84,-200
1526449683477,-94,-74,-61,-89,-80,-84,-79,-64,-91,-200,-200,-200,-89
1526449683560,-92,-74,-61,-89,-80,-84,-79,-64,-200,-200,-200,-200,-88
1526449683731,-92,-74,-60,-200,-80,-200,-79,-64,-200,-200,-200,-200,-94
1526449683873,-93,-74,-200,-200,-80,-200,-79,-200,-200,-200,-200,-200,-200
1526449688459,-89,-69,-200,-200,-81,-200,-76,-200,-200,-200,-200,-200,-200
1526449688609,-89,-200,-57,-88,-80,-200,-200,-62,-200,-81,-88,-200,-83
1526449688698,-90,-200,-57,-200,-79,-80,-200,-62,-200,-81,-87,-200,-200
1526449688882,-88,-200,-57,-200,-80,-80,-200,-200,-200,-200,-87,-84,-83
1526449688969,-200,-200,-60,-200,-80,-200,-200,-62,-200,-200,-88,-200,-91
1526449693485,-92,-200,-200,-90,-82,-200,-77,-200,-90,-200,-200,-200,-200
1526449693577,-200,-74,-200,-200,-82,-86,-77,-63,-200,-200,-92,-200,-90
1526449693679,-93,-74,-60,-200,-82,-200,-77,-64,-200,-200,-200,-200,-200
1526449693793,-91,-200,-60,-200,-82,-200,-78,-64,-200,-200,-200,-200,-200
1526449698503,-94,-75,-60,-200,-81,-85,-79,-66,-200,-200,-200,-200,-200
1526449698631,-90,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200
1526449698811,-98,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200
1526449698926,-92,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200
1526449699151,-92,-200,-60,-88,-80,-85,-200,-63,-200,-200,-200,-200,-91
1526449699241,-89,-75,-60,-200,-81,-85,-79,-63,-200,-200,-200,-200,-200
1526449699348,-89,-200,-58,-200,-200,-200,-79,-200,-200,-200,-89,-200,-200
1526449703488,-93,-200,-58,-88,-86,-86,-79,-64,-90,-200,-88,-200,-200
1526449703579,-94,-65,-58,-200,-200,-90,-79,-64,-200,-200,-89,-200,-200
1526449703681,-94,-200,-57,-200,-86,-200,-78,-64,-200,-92,-89,-200,-200
