,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0113.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:93,78:A5:04:41:E7:A2,7C:66:9D:7B:2B:BA,BC:6A:29:BE:31:61,78:A5:04:41:EB:DD,7C:66:9D:7B:46:8C,BC:6A:29:BE:2F:12,78:A5:04:41:EB:CE,7C:66:9D:7B:47:3D,78:A5:04:41:EE:1D
1526447418569,-67,-74,-86,-90,-200,-200,-200,-200,-200,-200
1526447418676,-67,-73,-200,-87,-73,-96,-99,-200,-200,-200
1526447418780,-66,-75,-200,-87,-74,-200,-96,-91,-93,-200
1526447423486,-68,-68,-200,-200,-81,-200,-200,-200,-92,-92
1526447423585,-69,-68,-200,-200,-81,-200,-102,-200,-93,-200
1526447423706,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447423809,-69,-67,-200,-200,-68,-200,-200,-200,-92,-92
1526447428514,-63,-67,-200,-200,-68,-200,-200,-86,-200,-200
1526447428633,-63,-67,-90,-200,-200,-95,-200,-86,-200,-88
1526447428732,-63,-67,-200,-200,-68,-94,-200,-87,-200,-200
1526447428842,-200,-200,-200,-96,-200,-94,-200,-200,-200,-200
1526447429037,-64,-72,-200,-96,-200,-200,-200,-200,-92,-200
1526447433573,-64,-71,-200,-90,-200,-200,-99,-87,-200,-200
1526447433751,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447433853,-64,-72,-200,-200,-200,-200,-200,-88,-96,-200
1526447438451,-200,-66,-200,-101,-82,-200,-200,-200,-91,-200
1526447438616,-68,-66,-90,-200,-81,-200,-200,-200,-200,-89
1526447438719,-68,-66,-200,-200,-81,-200,-200,-200,-200,-200
1526447438834,-68,-67,-200,-101,-81,-200,-200,-200,-200,-89
1526447438942,-200,-200,-200,-200,-81,-200,-200,-89,-92,-200
1526447443534,-69,-200,-200,-98,-73,-94,-200,-200,-92,-200
1526447443806,-64,-200,-200,-200,-68,-97,-200,-86,-92,-86
1526447443894,-64,-68,-200,-200,-200,-200,-200,-200,-91,-87
1526447444011,-200,-67,-200,-200,-68,-200,-200,-87,-92,-200
1526447448462,-200,-72,-200,-92,-200,-200,-200,-87,-200,-200
1526447448554,-64,-73,-200,-200,-200,-200,-200,-200,-200,-200
1526447448651,-200,-72,-200,-92,-200,-200,-200,-87,-200,-200
1526447448765,-200,-72,-200,-92,-200,-200,-200,-200,-99,-200
1526447448875,-68,-67,-88,-91,-79,-200,-200,-88,-91,-200
1526447453555,-68,-67,-88,-200,-79,-200,-99,-200,-91,-89
1526447453648,-68,-67,-88,-98,-200,-200,-200,-200,-91,-200
1526447453754,-68,-67,-200,-200,-79,-200,-200,-200,-90,-89
1526447453856,-68,-200,-200,-200,-200,-95,-200,-86,-200,-200
1526447458476,-64,-67,-200,-200,-69,-96,-200,-200,-200,-88
1526447458577,-64,-68,-200,-200,-70,-95,-200,-86,-92,-200
1526447458672,-64,-68,-200,-96,-200,-200,-200,-86,-200,-88
1526447458784,-64,-68,-200,-97,-69,-200,-200,-200,-92,-87
1526447458883,-64,-72,-200,-93,-73,-200,-200,-200,-96,-200
1526447463525,-66,-73,-200,-92,-72,-200,-200,-87,-97,-200
1526447463641,-66,-74,-200,-92,-73,-200,-200,-86,-97,-200
1526447463738,-66,-75,-200,-92,-72,-200,-200,-86,-98,-200
1526447463843,-66,-75,-91,-103,-200,-200,-200,-200,-99,-89
1526447468514,-66,-67,-200,-200,-84,-200,-200,-200,-200,-89
1526447468639,-66,-66,-91,-200,-84,-200,-200,-200,-93,-200
1526447468713,-66,-66,-91,-200,-84,-200,-200,-200,-200,-89
1526447468821,-200,-66,-200,-200,-84,-200,-200,-200,-93,-200
1526447473445,-62,-68,-200,-96,-70,-94,-102,-200,-92,-200
1526447473537,-63,-67,-200,-97,-69,-95,-200,-200,-91,-200
1526447473656,-63,-68,-200,-96,-70,-94,-200,-87,-90,-200
1526447473749,-63,-68,-200,-94,-73,-200,-101,-88,-92,-200
1526447473857,-200,-200,-200,-95,-200,-200,-200,-86,-93,-200
1526447478476,-65,-70,-200,-92,-74,-200,-200,-86,-200,-200
1526447478584,-200,-81,-200,-91,-74,-200,-97,-86,-200,-200
1526447478734,-64,-69,-200,-200,-74,-200,-98,-87,-200,-200
1526447478851,-200,-200,-200,-200,-74,-200,-200,-86,-200,-200
1526447483455,-200,-68,-90,-200,-79,-200,-200,-200,-93,-200
1526447483562,-200,-68,-89,-200,-80,-200,-200,-200,-93,-200
