,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,0120.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011a.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:A2,BC:6A:29:BE:2F:12,78:A5:04:41:E7:EF,78:A5:04:41:EB:CE,78:A5:04:41:EE:1D,78:A5:04:41:E7:D5,78:A5:04:41:EE:15,7C:66:9D:7B:47:3D,78:A5:04:41:E9:8A,7C:66:9D:7B:46:8C,78:A5:04:41:E9:D7,78:A5:04:41:E5:62,7C:66:9D:7B:2B:CB,78:A5:04:41:E5:70,78:A5:04:41:E7:98,BC:6A:29:BE:31:61,78:A5:04:41:E7:93,F4:B8:5E:AA:7A:38,78:A5:04:41:EB:98,7C:66:9D:7B:2B:BA,78:A5:04:41:E7:88,78:A5:04:41:E9:EB,F4:B8:5E:AA:77:7E,78:A5:04:41:E9:92
1526452227235,-86,-85,-66,-92,-75,-82,-83,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452228321,-83,-85,-200,-200,-200,-85,-82,-200,-90,-94,-94,-90,-83,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452229431,-81,-83,-64,-85,-76,-200,-81,-200,-88,-91,-200,-81,-200,-87,-84,-91,-95,-90,-200,-200,-200,-200,-200,-200
1526452230591,-88,-200,-65,-84,-200,-200,-200,-200,-200,-200,-200,-200,-87,-88,-200,-200,-93,-200,-83,-200,-200,-200,-200,-200
1526452231650,-87,-200,-70,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-94,-200,-200,-200,-200,-200,-200
1526452231750,-200,-87,-68,-200,-71,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200
1526452232828,-200,-86,-200,-200,-70,-200,-78,-93,-87,-200,-92,-200,-91,-200,-200,-200,-200,-93,-86,-200,-85,-200,-200,-200
1526452234029,-200,-86,-62,-200,-200,-79,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200
1526452235096,-89,-200,-62,-90,-75,-200,-200,-90,-200,-200,-200,-200,-89,-88,-78,-91,-200,-90,-82,-200,-87,-92,-200,-200
1526452237206,-200,-90,-200,-90,-75,-79,-200,-90,-200,-200,-200,-88,-200,-92,-72,-200,-200,-200,-88,-200,-200,-200,-82,-200
1526452238375,-200,-86,-67,-200,-200,-200,-200,-90,-200,-200,-200,-80,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452239431,-86,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-83,-82,-200,-200,-90,-200,-200,-82,-200,-88,-200
1526452240577,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-68,-200,-200,-200,-200,-93,-200,-200,-94,-200
1526452241639,-200,-83,-70,-200,-77,-200,-90,-92,-200,-200,-200,-86,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452241749,-200,-94,-70,-200,-200,-82,-83,-200,-89,-200,-200,-200,-85,-89,-200,-200,-200,-200,-200,-200,-85,-200,-200,-94
1526452242830,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-80,-92,-80,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200
1526452243910,-200,-85,-76,-200,-75,-200,-200,-200,-87,-200,-92,-90,-200,-200,-200,-89,-200,-87,-82,-88,-200,-91,-200,-200
1526452245048,-200,-200,-200,-90,-77,-200,-200,-93,-200,-200,-200,-83,-200,-200,-73,-200,-200,-200,-84,-200,-200,-200,-87,-200
1526452246139,-200,-95,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-67,-98,-200,-86,-200,-91,-200,-200,-84,-200
1526452247223,-200,-200,-65,-200,-75,-200,-200,-200,-200,-93,-200,-200,-89,-200,-81,-99,-200,-200,-200,-200,-200,-200,-200,-200
1526452248322,-200,-200,-200,-84,-74,-75,-200,-94,-200,-200,-200,-86,-200,-87,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526452249423,-87,-87,-65,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-87,-200,-92,-200,-92,-90,-200,-88,-200,-200,-200
