,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0120.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0125.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011a.0012-vlucci.com A1.4.0.1
,78:A5:04:41:EB:CE,78:A5:04:41:E9:EB,78:A5:04:41:E7:98,F4:B8:5E:AA:7A:38,BC:6A:29:BE:31:7F,78:A5:04:41:E9:D7,78:A5:04:41:E7:D5,78:A5:04:41:E5:34,7C:66:9D:7B:2E:21,78:A5:04:41:E7:88,BC:6A:29:BE:2F:12,78:A5:04:41:E5:62,78:A5:04:41:E5:70,78:A5:04:41:E7:9D,78:A5:04:41:EE:1D,BC:6A:29:BE:31:17,78:A5:04:41:E9:92,78:A5:04:41:EE:08,78:A5:04:41:EB:FB,7C:66:9D:7B:47:FC,78:A5:04:41:E7:A2,78:A5:04:41:E9:8A,78:A5:04:41:E7:EF,78:A5:04:41:EE:15,78:A5:04:41:EB:D1,78:A5:04:41:E9:AB,78:A5:04:41:EB:98,78:A5:04:41:E9:D2,78:A5:04:41:E9:A0,78:A5:04:41:EB:E8,78:A5:04:41:E9:CB,78:A5:04:41:E9:82,F4:B8:5E:AA:79:21,7C:66:9D:7B:47:3D,78:A5:04:41:E9:BB,78:A5:04:41:E9:BE,F4:B8:5E:AA:77:7E
1526451615581,-72,-70,-83,-82,-96,-87,-75,-75,-94,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451616734,-75,-200,-200,-79,-200,-200,-200,-200,-200,-200,-96,-68,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451617774,-72,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-87,-85,-92,-76,-86,-79,-96,-95,-88,-87,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451618924,-74,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451619978,-76,-200,-200,-200,-200,-82,-83,-200,-200,-71,-200,-72,-83,-82,-200,-98,-77,-88,-80,-200,-200,-200,-200,-200,-200,-92,-79,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451621127,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-64,-200,-86,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526451622196,-200,-80,-200,-79,-97,-200,-72,-200,-200,-200,-200,-64,-200,-77,-200,-200,-84,-200,-200,-200,-200,-84,-200,-200,-200,-200,-79,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526451623322,-84,-200,-200,-200,-200,-200,-78,-200,-95,-200,-200,-64,-200,-200,-83,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-89,-200,-94,-200,-200,-200,-200,-200,-200,-200
1526451624450,-200,-71,-200,-200,-200,-200,-91,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
