,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:FB,78:A5:04:41:E9:B3,78:A5:04:41:E5:59,7C:66:9D:7B:47:FC,78:A5:04:41:EE:08,BC:6A:29:BE:2F:54,78:A5:04:41:E7:A7,78:A5:04:41:E5:3E,BC:6A:29:BE:31:17,78:A5:04:41:E9:BE,78:A5:04:41:EB:FE,78:A5:04:41:EB:E8,78:A5:04:41:E9:82,78:A5:04:41:EB:AA,78:A5:04:41:E9:D2,BC:6A:29:BE:31:7F,78:A5:04:41:E9:E3,78:A5:04:41:E9:F3,78:A5:04:41:E9:8A,78:A5:04:41:E9:92,78:A5:04:41:E9:C8,78:A5:04:41:EE:0A,78:A5:04:41:E5:34,78:A5:04:41:EB:AC,78:A5:04:41:E9:8E,78:A5:04:41:EB:D1,7C:66:9D:7B:2E:21,78:A5:04:41:E9:BB,78:A5:04:41:E7:9D,78:A5:04:41:E9:A0,78:A5:04:41:E9:D7,78:A5:04:41:E5:62,78:A5:04:41:E9:CB,78:A5:04:41:EB:85,78:A5:04:41:EB:D4,78:A5:04:41:EB:B5,78:A5:04:41:EB:94,78:A5:04:41:E9:EB,78:A5:04:41:E7:FE,78:A5:04:41:EB:F1,78:A5:04:41:E9:A5,78:A5:04:41:EB:AB,78:A5:04:41:EB:D8,78:A5:04:41:E9:A7
1526447843562,-85,-78,-63,-70,-78,-81,-85,-80,-80,-66,-86,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447843698,-200,-200,-200,-200,-84,-200,-200,-83,-86,-200,-78,-200,-71,-94,-85,-75,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447844779,-81,-200,-200,-200,-200,-200,-200,-200,-200,-66,-200,-77,-200,-200,-82,-200,-200,-67,-85,-94,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447845866,-200,-88,-200,-76,-82,-200,-200,-200,-83,-200,-76,-73,-74,-200,-200,-70,-200,-200,-82,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447846973,-79,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-68,-75,-67,-85,-95,-200,-200,-79,-82,-75,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447848062,-200,-86,-200,-70,-71,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-91,-200,-200,-70,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447849163,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-73,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447850254,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-92,-77,-75,-87,-200,-77,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-77,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447851404,-200,-200,-64,-200,-200,-80,-200,-200,-200,-200,-200,-200,-70,-200,-200,-70,-200,-64,-84,-200,-200,-200,-79,-200,-71,-200,-200,-84,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447853556,-200,-84,-64,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-68,-200,-68,-200,-200,-200,-200,-79,-200,-200,-200,-86,-82,-200,-200,-200,-95,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447853682,-81,-200,-61,-75,-200,-200,-200,-200,-79,-200,-79,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-82,-200,-76,-95,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447855849,-200,-200,-200,-200,-200,-200,-86,-200,-90,-200,-200,-80,-200,-200,-200,-200,-200,-66,-88,-200,-92,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447856961,-81,-200,-61,-200,-200,-83,-200,-200,-200,-74,-200,-200,-70,-200,-200,-73,-200,-200,-200,-89,-88,-200,-200,-85,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447858106,-200,-200,-200,-77,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-81,-200,-79,-87,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447859186,-200,-200,-62,-200,-200,-200,-200,-79,-83,-200,-200,-200,-200,-200,-200,-74,-81,-200,-200,-200,-88,-200,-78,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447860271,-200,-79,-61,-75,-200,-200,-200,-79,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200
