,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:BE,78:A5:04:41:EB:B5,78:A5:04:41:EE:08,BC:6A:29:BE:2F:54,78:A5:04:41:E5:34,7C:66:9D:7B:2E:21,78:A5:04:41:E9:8E,78:A5:04:41:E5:3E,BC:6A:29:BE:31:17,78:A5:04:41:E7:9D,78:A5:04:41:E9:F3,78:A5:04:41:E9:B3,78:A5:04:41:EB:FE,78:A5:04:41:E9:E3,78:A5:04:41:E9:C8,78:A5:04:41:E9:82,78:A5:04:41:E9:A5,78:A5:04:41:E9:A0,78:A5:04:41:E7:A7,78:A5:04:41:EB:FB,BC:6A:29:BE:31:7F,78:A5:04:41:E9:E0,78:A5:04:41:EB:D1,78:A5:04:41:E9:D2,78:A5:04:41:E9:EB,78:A5:04:41:EB:85,78:A5:04:41:E9:BB,78:A5:04:41:EE:0A,7C:66:9D:7B:47:FC,78:A5:04:41:EB:94,78:A5:04:41:EB:E8,78:A5:04:41:EB:AC,78:A5:04:41:EB:A5,78:A5:04:41:EB:AA,78:A5:04:41:EB:D4,78:A5:04:41:E9:92,78:A5:04:41:E5:59,78:A5:04:41:E7:FE,78:A5:04:41:EB:D8,78:A5:04:41:E9:98,78:A5:04:41:EB:B2,78:A5:04:41:E9:CB,78:A5:04:41:EB:B7,78:A5:04:41:EB:AB
1526448499936,-66,-94,-76,-90,-74,-75,-68,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448500998,-68,-200,-80,-200,-200,-200,-200,-200,-200,-90,-70,-76,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448502082,-70,-200,-200,-93,-80,-200,-200,-200,-200,-81,-200,-200,-200,-75,-85,-71,-82,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448503171,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448504254,-200,-200,-200,-86,-200,-75,-200,-200,-200,-200,-70,-80,-200,-200,-200,-77,-200,-200,-96,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448505402,-200,-200,-92,-200,-200,-79,-68,-200,-200,-86,-66,-78,-200,-200,-200,-200,-82,-200,-200,-200,-76,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448506498,-72,-200,-76,-86,-200,-75,-64,-200,-93,-86,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-93,-200,-76,-82,-92,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448507646,-200,-200,-200,-200,-200,-200,-200,-200,-95,-86,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-86,-90,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448508694,-68,-200,-200,-200,-74,-200,-200,-200,-200,-86,-200,-200,-87,-200,-200,-70,-82,-200,-200,-200,-100,-200,-200,-200,-200,-200,-85,-200,-79,-200,-78,-93,-92,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
