,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:CE,78:A5:04:41:E9:BB,78:A5:04:41:E9:F3,78:A5:04:41:E9:8E,78:A5:04:41:EE:08,7C:66:9D:7B:2E:21,78:A5:04:41:E9:BE,78:A5:04:41:E5:59,78:A5:04:41:E5:3E,BC:6A:29:BE:2F:54,78:A5:04:41:EB:D8,7C:66:9D:7B:47:FC,78:A5:04:41:EB:E8,78:A5:04:41:EB:FE,BC:6A:29:BE:31:17,78:A5:04:41:E9:CC,78:A5:04:41:E9:D2,78:A5:04:41:EB:F1,78:A5:04:41:E9:CB,78:A5:04:41:E9:92,78:A5:04:41:E7:9D,BC:6A:29:BE:31:7F,78:A5:04:41:EB:A5,78:A5:04:41:EB:D1,78:A5:04:41:EB:FB,78:A5:04:41:E9:B3,78:A5:04:41:E9:82,78:A5:04:41:E5:34,78:A5:04:41:E7:98,78:A5:04:41:E5:68,78:A5:04:41:E9:AB,78:A5:04:41:EB:94,78:A5:04:41:E9:8A,78:A5:04:41:EE:17,78:A5:04:41:E7:88,78:A5:04:41:E5:62,78:A5:04:41:E9:A0,78:A5:04:41:EB:AC,78:A5:04:41:E9:98,78:A5:04:41:E9:E3,78:A5:04:41:E9:C8,78:A5:04:41:EB:98
1526454066084,-84,-88,-75,-86,-88,-88,-83,-77,-74,-81,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454067181,-200,-74,-68,-76,-91,-200,-200,-78,-200,-84,-200,-74,-87,-93,-81,-92,-86,-89,-74,-96,-60,-81,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454069420,-80,-200,-73,-200,-200,-200,-200,-200,-200,-78,-200,-200,-81,-94,-77,-200,-90,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454070564,-200,-200,-79,-200,-200,-84,-200,-200,-72,-72,-200,-200,-200,-200,-77,-200,-200,-200,-85,-200,-60,-200,-86,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454071692,-200,-200,-200,-81,-200,-200,-200,-200,-80,-200,-200,-77,-81,-200,-76,-200,-91,-200,-200,-200,-200,-200,-200,-200,-92,-78,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454072797,-82,-200,-200,-90,-89,-200,-200,-200,-74,-200,-200,-200,-82,-200,-75,-200,-90,-91,-85,-200,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454075031,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454076079,-200,-200,-200,-80,-200,-200,-85,-200,-200,-200,-200,-86,-80,-200,-75,-200,-200,-200,-81,-200,-60,-200,-200,-82,-200,-77,-83,-80,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454077236,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
