,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0124.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0123.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:C3,BC:6A:29:BE:31:17,78:A5:04:41:E5:6B,78:A5:04:41:EB:97,78:A5:04:41:E9:DA,78:A5:04:41:EB:91,78:A5:04:41:EB:BA,78:A5:04:41:E9:CD,78:A5:04:41:E9:CC,78:A5:04:41:EE:06,78:A5:04:41:E9:BF,78:A5:04:41:EB:8B,78:A5:04:41:E7:80,78:A5:04:41:E9:AB,78:A5:04:41:E9:98,78:A5:04:41:E5:68,78:A5:04:41:E9:B4,78:A5:04:41:EB:AD,78:A5:04:41:E9:FD,78:A5:04:41:E5:4E,78:A5:04:41:EE:17,78:A5:04:41:EB:9C,78:A5:04:41:EB:F1,78:A5:04:41:E7:D4,F4:B8:5E:AA:79:07,78:A5:04:41:E9:D5,78:A5:04:41:EB:80,78:A5:04:41:E9:D3,F4:B8:5E:AA:77:5C,78:A5:04:41:E7:85
1526454961968,-87,-93,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454962076,-86,-200,-200,-68,-92,-81,-82,-70,-70,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454963119,-85,-200,-200,-67,-200,-200,-200,-200,-73,-200,-88,-93,-84,-91,-87,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454965267,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-92,-200,-81,-71,-200,-200,-92,-78,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454966360,-200,-200,-77,-200,-88,-200,-200,-200,-73,-200,-86,-200,-87,-200,-200,-200,-200,-65,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454967468,-200,-200,-200,-69,-88,-200,-83,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-66,-200,-71,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454968546,-200,-200,-74,-67,-200,-200,-84,-73,-74,-200,-200,-200,-200,-73,-200,-200,-200,-200,-87,-68,-87,-74,-93,-91,-91,-200,-200,-200,-200,-200
1526454970752,-200,-200,-200,-200,-200,-83,-82,-72,-200,-200,-200,-200,-200,-200,-200,-88,-200,-68,-200,-200,-81,-73,-200,-200,-200,-200,-200,-200,-200,-200
1526454970856,-200,-200,-200,-200,-200,-88,-200,-200,-70,-200,-93,-200,-78,-200,-200,-200,-200,-200,-200,-68,-80,-71,-200,-200,-200,-200,-200,-200,-200,-200
1526454971900,-200,-200,-200,-67,-200,-200,-200,-200,-69,-200,-88,-200,-200,-75,-200,-82,-200,-72,-200,-200,-89,-70,-200,-86,-200,-86,-200,-200,-200,-200
1526454973066,-87,-200,-83,-68,-200,-200,-83,-76,-68,-200,-89,-200,-76,-77,-90,-200,-200,-72,-200,-65,-200,-79,-93,-200,-200,-200,-200,-200,-200,-200
1526454974236,-86,-200,-200,-67,-200,-200,-78,-75,-200,-200,-200,-200,-200,-86,-200,-80,-200,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454975268,-200,-200,-200,-69,-90,-200,-200,-200,-200,-83,-200,-200,-200,-200,-91,-200,-200,-67,-200,-71,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200
1526454976425,-200,-93,-200,-200,-200,-200,-200,-73,-71,-83,-200,-200,-200,-76,-200,-81,-200,-63,-86,-66,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454978559,-200,-91,-200,-200,-200,-200,-79,-74,-200,-200,-200,-200,-200,-83,-200,-200,-200,-63,-200,-64,-200,-200,-200,-200,-91,-200,-93,-200,-200,-200
1526454978669,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-83,-200,-86,-94,-200,-81,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200
1526454979717,-200,-200,-78,-200,-200,-200,-82,-72,-71,-200,-94,-93,-200,-200,-200,-200,-200,-200,-200,-68,-200,-73,-200,-200,-200,-76,-200,-200,-200,-200
1526454980809,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-66,-200,-64,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200
1526454981865,-200,-200,-200,-200,-92,-200,-200,-200,-71,-200,-200,-200,-80,-200,-200,-200,-200,-200,-72,-200,-200,-90,-200,-200,-200,-85,-200,-200,-200,-200
1526454982993,-200,-200,-200,-68,-200,-83,-86,-200,-200,-200,-200,-92,-200,-200,-87,-83,-200,-200,-200,-200,-82,-76,-200,-200,-200,-83,-200,-200,-200,-200
1526454983048,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-83,-200,-200,-200,-200
1526454984084,-200,-200,-83,-67,-200,-200,-82,-200,-200,-200,-200,-200,-200,-75,-200,-83,-200,-67,-83,-71,-200,-75,-200,-200,-200,-79,-200,-200,-200,-200
1526454986250,-83,-200,-75,-71,-200,-81,-200,-73,-72,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454987360,-200,-200,-78,-200,-200,-79,-83,-200,-73,-200,-200,-200,-200,-73,-200,-200,-200,-72,-72,-200,-200,-79,-200,-86,-200,-200,-200,-200,-200,-200
1526454988528,-89,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-86,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454989579,-200,-200,-200,-72,-200,-200,-200,-200,-200,-92,-200,-200,-81,-86,-92,-200,-200,-200,-200,-70,-81,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526454990669,-200,-90,-78,-200,-200,-200,-200,-75,-200,-92,-200,-200,-77,-75,-87,-200,-200,-200,-200,-72,-83,-72,-200,-94,-200,-200,-200,-200,-200,-200
1526454992873,-200,-92,-200,-67,-200,-200,-200,-74,-84,-86,-93,-200,-81,-200,-89,-88,-200,-81,-80,-200,-200,-77,-200,-86,-200,-76,-200,-200,-200,-200
1526454995087,-200,-200,-75,-200,-200,-78,-200,-79,-200,-200,-200,-200,-200,-84,-200,-200,-90,-200,-76,-65,-87,-200,-200,-88,-200,-200,-200,-200,-200,-200
1526454996182,-200,-200,-88,-200,-200,-92,-91,-200,-73,-200,-90,-200,-80,-200,-200,-200,-200,-66,-86,-65,-80,-200,-200,-200,-200,-90,-200,-200,-200,-200
1526454998377,-200,-200,-200,-66,-200,-200,-200,-200,-200,-86,-200,-200,-80,-79,-200,-88,-200,-70,-77,-70,-83,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526454999463,-200,-200,-83,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-91,-200,-85,-200,-73,-200,-200,-200,-200,-200,-200,-200,-84,-200,-96,-200,-200
1526455000604,-200,-200,-200,-200,-200,-84,-91,-200,-74,-200,-200,-200,-200,-200,-200,-83,-200,-71,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200
