,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0124.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0123.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null
,78:A5:04:41:E5:3E,78:A5:04:41:EB:A5,78:A5:04:41:EB:DF,78:A5:04:41:E9:CB,78:A5:04:41:EB:F1,78:A5:04:41:E7:9D,BC:6A:29:BE:31:17,78:A5:04:41:E9:A0,78:A5:04:41:E9:BB,F4:B8:5E:AA:79:07,7C:66:9D:7B:47:FC,78:A5:04:41:E9:98,78:A5:04:41:EB:AD,F4:B8:5E:AA:77:5C,78:A5:04:41:E9:D3,7C:66:9D:7B:2E:21
1526459947341,-82,-86,-87,-62,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459947447,-82,-84,-88,-62,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459947555,-82,-84,-88,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459947658,-83,-200,-200,-67,-200,-89,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459952380,-85,-200,-200,-200,-200,-92,-80,-88,-87,-94,-200,-200,-200,-200,-200,-200
1526459952474,-85,-86,-200,-200,-200,-88,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459952587,-85,-82,-200,-81,-90,-200,-95,-200,-200,-200,-96,-88,-200,-200,-200,-200
1526459957410,-200,-83,-89,-200,-90,-85,-94,-200,-200,-200,-200,-88,-200,-200,-200,-200
1526459957516,-200,-200,-89,-81,-200,-85,-94,-200,-200,-200,-200,-88,-200,-200,-200,-200
1526459957622,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-88,-200,-200,-200,-200
1526459962239,-200,-89,-200,-200,-200,-200,-81,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526459962347,-200,-200,-200,-200,-200,-200,-80,-200,-200,-89,-200,-200,-200,-200,-200,-200
1526459962449,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459962550,-85,-90,-90,-76,-90,-88,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459967277,-200,-200,-200,-200,-90,-89,-78,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526459967378,-85,-91,-200,-75,-89,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459967488,-200,-88,-200,-77,-89,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459967598,-200,-200,-200,-76,-200,-200,-79,-200,-86,-200,-200,-88,-200,-200,-200,-200
1526459972340,-200,-83,-88,-78,-200,-86,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200
1526459972450,-200,-200,-87,-82,-89,-86,-87,-200,-88,-200,-200,-87,-200,-200,-200,-200
1526459972584,-200,-200,-200,-81,-200,-85,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459972696,-200,-200,-200,-200,-88,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459977252,-200,-200,-200,-200,-89,-200,-79,-200,-200,-200,-200,-200,-92,-200,-200,-200
1526459977414,-200,-200,-91,-75,-200,-89,-80,-200,-200,-200,-200,-200,-90,-200,-200,-200
1526459977524,-200,-200,-200,-76,-200,-89,-79,-200,-200,-200,-200,-200,-91,-200,-200,-200
1526459977644,-89,-86,-200,-68,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459982448,-88,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459982552,-200,-200,-200,-74,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459982656,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-102,-200,-200,-200,-200,-200
1526459982861,-88,-88,-200,-67,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526459982956,-87,-88,-200,-200,-87,-85,-81,-92,-200,-93,-99,-200,-200,-200,-200,-200
1526459987285,-200,-82,-200,-78,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459987367,-200,-83,-88,-200,-200,-200,-95,-200,-200,-200,-95,-200,-86,-92,-200,-200
1526459987526,-200,-83,-88,-200,-200,-200,-94,-200,-200,-89,-94,-89,-86,-200,-200,-200
1526459987663,-200,-200,-200,-79,-200,-200,-200,-200,-200,-90,-96,-200,-200,-200,-200,-200
1526459992249,-200,-92,-200,-78,-91,-90,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459992420,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459992526,-200,-200,-200,-86,-200,-90,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459993034,-200,-200,-200,-77,-200,-87,-83,-200,-200,-200,-101,-200,-200,-200,-89,-200
1526459997314,-200,-88,-200,-68,-200,-200,-200,-92,-200,-90,-100,-200,-200,-200,-200,-100
1526459997408,-200,-88,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459997513,-87,-87,-200,-68,-88,-200,-80,-200,-90,-200,-101,-200,-200,-200,-200,-200
1526459997614,-87,-87,-200,-68,-200,-200,-80,-200,-200,-90,-200,-200,-87,-200,-200,-200
1526460002268,-200,-200,-87,-78,-200,-200,-89,-200,-200,-200,-200,-200,-86,-200,-200,-200
1526460002352,-200,-83,-200,-77,-200,-200,-90,-200,-87,-200,-200,-200,-87,-200,-90,-200
1526460002459,-200,-83,-87,-78,-90,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460002559,-200,-200,-200,-77,-200,-85,-89,-200,-200,-90,-98,-200,-87,-200,-200,-200
1526460002671,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460007275,-200,-200,-200,-76,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460007399,-200,-200,-200,-77,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460007502,-200,-200,-92,-77,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200
1526460007605,-200,-200,-200,-77,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
