,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:DF,78:A5:04:41:EB:CA,78:A5:04:41:EB:D9,78:A5:04:41:E7:A3,78:A5:04:41:EB:93,78:A5:04:41:EB:EC,78:A5:04:41:E7:84,78:A5:04:41:EB:FC,78:A5:04:41:E5:75,78:A5:04:41:E9:F7,78:A5:04:41:E7:9C,78:A5:04:41:E9:8C,78:A5:04:41:EB:EA,78:A5:04:41:EE:01,78:A5:04:41:E9:E7,78:A5:04:41:E9:9B
1526443632588,-75,-89,-98,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443632695,-75,-86,-99,-94,-97,-93,-94,-77,-75,-80,-74,-200,-200,-200,-200,-200
1526443632813,-75,-200,-200,-94,-92,-200,-92,-200,-75,-81,-200,-90,-200,-200,-200,-200
1526443632959,-76,-89,-200,-93,-93,-92,-92,-76,-74,-81,-73,-90,-94,-96,-92,-200
1526443633069,-76,-86,-200,-93,-200,-91,-92,-76,-77,-200,-71,-90,-90,-200,-93,-200
1526443637515,-75,-200,-200,-93,-91,-200,-200,-72,-200,-78,-200,-90,-200,-200,-200,-200
1526443637640,-200,-88,-97,-92,-90,-200,-200,-72,-200,-77,-74,-91,-200,-200,-200,-200
1526443637810,-200,-200,-200,-92,-91,-200,-200,-72,-77,-200,-200,-90,-200,-200,-200,-200
1526443637906,-200,-200,-200,-200,-90,-200,-200,-72,-200,-78,-74,-91,-200,-200,-200,-200
1526443638013,-200,-87,-200,-94,-91,-200,-200,-72,-77,-78,-200,-90,-200,-200,-200,-200
1526443638117,-88,-97,-200,-200,-90,-200,-200,-76,-75,-200,-85,-200,-93,-200,-200,-200
1526443642601,-88,-200,-200,-200,-96,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526443642731,-86,-200,-200,-200,-200,-200,-200,-77,-75,-200,-200,-200,-200,-200,-200,-200
1526443642842,-200,-200,-200,-200,-200,-200,-200,-76,-75,-200,-200,-200,-200,-200,-200,-200
1526443642949,-200,-98,-200,-200,-96,-200,-200,-76,-74,-86,-84,-200,-200,-200,-200,-200
1526443647497,-76,-86,-200,-200,-89,-92,-200,-75,-200,-84,-73,-94,-200,-200,-200,-200
1526443647597,-76,-87,-200,-200,-90,-200,-200,-77,-200,-200,-73,-200,-200,-200,-200,-200
1526443647716,-76,-85,-200,-200,-200,-200,-200,-77,-75,-200,-74,-93,-200,-200,-95,-200
1526443647816,-76,-200,-200,-200,-200,-200,-200,-77,-74,-200,-73,-94,-200,-200,-200,-200
1526443647956,-74,-200,-200,-200,-91,-90,-200,-79,-200,-82,-73,-91,-200,-200,-200,-200
1526443648067,-200,-200,-200,-200,-89,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200
1526443652518,-77,-200,-200,-97,-200,-200,-200,-200,-200,-74,-200,-200,-93,-200,-94,-200
1526443652612,-200,-200,-200,-200,-200,-200,-200,-78,-200,-74,-200,-91,-200,-200,-200,-200
1526443652733,-77,-88,-200,-200,-200,-94,-200,-200,-75,-200,-75,-90,-93,-200,-94,-200
1526443652834,-200,-200,-200,-200,-91,-94,-200,-76,-75,-200,-75,-91,-200,-200,-200,-200
1526443652941,-77,-200,-200,-200,-200,-200,-200,-200,-76,-74,-200,-92,-200,-200,-200,-200
1526443653072,-77,-200,-200,-200,-200,-200,-200,-79,-200,-200,-84,-200,-200,-96,-200,-200
1526443657601,-84,-200,-200,-200,-94,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200
1526443657681,-84,-200,-200,-200,-94,-200,-200,-200,-200,-200,-84,-98,-200,-200,-200,-200
1526443657803,-85,-200,-200,-200,-95,-200,-200,-200,-75,-85,-84,-200,-200,-94,-200,-200
1526443657902,-200,-200,-200,-200,-94,-200,-200,-79,-200,-84,-84,-97,-200,-200,-200,-200
1526443658007,-77,-200,-200,-200,-200,-89,-92,-79,-75,-83,-84,-89,-200,-200,-92,-200
1526443662674,-77,-85,-200,-93,-89,-89,-92,-79,-74,-81,-71,-90,-200,-95,-94,-200
1526443662771,-77,-200,-200,-200,-200,-91,-92,-79,-74,-83,-72,-90,-200,-200,-93,-200
1526443662896,-77,-85,-200,-92,-200,-200,-200,-78,-75,-83,-72,-200,-200,-200,-200,-200
1526443662981,-77,-200,-200,-95,-200,-200,-200,-78,-74,-83,-200,-200,-200,-200,-93,-200
1526443663086,-78,-200,-200,-200,-200,-200,-200,-78,-200,-77,-75,-200,-94,-200,-200,-200
1526443667603,-76,-88,-200,-200,-200,-200,-200,-200,-76,-76,-200,-200,-200,-200,-200,-200
1526443667710,-77,-88,-200,-200,-200,-200,-200,-75,-77,-200,-75,-90,-200,-200,-200,-200
