,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EE:0A,78:A5:04:41:E5:59,78:A5:04:41:E9:A5,78:A5:04:41:E9:FB,78:A5:04:41:EB:E4,78:A5:04:41:EB:B2,78:A5:04:41:EB:AB,78:A5:04:41:E7:A7,78:A5:04:41:EB:AA,78:A5:04:41:EB:B5,78:A5:04:41:E9:F3,BC:6A:29:BE:2F:54,78:A5:04:41:EB:D4,78:A5:04:41:E9:A7,78:A5:04:41:E9:E0,78:A5:04:41:E9:F2,78:A5:04:41:EB:F6,78:A5:04:41:EB:D8,78:A5:04:41:E9:C8,78:A5:04:41:EB:DF,78:A5:04:41:E9:8E,78:A5:04:41:EE:08,7C:66:9D:7B:2E:21,78:A5:04:41:E9:E3,7C:66:9D:7B:47:FC,78:A5:04:41:E7:FE,78:A5:04:41:E9:BE,78:A5:04:41:EB:BF,78:A5:04:41:E5:67,78:A5:04:41:EB:AC,78:A5:04:41:EB:E1,78:A5:04:41:EB:EA,78:A5:04:41:EB:E8,78:A5:04:41:EB:B7,78:A5:04:41:EB:94
1526452497524,-70,-79,-93,-89,-72,-71,-76,-86,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452497630,-71,-79,-200,-200,-200,-200,-77,-200,-200,-80,-83,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452497732,-70,-200,-200,-200,-200,-71,-200,-200,-82,-82,-200,-200,-67,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452497889,-68,-200,-200,-200,-200,-71,-75,-200,-200,-200,-81,-96,-200,-200,-97,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452497986,-200,-80,-200,-200,-200,-75,-200,-75,-85,-85,-83,-95,-200,-82,-200,-93,-200,-89,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452502405,-200,-200,-200,-200,-74,-92,-75,-74,-81,-83,-200,-200,-200,-200,-200,-93,-200,-91,-81,-93,-85,-96,-92,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452502500,-200,-200,-200,-200,-74,-88,-200,-74,-81,-200,-82,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-96,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452502599,-200,-200,-200,-200,-200,-87,-74,-76,-200,-83,-82,-200,-200,-200,-200,-94,-200,-200,-83,-200,-200,-200,-90,-200,-101,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452502708,-77,-200,-200,-87,-200,-91,-75,-200,-200,-84,-200,-200,-74,-93,-200,-200,-200,-200,-200,-91,-200,-94,-92,-200,-200,-95,-93,-200,-200,-200,-200,-200,-200,-200,-200
1526452502865,-76,-200,-200,-200,-75,-200,-74,-73,-200,-83,-200,-200,-73,-200,-200,-200,-200,-200,-82,-200,-200,-200,-91,-94,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452502994,-200,-91,-200,-200,-74,-85,-200,-75,-81,-83,-82,-200,-73,-93,-200,-200,-200,-89,-81,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200
1526452507409,-200,-90,-200,-200,-74,-82,-200,-200,-91,-200,-200,-200,-72,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-90,-92,-200,-200,-91,-96,-96,-200,-200,-200,-200,-200
1526452507517,-200,-90,-200,-200,-200,-200,-200,-76,-90,-73,-200,-200,-72,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526452507628,-200,-89,-200,-200,-75,-81,-200,-200,-91,-72,-200,-200,-71,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452507723,-200,-88,-200,-200,-75,-200,-200,-200,-200,-200,-85,-200,-72,-200,-200,-86,-200,-200,-80,-200,-200,-200,-200,-89,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526452507833,-94,-91,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-72,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-90,-92,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526452507949,-200,-90,-200,-200,-75,-81,-200,-74,-200,-74,-200,-200,-200,-89,-200,-200,-200,-90,-80,-200,-200,-200,-200,-90,-200,-200,-200,-88,-200,-200,-90,-200,-200,-200,-200
1526452508051,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-90,-200,-200,-200,-90,-200,-200,-200,-90,-200,-200,-200
1526452512484,-72,-200,-200,-86,-200,-200,-77,-79,-200,-200,-83,-200,-80,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-89,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526452512607,-71,-200,-200,-200,-200,-75,-77,-200,-200,-76,-83,-200,-79,-200,-200,-200,-200,-200,-74,-200,-87,-93,-200,-200,-200,-200,-200,-200,-200,-95,-200,-91,-93,-200,-200
1526452512871,-71,-200,-200,-200,-76,-200,-74,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-90,-73,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452512959,-71,-200,-200,-200,-74,-75,-200,-200,-200,-84,-200,-200,-200,-200,-200,-92,-200,-200,-74,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452517447,-200,-93,-200,-200,-75,-200,-76,-75,-81,-82,-200,-200,-200,-92,-200,-200,-200,-200,-200,-95,-84,-200,-91,-94,-102,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452517529,-78,-200,-200,-88,-74,-87,-200,-200,-82,-83,-82,-200,-74,-93,-200,-93,-200,-200,-200,-200,-86,-96,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526452517699,-76,-200,-200,-88,-200,-86,-200,-74,-80,-82,-81,-200,-74,-92,-200,-200,-200,-200,-200,-200,-200,-94,-92,-200,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452517803,-77,-200,-200,-86,-73,-200,-75,-74,-200,-83,-82,-200,-74,-92,-200,-200,-200,-92,-200,-200,-200,-96,-92,-200,-98,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200
1526452517907,-76,-93,-200,-88,-74,-86,-74,-74,-82,-84,-200,-200,-74,-200,-200,-93,-200,-91,-82,-200,-85,-200,-92,-200,-104,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200
