,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:81,78:A5:04:41:E5:56,78:A5:04:41:E7:FE,78:A5:04:41:E5:77,78:A5:04:41:EB:AC,78:A5:04:41:EB:B7,78:A5:04:41:E9:F3,78:A5:04:41:EB:FE,78:A5:04:41:EB:85,78:A5:04:41:E9:BE,78:A5:04:41:E9:E3,78:A5:04:41:E7:CC,78:A5:04:41:E9:A5,78:A5:04:41:EB:94,78:A5:04:41:EB:B5,78:A5:04:41:EB:D1,78:A5:04:41:E9:E0,78:A5:04:41:E9:B3,78:A5:04:41:EB:E4,78:A5:04:41:EB:C9,78:A5:04:41:EB:E8,78:A5:04:41:E9:8E,78:A5:04:41:E5:59,78:A5:04:41:EB:AA,78:A5:04:41:E9:C8,78:A5:04:41:EB:D8
1526455502649,-81,-88,-70,-80,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455502751,-81,-88,-70,-200,-200,-71,-88,-90,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455502850,-82,-88,-69,-200,-69,-71,-88,-200,-67,-91,-71,-88,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455502948,-82,-200,-69,-79,-200,-71,-200,-91,-66,-93,-71,-200,-72,-79,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455507418,-78,-90,-200,-77,-65,-200,-200,-200,-64,-200,-69,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455507527,-200,-200,-68,-200,-200,-72,-200,-96,-200,-200,-67,-200,-200,-83,-84,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455507628,-78,-200,-66,-200,-67,-73,-200,-200,-65,-200,-68,-200,-76,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455507734,-200,-200,-67,-78,-67,-200,-200,-200,-65,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455507880,-200,-200,-67,-79,-200,-200,-200,-200,-65,-200,-200,-200,-77,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526455507983,-91,-93,-89,-85,-70,-74,-90,-200,-65,-93,-73,-97,-82,-81,-200,-200,-92,-200,-93,-94,-96,-200,-200,-200,-200,-200
1526455512566,-90,-200,-200,-85,-69,-74,-91,-200,-200,-92,-200,-200,-83,-85,-91,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200
