,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0121.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011e.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011f.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,011b.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:E0,78:A5:04:41:E5:77,78:A5:04:41:EB:E8,78:A5:04:41:EB:D1,78:A5:04:41:E5:56,78:A5:04:41:EB:B7,F4:B8:5E:AA:79:6C,78:A5:04:41:EB:D8,78:A5:04:41:E7:CC,78:A5:04:41:E9:F2,78:A5:04:41:EB:94,78:A5:04:41:E9:F3,78:A5:04:41:E7:81,F4:B8:5E:AA:78:68,78:A5:04:41:EB:C9,78:A5:04:41:EB:AC,78:A5:04:41:E9:C8,78:A5:04:41:EB:E1,78:A5:04:41:EB:85,78:A5:04:41:E9:E3,78:A5:04:41:EB:B5,78:A5:04:41:E7:FE,78:A5:04:41:EB:DF,78:A5:04:41:E9:A5,78:A5:04:41:EB:FE,78:A5:04:41:E9:A7,F4:B8:5E:AA:77:7A,78:A5:04:41:E7:98,78:A5:04:41:EB:AA,78:A5:04:41:E9:8E,78:A5:04:41:E9:FB,7C:66:9D:7B:2E:21,F4:B8:5E:AA:79:4E,78:A5:04:41:EB:B2
1526456312104,-85,-70,-88,-88,-67,-74,-89,-89,-79,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456312215,-87,-200,-86,-86,-67,-200,-91,-200,-79,-200,-76,-94,-68,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456312337,-200,-70,-86,-89,-200,-74,-90,-90,-79,-200,-77,-200,-200,-200,-78,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456312441,-86,-70,-86,-89,-200,-74,-200,-89,-80,-200,-77,-200,-68,-200,-77,-87,-84,-91,-75,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456312562,-86,-70,-88,-200,-200,-75,-200,-90,-79,-200,-200,-200,-200,-200,-77,-200,-82,-90,-75,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456312694,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-68,-200,-87,-87,-200,-200,-75,-200,-90,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456317039,-73,-74,-86,-200,-200,-73,-89,-200,-200,-92,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-86,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456317159,-74,-72,-200,-200,-200,-200,-200,-81,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456317268,-73,-75,-85,-200,-66,-200,-200,-80,-76,-91,-200,-200,-67,-200,-200,-200,-88,-200,-73,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
