,0116.0012-vlucci.com A1.4.0.1,0118.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0115.0012-vlucci.com A1.4.0.1,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0117.0012-vlucci.com A1.4.0.1,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null
,7C:66:9D:7B:2B:DE,7C:66:9D:7B:2E:16,78:A5:04:41:EB:C7,F4:B8:5E:AA:79:4E,78:A5:04:41:E7:91,7C:66:9D:7B:2B:E4,F4:B8:5E:AA:77:73,78:A5:04:41:EE:07,7C:66:9D:7B:2B:D3,7C:66:9D:7B:2B:BA,78:A5:04:41:E5:5F,78:A5:04:41:E5:56,BC:6A:29:BE:2F:12,7C:66:9D:7B:47:3D
1526458727122,-76,-75,-90,-73,-82,-78,-75,-200,-200,-200,-200,-200,-200,-200
1526458727281,-200,-75,-89,-73,-200,-80,-75,-91,-200,-200,-200,-200,-200,-200
1526458727367,-200,-74,-89,-73,-200,-78,-75,-200,-200,-200,-200,-200,-200,-200
1526458727479,-200,-75,-88,-200,-82,-79,-75,-200,-72,-200,-200,-200,-200,-200
1526458727605,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458732021,-71,-200,-200,-69,-77,-78,-75,-200,-71,-87,-93,-94,-200,-200
1526458732133,-71,-69,-87,-200,-200,-77,-200,-200,-70,-85,-200,-200,-200,-200
1526458732246,-71,-70,-87,-69,-76,-77,-76,-200,-71,-86,-92,-200,-200,-200
1526458732336,-71,-200,-87,-69,-77,-76,-77,-200,-71,-200,-200,-200,-200,-200
1526458732445,-200,-200,-200,-69,-76,-76,-200,-200,-72,-86,-200,-200,-200,-200
1526458732550,-200,-200,-87,-70,-77,-77,-77,-200,-71,-200,-200,-200,-200,-200
1526458737014,-200,-71,-200,-71,-78,-200,-73,-200,-71,-86,-88,-200,-200,-200
1526458737123,-200,-71,-200,-70,-200,-200,-70,-200,-72,-89,-88,-87,-200,-200
1526458737230,-75,-71,-200,-69,-200,-76,-72,-96,-73,-200,-200,-200,-97,-200
1526458737316,-200,-71,-200,-70,-78,-76,-71,-200,-73,-200,-88,-200,-200,-200
1526458737424,-200,-71,-200,-70,-78,-200,-200,-95,-72,-200,-85,-87,-200,-200
1526458737532,-78,-200,-200,-70,-200,-76,-73,-96,-71,-200,-200,-200,-200,-200
1526458737634,-77,-200,-200,-70,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526458742011,-76,-200,-87,-73,-84,-200,-75,-91,-73,-200,-200,-200,-200,-200
1526458742113,-76,-200,-88,-74,-84,-77,-75,-200,-200,-200,-200,-200,-97,-200
1526458742230,-76,-200,-89,-73,-83,-78,-75,-200,-200,-200,-200,-200,-98,-200
1526458742338,-75,-74,-90,-72,-200,-78,-75,-200,-73,-200,-200,-200,-101,-200
1526458742436,-75,-200,-89,-73,-82,-200,-75,-90,-72,-200,-200,-200,-99,-200
1526458742528,-75,-200,-200,-73,-200,-76,-200,-91,-200,-200,-200,-200,-200,-200
1526458747070,-200,-69,-86,-69,-76,-78,-75,-200,-71,-86,-91,-200,-94,-200
1526458747174,-71,-69,-86,-69,-76,-78,-74,-200,-71,-200,-90,-200,-200,-200
1526458747278,-73,-200,-85,-69,-76,-78,-200,-200,-71,-87,-90,-200,-200,-200
1526458747369,-71,-69,-200,-68,-75,-78,-200,-200,-69,-200,-200,-200,-200,-200
1526458747507,-200,-200,-200,-69,-76,-78,-75,-200,-200,-200,-200,-94,-200,-200
1526458747609,-77,-71,-200,-71,-76,-75,-72,-200,-200,-86,-89,-200,-200,-200
1526458752136,-77,-200,-200,-72,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200
1526458752242,-200,-71,-200,-71,-79,-76,-200,-200,-73,-84,-200,-200,-200,-200
1526458752367,-200,-71,-200,-71,-79,-200,-200,-200,-73,-200,-90,-88,-200,-200
1526458752489,-75,-73,-87,-74,-83,-78,-200,-200,-72,-87,-200,-200,-200,-200
1526458757097,-76,-74,-88,-200,-83,-77,-75,-91,-73,-100,-200,-200,-200,-200
1526458757234,-76,-200,-200,-200,-83,-77,-200,-92,-200,-200,-200,-200,-200,-200
1526458757335,-76,-200,-87,-74,-83,-78,-75,-200,-73,-200,-200,-97,-200,-200
1526458757438,-76,-74,-88,-74,-200,-78,-200,-200,-73,-200,-200,-200,-200,-200
1526458757546,-76,-74,-87,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200
1526458762037,-200,-70,-200,-69,-78,-76,-78,-200,-70,-200,-200,-200,-200,-200
1526458762217,-71,-69,-87,-69,-78,-77,-77,-200,-70,-200,-92,-95,-200,-200
1526458762319,-71,-69,-86,-69,-78,-77,-78,-200,-70,-86,-90,-92,-200,-200
1526458762422,-200,-70,-86,-200,-78,-77,-77,-200,-70,-200,-200,-200,-200,-200
1526458762529,-71,-70,-86,-70,-200,-77,-77,-200,-70,-87,-93,-200,-200,-200
1526458767074,-75,-200,-200,-70,-83,-74,-73,-200,-71,-85,-90,-88,-97,-200
1526458767172,-75,-71,-200,-200,-83,-74,-200,-200,-73,-200,-200,-200,-97,-200
1526458767285,-75,-200,-200,-71,-200,-74,-200,-200,-72,-200,-200,-200,-200,-200
1526458767387,-75,-200,-200,-71,-83,-74,-200,-200,-71,-86,-200,-200,-200,-200
1526458767496,-75,-72,-200,-71,-200,-75,-73,-200,-71,-200,-200,-200,-200,-200
1526458767607,-200,-72,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200
1526458772014,-77,-73,-86,-73,-200,-78,-200,-200,-72,-200,-200,-200,-200,-200
1526458772125,-78,-74,-200,-73,-200,-79,-73,-92,-200,-200,-200,-96,-200,-200
1526458772239,-77,-73,-86,-74,-82,-78,-200,-93,-200,-200,-200,-200,-200,-200
1526458772327,-200,-74,-200,-73,-82,-78,-74,-93,-73,-99,-200,-200,-200,-200
1526458772442,-77,-200,-86,-200,-200,-79,-74,-92,-73,-200,-200,-97,-99,-200
1526458772561,-77,-200,-200,-75,-200,-78,-200,-93,-200,-200,-200,-96,-200,-200
1526458777031,-71,-70,-200,-69,-78,-76,-78,-200,-71,-88,-200,-200,-200,-200
1526458777139,-71,-70,-200,-70,-200,-76,-78,-200,-71,-86,-200,-200,-200,-200
1526458777249,-71,-70,-86,-69,-78,-200,-200,-200,-71,-87,-200,-200,-200,-200
1526458777401,-71,-68,-86,-69,-78,-76,-200,-200,-71,-87,-200,-92,-200,-200
1526458777511,-200,-70,-87,-68,-77,-76,-200,-200,-71,-200,-92,-94,-200,-200
1526458782029,-200,-71,-200,-70,-200,-200,-73,-200,-72,-87,-91,-87,-200,-200
1526458782129,-75,-70,-200,-70,-200,-200,-200,-200,-72,-200,-200,-86,-200,-200
1526458782229,-75,-71,-200,-72,-83,-200,-200,-200,-74,-200,-200,-90,-200,-200
1526458782337,-200,-200,-200,-200,-200,-200,-73,-200,-73,-200,-200,-86,-200,-200
1526458782473,-75,-71,-200,-200,-200,-75,-73,-200,-200,-200,-90,-86,-200,-200
1526458782588,-75,-200,-87,-74,-81,-78,-200,-92,-73,-200,-90,-200,-200,-200
1526458787086,-77,-200,-86,-74,-200,-78,-74,-92,-73,-102,-200,-97,-200,-200
1526458787197,-77,-200,-87,-74,-200,-77,-74,-91,-72,-200,-99,-200,-99,-200
1526458787303,-77,-200,-200,-74,-200,-78,-74,-92,-72,-200,-200,-95,-97,-90
1526458787480,-77,-74,-200,-74,-81,-78,-200,-200,-72,-200,-200,-200,-200,-200
1526458787590,-76,-200,-200,-74,-81,-200,-74,-200,-200,-200,-200,-200,-200,-200
