,0113.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1,0118.0012-vlucci.com A1.4.0.1,null,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,0115.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
,7C:66:9D:7B:2B:BA,7C:66:9D:7B:2B:DE,7C:66:9D:7B:2B:D3,F4:B8:5E:AA:79:4E,7C:66:9D:7B:2E:16,BC:6A:29:BE:2F:12,F4:B8:5E:AA:77:73,78:A5:04:41:E7:91,78:A5:04:41:EB:C7,78:A5:04:41:EE:07,BC:6A:29:BE:31:61,7C:66:9D:7B:2B:E4,78:A5:04:41:E5:56,78:A5:04:41:E5:5F,78:A5:04:41:E7:81,78:A5:04:41:E5:77,78:A5:04:41:EB:C9,78:A5:04:41:E7:A2,78:A5:04:41:E9:E0,7C:66:9D:7B:47:3D
1526460022150,-93,-84,-81,-74,-68,-93,-80,-88,-95,-94,-88,-72,-200,-200,-200,-200,-200,-200,-200,-200
1526460022231,-93,-83,-81,-75,-68,-200,-79,-88,-95,-94,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460022340,-93,-83,-81,-200,-200,-200,-79,-200,-94,-93,-87,-71,-92,-200,-200,-200,-200,-200,-200,-200
1526460022450,-200,-84,-82,-74,-68,-91,-79,-87,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460022556,-93,-83,-82,-74,-68,-91,-79,-200,-200,-93,-86,-70,-90,-200,-200,-200,-200,-200,-200,-200
1526460022660,-200,-83,-82,-74,-68,-200,-78,-200,-200,-200,-87,-200,-200,-91,-200,-200,-200,-200,-200,-200
1526460027085,-200,-85,-200,-74,-66,-200,-74,-78,-200,-200,-87,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526460027217,-200,-83,-64,-200,-65,-200,-74,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200
1526460027304,-200,-83,-64,-72,-200,-200,-74,-200,-200,-200,-88,-71,-200,-200,-93,-200,-200,-200,-200,-200
1526460027441,-200,-83,-64,-71,-66,-200,-74,-79,-200,-200,-200,-71,-85,-200,-200,-200,-200,-200,-200,-200
1526460027550,-200,-77,-200,-66,-200,-200,-200,-80,-200,-200,-85,-71,-86,-200,-200,-200,-200,-200,-200,-200
1526460032188,-200,-78,-67,-66,-200,-200,-70,-80,-200,-200,-87,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526460032306,-200,-78,-68,-200,-62,-200,-70,-200,-200,-200,-86,-61,-85,-200,-200,-91,-200,-200,-200,-200
1526460032419,-200,-200,-68,-66,-62,-200,-70,-79,-200,-200,-88,-62,-200,-200,-200,-200,-200,-200,-200,-200
1526460032547,-94,-77,-83,-67,-200,-200,-79,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460037082,-200,-84,-200,-75,-200,-91,-79,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460037190,-94,-85,-82,-76,-69,-200,-79,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200
1526460037298,-200,-84,-81,-76,-68,-200,-80,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460037401,-200,-84,-80,-200,-200,-200,-79,-200,-200,-200,-88,-200,-93,-200,-200,-200,-200,-200,-200,-200
1526460037517,-94,-85,-200,-200,-69,-200,-80,-88,-94,-93,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200
1526460037626,-200,-85,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526460042037,-200,-84,-64,-200,-200,-200,-73,-78,-200,-200,-200,-73,-87,-200,-200,-200,-200,-200,-200,-200
1526460042140,-200,-84,-200,-73,-65,-95,-200,-79,-200,-200,-86,-200,-200,-91,-93,-200,-200,-200,-200,-200
1526460042267,-200,-200,-200,-72,-65,-200,-74,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526460042372,-200,-200,-64,-72,-65,-95,-74,-78,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200
1526460042496,-200,-84,-64,-200,-65,-200,-74,-77,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460047035,-200,-200,-69,-65,-200,-200,-70,-80,-93,-200,-85,-64,-200,-200,-94,-200,-200,-200,-200,-200
1526460047157,-200,-76,-69,-66,-62,-200,-70,-80,-200,-200,-200,-200,-87,-200,-93,-200,-97,-200,-200,-200
1526460047230,-200,-76,-68,-65,-62,-200,-70,-80,-200,-88,-84,-64,-86,-200,-200,-200,-200,-200,-200,-200
1526460047371,-200,-76,-69,-200,-62,-200,-70,-200,-93,-200,-85,-64,-86,-92,-94,-200,-95,-200,-200,-200
1526460047488,-200,-76,-200,-65,-62,-200,-200,-81,-200,-88,-85,-64,-200,-200,-200,-200,-200,-98,-200,-200
1526460047600,-200,-76,-200,-66,-62,-200,-70,-200,-200,-88,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200
