,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0118.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011c.0012-vlucci.com A1.4.0.1
,78:A5:04:41:EB:C7,78:A5:04:41:E5:77,78:A5:04:41:E7:CC,78:A5:04:41:EB:C9,78:A5:04:41:EE:07,78:A5:04:41:E5:70,78:A5:04:41:E7:91,78:A5:04:41:E5:5F,78:A5:04:41:E7:81,7C:66:9D:7B:2E:16,78:A5:04:41:E5:56,78:A5:04:41:E7:88,F4:B8:5E:AA:77:73
1526461852549,-94,-80,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461852661,-91,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461852773,-93,-79,-200,-95,-95,-92,-101,-95,-80,-200,-200,-200,-200
1526461852956,-93,-200,-94,-98,-200,-92,-200,-95,-78,-97,-89,-200,-200
1526461857492,-94,-200,-94,-96,-200,-200,-200,-200,-78,-98,-90,-200,-200
1526461857593,-96,-99,-200,-96,-200,-200,-200,-200,-79,-96,-90,-200,-200
1526461857781,-200,-200,-95,-200,-200,-200,-200,-200,-78,-200,-90,-98,-200
1526461857887,-95,-200,-200,-200,-200,-200,-200,-200,-78,-95,-89,-200,-200
1526461862410,-91,-84,-89,-200,-95,-95,-200,-200,-200,-200,-200,-200,-200
1526461862510,-90,-83,-89,-200,-93,-200,-200,-200,-77,-200,-200,-200,-200
1526461862609,-89,-200,-200,-200,-94,-200,-200,-200,-76,-200,-200,-200,-200
1526461862716,-90,-85,-200,-200,-200,-200,-200,-200,-77,-200,-99,-200,-200
1526461862810,-90,-83,-200,-200,-200,-95,-200,-94,-76,-200,-200,-96,-200
1526461862912,-90,-83,-200,-200,-94,-94,-200,-96,-77,-200,-200,-93,-200
1526461863066,-89,-83,-88,-200,-200,-200,-200,-95,-76,-200,-200,-200,-200
1526461867413,-200,-200,-91,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200
1526461867517,-200,-81,-91,-93,-200,-200,-200,-200,-200,-200,-200,-95,-200
1526461867610,-200,-81,-91,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200
1526461867712,-200,-82,-91,-93,-200,-200,-200,-200,-78,-200,-96,-200,-200
1526461867819,-95,-81,-91,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200
1526461867927,-94,-81,-90,-95,-200,-93,-200,-200,-200,-200,-95,-95,-200
1526461872440,-96,-200,-96,-97,-200,-200,-200,-95,-78,-96,-89,-100,-200
1526461872544,-94,-98,-94,-200,-200,-200,-200,-97,-200,-96,-89,-200,-200
1526461872657,-200,-200,-94,-200,-200,-200,-200,-94,-77,-94,-200,-200,-200
1526461872807,-200,-96,-200,-95,-200,-200,-200,-96,-200,-200,-200,-200,-200
1526461872906,-96,-200,-200,-99,-200,-200,-200,-96,-77,-95,-89,-200,-200
1526461873006,-200,-200,-200,-200,-200,-200,-200,-95,-76,-200,-200,-200,-200
1526461877423,-200,-83,-89,-200,-93,-93,-200,-96,-76,-200,-200,-200,-200
1526461877560,-89,-84,-88,-200,-92,-200,-200,-94,-76,-200,-97,-200,-200
1526461877666,-90,-200,-88,-200,-92,-200,-200,-97,-76,-200,-200,-200,-200
1526461877775,-200,-83,-88,-200,-92,-200,-200,-94,-76,-200,-200,-95,-200
1526461877883,-90,-83,-88,-200,-200,-200,-200,-95,-76,-200,-98,-200,-200
1526461877983,-88,-83,-87,-200,-92,-93,-200,-200,-200,-200,-200,-94,-200
1526461882431,-94,-200,-200,-92,-97,-91,-200,-200,-200,-200,-200,-200,-200
1526461882529,-94,-80,-92,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526461882651,-200,-200,-200,-93,-97,-92,-200,-200,-77,-200,-95,-200,-200
1526461882757,-95,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-93,-200
1526461882865,-96,-80,-94,-200,-200,-92,-200,-200,-76,-200,-95,-200,-200
1526461887401,-96,-97,-95,-97,-200,-200,-200,-96,-78,-97,-89,-200,-200
1526461887504,-200,-200,-97,-97,-200,-200,-200,-200,-78,-94,-89,-200,-200
1526461887608,-96,-95,-95,-99,-200,-200,-200,-200,-77,-200,-88,-200,-200
1526461887716,-94,-200,-200,-96,-200,-200,-200,-96,-77,-97,-91,-200,-200
1526461887810,-200,-94,-96,-97,-200,-200,-200,-200,-77,-200,-90,-200,-200
1526461887920,-95,-200,-200,-97,-200,-200,-200,-94,-78,-200,-89,-200,-200
1526461888007,-200,-200,-99,-98,-200,-200,-200,-200,-76,-200,-89,-97,-200
1526461892429,-200,-84,-87,-200,-200,-93,-200,-96,-200,-200,-92,-95,-200
1526461892524,-200,-83,-88,-200,-93,-200,-200,-95,-200,-200,-94,-96,-200
1526461892626,-89,-83,-88,-200,-94,-200,-200,-96,-76,-200,-200,-94,-200
1526461892729,-90,-83,-88,-200,-93,-93,-200,-96,-200,-200,-200,-94,-200
1526461892854,-200,-83,-88,-200,-200,-94,-200,-95,-200,-200,-200,-200,-200
1526461892975,-200,-82,-200,-200,-200,-92,-200,-94,-76,-200,-96,-200,-200
