,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0116.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,0115.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E5:5F,78:A5:04:41:EE:07,78:A5:04:41:EB:C7,7C:66:9D:7B:2B:DE,78:A5:04:41:E7:91,F4:B8:5E:AA:79:4E,7C:66:9D:7B:2B:E4,78:A5:04:41:EB:DD
1526460542557,-85,-75,-78,-200,-200,-200,-200,-200
1526460542718,-88,-75,-74,-200,-200,-200,-200,-200
1526460542831,-86,-75,-73,-200,-200,-200,-200,-200
1526460542940,-89,-75,-200,-98,-200,-200,-200,-200
1526460547428,-82,-69,-73,-200,-91,-200,-200,-200
1526460547568,-80,-68,-75,-97,-91,-95,-200,-200
1526460547664,-80,-68,-75,-200,-92,-96,-200,-200
1526460547787,-80,-69,-200,-200,-91,-200,-200,-200
1526460547891,-81,-77,-200,-200,-92,-200,-200,-200
1526460552435,-89,-77,-81,-200,-200,-200,-95,-200
1526460552563,-200,-79,-82,-200,-200,-200,-200,-200
1526460552661,-88,-79,-81,-200,-97,-200,-200,-200
1526460552830,-200,-78,-76,-200,-97,-200,-97,-200
1526460552932,-200,-75,-72,-200,-200,-200,-200,-200
1526460557493,-200,-200,-72,-200,-200,-91,-200,-200
1526460557592,-200,-79,-72,-200,-200,-200,-200,-200
1526460557704,-200,-200,-74,-200,-200,-200,-97,-200
1526460557903,-83,-69,-73,-200,-90,-91,-99,-200
1526460562525,-83,-69,-73,-200,-200,-92,-200,-200
1526460562621,-83,-69,-72,-200,-91,-200,-200,-200
1526460562727,-83,-69,-71,-97,-92,-91,-200,-200
1526460562838,-84,-69,-72,-200,-200,-200,-200,-200
1526460562939,-84,-73,-78,-200,-200,-200,-200,-200
1526460567456,-86,-74,-80,-200,-96,-200,-200,-200
1526460567625,-87,-73,-200,-200,-200,-200,-200,-200
1526460567737,-200,-73,-81,-200,-200,-99,-98,-200
1526460567853,-85,-73,-82,-200,-94,-93,-200,-200
1526460572443,-93,-75,-73,-200,-200,-94,-200,-200
1526460572555,-88,-76,-73,-200,-200,-93,-200,-200
1526460572657,-89,-75,-72,-200,-200,-91,-95,-200
1526460572769,-88,-200,-72,-200,-200,-200,-200,-200
1526460572868,-82,-200,-72,-200,-89,-200,-200,-200
1526460577462,-200,-68,-76,-200,-200,-92,-200,-200
1526460577575,-200,-68,-75,-200,-89,-200,-200,-200
1526460577680,-82,-68,-75,-200,-200,-200,-200,-200
1526460577764,-200,-68,-75,-200,-200,-92,-200,-200
1526460577869,-83,-74,-75,-200,-200,-200,-200,-200
1526460582453,-87,-74,-80,-200,-200,-200,-200,-200
1526460582552,-87,-73,-200,-200,-200,-200,-96,-200
1526460582640,-87,-200,-200,-200,-200,-200,-200,-200
1526460582751,-87,-73,-80,-200,-200,-200,-200,-200
1526460582855,-88,-200,-200,-200,-200,-200,-200,-200
1526460587399,-86,-200,-72,-200,-200,-200,-200,-200
1526460587505,-85,-200,-72,-200,-200,-200,-200,-200
1526460587588,-85,-86,-71,-200,-200,-200,-200,-200
1526460587689,-85,-200,-72,-200,-200,-200,-94,-200
1526460587793,-86,-200,-72,-200,-200,-200,-200,-200
1526460587905,-84,-200,-72,-95,-200,-200,-92,-96
1526460592439,-82,-69,-75,-200,-91,-200,-200,-200
1526460592539,-81,-68,-200,-200,-200,-200,-200,-200
1526460592634,-81,-68,-200,-200,-200,-200,-98,-200
1526460592738,-80,-70,-79,-200,-200,-93,-200,-200
1526460592845,-80,-71,-79,-200,-200,-200,-200,-200
1526460592949,-80,-73,-78,-200,-200,-200,-200,-200
1526460597501,-89,-74,-78,-200,-200,-200,-200,-200
1526460597603,-88,-73,-78,-200,-200,-200,-95,-200
1526460597704,-89,-72,-78,-200,-200,-99,-200,-200
1526460597811,-88,-72,-78,-200,-200,-200,-200,-200
1526460597924,-200,-72,-79,-200,-200,-200,-200,-200
1526460602408,-84,-77,-72,-200,-200,-92,-200,-200
1526460602570,-85,-77,-73,-200,-200,-93,-200,-200
1526460602654,-85,-77,-72,-200,-200,-200,-93,-200
1526460602760,-85,-200,-73,-200,-200,-92,-200,-200
1526460602895,-84,-77,-200,-200,-200,-200,-200,-200
