,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011e.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:94,78:A5:04:41:E7:FE,78:A5:04:41:EB:85,78:A5:04:41:E5:77,78:A5:04:41:EB:B7,78:A5:04:41:E9:E0,F4:B8:5E:AA:78:68,78:A5:04:41:E7:81,78:A5:04:41:EB:C9,78:A5:04:41:E5:56
1526463662716,-86,-80,-89,-85,-82,-200,-200,-200,-200,-200
1526463662833,-200,-80,-88,-200,-200,-86,-200,-200,-200,-200
1526463662944,-86,-80,-200,-200,-200,-85,-200,-200,-200,-200
1526463663052,-200,-80,-87,-87,-88,-200,-200,-200,-200,-200
1526463667698,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200
1526463667796,-200,-80,-200,-85,-200,-200,-90,-200,-200,-200
1526463667896,-89,-81,-87,-200,-200,-200,-90,-200,-200,-200
1526463668005,-85,-80,-200,-84,-80,-80,-90,-200,-200,-200
1526463672687,-200,-83,-200,-87,-81,-80,-200,-88,-200,-200
1526463672793,-200,-83,-90,-200,-200,-80,-200,-200,-87,-200
1526463672927,-84,-82,-200,-87,-81,-80,-200,-87,-88,-200
1526463673033,-90,-200,-88,-83,-80,-200,-200,-88,-87,-200
1526463677674,-200,-200,-87,-83,-87,-200,-200,-89,-200,-200
1526463677795,-200,-80,-85,-84,-87,-200,-200,-200,-200,-200
1526463677991,-200,-79,-86,-83,-86,-200,-200,-89,-93,-200
1526463682631,-200,-80,-88,-88,-200,-200,-200,-200,-200,-200
1526463682734,-200,-81,-88,-200,-87,-200,-200,-200,-200,-200
1526463682845,-200,-81,-88,-87,-200,-200,-200,-86,-200,-200
1526463682933,-200,-81,-200,-200,-84,-79,-200,-86,-88,-200
1526463687708,-200,-82,-200,-88,-83,-79,-200,-88,-87,-200
1526463687841,-85,-82,-200,-88,-82,-200,-200,-200,-200,-200
1526463688025,-86,-200,-200,-200,-85,-200,-200,-200,-200,-200
1526463688486,-90,-200,-200,-200,-82,-81,-200,-200,-200,-200
1526463692677,-200,-200,-200,-84,-86,-81,-200,-91,-200,-200
1526463692785,-90,-81,-200,-200,-86,-82,-200,-200,-200,-200
1526463692936,-90,-81,-200,-83,-200,-80,-200,-200,-200,-200
1526463693032,-91,-83,-200,-84,-87,-80,-200,-88,-200,-200
1526463697797,-200,-80,-200,-84,-86,-80,-200,-200,-200,-200
1526463698154,-200,-80,-200,-200,-200,-84,-200,-200,-200,-200
1526463702642,-200,-82,-200,-200,-83,-77,-200,-200,-87,-200
1526463702759,-86,-200,-200,-88,-200,-77,-200,-200,-86,-200
1526463702858,-200,-200,-200,-90,-81,-78,-200,-200,-88,-200
1526463702988,-200,-200,-200,-89,-81,-80,-200,-200,-200,-200
1526463707645,-89,-82,-84,-200,-200,-92,-200,-200,-200,-93
1526463707798,-200,-200,-84,-85,-200,-200,-200,-200,-200,-90
1526463707884,-200,-82,-83,-85,-87,-200,-200,-200,-200,-200
1526463712746,-89,-84,-200,-83,-86,-84,-88,-200,-92,-200
1526463712850,-200,-84,-200,-83,-200,-83,-88,-84,-200,-200
1526463713017,-200,-84,-88,-84,-200,-83,-88,-84,-200,-200
1526463713144,-200,-200,-87,-200,-200,-200,-200,-84,-200,-200
1526463717653,-200,-200,-200,-200,-200,-80,-200,-89,-200,-200
1526463717756,-200,-200,-200,-200,-200,-80,-200,-90,-200,-200
1526463717867,-200,-200,-200,-200,-86,-200,-200,-88,-200,-200
1526463717976,-200,-82,-200,-200,-87,-79,-200,-88,-91,-200
1526463722759,-200,-200,-200,-200,-88,-77,-200,-200,-200,-200
1526463722897,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200
1526463723015,-200,-81,-200,-200,-88,-77,-200,-200,-200,-200
1526463723419,-200,-82,-200,-200,-86,-79,-200,-200,-200,-200
1526463723527,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200
