,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,abeacon_91C4,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,abeacon_940E,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,abeacon_9221,abeacon_9237,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,abeacon_92C8,vlucci.com AC-V1.4.0.0
,BC:6A:29:BE:31:7F,7C:66:9D:7B:2E:21,78:A5:04:41:E9:FB,78:A5:04:41:E9:A5,78:A5:04:41:EB:AC,78:A5:04:41:EB:B5,78:A5:04:41:EB:D8,78:A5:04:41:EB:D1,78:A5:04:41:EB:E8,12:3B:6A:1A:91:C4,78:A5:04:41:EB:94,78:A5:04:41:E9:E0,78:A5:04:41:EB:AA,78:A5:04:41:E7:A7,78:A5:04:41:EB:AB,78:A5:04:41:E9:F3,78:A5:04:41:E5:59,78:A5:04:41:E9:8E,78:A5:04:41:E7:9D,78:A5:04:41:E9:BB,78:A5:04:41:E9:A7,78:A5:04:41:EB:FE,7C:66:9D:7B:47:FC,78:A5:04:41:E5:34,78:A5:04:41:EB:B2,78:A5:04:41:E9:B3,12:3B:6A:1A:91:BC,78:A5:04:41:E9:BE,78:A5:04:41:E9:CB,12:3B:6A:1A:94:0E,78:A5:04:41:E9:E3,78:A5:04:41:EB:B7,12:3B:6A:1A:92:2D,12:3B:6A:1A:91:5D,78:A5:04:41:EB:85,78:A5:04:41:EB:DF,78:A5:04:41:E7:FE,12:3B:6A:1A:92:21,12:3B:6A:1A:92:37,78:A5:04:41:E9:82,78:A5:04:41:E9:C8,78:A5:04:41:EB:D4,12:3B:6A:1A:92:C8,78:A5:04:41:E9:A0
1540968256842,-92,-90,-90,-93,-85,-90,-80,-80,-80,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968258975,-90,-200,-200,-200,-200,-200,-200,-200,-87,-200,-72,-90,-85,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968260091,-200,-200,-200,-200,-82,-200,-200,-83,-73,-200,-200,-200,-93,-200,-96,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968261181,-96,-81,-200,-200,-200,-200,-200,-79,-79,-200,-200,-200,-200,-200,-200,-200,-90,-84,-88,-91,-91,-71,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968262386,-200,-81,-200,-200,-200,-200,-200,-83,-200,-90,-69,-200,-200,-200,-200,-92,-200,-200,-200,-86,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968264560,-200,-81,-200,-200,-86,-92,-200,-200,-81,-92,-200,-200,-200,-92,-200,-92,-200,-87,-200,-200,-92,-200,-200,-92,-91,-90,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968265700,-200,-80,-200,-200,-200,-92,-200,-200,-78,-200,-200,-200,-200,-92,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-92,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968266790,-200,-80,-200,-200,-200,-200,-200,-79,-200,-90,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-90,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968267870,-200,-80,-200,-200,-200,-200,-75,-200,-200,-200,-68,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-68,-84,-200,-200,-200,-200,-200,-92,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
