,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,abeacon_940E,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,abeacon_9219,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,abeacon_92C8,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,SZDX00451,abeacon_915A,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,abeacon_91BC,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,SZDX00457,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,SZDX00455,abeacon_9221,abeacon_9237,abeacon_922D,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,abeacon_9286,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:E8,78:A5:04:41:E9:B3,7C:66:9D:7B:2E:21,78:A5:04:41:E7:A7,78:A5:04:41:E5:3E,78:A5:04:41:E9:A7,12:3B:6A:1A:94:0E,78:A5:04:41:E9:8E,78:A5:04:41:EB:D1,78:A5:04:41:E9:E0,78:A5:04:41:E5:34,78:A5:04:41:EB:FE,78:A5:04:41:EB:B7,78:A5:04:41:E9:E3,12:3B:6A:1A:92:19,7C:66:9D:7B:47:FC,78:A5:04:41:E7:CC,78:A5:04:41:EB:94,78:A5:04:41:E9:BB,78:A5:04:41:EB:D8,BC:6A:29:BE:31:17,78:A5:04:41:E7:9D,BC:6A:29:BE:2F:54,12:3B:6A:1A:92:C8,78:A5:04:41:E9:C8,78:A5:04:41:E9:BE,78:A5:04:41:EB:B2,78:A5:04:41:EB:AA,78:A5:04:41:EB:AC,C2:00:CD:00:01:C3,12:3B:6A:1A:91:5A,78:A5:04:41:E9:D2,78:A5:04:41:E9:A0,12:3B:6A:1A:91:16,78:A5:04:41:E9:A5,78:A5:04:41:E9:82,78:A5:04:41:EE:0A,78:A5:04:41:E9:CB,78:A5:04:41:E7:FE,BC:6A:29:BE:31:7F,12:3B:6A:1A:91:BC,78:A5:04:41:E9:F3,78:A5:04:41:EB:DF,78:A5:04:41:EB:AB,C2:00:CD:00:01:C9,12:3B:6A:1A:92:7A,78:A5:04:41:EB:85,78:A5:04:41:E9:FB,C2:00:CD:00:01:C7,12:3B:6A:1A:92:21,12:3B:6A:1A:92:37,12:3B:6A:1A:92:2D,78:A5:04:41:E5:59,78:A5:04:41:EB:B5,12:3B:6A:1A:92:86,78:A5:04:41:EB:D4
1540968744711,-73,-88,-72,-86,-88,-95,-76,-86,-74,-92,-88,-61,-88,-86,-87,-72,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968746930,-200,-80,-70,-200,-200,-200,-200,-200,-200,-200,-85,-66,-200,-200,-200,-200,-200,-71,-75,-75,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968749076,-68,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-86,-101,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968750169,-70,-200,-69,-200,-200,-200,-200,-200,-66,-200,-200,-62,-200,-81,-200,-73,-200,-67,-200,-200,-200,-200,-200,-200,-84,-81,-92,-81,-85,-93,-92,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968751331,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-59,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968752386,-75,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-97,-78,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968753482,-200,-200,-72,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-78,-85,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968753591,-64,-88,-200,-200,-200,-200,-200,-200,-67,-200,-200,-58,-200,-200,-200,-200,-200,-74,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968754617,-76,-88,-66,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-85,-200,-200,-99,-200,-200,-200,-76,-200,-200,-84,-82,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
