,vlucci.com AC-V1.4.0.0,0116.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0118.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0115.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:91,7C:66:9D:7B:2B:DE,7C:66:9D:7B:2B:D3,78:A5:04:41:E7:CC,7C:66:9D:7B:2E:16,78:A5:04:41:EB:C9,F4:B8:5E:AA:77:73,78:A5:04:41:E5:56,7C:66:9D:7B:2B:E4,F4:B8:5E:AA:79:4E,78:A5:04:41:E7:81,78:A5:04:41:E5:77
1526464442774,-94,-101,-88,-96,-76,-85,-79,-200,-200,-200,-200,-200
1526464442873,-94,-200,-90,-96,-77,-85,-81,-90,-98,-92,-200,-200
1526464442984,-200,-200,-89,-95,-76,-86,-82,-88,-200,-90,-95,-200
1526464443112,-200,-200,-87,-96,-76,-87,-200,-200,-95,-200,-200,-200
1526464443233,-200,-200,-88,-200,-76,-200,-84,-200,-200,-90,-94,-95
1526464447723,-200,-97,-94,-200,-83,-94,-84,-200,-200,-88,-94,-200
1526464447836,-200,-200,-94,-200,-83,-96,-84,-97,-200,-89,-200,-97
1526464447944,-200,-200,-92,-200,-84,-200,-84,-200,-94,-87,-200,-98
1526464448043,-200,-200,-90,-200,-83,-200,-82,-200,-94,-87,-200,-200
1526464448142,-200,-200,-91,-200,-82,-200,-200,-200,-92,-86,-200,-200
1526464448247,-200,-91,-91,-200,-81,-87,-82,-200,-200,-88,-89,-200
1526464452733,-200,-93,-92,-200,-79,-200,-200,-200,-200,-200,-91,-200
1526464452843,-200,-94,-200,-200,-79,-200,-83,-200,-94,-200,-200,-200
1526464452952,-200,-92,-200,-200,-81,-90,-82,-200,-94,-200,-200,-200
1526464453075,-200,-200,-200,-200,-81,-90,-81,-200,-200,-200,-91,-200
1526464453164,-200,-200,-85,-200,-80,-87,-83,-200,-200,-200,-200,-200
1526464457758,-96,-200,-86,-93,-81,-200,-81,-200,-200,-89,-200,-200
1526464457865,-200,-200,-200,-200,-80,-87,-82,-200,-200,-200,-94,-98
1526464457966,-200,-200,-86,-200,-80,-87,-81,-200,-200,-200,-200,-200
1526464458067,-200,-200,-86,-200,-79,-200,-80,-200,-200,-200,-94,-98
1526464462683,-200,-95,-200,-200,-81,-200,-200,-200,-91,-200,-94,-200
1526464462836,-200,-95,-200,-200,-81,-200,-81,-200,-92,-200,-97,-98
1526464462945,-200,-200,-98,-200,-82,-95,-81,-96,-92,-200,-98,-200
1526464463058,-200,-200,-200,-200,-82,-96,-82,-95,-92,-200,-200,-200
1526464463160,-92,-96,-200,-200,-83,-95,-81,-200,-93,-200,-200,-200
1526464467689,-200,-92,-200,-200,-81,-93,-84,-200,-200,-200,-200,-200
1526464467810,-93,-94,-92,-200,-81,-92,-84,-200,-200,-200,-200,-200
1526464467920,-200,-200,-92,-200,-81,-93,-85,-200,-200,-93,-200,-200
1526464468019,-93,-92,-92,-200,-81,-92,-83,-200,-200,-200,-200,-200
1526464468125,-95,-200,-91,-95,-80,-86,-82,-95,-200,-200,-200,-200
1526464472726,-200,-88,-84,-94,-200,-87,-200,-94,-97,-200,-200,-96
1526464472837,-90,-88,-83,-94,-77,-88,-84,-94,-96,-200,-200,-200
1526464473002,-200,-89,-200,-93,-200,-89,-85,-95,-95,-86,-200,-200
1526464473109,-200,-89,-200,-96,-78,-90,-85,-94,-96,-87,-200,-200
1526464473218,-91,-200,-84,-200,-79,-92,-82,-200,-92,-90,-200,-200
1526464477827,-200,-95,-200,-200,-84,-200,-82,-99,-200,-91,-200,-200
1526464477964,-200,-96,-200,-200,-86,-200,-83,-98,-93,-92,-200,-200
1526464478087,-200,-200,-200,-200,-85,-200,-200,-200,-94,-92,-200,-200
1526464478195,-200,-95,-200,-200,-82,-200,-82,-200,-93,-200,-200,-200
1526464482731,-200,-200,-200,-200,-83,-200,-86,-200,-200,-200,-200,-200
1526464482837,-200,-200,-200,-200,-83,-200,-86,-200,-200,-200,-200,-200
1526464482937,-200,-200,-200,-200,-83,-200,-86,-200,-200,-200,-200,-200
1526464483040,-200,-200,-90,-200,-82,-200,-85,-200,-200,-200,-200,-200
1526464487666,-92,-200,-85,-91,-79,-89,-83,-200,-200,-200,-96,-200
1526464487793,-200,-200,-200,-200,-79,-200,-83,-200,-200,-88,-95,-200
1526464487903,-200,-200,-86,-92,-79,-88,-200,-200,-200,-200,-96,-200
1526464488018,-200,-200,-200,-92,-79,-89,-83,-93,-94,-200,-200,-200
1526464488120,-93,-91,-87,-92,-79,-88,-83,-200,-200,-200,-200,-97
1526464488228,-200,-200,-200,-200,-200,-88,-83,-92,-200,-200,-200,-200
1526464492743,-200,-95,-200,-200,-200,-98,-82,-97,-200,-200,-200,-102
1526464492850,-200,-95,-200,-200,-85,-96,-82,-98,-98,-91,-200,-200
1526464493034,-200,-95,-200,-200,-87,-97,-200,-97,-200,-91,-200,-97
1526464493133,-200,-96,-200,-200,-86,-96,-83,-200,-200,-90,-200,-200
1526464493242,-200,-95,-200,-200,-81,-200,-84,-200,-200,-92,-200,-200
1526464497828,-200,-200,-200,-200,-80,-200,-85,-200,-200,-200,-200,-200
1526464497930,-200,-200,-200,-200,-81,-200,-86,-200,-200,-95,-200,-200
1526464498035,-200,-200,-200,-200,-80,-200,-85,-200,-200,-200,-200,-200
1526464498166,-200,-200,-200,-200,-81,-200,-85,-200,-200,-94,-200,-200
1526464502683,-200,-92,-85,-91,-81,-200,-83,-93,-200,-200,-200,-200
1526464502789,-200,-91,-85,-200,-81,-89,-83,-92,-94,-88,-200,-200
1526464502890,-94,-200,-200,-200,-81,-88,-83,-92,-200,-200,-200,-200
1526464502984,-200,-91,-85,-200,-200,-89,-83,-200,-200,-200,-200,-200
1526464503085,-200,-200,-200,-200,-81,-200,-83,-200,-200,-200,-200,-200
1526464503189,-200,-200,-200,-200,-81,-200,-82,-200,-200,-200,-200,-200
1526464507718,-200,-200,-200,-200,-85,-200,-81,-200,-200,-200,-200,-200
1526464507827,-200,-200,-200,-200,-200,-200,-81,-200,-96,-200,-200,-200
1526464507939,-200,-93,-200,-200,-86,-93,-81,-200,-95,-200,-96,-200
1526464508030,-200,-93,-200,-200,-200,-94,-81,-200,-200,-200,-200,-200
1526464508220,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
