,0119.0012-vlucci.com A1.4.0.1,0122.0012-vlucci.com A1.4.0.1,011d.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0124.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:2D:79,F4:B8:5E:AA:7A:97,F4:B8:5E:AA:7A:3E,78:A5:04:41:EB:CA,78:A5:04:41:EB:93,78:A5:04:41:E9:D3,78:A5:04:41:E9:E7,78:A5:04:41:E9:F2,F4:B8:5E:AA:79:07,78:A5:04:41:EB:AA,78:A5:04:41:EB:EA
1526461432089,-76,-66,-61,-200,-200,-200,-200,-200,-200,-200,-200
1526461432354,-200,-200,-61,-200,-200,-200,-200,-200,-200,-200,-200
1526461432458,-200,-200,-61,-200,-200,-200,-200,-200,-200,-200,-200
1526461436976,-75,-77,-71,-95,-94,-200,-200,-200,-200,-200,-200
1526461437107,-200,-78,-200,-93,-97,-93,-95,-98,-200,-200,-200
1526461437388,-82,-73,-200,-200,-97,-200,-200,-200,-99,-200,-200
1526461437452,-83,-71,-61,-200,-95,-200,-200,-85,-200,-200,-200
1526461442076,-78,-69,-62,-200,-200,-200,-86,-200,-200,-200,-200
1526461442177,-200,-68,-200,-91,-200,-200,-200,-83,-200,-200,-200
1526461442314,-200,-67,-200,-89,-200,-87,-200,-200,-94,-93,-200
1526461442422,-200,-200,-63,-88,-200,-85,-87,-94,-200,-91,-93
1526461447034,-200,-72,-60,-200,-200,-200,-200,-87,-200,-200,-200
1526461447137,-200,-73,-60,-84,-200,-200,-200,-87,-200,-200,-200
1526461447365,-200,-71,-60,-200,-200,-200,-82,-200,-200,-200,-200
1526461447459,-79,-79,-60,-200,-200,-88,-200,-200,-200,-200,-200
1526461452011,-79,-80,-71,-92,-200,-200,-91,-100,-100,-200,-200
1526461452159,-200,-200,-71,-92,-200,-90,-92,-200,-100,-99,-200
1526461452303,-76,-78,-71,-92,-200,-90,-93,-85,-200,-200,-200
1526461457008,-91,-71,-67,-200,-200,-92,-80,-200,-200,-93,-200
1526461457161,-200,-71,-67,-89,-200,-200,-79,-84,-200,-200,-200
1526461457262,-200,-200,-66,-88,-200,-94,-80,-84,-200,-93,-200
1526461457375,-89,-71,-67,-87,-200,-91,-200,-200,-200,-200,-200
1526461457476,-200,-72,-67,-88,-200,-200,-80,-84,-200,-200,-200
1526461461942,-73,-200,-64,-85,-200,-200,-79,-200,-200,-91,-200
1526461462042,-73,-68,-200,-200,-200,-200,-80,-200,-200,-200,-200
1526461462141,-74,-69,-200,-200,-200,-200,-80,-200,-200,-200,-200
1526461462358,-73,-200,-64,-200,-100,-200,-80,-200,-200,-200,-200
1526461466936,-79,-79,-71,-95,-200,-93,-200,-200,-200,-200,-200
1526461467040,-200,-200,-71,-95,-98,-94,-200,-200,-200,-100,-200
1526461467155,-80,-81,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526461467290,-80,-78,-69,-94,-97,-200,-91,-200,-102,-101,-200
1526461467398,-79,-77,-69,-95,-100,-92,-89,-200,-102,-200,-200
1526461471933,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461472037,-200,-71,-200,-88,-200,-200,-200,-200,-94,-200,-200
1526461472239,-200,-72,-200,-200,-200,-200,-200,-200,-96,-200,-200
1526461472441,-200,-70,-67,-88,-200,-89,-78,-200,-96,-200,-200
1526461474796,-200,-200,-200,-87,-200,-92,-78,-86,-98,-200,-200
1526461475179,-200,-200,-63,-200,-200,-200,-78,-200,-98,-94,-200
1526461475294,-200,-200,-200,-200,-200,-200,-79,-89,-200,-200,-200
1526461475379,-200,-200,-200,-200,-200,-200,-79,-87,-98,-200,-200
1526461475484,-91,-200,-65,-89,-200,-94,-80,-200,-200,-94,-200
1526461475597,-200,-200,-200,-200,-200,-200,-79,-200,-200,-92,-200
1526461475684,-89,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200
1526461475793,-89,-200,-200,-200,-97,-200,-79,-200,-200,-200,-200
1526461475933,-89,-73,-65,-88,-200,-94,-80,-88,-200,-95,-200
1526461476031,-89,-74,-200,-89,-200,-200,-79,-87,-200,-200,-200
1526461476129,-90,-72,-200,-200,-200,-200,-200,-87,-200,-200,-200
1526461476232,-91,-73,-65,-200,-200,-95,-79,-88,-200,-200,-200
1526461476439,-90,-71,-200,-88,-200,-92,-80,-87,-200,-94,-200
1526461476534,-90,-200,-200,-200,-200,-200,-78,-87,-200,-200,-200
1526461476641,-88,-71,-63,-87,-200,-200,-200,-85,-200,-200,-200
1526461476795,-200,-73,-64,-200,-200,-200,-200,-200,-200,-200,-200
1526461477016,-75,-71,-61,-84,-200,-86,-200,-200,-200,-200,-200
1526461477233,-78,-72,-61,-200,-200,-200,-200,-200,-94,-200,-200
1526461477384,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461477486,-74,-200,-63,-200,-200,-88,-200,-200,-200,-200,-200
1526461477636,-76,-71,-63,-200,-200,-200,-81,-200,-200,-200,-200
1526461477779,-76,-71,-200,-200,-200,-200,-80,-200,-200,-200,-200
1526461477887,-77,-200,-63,-86,-200,-89,-80,-89,-200,-200,-200
1526461478008,-76,-71,-200,-200,-200,-200,-81,-89,-95,-200,-200
1526461478139,-77,-200,-62,-87,-200,-89,-80,-88,-200,-92,-200
1526461478325,-77,-71,-63,-86,-200,-200,-200,-200,-200,-92,-200
1526461478438,-77,-71,-63,-86,-200,-89,-200,-89,-96,-93,-200
1526461478542,-76,-71,-200,-86,-200,-200,-200,-200,-200,-91,-200
1526461478652,-77,-72,-200,-200,-200,-90,-200,-200,-200,-93,-200
1526461478768,-76,-71,-63,-86,-200,-200,-200,-200,-95,-200,-200
1526461479023,-77,-71,-62,-200,-200,-200,-80,-200,-200,-200,-200
1526461479426,-78,-200,-61,-85,-200,-200,-200,-88,-200,-200,-200
1526461479690,-200,-200,-200,-85,-200,-88,-79,-87,-200,-200,-200
1526461479905,-200,-200,-62,-86,-200,-200,-200,-87,-95,-200,-200
1526461480110,-78,-72,-200,-200,-200,-200,-200,-89,-200,-200,-200
1526461480233,-77,-72,-200,-86,-200,-88,-200,-200,-200,-91,-200
1526461480332,-77,-71,-200,-87,-200,-200,-200,-88,-96,-200,-200
1526461480436,-200,-70,-200,-200,-200,-200,-200,-88,-95,-200,-95
1526461480568,-77,-72,-63,-200,-200,-200,-80,-200,-93,-92,-200
1526461480676,-200,-200,-63,-200,-200,-95,-200,-200,-200,-200,-200
1526461480850,-200,-200,-65,-200,-200,-200,-80,-200,-200,-93,-200
1526461480922,-90,-73,-65,-200,-200,-94,-80,-88,-200,-200,-200
1526461481051,-90,-73,-64,-200,-200,-95,-79,-86,-200,-95,-200
1526461481196,-91,-71,-64,-87,-200,-93,-79,-88,-200,-94,-200
1526461481954,-200,-200,-61,-200,-200,-200,-79,-200,-200,-200,-200
1526461482245,-76,-200,-61,-84,-200,-86,-200,-200,-200,-200,-200
1526461482367,-200,-72,-61,-200,-200,-86,-200,-200,-200,-200,-200
1526461486935,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461487037,-75,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461487145,-200,-74,-68,-200,-200,-90,-200,-200,-200,-200,-200
1526461487252,-200,-74,-200,-200,-200,-200,-88,-200,-200,-200,-200
1526461487357,-77,-74,-200,-200,-200,-89,-200,-200,-200,-99,-200
1526461487452,-77,-75,-200,-200,-101,-200,-200,-84,-99,-93,-200
1526461492002,-81,-200,-65,-87,-97,-91,-77,-84,-200,-94,-200
1526461492105,-82,-71,-64,-88,-200,-91,-77,-84,-98,-200,-200
1526461492228,-83,-72,-64,-200,-200,-200,-78,-84,-97,-200,-200
1526461492334,-200,-73,-63,-87,-200,-90,-78,-85,-200,-94,-200
1526461492436,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200
