,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:B2,78:A5:04:41:EB:D4,78:A5:04:41:EB:AB,78:A5:04:41:EB:E4
1526453108088,-85,-92,-200,-200
1526453108189,-90,-200,-200,-200
1526453115792,-85,-200,-88,-200
1526453115825,-85,-200,-200,-200
1526453115936,-88,-200,-85,-200
1526453116156,-87,-200,-84,-200
1526453120818,-85,-200,-91,-200
1526453121019,-200,-200,-92,-200
1526453121116,-84,-200,-91,-200
1526453136020,-83,-200,-200,-200
1526453136145,-83,-200,-200,-200
1526453136256,-83,-200,-200,-200
1526453145979,-84,-200,-200,-200
1526453146076,-84,-200,-200,-200
1526453146185,-84,-200,-91,-92
1526453151093,-92,-200,-200,-90
1526453151230,-91,-200,-90,-200
1526453155744,-87,-200,-200,-90
1526453166044,-80,-200,-200,-200
1526453166134,-81,-200,-200,-200
1526453170749,-95,-200,-200,-200
