,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:C7,78:A5:04:41:EE:07,78:A5:04:41:E5:5F
1526458540161,-93,-94,-200
1526458544026,-92,-89,-200
1526458546662,-91,-88,-200
1526458547404,-94,-200,-200
1526458548153,-94,-200,-200
1526458549282,-92,-200,-200
1526458552406,-90,-200,-200
1526458557526,-91,-200,-200
1526458558764,-92,-200,-200
1526458559515,-90,-88,-200
1526458561019,-85,-88,-200
1526458563025,-91,-97,-200
1526458566135,-85,-200,-200
1526458566765,-84,-91,-100
1526458572005,-90,-94,-200
1526458576126,-93,-200,-200
1526458576761,-93,-95,-200
1526458578008,-92,-96,-200
1526458578750,-91,-90,-200
1526458583370,-92,-93,-200
1526458584741,-92,-200,-200
1526458585999,-85,-200,-200
1526458587476,-92,-96,-200
1526458590725,-91,-88,-200
1526458594617,-85,-89,-200
1526458596608,-200,-89,-200
