,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018
,0c:73:eb:d0:7e:d0,74:da:da:c1:03:1d,74:da:da:c1:02:91,74:da:da:c1:03:2d,74:da:da:98:74:74,0c:73:eb:d0:7c:40,74:da:da:c1:03:21,0c:73:eb:d0:13:98,74:da:da:c1:02:8d,74:da:da:c1:3a:8d,0c:73:eb:d0:7f:00,0c:73:eb:d0:13:d8,0c:73:eb:d0:11:d8,74:da:da:c1:6b:4d,74:da:da:c1:3d:2d,74:da:da:c1:3a:dd,74:da:da:c1:3a:81,74:da:da:98:74:80,d8:15:0d:6c:13:98,0c:73:eb:d0:7c:28,0c:73:eb:d0:13:b0,74:da:da:c0:f6:15,74:da:da:98:66:cc,74:da:da:98:90:2c,74:da:da:c0:d6:ed,74:da:da:c0:d9:39,74:da:da:c1:3b:29,0c:73:eb:d0:11:c8,74:da:da:c0:d7:c5,74:da:da:c0:d7:0d,0c:73:eb:d0:11:f8,74:da:da:c1:3c:f5,0c:73:eb:d0:19:80,0c:73:eb:d0:7f:18,0c:73:eb:d0:7c:00,0c:73:eb:d0:13:90,0c:73:eb:d0:76:50,0c:73:eb:d0:11:c0
1526442489398,-30,-32,-49,-49,-63,-63,-64,-65,-65,-65,-67,-67,-68,-68,-69,-71,-71,-73,-74,-76,-79,-80,-81,-81,-83,-85,-87,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442492423,-38,-51,-59,-61,-71,-75,-77,-82,-72,-73,-77,-67,-76,-68,-81,-71,-71,-89,-84,-200,-200,-80,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442495446,-38,-51,-59,-61,-71,-75,-77,-82,-72,-73,-77,-67,-76,-68,-81,-71,-71,-89,-84,-200,-200,-80,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442498460,-38,-51,-59,-61,-71,-75,-77,-82,-72,-73,-77,-67,-76,-68,-81,-71,-71,-89,-84,-200,-200,-80,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442501485,-29,-42,-45,-49,-63,-63,-65,-74,-56,-60,-62,-72,-67,-63,-68,-200,-76,-72,-71,-200,-200,-79,-88,-200,-200,-200,-200,-200,-200,-78,-79,-82,-85,-87,-89,-200,-200,-200
1526442504530,-30,-42,-45,-49,-63,-63,-64,-74,-56,-62,-62,-68,-63,-66,-68,-72,-76,-72,-69,-200,-200,-80,-88,-200,-200,-200,-200,-86,-200,-78,-76,-82,-82,-87,-89,-200,-200,-200
1526442507573,-30,-42,-45,-49,-63,-63,-64,-74,-56,-62,-62,-68,-63,-66,-68,-72,-76,-72,-69,-200,-200,-80,-88,-200,-200,-200,-200,-86,-200,-78,-76,-82,-82,-87,-89,-200,-200,-200
1526442510606,-30,-42,-45,-49,-63,-63,-64,-74,-56,-62,-62,-68,-63,-66,-68,-72,-76,-72,-69,-200,-200,-80,-88,-200,-200,-200,-200,-86,-200,-78,-76,-82,-82,-87,-89,-200,-200,-200
1526442513646,-34,-31,-55,-59,-70,-57,-70,-75,-57,-63,-61,-75,-68,-79,-68,-79,-74,-73,-72,-200,-200,-84,-200,-200,-200,-200,-200,-86,-92,-83,-76,-200,-82,-200,-200,-83,-200,-200
1526442516678,-33,-31,-56,-58,-70,-57,-69,-74,-57,-62,-61,-76,-72,-79,-67,-79,-74,-67,-71,-200,-83,-83,-200,-200,-200,-82,-200,-86,-92,-83,-86,-200,-82,-200,-200,-83,-200,-200
1526442519712,-33,-31,-56,-58,-70,-57,-69,-74,-57,-62,-61,-76,-72,-79,-67,-79,-74,-67,-71,-200,-83,-83,-200,-200,-200,-82,-200,-86,-92,-83,-86,-200,-82,-200,-200,-83,-200,-200
1526442522746,-33,-31,-56,-58,-70,-57,-69,-74,-57,-62,-61,-76,-72,-79,-67,-79,-74,-67,-71,-200,-83,-83,-200,-200,-200,-82,-200,-86,-92,-83,-86,-200,-82,-200,-200,-83,-200,-200
1526442525786,-47,-47,-70,-73,-84,-77,-78,-82,-72,-75,-72,-78,-73,-200,-82,-200,-74,-87,-71,-200,-83,-83,-200,-200,-200,-82,-200,-200,-89,-200,-86,-200,-200,-200,-200,-200,-92,-200
1526442528821,-35,-35,-59,-60,-70,-66,-66,-76,-63,-63,-63,-74,-69,-75,-71,-200,-82,-75,-71,-82,-83,-83,-200,-200,-200,-82,-200,-200,-89,-200,-86,-200,-200,-200,-200,-200,-92,-91
1526442531855,-35,-35,-59,-60,-70,-66,-66,-76,-63,-63,-63,-74,-69,-75,-71,-200,-82,-75,-71,-82,-83,-83,-200,-200,-200,-82,-200,-200,-89,-200,-86,-200,-200,-200,-200,-200,-92,-91
1526442534887,-35,-35,-59,-60,-70,-66,-66,-76,-63,-63,-63,-74,-69,-75,-71,-200,-82,-75,-71,-82,-83,-83,-200,-200,-200,-82,-200,-200,-89,-200,-86,-200,-200,-200,-200,-200,-92,-91
1526442537922,-28,-34,-45,-54,-66,-63,-61,-70,-59,-62,-64,-70,-70,-74,-68,-200,-81,-72,-80,-82,-200,-85,-200,-200,-200,-200,-200,-88,-200,-80,-200,-200,-83,-200,-200,-200,-200,-91
1526442540954,-29,-34,-45,-57,-68,-63,-61,-64,-57,-62,-61,-73,-66,-76,-68,-78,-82,-72,-74,-82,-200,-85,-200,-200,-200,-200,-200,-88,-200,-80,-82,-87,-83,-200,-200,-200,-200,-91
1526442543980,-29,-34,-45,-57,-68,-63,-61,-64,-57,-62,-61,-73,-66,-76,-68,-78,-82,-72,-74,-82,-200,-85,-200,-200,-200,-200,-200,-88,-200,-80,-82,-87,-83,-200,-200,-200,-200,-91
1526442547013,-29,-34,-45,-57,-68,-63,-61,-64,-57,-62,-61,-73,-66,-76,-68,-78,-82,-72,-74,-82,-200,-85,-200,-200,-200,-200,-200,-88,-200,-80,-82,-87,-83,-200,-200,-200,-200,-91
1526442550044,-29,-32,-47,-53,-65,-65,-62,-70,-59,-62,-61,-70,-74,-74,-67,-78,-82,-72,-77,-83,-80,-84,-89,-200,-200,-87,-88,-200,-200,-77,-79,-86,-200,-200,-200,-200,-200,-200
