,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018
,74:da:da:c1:03:1d,0c:73:eb:d0:7e:d0,74:da:da:c1:03:2d,74:da:da:c1:02:91,74:da:da:c1:02:8d,0c:73:eb:d0:11:d8,0c:73:eb:d0:7f:00,0c:73:eb:d0:13:98,74:da:da:c1:3d:2d,74:da:da:c1:3a:8d,0c:73:eb:d0:7c:40,74:da:da:98:74:74,0c:73:eb:d0:13:d8,74:da:da:c1:03:21,d8:15:0d:6c:13:98,74:da:da:c0:f6:15,0c:73:eb:d0:13:b0,74:da:da:c1:3b:29,74:da:da:c1:6b:4d,74:da:da:98:66:cc,74:da:da:98:90:2c,74:da:da:c1:3a:81,74:da:da:c0:d9:39,0c:73:eb:d0:11:f8,74:da:da:c0:d8:3d,0c:73:eb:d0:19:80,0c:73:eb:d0:7c:28,74:da:da:c0:d6:ed,74:da:da:98:74:80,74:da:da:c1:3c:45,74:da:da:c0:e0:6d,74:da:da:c0:f3:01,74:da:da:c0:d6:f5,0c:73:eb:d0:13:90,74:da:da:c1:3a:dd,74:da:da:c1:3b:19,0c:73:eb:d0:76:50,0c:73:eb:d0:7e:f8,74:da:da:c1:48:bd,0c:73:eb:d0:76:18
1526442719920,-37,-38,-43,-50,-56,-59,-64,-66,-67,-68,-68,-68,-71,-75,-75,-75,-77,-79,-79,-81,-81,-83,-83,-83,-84,-86,-87,-87,-88,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442722942,-37,-39,-47,-46,-60,-61,-66,-66,-64,-73,-72,-68,-69,-57,-81,-75,-77,-79,-79,-88,-81,-83,-83,-83,-84,-86,-90,-87,-84,-88,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526442725977,-37,-39,-47,-46,-60,-61,-66,-66,-64,-73,-72,-68,-69,-57,-81,-75,-77,-79,-79,-88,-81,-83,-83,-83,-84,-86,-90,-87,-84,-88,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526442729008,-37,-39,-47,-46,-60,-61,-66,-66,-64,-73,-72,-68,-69,-57,-81,-75,-77,-79,-79,-88,-81,-83,-83,-83,-84,-86,-90,-87,-84,-88,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526442732046,-39,-35,-51,-51,-58,-61,-65,-68,-64,-69,-71,-71,-70,-64,-83,-76,-76,-82,-200,-83,-81,-78,-84,-86,-200,-84,-89,-86,-84,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526442735079,-40,-38,-47,-52,-58,-59,-62,-67,-62,-68,-71,-72,-74,-63,-81,-75,-76,-82,-83,-85,-81,-78,-84,-86,-200,-84,-89,-85,-87,-200,-200,-91,-89,-200,-200,-200,-200,-200,-200,-200
1526442738114,-40,-38,-47,-52,-58,-59,-62,-67,-62,-68,-71,-72,-74,-63,-81,-75,-76,-82,-83,-85,-81,-78,-84,-86,-200,-84,-89,-85,-87,-200,-200,-91,-89,-200,-200,-200,-200,-200,-200,-200
1526442741144,-40,-38,-47,-52,-58,-59,-62,-67,-62,-68,-71,-72,-74,-63,-81,-75,-76,-82,-83,-85,-81,-78,-84,-86,-200,-84,-89,-85,-87,-200,-200,-91,-89,-200,-200,-200,-200,-200,-200,-200
1526442744182,-33,-43,-46,-48,-54,-61,-66,-58,-65,-75,-75,-66,-71,-68,-81,-79,-80,-84,-83,-84,-87,-200,-200,-90,-200,-82,-200,-83,-87,-200,-200,-200,-89,-86,-86,-88,-89,-89,-91,-200
1526442747220,-31,-39,-46,-48,-54,-61,-66,-58,-66,-68,-74,-65,-71,-68,-84,-79,-85,-84,-83,-85,-87,-200,-200,-90,-200,-82,-90,-83,-86,-200,-200,-200,-89,-86,-86,-88,-89,-89,-91,-200
1526442750258,-31,-39,-46,-48,-54,-61,-66,-58,-66,-68,-74,-65,-71,-68,-84,-79,-85,-84,-83,-85,-87,-200,-200,-90,-200,-82,-90,-83,-86,-200,-200,-200,-89,-86,-86,-88,-89,-89,-91,-200
