,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309
,74:da:da:c1:3a:dd,74:da:da:c1:3a:81,74:da:da:c1:6b:4d,0c:73:eb:d0:7c:28,0c:73:eb:d0:7c:08,0c:73:eb:d0:11:f8,74:da:da:c1:48:bd,74:da:da:c1:3a:de,0c:73:eb:d0:7a:68,74:da:da:c1:6b:4e,74:da:da:c0:d7:0d,74:da:da:c0:d7:b9,0c:73:eb:d0:7c:40,74:da:da:c0:f3:01,0c:73:eb:d0:7f:18,d8:15:0d:6c:13:98,74:da:da:c1:48:be,74:da:da:98:91:d4,ec:26:ca:0b:d4:1e,74:da:da:c0:d7:19,0c:73:eb:d0:7f:08,74:da:da:c0:f4:69,74:da:da:c0:e2:d9,74:da:da:c1:3c:f5,0c:73:eb:d0:13:d8,0c:73:eb:d0:7e:f8,0c:73:eb:d0:11:e0,74:da:da:c1:3a:8d,0c:73:eb:d0:7c:00,0c:73:eb:d0:7c:38,0c:73:eb:d0:7f:10,74:da:da:98:92:14,74:da:da:c1:02:8d,74:da:da:c1:3a:82,0c:73:eb:d0:13:a8,0c:73:eb:d0:11:d8,74:da:da:c0:f6:15,74:da:da:c0:d7:ba,74:da:da:c1:3c:51,74:da:da:c0:f3:02,74:da:da:c1:56:a2,74:da:da:c1:03:2d,0c:73:eb:d0:7e:d0,74:da:da:c1:3a:8e,74:da:da:98:91:d5,74:da:da:c0:d7:1a,74:da:da:98:85:60,74:da:da:c0:d7:0e,0c:73:eb:d0:11:f0,0c:73:eb:d0:7e:e0,0c:73:eb:d0:11:e8,0c:73:eb:d0:76:38,74:da:da:c1:3c:f6,74:da:da:c0:f3:05,74:da:da:c1:25:e5,74:da:da:c1:3c:55,74:da:da:c0:e0:69,74:da:da:c0:f4:6a,74:da:da:98:85:00,0c:73:eb:d0:13:d0,74:da:da:c1:03:1d,74:da:da:c0:f6:16,74:da:da:c1:56:ed,74:da:da:c1:56:a1,74:da:da:c1:3b:29,74:da:da:c0:d7:11,74:da:da:98:ea:50,74:da:da:c1:02:91,0c:73:eb:d0:7e:e8,c0:61:18:93:3e:54
1526440878730,-32,-34,-38,-39,-41,-43,-45,-50,-51,-54,-54,-54,-55,-56,-58,-60,-60,-61,-62,-62,-63,-63,-64,-64,-65,-66,-66,-67,-67,-67,-70,-71,-71,-72,-72,-73,-74,-75,-75,-76,-76,-76,-76,-77,-78,-78,-79,-80,-81,-83,-84,-84,-86,-86,-86,-86,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526440881773,-40,-40,-39,-29,-53,-39,-49,-53,-51,-54,-53,-56,-55,-59,-62,-65,-76,-63,-63,-67,-66,-200,-64,-80,-58,-66,-64,-59,-67,-65,-59,-71,-200,-73,-72,-82,-74,-75,-200,-82,-76,-72,-84,-76,-76,-78,-79,-80,-200,-83,-84,-84,-86,-86,-86,-200,-88,-90,-68,-75,-84,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526440884830,-39,-40,-36,-29,-59,-36,-45,-53,-52,-51,-61,-52,-52,-54,-58,-65,-74,-63,-63,-63,-66,-200,-70,-78,-58,-67,-64,-60,-70,-65,-61,-65,-200,-71,-65,-82,-200,-77,-200,-81,-76,-70,-84,-76,-77,-78,-81,-81,-200,-83,-200,-200,-86,-86,-200,-200,-200,-200,-68,-75,-84,-85,-78,-200,-200,-200,-200,-200,-200,-200
1526440887880,-43,-36,-37,-29,-59,-34,-45,-54,-48,-48,-67,-60,-56,-56,-63,-66,-74,-64,-64,-63,-66,-64,-70,-78,-58,-69,-68,-55,-70,-73,-61,-65,-200,-70,-65,-82,-200,-74,-80,-81,-76,-69,-84,-76,-77,-78,-75,-82,-200,-83,-200,-200,-86,-86,-200,-200,-200,-89,-68,-75,-75,-85,-82,-74,-200,-200,-200,-200,-200,-200
1526440890930,-40,-36,-37,-28,-60,-34,-47,-54,-51,-45,-59,-57,-52,-60,-62,-64,-74,-72,-62,-63,-67,-64,-70,-78,-55,-69,-68,-52,-70,-72,-62,-68,-200,-69,-65,-82,-200,-74,-80,-79,-76,-69,-84,-75,-77,-78,-75,-83,-200,-83,-200,-200,-87,-86,-200,-200,-200,-89,-68,-75,-75,-85,-82,-74,-200,-200,-200,-200,-200,-200
1526440893989,-39,-37,-35,-26,-64,-36,-45,-55,-51,-45,-53,-54,-56,-58,-54,-70,-74,-70,-58,-63,-65,-64,-72,-78,-60,-69,-68,-57,-70,-72,-62,-68,-200,-69,-65,-82,-200,-72,-80,-80,-200,-69,-84,-78,-77,-89,-71,-81,-200,-81,-200,-200,-87,-200,-200,-200,-200,-89,-68,-75,-75,-88,-82,-74,-200,-200,-200,-200,-200,-200
1526440897050,-40,-36,-35,-24,-53,-37,-48,-56,-52,-45,-59,-54,-56,-56,-58,-72,-73,-70,-56,-63,-64,-64,-72,-78,-56,-66,-65,-55,-77,-66,-58,-68,-72,-71,-79,-200,-200,-74,-80,-80,-200,-66,-200,-77,-77,-87,-71,-81,-200,-81,-200,-200,-87,-200,-200,-85,-200,-89,-70,-200,-77,-89,-82,-74,-200,-200,-200,-200,-200,-200
1526440900112,-41,-37,-36,-24,-57,-37,-48,-56,-52,-45,-59,-56,-52,-56,-58,-69,-73,-70,-56,-200,-64,-64,-73,-200,-61,-64,-65,-52,-80,-73,-61,-66,-72,-71,-72,-200,-200,-74,-80,-80,-200,-68,-200,-79,-76,-87,-75,-81,-200,-81,-200,-200,-87,-200,-200,-85,-200,-89,-70,-85,-77,-89,-82,-74,-82,-200,-200,-200,-200,-200
1526440903183,-39,-34,-36,-25,-52,-37,-45,-57,-52,-46,-58,-54,-49,-56,-57,-69,-73,-71,-56,-200,-65,-200,-71,-200,-55,-65,-65,-53,-74,-58,-62,-67,-72,-71,-80,-200,-200,-73,-78,-80,-80,-68,-200,-79,-76,-87,-75,-81,-200,-81,-200,-200,-87,-200,-200,-85,-200,-89,-70,-85,-77,-88,-82,-74,-82,-200,-200,-200,-200,-200
