,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:11:f0,74:da:da:c1:3c:99,74:da:da:c1:3c:f5,0c:73:eb:d0:7c:00,0c:73:eb:d0:11:e8,74:da:da:c1:3c:dd,0c:73:eb:d0:11:f8,74:da:da:c1:3c:f9,0c:73:eb:d0:7f:18,74:da:da:c1:4b:01,0c:73:eb:d0:7c:18,74:da:da:c0:f3:01,0c:73:eb:d0:7c:30,74:da:da:c1:4b:05,0c:73:eb:d0:7e:f0,74:da:da:c0:e0:81,74:da:da:98:74:94,74:da:da:c1:4b:59,0c:73:eb:d0:7c:10,74:da:da:c1:3a:81,74:da:da:c0:e0:71,74:da:da:98:8d:78,74:da:da:c0:e0:69,74:da:da:c0:e2:d9,0c:73:eb:d0:13:d0,74:da:da:c1:4a:f5,0c:73:eb:d0:7c:40,74:da:da:98:7a:68,0c:73:eb:d0:7c:48,bc:d1:77:5f:6a:b4,74:da:da:c0:d7:b9,74:da:da:c0:d7:0d,74:da:da:c1:02:8d,0c:73:eb:d0:76:40,0c:73:eb:d0:7a:68,0c:73:eb:d0:7c:28,74:da:da:c1:3c:e1,74:da:da:c1:4a:ed,74:da:da:98:7a:60,0c:73:eb:d0:7e:e8,74:da:da:c1:3b:9d,0c:73:eb:d0:19:a8,0c:73:eb:d0:13:c0,74:da:da:98:91:d4,0c:73:eb:d0:7c:08
1526451330357,-32,-43,-52,-53,-53,-53,-53,-54,-56,-56,-57,-59,-60,-60,-66,-67,-67,-68,-69,-70,-70,-70,-70,-72,-73,-74,-74,-74,-76,-77,-79,-80,-80,-85,-86,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451333388,-32,-45,-52,-62,-49,-49,-200,-55,-200,-63,-60,-84,-60,-62,-66,-72,-67,-66,-67,-70,-200,-70,-69,-71,-200,-75,-200,-74,-76,-77,-200,-200,-80,-85,-200,-200,-76,-83,-200,-200,-200,-200,-200,-200,-200
1526451336420,-32,-45,-52,-62,-49,-49,-200,-55,-200,-63,-60,-84,-60,-62,-66,-72,-67,-66,-67,-70,-200,-70,-69,-71,-200,-75,-200,-74,-76,-77,-200,-200,-80,-85,-200,-200,-76,-83,-200,-200,-200,-200,-200,-200,-200
1526451339453,-32,-45,-52,-62,-49,-49,-200,-55,-200,-63,-60,-84,-60,-62,-66,-72,-67,-66,-67,-70,-200,-70,-69,-71,-200,-75,-200,-74,-76,-77,-200,-200,-80,-85,-200,-200,-76,-83,-200,-200,-200,-200,-200,-200,-200
1526451342494,-34,-48,-53,-61,-47,-51,-200,-49,-67,-58,-55,-80,-58,-62,-67,-69,-60,-66,-58,-66,-80,-200,-69,-70,-200,-75,-200,-78,-66,-77,-200,-200,-200,-200,-86,-200,-76,-83,-200,-200,-200,-200,-200,-200,-200
1526451345515,-34,-49,-51,-61,-48,-48,-200,-49,-78,-58,-55,-80,-53,-61,-67,-69,-60,-67,-63,-66,-80,-200,-69,-70,-64,-70,-200,-77,-72,-77,-200,-200,-200,-200,-86,-200,-76,-83,-75,-200,-200,-200,-200,-200,-200
1526451348553,-34,-49,-51,-61,-48,-48,-200,-49,-78,-58,-55,-80,-53,-61,-67,-69,-60,-67,-63,-66,-80,-200,-69,-70,-64,-70,-200,-77,-72,-77,-200,-200,-200,-200,-86,-200,-76,-83,-75,-200,-200,-200,-200,-200,-200
1526451351592,-34,-49,-51,-61,-48,-48,-200,-49,-78,-58,-55,-80,-53,-61,-67,-69,-60,-67,-63,-66,-80,-200,-69,-70,-64,-70,-200,-77,-72,-77,-200,-200,-200,-200,-86,-200,-76,-83,-75,-200,-200,-200,-200,-200,-200
1526451354632,-32,-42,-52,-66,-53,-46,-200,-53,-78,-66,-56,-80,-60,-66,-65,-82,-61,-69,-67,-73,-73,-200,-76,-67,-72,-86,-200,-77,-72,-200,-200,-200,-200,-200,-200,-200,-200,-77,-85,-79,-200,-200,-200,-200,-200
1526451357670,-32,-43,-54,-62,-53,-48,-200,-49,-76,-64,-63,-80,-61,-66,-72,-82,-64,-68,-70,-71,-74,-73,-76,-67,-68,-82,-200,-78,-72,-80,-200,-200,-200,-200,-200,-200,-200,-77,-85,-79,-200,-200,-200,-200,-200
1526451360698,-32,-43,-54,-62,-53,-48,-200,-49,-76,-64,-63,-80,-61,-66,-72,-82,-64,-68,-70,-71,-74,-73,-76,-67,-68,-82,-200,-78,-72,-80,-200,-200,-200,-200,-200,-200,-200,-77,-85,-79,-200,-200,-200,-200,-200
1526451363742,-32,-43,-54,-62,-53,-48,-200,-49,-76,-64,-63,-80,-61,-66,-72,-82,-64,-68,-70,-71,-74,-73,-76,-67,-68,-82,-200,-78,-72,-80,-200,-200,-200,-200,-200,-200,-200,-77,-85,-79,-200,-200,-200,-200,-200
1526451366782,-34,-50,-54,-62,-53,-46,-200,-49,-76,-64,-64,-200,-54,-66,-72,-200,-64,-68,-69,-71,-74,-73,-200,-67,-68,-82,-200,-78,-72,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451369813,-30,-47,-53,-62,-53,-48,-200,-58,-70,-76,-56,-82,-58,-67,-69,-74,-64,-71,-65,-71,-77,-73,-200,-69,-70,-82,-200,-80,-75,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200
1526451372848,-30,-47,-53,-62,-53,-48,-200,-58,-70,-76,-56,-82,-58,-67,-69,-74,-64,-71,-65,-71,-77,-73,-200,-69,-70,-82,-200,-80,-75,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200
1526451375858,-30,-47,-53,-62,-53,-48,-200,-58,-70,-76,-56,-82,-58,-67,-69,-74,-64,-71,-65,-71,-77,-73,-200,-69,-70,-82,-200,-80,-75,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200
1526451378899,-33,-51,-53,-63,-51,-47,-200,-55,-76,-65,-62,-82,-53,-64,-69,-71,-63,-67,-70,-68,-77,-200,-69,-69,-67,-85,-200,-77,-75,-77,-86,-200,-200,-200,-200,-200,-200,-200,-200,-87,-85,-89,-200,-200,-200
1526451381933,-29,-49,-52,-65,-48,-47,-200,-56,-70,-64,-63,-82,-57,-63,-67,-71,-63,-68,-73,-68,-77,-200,-68,-69,-67,-81,-200,-77,-79,-75,-86,-200,-200,-200,-200,-200,-200,-200,-200,-87,-85,-89,-82,-88,-200
1526451384982,-29,-49,-52,-65,-48,-47,-200,-56,-70,-64,-63,-82,-57,-63,-67,-71,-63,-68,-73,-68,-77,-200,-68,-69,-67,-81,-200,-77,-79,-75,-86,-200,-200,-200,-200,-200,-200,-200,-200,-87,-85,-89,-82,-88,-200
1526451388015,-29,-49,-52,-65,-48,-47,-200,-56,-70,-64,-63,-82,-57,-63,-67,-71,-63,-68,-73,-68,-77,-200,-68,-69,-67,-81,-200,-77,-79,-75,-86,-200,-200,-200,-200,-200,-200,-200,-200,-87,-85,-89,-82,-88,-200
1526451391052,-29,-49,-52,-64,-52,-47,-200,-56,-70,-65,-59,-81,-52,-65,-64,-71,-61,-69,-73,-74,-74,-73,-67,-70,-74,-81,-200,-200,-78,-75,-200,-200,-200,-200,-91,-200,-200,-200,-84,-200,-200,-200,-82,-86,-84
