,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:11:e8,74:da:da:c1:3c:f5,74:da:da:c1:3c:99,0c:73:eb:d0:11:f0,0c:73:eb:d0:7c:18,0c:73:eb:d0:7c:00,0c:73:eb:d0:13:d0,74:da:da:c1:3c:dd,74:da:da:c1:4b:01,74:da:da:c1:3c:f9,74:da:da:c0:f3:01,0c:73:eb:d0:7c:30,74:da:da:c0:e2:d9,0c:73:eb:d0:7e:e8,0c:73:eb:d0:7f:18,74:da:da:c0:d7:19,74:da:da:c0:f4:69,74:da:da:c1:48:bd,0c:73:eb:d0:7c:08,0c:73:eb:d0:7c:10,74:da:da:c1:56:ed,74:da:da:98:85:60,74:da:da:c1:3a:81,74:da:da:c0:e0:69,0c:73:eb:d0:11:f8,74:da:da:c1:4b:59,0c:73:eb:d0:7a:68,74:da:da:c1:4b:05,0c:73:eb:d0:13:a8,74:da:da:c1:4a:ed,0c:73:eb:d0:7e:f8,0c:73:eb:d0:7f:10,0c:73:eb:d0:7e:f0,74:da:da:98:74:94,74:da:da:c0:e0:81,0c:73:eb:d0:7c:48,74:da:da:c0:e0:71,74:da:da:98:8f:34,74:da:da:98:7a:68,74:da:da:c1:3b:49,74:da:da:98:8d:78,74:da:da:c0:d7:0d,74:da:da:98:91:d4,74:da:da:c1:4a:f5,74:da:da:c0:f2:fd,74:da:da:c0:d7:b9,74:da:da:c1:3c:e1,bc:d1:77:5f:6a:b4,0c:73:eb:d0:7e:e0,74:da:da:98:7a:60,74:da:da:c1:3c:51,0c:73:eb:d0:7c:38,74:da:da:c1:3c:8d,74:da:da:c0:d8:59
1526450082685,-35,-37,-45,-50,-51,-55,-61,-65,-65,-67,-67,-68,-70,-70,-72,-73,-73,-73,-74,-76,-76,-77,-77,-78,-79,-79,-80,-80,-80,-81,-81,-82,-82,-83,-85,-86,-89,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450085720,-34,-44,-49,-47,-51,-58,-60,-59,-74,-67,-68,-69,-65,-70,-72,-73,-73,-80,-74,-73,-80,-77,-73,-76,-81,-77,-79,-80,-80,-81,-81,-200,-69,-83,-81,-86,-200,-89,-90,-71,-82,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450088754,-34,-44,-49,-47,-51,-58,-60,-59,-74,-67,-68,-69,-65,-70,-72,-73,-73,-80,-74,-73,-80,-77,-73,-76,-81,-77,-79,-80,-80,-81,-81,-200,-69,-83,-81,-86,-200,-89,-90,-71,-82,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450091796,-34,-44,-49,-47,-51,-58,-60,-59,-74,-67,-68,-69,-65,-70,-72,-73,-73,-80,-74,-73,-80,-77,-73,-76,-81,-77,-79,-80,-80,-81,-81,-200,-69,-83,-81,-86,-200,-89,-90,-71,-82,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450094835,-30,-36,-58,-45,-51,-56,-60,-59,-76,-59,-70,-69,-58,-200,-73,-79,-73,-80,-81,-71,-80,-200,-72,-74,-77,-74,-77,-74,-200,-200,-200,-200,-69,-200,-82,-200,-82,-200,-81,-71,-82,-87,-82,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450097876,-29,-35,-58,-45,-51,-56,-56,-57,-77,-60,-70,-69,-58,-73,-73,-83,-73,-80,-80,-73,-78,-200,-72,-74,-76,-73,-77,-76,-200,-200,-200,-200,-68,-200,-83,-200,-84,-200,-81,-72,-82,-87,-81,-82,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526450100917,-29,-35,-58,-45,-51,-56,-56,-57,-77,-60,-70,-69,-58,-73,-73,-83,-73,-80,-80,-73,-78,-200,-72,-74,-76,-73,-77,-76,-200,-200,-200,-200,-68,-200,-83,-200,-84,-200,-81,-72,-82,-87,-81,-82,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526450103955,-29,-35,-58,-45,-51,-56,-56,-57,-77,-60,-70,-69,-58,-73,-73,-83,-73,-80,-80,-73,-78,-200,-72,-74,-76,-73,-77,-76,-200,-200,-200,-200,-68,-200,-83,-200,-84,-200,-81,-72,-82,-87,-81,-82,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526450107002,-29,-36,-59,-44,-51,-56,-55,-59,-77,-58,-70,-67,-59,-73,-73,-83,-79,-200,-83,-72,-78,-87,-71,-75,-76,-72,-77,-75,-89,-89,-200,-91,-74,-81,-82,-200,-84,-200,-200,-74,-200,-200,-79,-83,-86,-87,-87,-200,-200,-200,-200,-200,-200,-200
1526450110050,-29,-36,-59,-44,-51,-56,-55,-59,-76,-58,-69,-67,-59,-80,-77,-77,-79,-200,-79,-73,-81,-90,-71,-75,-77,-72,-80,-75,-89,-89,-200,-91,-76,-81,-82,-82,-86,-200,-82,-74,-84,-200,-79,-82,-86,-87,-87,-87,-200,-200,-200,-200,-200,-200
1526450113090,-29,-36,-59,-44,-51,-56,-55,-59,-76,-58,-69,-67,-59,-80,-77,-77,-79,-200,-79,-73,-81,-90,-71,-75,-77,-72,-80,-75,-89,-89,-200,-91,-76,-81,-82,-82,-86,-200,-82,-74,-84,-200,-79,-82,-86,-87,-87,-87,-200,-200,-200,-200,-200,-200
1526450116123,-29,-36,-59,-44,-51,-56,-55,-59,-76,-58,-69,-67,-59,-80,-77,-77,-79,-200,-79,-73,-81,-90,-71,-75,-77,-72,-80,-75,-89,-89,-200,-91,-76,-81,-82,-82,-86,-200,-82,-74,-84,-200,-79,-82,-86,-87,-87,-87,-200,-200,-200,-200,-200,-200
1526450119174,-30,-36,-59,-46,-53,-56,-63,-59,-76,-57,-67,-67,-59,-77,-77,-77,-80,-200,-79,-73,-81,-89,-200,-77,-74,-74,-79,-75,-200,-200,-200,-200,-70,-200,-81,-82,-86,-200,-82,-200,-84,-200,-200,-81,-87,-200,-200,-88,-89,-89,-200,-200,-200,-200
