,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DQKJ,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:13:d0,0c:73:eb:d0:7c:00,74:da:da:c0:e2:d9,0c:73:eb:d0:11:e8,74:da:da:c0:f3:01,74:da:da:c0:d7:19,74:da:da:c1:3c:f5,74:da:da:98:91:d4,74:da:da:c0:f4:69,74:da:da:c1:3c:99,0c:73:eb:d0:11:e0,0c:73:eb:d0:7f:18,74:da:da:98:85:60,74:da:da:c1:48:bd,0c:73:eb:d0:11:f0,0c:73:eb:d0:7e:e8,0c:73:eb:d0:7e:f8,74:da:da:98:85:00,0c:73:eb:d0:7c:08,0c:73:eb:d0:7c:38,0c:73:eb:d0:7f:10,0c:73:eb:d0:7f:08,74:da:da:c1:3a:81,74:da:da:c0:e0:69,0c:73:eb:d0:13:a8,0c:73:eb:d0:7e:e0,0c:73:eb:d0:7a:68,74:da:da:c1:3a:dd,74:da:da:98:92:14,0c:73:eb:d0:7c:18,74:da:da:c1:3c:f9,ec:26:ca:0b:d4:1e,0c:73:eb:d0:7c:10,74:da:da:c1:6b:4d,74:da:da:c1:4b:59,0c:73:eb:d0:7c:30,c0:61:18:93:35:28,74:da:da:c1:4b:05,0c:73:eb:d0:76:48,74:da:da:c0:d7:b9,74:da:da:c0:d7:0d,0c:73:eb:d0:11:f8,74:da:da:c1:3c:dd,74:da:da:c1:56:a1,74:da:da:c0:f2:fd,74:da:da:c1:4b:01,74:da:da:c1:56:ed,74:da:da:c1:3c:51,74:da:da:98:ea:4c
1526457940113,-29,-34,-38,-51,-56,-60,-60,-60,-62,-62,-64,-65,-65,-67,-67,-68,-69,-69,-70,-71,-72,-74,-74,-75,-76,-76,-77,-78,-79,-81,-82,-83,-85,-86,-86,-86,-87,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457943152,-29,-37,-54,-56,-66,-63,-56,-200,-66,-62,-68,-67,-72,-61,-75,-69,-69,-77,-69,-71,-76,-79,-73,-75,-74,-75,-200,-78,-79,-71,-81,-83,-85,-86,-200,-83,-200,-90,-200,-65,-75,-79,-79,-200,-200,-200,-200,-200,-200
1526457946166,-29,-37,-54,-56,-66,-63,-56,-200,-66,-62,-68,-67,-72,-61,-75,-69,-69,-77,-69,-71,-76,-79,-73,-75,-74,-75,-200,-78,-79,-71,-81,-83,-85,-86,-200,-83,-200,-90,-200,-65,-75,-79,-79,-200,-200,-200,-200,-200,-200
1526457949208,-29,-37,-54,-56,-66,-63,-56,-200,-66,-62,-68,-67,-72,-61,-75,-69,-69,-77,-69,-71,-76,-79,-73,-75,-74,-75,-200,-78,-79,-71,-81,-83,-85,-86,-200,-83,-200,-90,-200,-65,-75,-79,-79,-200,-200,-200,-200,-200,-200
1526457952253,-29,-37,-54,-56,-66,-63,-56,-200,-57,-68,-68,-67,-72,-61,-74,-69,-200,-77,-69,-200,-76,-79,-73,-200,-74,-75,-200,-200,-200,-77,-81,-87,-200,-200,-200,-83,-200,-200,-200,-65,-75,-79,-79,-200,-200,-200,-200,-200,-200
1526457955295,-33,-44,-49,-55,-70,-69,-57,-72,-56,-65,-66,-70,-71,-69,-71,-73,-200,-77,-76,-200,-69,-74,-73,-200,-77,-81,-81,-200,-200,-77,-82,-87,-200,-200,-200,-83,-200,-200,-200,-75,-78,-79,-79,-77,-86,-200,-200,-200,-200
1526457958338,-33,-44,-49,-55,-70,-69,-57,-72,-56,-65,-66,-70,-71,-69,-71,-73,-200,-77,-76,-200,-69,-74,-73,-200,-77,-81,-81,-200,-200,-77,-82,-87,-200,-200,-200,-83,-200,-200,-200,-75,-78,-79,-79,-77,-86,-200,-200,-200,-200
1526457961378,-33,-44,-49,-55,-70,-69,-57,-72,-56,-65,-66,-70,-71,-69,-71,-73,-200,-77,-76,-200,-69,-74,-73,-200,-77,-81,-81,-200,-200,-77,-82,-87,-200,-200,-200,-83,-200,-200,-200,-75,-78,-79,-79,-77,-86,-200,-200,-200,-200
1526457964412,-30,-39,-55,-55,-73,-62,-54,-72,-53,-66,-66,-67,-72,-69,-73,-73,-200,-200,-72,-80,-77,-72,-74,-200,-79,-74,-81,-200,-200,-75,-85,-200,-200,-86,-200,-84,-200,-88,-200,-75,-78,-83,-200,-77,-86,-83,-200,-200,-200
1526457967454,-30,-39,-55,-55,-74,-62,-56,-69,-53,-67,-69,-70,-72,-69,-73,-73,-200,-200,-72,-79,-73,-72,-73,-200,-79,-74,-84,-200,-84,-77,-85,-86,-200,-86,-85,-84,-200,-88,-200,-67,-78,-83,-200,-77,-86,-83,-74,-200,-200
1526457970500,-30,-39,-55,-55,-74,-62,-56,-69,-53,-67,-69,-70,-72,-69,-73,-73,-200,-200,-72,-79,-73,-72,-73,-200,-79,-74,-84,-200,-84,-77,-85,-86,-200,-86,-85,-84,-200,-88,-200,-67,-78,-83,-200,-77,-86,-83,-74,-200,-200
1526457973542,-30,-39,-55,-55,-74,-62,-56,-69,-53,-67,-69,-70,-72,-69,-73,-73,-200,-200,-72,-79,-73,-72,-73,-200,-79,-74,-84,-200,-84,-77,-85,-86,-200,-86,-85,-84,-200,-88,-200,-67,-78,-83,-200,-77,-86,-83,-74,-200,-200
1526457976589,-34,-43,-49,-52,-69,-62,-56,-69,-53,-65,-66,-67,-72,-70,-73,-80,-200,-200,-76,-78,-77,-72,-73,-200,-80,-70,-83,-83,-84,-79,-200,-88,-200,-200,-85,-83,-200,-89,-200,-68,-200,-200,-200,-76,-88,-200,-74,-79,-88
1526457979636,-34,-43,-50,-50,-69,-61,-54,-68,-53,-65,-66,-66,-69,-70,-69,-80,-200,-200,-76,-78,-70,-72,-74,-200,-77,-70,-77,-83,-84,-79,-200,-89,-200,-85,-85,-83,-200,-89,-200,-68,-200,-200,-200,-76,-88,-200,-72,-80,-89
1526457982678,-34,-43,-50,-50,-69,-61,-54,-68,-53,-65,-66,-66,-69,-70,-69,-80,-200,-200,-76,-78,-70,-72,-74,-200,-77,-70,-77,-83,-84,-79,-200,-89,-200,-85,-85,-83,-200,-89,-200,-68,-200,-200,-200,-76,-88,-200,-72,-80,-89
1526457985725,-34,-43,-50,-50,-69,-61,-54,-68,-53,-65,-66,-66,-69,-70,-69,-80,-200,-200,-76,-78,-70,-72,-74,-200,-77,-70,-77,-83,-84,-79,-200,-89,-200,-85,-85,-83,-200,-89,-200,-68,-200,-200,-200,-76,-88,-200,-72,-80,-89
1526457988768,-39,-45,-55,-52,-71,-65,-55,-79,-58,-66,-70,-66,-70,-200,-72,-75,-82,-200,-200,-200,-74,-72,-77,-87,-74,-78,-80,-200,-200,-77,-200,-86,-200,-85,-200,-200,-200,-200,-200,-68,-200,-80,-82,-77,-200,-200,-72,-80,-89
