,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,74:da:da:c1:03:2d,0c:73:eb:d0:13:d8,74:da:da:c1:3a:8d,0c:73:eb:d0:7e:d0,0c:73:eb:d0:11:d8,74:da:da:c1:02:8d,74:da:da:c1:3a:81,0c:73:eb:d0:11:f8,d8:15:0d:6c:13:98,0c:73:eb:d0:7c:40,74:da:da:c1:3a:82,74:da:da:c1:6b:4d,74:da:da:c1:02:91,74:da:da:c1:03:1d,0c:73:eb:d0:7c:28,74:da:da:c1:03:2e,74:da:da:c1:3a:8e,0c:73:eb:d0:7c:08,74:da:da:c1:03:21,0c:73:eb:d0:7f:00,0c:73:eb:d0:11:c0,74:da:da:c1:3b:29,74:da:da:c0:f3:01,0c:73:eb:d0:7f:18,74:da:da:98:74:80,74:da:da:c0:d7:0d,74:da:da:c0:f6:15,0c:73:eb:d0:7a:68,74:da:da:c1:3c:f5,0c:73:eb:d0:13:90,74:da:da:c1:02:92,74:da:da:c1:02:8e,0c:73:eb:d0:13:b8,0c:73:eb:d0:7e:f8,74:da:da:c1:03:1e,74:da:da:c1:03:22,0c:73:eb:d0:13:d0,74:da:da:98:85:4c,74:da:da:98:74:34,74:da:da:c1:3d:2d,74:da:da:98:74:74,0c:73:eb:d0:13:98,74:da:da:98:85:1c
1526452401198,-35,-36,-45,-48,-49,-50,-51,-52,-52,-53,-60,-61,-62,-63,-64,-66,-68,-68,-69,-70,-70,-73,-75,-76,-77,-77,-78,-80,-81,-81,-82,-82,-82,-83,-88,-88,-89,-200,-200,-200,-200,-200,-200
1526452404232,-28,-44,-32,-48,-43,-56,-53,-200,-200,-52,-74,-200,-50,-43,-200,-72,-64,-200,-54,-200,-200,-200,-200,-200,-69,-73,-200,-200,-200,-200,-75,-71,-77,-200,-78,-85,-200,-74,-84,-200,-200,-200,-200
1526452407277,-28,-44,-32,-48,-43,-56,-53,-200,-200,-52,-74,-200,-50,-43,-200,-72,-64,-200,-54,-200,-200,-200,-200,-200,-69,-73,-200,-200,-200,-200,-75,-71,-77,-200,-78,-85,-200,-74,-84,-200,-200,-200,-200
1526452410289,-32,-44,-47,-50,-43,-48,-59,-60,-65,-58,-85,-200,-50,-45,-72,-68,-64,-200,-64,-63,-200,-200,-200,-200,-69,-73,-200,-200,-200,-81,-79,-71,-77,-200,-83,-84,-200,-74,-84,-200,-200,-200,-200
1526452413297,-32,-44,-47,-50,-43,-48,-59,-60,-65,-58,-85,-200,-50,-45,-72,-68,-64,-200,-64,-63,-200,-200,-200,-200,-69,-73,-200,-200,-200,-81,-79,-71,-77,-200,-83,-84,-200,-74,-84,-200,-200,-200,-200
1526452416307,-28,-41,-33,-42,-44,-39,-53,-60,-65,-48,-83,-200,-50,-45,-72,-67,-63,-200,-57,-63,-200,-200,-200,-200,-70,-73,-86,-200,-200,-81,-76,-71,-77,-200,-83,-84,-200,-74,-84,-200,-200,-200,-200
1526452419318,-28,-41,-33,-42,-44,-39,-53,-60,-65,-48,-83,-200,-50,-45,-72,-67,-63,-200,-57,-63,-200,-200,-200,-200,-70,-73,-86,-200,-200,-81,-76,-71,-77,-200,-83,-84,-200,-74,-84,-200,-200,-200,-200
1526452422338,-28,-46,-41,-42,-44,-37,-53,-66,-61,-56,-75,-200,-50,-46,-66,-67,-63,-200,-57,-63,-200,-200,-200,-200,-70,-73,-83,-200,-200,-81,-76,-71,-77,-200,-80,-84,-200,-74,-84,-78,-200,-200,-200
1526452425353,-28,-46,-41,-42,-44,-37,-53,-66,-61,-56,-75,-200,-50,-46,-66,-67,-63,-200,-57,-63,-200,-200,-200,-200,-70,-73,-83,-200,-200,-81,-76,-71,-77,-200,-80,-84,-200,-74,-84,-78,-200,-200,-200
1526452428376,-28,-45,-35,-41,-44,-37,-53,-65,-61,-50,-77,-200,-50,-50,-64,-67,-63,-200,-57,-59,-200,-200,-200,-200,-70,-73,-83,-200,-82,-81,-74,-71,-77,-200,-78,-88,-200,-74,-84,-78,-200,-200,-200
1526452431383,-28,-45,-35,-41,-44,-37,-53,-65,-61,-50,-77,-200,-50,-50,-64,-67,-63,-200,-57,-59,-200,-200,-200,-200,-70,-73,-83,-200,-82,-81,-74,-71,-77,-200,-78,-88,-200,-74,-84,-78,-200,-200,-200
1526452434397,-28,-44,-33,-41,-42,-38,-52,-66,-62,-56,-78,-200,-50,-48,-64,-72,-63,-200,-55,-58,-200,-200,-200,-200,-70,-200,-79,-200,-74,-81,-74,-71,-200,-200,-80,-88,-200,-200,-86,-78,-82,-200,-200
1526452437417,-28,-44,-33,-41,-42,-38,-52,-66,-62,-56,-78,-200,-50,-48,-64,-72,-63,-200,-55,-58,-200,-200,-200,-200,-70,-200,-79,-200,-74,-81,-74,-71,-200,-200,-80,-88,-200,-200,-86,-78,-82,-200,-200
1526452440443,-34,-44,-33,-49,-42,-38,-52,-66,-62,-53,-74,-200,-50,-44,-64,-68,-62,-200,-55,-58,-200,-200,-200,-81,-78,-200,-79,-200,-74,-200,-78,-75,-200,-200,-77,-84,-200,-91,-86,-78,-82,-200,-200
1526452443457,-34,-44,-33,-49,-42,-38,-52,-66,-62,-53,-74,-200,-50,-44,-64,-68,-62,-200,-55,-58,-200,-200,-200,-81,-78,-200,-79,-200,-74,-200,-78,-75,-200,-200,-77,-84,-200,-91,-86,-78,-82,-200,-200
1526452446480,-31,-37,-31,-48,-42,-36,-60,-66,-65,-50,-76,-200,-50,-44,-64,-71,-63,-200,-59,-54,-200,-200,-200,-81,-78,-200,-76,-200,-74,-200,-80,-74,-74,-200,-79,-84,-200,-91,-86,-78,-82,-200,-200
1526452449491,-31,-37,-31,-48,-42,-36,-60,-66,-65,-50,-76,-200,-50,-44,-64,-71,-63,-200,-59,-54,-200,-200,-200,-81,-78,-200,-76,-200,-74,-200,-80,-74,-74,-200,-79,-84,-200,-91,-86,-78,-82,-200,-200
1526452452510,-32,-38,-31,-50,-42,-36,-55,-62,-61,-50,-75,-200,-57,-44,-67,-67,-64,-200,-62,-58,-200,-200,-200,-81,-78,-200,-76,-200,-74,-64,-80,-73,-74,-200,-79,-84,-200,-84,-84,-78,-82,-200,-200
1526452455524,-32,-38,-31,-50,-42,-36,-55,-62,-61,-50,-75,-200,-57,-44,-67,-67,-64,-200,-62,-58,-200,-200,-200,-81,-78,-200,-76,-200,-74,-64,-80,-73,-74,-200,-79,-84,-200,-84,-84,-78,-82,-200,-200
1526452458542,-31,-39,-30,-46,-42,-38,-52,-67,-61,-51,-75,-200,-57,-44,-64,-67,-64,-200,-60,-56,-77,-200,-200,-81,-76,-200,-78,-200,-74,-64,-84,-73,-74,-200,-79,-84,-200,-84,-84,-83,-76,-77,-80
1526452461558,-31,-39,-30,-46,-42,-38,-52,-67,-61,-51,-75,-200,-57,-44,-64,-67,-64,-200,-60,-56,-77,-200,-200,-81,-76,-200,-78,-200,-74,-64,-84,-73,-74,-200,-79,-84,-200,-84,-84,-83,-76,-77,-80
