,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,WHU-2018,D-Link_DIR-823Pro_5GHz
,74:da:da:c1:3a:81,0c:73:eb:d0:7c:08,74:da:da:c0:f3:01,0c:73:eb:d0:11:f8,74:da:da:c0:d7:b9,74:da:da:c0:d7:0d,74:da:da:c0:f4:69,74:da:da:c0:d7:19,74:da:da:c1:48:bd,0c:73:eb:d0:7c:28,74:da:da:98:91:d4,74:da:da:c1:3a:dd,0c:73:eb:d0:7f:10,0c:73:eb:d0:7f:18,0c:73:eb:d0:7c:00,74:da:da:c1:3c:51,74:da:da:c0:e2:d9,74:da:da:c1:3c:f5,0c:73:eb:d0:7a:68,0c:73:eb:d0:11:e0,0c:73:eb:d0:13:d0,0c:73:eb:d0:7e:e0,74:da:da:c1:6b:4d,74:da:da:c1:02:8d,0c:73:eb:d0:11:d8,74:da:da:c1:3a:82,74:da:da:c0:f3:02,74:da:da:c1:56:ed,0c:73:eb:d0:7e:f8,74:da:da:98:92:14,0c:73:eb:d0:13:d8,0c:73:eb:d0:11:f0,74:da:da:c1:48:be,0c:73:eb:d0:7c:40,0c:73:eb:d0:7c:38,74:da:da:98:85:60,74:da:da:c1:03:2d,ec:26:ca:0b:d4:1e,74:da:da:c0:d7:ba,74:da:da:c0:d7:1a,0c:73:eb:d0:11:e8,74:da:da:c0:f6:15,74:da:da:98:91:d5,74:da:da:c1:3c:f6,74:da:da:c0:d7:0e,0c:73:eb:d0:7f:08,74:da:da:c1:3a:de,74:da:da:c1:6b:4e,74:da:da:c1:56:a2,74:da:da:c0:f4:6a,74:da:da:c1:3a:8e,0c:73:eb:d0:13:a8,74:da:da:c0:d8:3d,74:da:da:c1:56:ee,74:da:da:98:92:15,74:da:da:c1:56:a1,74:da:da:c1:3b:29,74:da:da:98:85:01,0c:73:eb:d0:7e:e8,74:da:da:c1:3a:8d,0c:73:eb:d0:7c:30,0c:73:eb:d0:7e:d0,74:da:da:98:85:00,74:da:da:c0:e0:69,0c:73:eb:d0:76:38,c0:61:18:93:35:28,0c:73:eb:d0:7c:18,74:da:da:98:85:61
1526450218473,-27,-28,-32,-41,-41,-42,-43,-44,-45,-46,-46,-46,-48,-49,-49,-49,-50,-50,-51,-51,-51,-56,-56,-57,-58,-59,-60,-60,-61,-61,-61,-61,-62,-62,-63,-64,-66,-66,-68,-69,-69,-71,-72,-73,-75,-75,-77,-79,-81,-81,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450221498,-29,-32,-32,-36,-49,-45,-43,-44,-42,-47,-46,-46,-60,-45,-51,-49,-50,-53,-40,-46,-51,-56,-56,-57,-58,-66,-61,-57,-56,-61,-61,-61,-60,-62,-63,-68,-64,-66,-73,-73,-69,-71,-73,-77,-74,-71,-76,-79,-81,-83,-80,-66,-80,-88,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450224525,-30,-36,-31,-42,-44,-43,-43,-45,-38,-44,-49,-46,-56,-47,-51,-48,-49,-53,-51,-48,-51,-56,-54,-200,-58,-63,-62,-54,-55,-58,-61,-61,-58,-62,-200,-72,-64,-66,-69,-74,-69,-71,-76,-76,-71,-71,-79,-79,-79,-83,-84,-66,-80,-88,-92,-59,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450227537,-30,-34,-32,-42,-44,-43,-51,-45,-38,-48,-49,-42,-56,-47,-55,-52,-49,-49,-51,-46,-51,-56,-58,-200,-58,-61,-63,-54,-55,-58,-61,-61,-60,-62,-200,-72,-64,-66,-69,-74,-69,-71,-76,-74,-72,-71,-78,-82,-79,-83,-86,-66,-80,-88,-92,-59,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450230558,-24,-36,-32,-41,-49,-39,-51,-45,-48,-48,-45,-43,-56,-39,-55,-52,-51,-49,-38,-46,-51,-56,-58,-200,-57,-60,-60,-54,-57,-58,-61,-61,-61,-60,-200,-76,-64,-55,-70,-67,-67,-71,-71,-77,-64,-66,-77,-81,-81,-82,-82,-66,-80,-88,-92,-63,-77,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450233592,-24,-44,-32,-43,-49,-36,-51,-45,-44,-44,-43,-43,-55,-38,-47,-49,-46,-49,-41,-50,-51,-56,-58,-200,-57,-65,-64,-55,-54,-58,-61,-61,-68,-62,-200,-76,-64,-55,-70,-67,-67,-71,-75,-77,-74,-66,-80,-81,-83,-86,-88,-66,-80,-88,-92,-63,-77,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450236627,-28,-38,-36,-39,-45,-38,-51,-45,-43,-49,-43,-43,-55,-43,-52,-47,-48,-43,-41,-49,-51,-56,-54,-200,-57,-63,-60,-56,-54,-62,-61,-61,-71,-62,-200,-71,-63,-55,-70,-66,-67,-63,-75,-78,-73,-66,-79,-81,-83,-83,-85,-66,-80,-88,-92,-63,-77,-86,-61,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450239657,-27,-37,-28,-39,-45,-42,-51,-44,-43,-49,-47,-42,-52,-43,-53,-50,-48,-39,-43,-49,-51,-200,-54,-200,-58,-62,-68,-56,-54,-62,-200,-200,-63,-58,-200,-71,-63,-55,-70,-67,-67,-63,-75,-80,-74,-66,-79,-81,-83,-83,-85,-66,-80,-89,-92,-63,-77,-86,-61,-64,-67,-200,-200,-200,-200,-200,-200,-200
1526450242690,-26,-39,-30,-42,-44,-50,-48,-42,-42,-45,-47,-43,-53,-55,-50,-49,-48,-39,-43,-43,-51,-200,-54,-200,-58,-62,-60,-57,-57,-58,-200,-200,-66,-58,-200,-71,-63,-56,-66,-70,-67,-63,-72,-79,-78,-68,-78,-85,-83,-84,-87,-200,-200,-89,-200,-63,-77,-86,-61,-64,-67,-81,-200,-200,-200,-200,-200,-200
