,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:7c:08,74:da:da:c0:f3:01,0c:73:eb:d0:7f:18,74:da:da:c1:48:bd,74:da:da:c0:d7:b9,74:da:da:c0:e2:d9,0c:73:eb:d0:11:e0,74:da:da:c0:d7:19,74:da:da:c1:3a:81,0c:73:eb:d0:13:a8,0c:73:eb:d0:7c:38,74:da:da:c1:3c:51,0c:73:eb:d0:7a:68,74:da:da:c0:d7:0d,74:da:da:98:92:14,74:da:da:98:91:d4,74:da:da:c1:3a:dd,74:da:da:c0:f4:69,74:da:da:c1:3c:f5,0c:73:eb:d0:7f:10,0c:73:eb:d0:13:d0,0c:73:eb:d0:11:f8,0c:73:eb:d0:7e:e0,74:da:da:c1:6b:4d,0c:73:eb:d0:7c:00,74:da:da:c1:56:a1,0c:73:eb:d0:7c:28,0c:73:eb:d0:7e:f8,74:da:da:c1:48:be,74:da:da:c0:d7:ba,0c:73:eb:d0:11:e8,ec:26:ca:0b:d4:1e,74:da:da:98:85:00,74:da:da:c0:f3:02,74:da:da:c0:f6:15,74:da:da:c1:56:ed,0c:73:eb:d0:7f:08,74:da:da:c1:3a:82,74:da:da:c1:3c:f6,0c:73:eb:d0:7e:e8,0c:73:eb:d0:13:d8,0c:73:eb:d0:7c:40,74:da:da:c1:3a:8d,74:da:da:c1:56:a2,74:da:da:c0:d7:1a,74:da:da:98:91:d5,74:da:da:c1:3a:de,74:da:da:c1:6b:4e,74:da:da:c0:f4:6a,74:da:da:c0:d7:0e,74:da:da:98:92:15,74:da:da:c1:3a:8e,74:da:da:98:85:01,74:da:da:c1:3c:dd,0c:73:eb:d0:11:f0,0c:73:eb:d0:11:d8,74:da:da:c1:3b:cd,0c:73:eb:d0:76:38,74:da:da:c1:4a:f5,74:da:da:98:85:60,0c:73:eb:d0:19:88,0c:73:eb:d0:7c:18,74:da:da:c1:03:2d
1526450510235,-27,-36,-37,-40,-40,-41,-42,-44,-45,-46,-46,-46,-48,-48,-48,-48,-49,-49,-49,-50,-50,-51,-51,-52,-53,-55,-55,-56,-58,-59,-59,-61,-61,-62,-65,-65,-65,-66,-66,-67,-67,-69,-70,-73,-74,-74,-75,-77,-80,-80,-82,-83,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450513273,-33,-36,-49,-36,-44,-41,-51,-44,-45,-46,-47,-46,-50,-48,-50,-48,-49,-49,-49,-48,-58,-48,-51,-52,-53,-55,-55,-56,-58,-63,-63,-61,-61,-62,-65,-200,-65,-65,-68,-67,-67,-69,-70,-79,-70,-71,-74,-78,-79,-73,-82,-78,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450516284,-34,-28,-53,-38,-44,-49,-47,-50,-45,-54,-47,-46,-47,-58,-49,-48,-49,-53,-41,-54,-58,-46,-51,-52,-54,-200,-55,-56,-58,-64,-63,-61,-60,-59,-65,-200,-65,-61,-66,-200,-70,-69,-200,-84,-70,-74,-75,-76,-79,-69,-82,-79,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450519297,-34,-27,-51,-41,-45,-48,-51,-51,-37,-55,-47,-55,-50,-50,-50,-49,-46,-53,-38,-54,-62,-45,-50,-52,-52,-200,-55,-55,-58,-67,-63,-59,-60,-59,-65,-200,-65,-64,-70,-200,-66,-69,-200,-83,-72,-73,-75,-74,-79,-67,-82,-84,-89,-67,-68,-75,-82,-200,-200,-200,-200,-200,-200
1526450522324,-35,-27,-51,-41,-45,-48,-51,-51,-33,-55,-50,-55,-46,-53,-52,-49,-49,-51,-38,-50,-62,-42,-50,-52,-52,-200,-55,-55,-58,-60,-66,-59,-60,-58,-65,-200,-65,-65,-75,-200,-66,-69,-200,-80,-71,-75,-76,-75,-79,-70,-82,-80,-89,-67,-68,-75,-82,-64,-200,-200,-200,-200,-200
1526450525364,-30,0,-46,-41,-45,-52,-48,-51,-36,-55,-50,-53,-48,-53,-51,-48,-49,-51,-38,-53,-62,-42,-52,-52,-51,-200,-55,-50,-61,-70,-66,-55,-60,-59,-65,-200,-66,-64,-70,-65,-65,-73,-200,-78,-70,-72,-75,-79,-83,-67,-200,-80,-89,-67,-68,-75,-82,-64,-87,-200,-200,-200,-200
1526450528407,-34,-21,-44,-40,-42,-52,-47,-51,-40,-55,-51,-50,-54,-50,-48,-48,-52,-51,-42,-51,-62,-42,-52,-55,-51,-200,-55,-46,-60,-63,-68,-58,-58,-60,-65,-200,-66,-68,-70,-65,-65,-73,-200,-78,-72,-74,-78,-75,-79,-72,-200,-82,-89,-67,-68,-75,-82,-66,-87,-200,-200,-200,-200
1526450531435,-33,-25,-48,-43,-42,-55,-47,-49,-37,-55,-51,-52,-48,-58,-47,-48,-55,-51,-41,-51,-62,-40,-52,-55,-49,-200,-51,-50,-60,-63,-68,-56,-58,-61,-200,-200,-66,-64,-63,-65,-65,-70,-200,-75,-72,-70,-72,-75,-81,-74,-88,-80,-89,-67,-68,-75,-82,-63,-87,-72,-200,-200,-200
1526450534460,-33,-26,-47,-40,-44,-55,-47,-50,-38,-55,-51,-52,-47,-54,-47,-52,-49,-51,-44,-51,-62,-40,-52,-55,-49,-59,-51,-50,-61,-63,-68,-57,-58,-59,-200,-200,-66,-61,-62,-65,-65,-70,-200,-77,-70,-74,-76,-75,-81,-75,-88,-79,-89,-67,-68,-75,-82,-63,-87,-68,-200,-200,-200
