,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011309,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DQKJ,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,74:da:da:c0:f3:01,0c:73:eb:d0:7f:18,0c:73:eb:d0:11:e0,0c:73:eb:d0:7c:08,74:da:da:c0:d7:19,74:da:da:c0:e2:d9,74:da:da:c1:3a:81,74:da:da:c1:48:bd,74:da:da:98:92:14,0c:73:eb:d0:13:a8,74:da:da:c0:d7:0d,0c:73:eb:d0:7c:38,0c:73:eb:d0:7c:28,74:da:da:c0:d7:b9,74:da:da:c0:f4:69,74:da:da:98:91:d4,74:da:da:c1:3a:dd,74:da:da:c1:3c:f5,0c:73:eb:d0:7e:e0,0c:73:eb:d0:13:d0,74:da:da:98:85:00,74:da:da:c1:3c:51,0c:73:eb:d0:7a:68,74:da:da:c1:56:ed,0c:73:eb:d0:7c:00,0c:73:eb:d0:7f:10,0c:73:eb:d0:11:e8,0c:73:eb:d0:7e:f8,0c:73:eb:d0:11:f8,74:da:da:c0:f3:02,74:da:da:c0:d7:ba,0c:73:eb:d0:7c:40,c0:61:18:93:3e:54,0c:73:eb:d0:7f:08,74:da:da:c1:48:be,0c:73:eb:d0:76:38,74:da:da:c1:3a:82,ec:26:ca:0b:d4:1e,74:da:da:98:91:d5,74:da:da:c0:f6:15,74:da:da:c1:3c:f6,74:da:da:c1:3a:8d,74:da:da:c0:d7:1a,0c:73:eb:d0:13:d8,74:da:da:c1:56:a2,74:da:da:c0:f4:6a,74:da:da:98:92:15,74:da:da:c0:d7:0e,74:da:da:c1:6b:4e,74:da:da:c1:3a:de,74:da:da:98:85:61,74:da:da:98:85:01,74:da:da:c1:3a:8e,0c:73:eb:d0:7e:e8,74:da:da:c1:3c:52,74:da:da:c1:56:a1,74:da:da:98:85:60,0c:73:eb:d0:11:d8,74:da:da:c1:6b:4d,0c:73:eb:d0:76:30,74:da:da:98:85:4d,0c:73:eb:d0:19:98,74:da:da:c1:3c:e1,74:da:da:c1:3c:99,0c:73:eb:d0:11:f0,0c:73:eb:d0:19:b8,74:da:da:c1:3b:69,74:da:da:c1:4b:02,74:da:da:c0:e0:69,74:da:da:98:85:4c,0c:73:eb:d0:19:88,74:da:da:98:8f:3c
1526447231918,-32,-34,-34,-36,-38,-39,-41,-42,-42,-43,-45,-45,-45,-46,-46,-46,-47,-47,-47,-47,-50,-50,-51,-51,-53,-54,-55,-56,-56,-60,-60,-62,-62,-63,-64,-65,-66,-67,-68,-68,-70,-70,-72,-73,-75,-79,-79,-80,-83,-86,-87,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447234944,-32,-34,-33,-37,-44,-37,-41,-45,-42,-43,-52,-45,-45,-46,-46,-200,-47,-45,-47,-46,-53,-51,-49,-51,-50,-39,-200,-56,-43,-59,-62,-64,-62,-64,-61,-65,-65,-65,-67,-68,-76,-70,-70,-73,-70,-81,-76,-76,-79,-82,-87,-89,-90,-58,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447237971,-32,-48,-33,-37,-36,-37,-41,-41,-42,-43,-52,-45,-45,-46,-49,-200,-50,-45,-47,-46,-53,-51,-55,-51,-50,-39,-200,-55,-43,-58,-66,-63,-62,-69,-61,-66,-67,-72,-69,-68,-78,-70,-72,-65,-68,-78,-76,-76,-83,-86,-87,-89,-89,-57,-87,-49,-69,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447240996,-31,-36,-34,-41,-35,-37,-41,-40,-39,-48,-52,-47,-57,-42,-49,-200,-48,-45,-47,-47,-49,-51,-50,-50,-49,-38,-200,-52,-40,-55,-66,-63,-62,-69,-64,-66,-59,-72,-71,-68,-70,-70,-68,-65,-72,-83,-73,-77,-81,-85,-87,-85,-89,-57,-87,-49,-69,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447244010,-31,-32,-46,-38,-39,-35,-37,-40,-41,-43,-56,-49,-61,-40,-47,-200,-44,-45,-40,-45,-50,-48,-50,-50,-48,-35,-200,-48,-40,-55,-63,-63,-66,-69,-66,-66,-63,-66,-70,-68,-66,-70,-67,-65,-71,-79,-74,-74,-85,-85,-87,-85,-90,-57,-87,-49,-59,-75,-59,-60,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447247046,-31,-34,-38,-38,-41,-35,-36,-40,-40,-47,-48,-49,-61,-40,-48,-44,-46,-47,-42,-45,-51,-47,-54,-50,-47,-35,-200,-47,-41,-59,-67,-63,-66,-64,-64,-66,-63,-66,-70,-68,-64,-70,-70,-65,-69,-83,-79,-76,-85,-84,-87,-85,-90,-57,-87,-49,-59,-75,-59,-60,-88,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447250073,-31,-34,-36,-42,-39,-40,-36,-44,-41,-44,-52,-47,-47,-40,-48,-44,-46,-47,-41,-45,-52,-47,-53,-50,-54,-35,-60,-47,-41,-56,-63,-63,-66,-64,-63,-66,-66,-66,-71,-64,-71,-200,-69,-65,-75,-83,-75,-76,-83,-84,-87,-87,-90,-61,-87,-49,-59,-75,-59,-60,-88,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447253094,-42,-33,-35,-37,-45,-44,-38,-44,-41,-44,-48,-47,-47,-40,-44,-42,-46,-50,-41,-50,-52,-47,-52,-50,-53,-53,-60,-51,-41,-56,-67,-63,-67,-63,-62,-61,-70,-62,-68,-64,-67,-200,-73,-66,-71,-75,-78,-73,-83,-80,-87,-87,-90,-61,-87,-49,-59,-75,-56,-60,-88,-75,-67,-72,-200,-200,-200,-200,-200,-200,-200,-200
1526447256128,-33,-33,-38,-37,-49,-43,-40,-44,-41,-48,-55,-47,-47,-42,-42,-42,-50,-50,-49,-50,-50,-47,-55,-50,-55,-40,-60,-51,-45,-56,-63,-63,-67,-63,-62,-61,-65,-67,-76,-64,-75,-200,-69,-66,-72,-72,-80,-77,-79,-84,-87,-86,-88,-61,-200,-49,-59,-75,-56,-60,-88,-75,-67,-66,-73,-74,-200,-200,-200,-200,-200,-200
