,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011309,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:7f:18,0c:73:eb:d0:7c:08,0c:73:eb:d0:11:e0,74:da:da:c0:f3:01,0c:73:eb:d0:7f:10,74:da:da:c0:e2:d9,74:da:da:c0:d7:19,74:da:da:c1:3a:81,0c:73:eb:d0:11:f8,74:da:da:c0:f4:69,74:da:da:c1:3c:f5,74:da:da:c0:d7:b9,74:da:da:98:92:14,0c:73:eb:d0:13:a8,0c:73:eb:d0:7e:e0,0c:73:eb:d0:13:d0,74:da:da:98:91:d4,74:da:da:c1:3a:dd,0c:73:eb:d0:7e:f8,74:da:da:c0:d7:0d,0c:73:eb:d0:7c:38,74:da:da:c1:56:ed,74:da:da:c1:3c:51,0c:73:eb:d0:7a:68,74:da:da:c1:56:a1,0c:73:eb:d0:7c:00,74:da:da:c1:48:bd,74:da:da:98:85:00,74:da:da:c1:6b:4d,0c:73:eb:d0:7c:28,0c:73:eb:d0:11:e8,0c:73:eb:d0:76:38,74:da:da:c0:f3:02,0c:73:eb:d0:7f:08,0c:73:eb:d0:76:30,74:da:da:c1:48:be,74:da:da:c0:d7:ba,74:da:da:c0:d7:1a,0c:73:eb:d0:7c:40,74:da:da:c1:3a:8d,74:da:da:98:91:d5,74:da:da:c1:3a:82,74:da:da:c1:3c:f6,ec:26:ca:0b:d4:1e,74:da:da:98:8f:3c,74:da:da:98:85:60,74:da:da:c1:56:a2,74:da:da:98:85:4c,0c:73:eb:d0:13:d8,74:da:da:c0:f6:15,74:da:da:98:92:15,0c:73:eb:d0:19:88,74:da:da:c0:e0:71,74:da:da:c0:d7:0e,74:da:da:c0:f4:6a,74:da:da:c1:6b:4e,74:da:da:98:85:61,74:da:da:c1:3a:8e,74:da:da:c1:3a:de,74:da:da:98:85:01,0c:73:eb:d0:7e:e8,0c:73:eb:d0:11:d8,0c:73:eb:d0:7c:30,0c:73:eb:d0:11:f0,0c:73:eb:d0:7c:18,74:da:da:c1:56:ee,74:da:da:c1:3c:fa,74:da:da:c1:3c:9a,c0:61:18:93:3e:54,0c:73:eb:d0:19:b8,74:da:da:c1:3c:99
1526447310550,-33,-35,-35,-35,-36,-37,-37,-39,-40,-43,-43,-45,-45,-45,-47,-47,-47,-48,-49,-49,-49,-49,-49,-50,-50,-51,-51,-55,-55,-56,-58,-59,-60,-60,-62,-63,-63,-64,-64,-64,-65,-66,-68,-68,-68,-69,-72,-72,-72,-72,-75,-75,-76,-78,-80,-81,-85,-86,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447313579,-33,-39,-46,-36,-38,-49,-37,-32,-48,-46,-35,-45,-48,-42,-47,-44,-42,-48,-50,-52,-50,-49,-49,-50,-50,-38,-47,-55,-55,-56,-200,-59,-58,-64,-62,-64,-67,-64,-64,-64,-76,-69,-64,-61,-68,-62,-74,-72,-70,-72,-79,-75,-76,-82,-78,-84,-85,-90,-83,-88,-57,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447316593,-34,-38,-42,-36,-45,-45,-32,-34,-48,-46,-33,-200,-51,-42,-47,-48,-42,-48,-54,-52,-50,-53,-49,-51,-200,-39,-47,-55,-55,-56,-200,-59,-58,-64,-62,-62,-69,-64,-70,-64,-74,-69,-61,-64,-200,-62,-78,-78,-70,-72,-83,-200,-76,-82,-80,-88,-85,-90,-83,-88,-61,-68,-61,-62,-200,-200,-200,-200,-200,-200,-200
1526447319609,-31,-38,-46,-37,-55,-45,-33,-33,-48,-46,-33,-48,-51,-41,-47,-48,-40,-52,-54,-48,-53,-53,-46,-48,-59,-34,-47,-51,-55,-56,-200,-63,-62,-64,-62,-61,-70,-66,-70,-64,-74,-67,-62,-67,-200,-62,-74,-78,-70,-72,-83,-200,-76,-82,-77,-85,-90,-90,-82,-88,-57,-68,-61,-62,-70,-200,-200,-200,-200,-200,-200
1526447322637,-31,-39,-47,-38,-51,-44,-33,-31,-51,-48,-33,-48,-51,-49,-50,-56,-40,-54,-54,-48,-48,-54,-46,-48,-59,-36,-47,-51,-55,-56,-200,-63,-65,-64,-62,-61,-72,-66,-68,-64,-74,-66,-63,-67,-200,-62,-76,-78,-70,-72,-85,-200,-76,-84,-80,-87,-89,-90,-84,-88,-59,-70,-64,-62,-70,-200,-200,-200,-200,-200,-200
1526447325673,-32,-39,-47,-37,-51,-44,-33,-31,-51,-47,-31,-48,-53,-49,-50,-48,-40,-51,-53,-51,-48,-54,-44,-48,-55,-36,-47,-51,-55,-56,-67,-63,-64,-62,-62,-65,-68,-70,-68,-200,-74,-67,-66,-67,-200,-62,-77,-78,-70,-72,-85,-200,-76,-79,-77,-86,-89,-90,-78,-88,-59,-70,-64,-62,-70,-88,-200,-200,-200,-200,-200
1526447328707,-34,-43,-45,-37,-50,-47,-30,-29,-51,-46,-28,-46,-52,-42,-50,-48,-40,-52,-52,-50,-45,-54,-44,-47,-55,-36,-47,-51,-55,-50,-67,-63,-65,-62,-200,-62,-66,-68,-68,-200,-74,-67,-64,-67,-200,-62,-77,-78,-70,-72,-79,-200,-76,-80,-80,-85,-89,-90,-82,-88,-59,-70,-64,-62,-70,-88,-200,-200,-200,-200,-200
1526447331728,-34,-39,-45,-36,-41,-43,-30,-30,-51,-44,-29,-46,-50,-47,-46,-48,-41,-49,-50,-51,-49,-54,-44,-55,-55,-40,-47,-51,-200,-50,-62,-63,-63,-61,-200,-62,-68,-62,-65,-200,-70,-65,-62,-57,-200,-62,-78,-78,-70,-72,-79,-200,-200,-81,-80,-85,-89,-90,-81,-85,-57,-70,-64,-62,-70,-87,-200,-200,-200,-200,-200
1526447334754,-32,-39,-43,-34,-41,-43,-30,-29,-54,-45,-32,-46,-50,-48,-46,-47,-43,-50,-51,-51,-47,-54,-44,-57,-57,-40,-44,-51,-200,-50,-62,-63,-65,-61,-200,-66,-69,-64,-65,-200,-74,-69,-62,-61,-200,-64,-75,-78,-200,-72,-78,-200,-200,-80,-79,-85,-89,-90,-83,-85,-64,-70,-59,-63,-70,-87,-200,-200,-200,-200,-200
