,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DQKJ,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro
,74:da:da:c0:d7:19,0c:73:eb:d0:7f:18,74:da:da:c1:48:bd,74:da:da:c0:f3:01,0c:73:eb:d0:7c:00,74:da:da:c0:e2:d9,74:da:da:c0:d7:0d,74:da:da:c1:3c:f5,74:da:da:c1:56:ed,0c:73:eb:d0:11:e0,0c:73:eb:d0:7f:10,0c:73:eb:d0:7c:08,74:da:da:c1:3a:81,74:da:da:c0:f4:69,74:da:da:98:85:00,0c:73:eb:d0:7a:68,74:da:da:c0:d7:b9,74:da:da:98:92:14,0c:73:eb:d0:7c:38,0c:73:eb:d0:11:f8,0c:73:eb:d0:13:d0,74:da:da:98:91:d4,0c:73:eb:d0:7e:f8,74:da:da:c1:3a:dd,0c:73:eb:d0:13:a8,74:da:da:98:85:60,0c:73:eb:d0:11:f0,0c:73:eb:d0:7e:e8,74:da:da:c1:56:a1,74:da:da:c0:d7:1a,74:da:da:c0:f3:02,0c:73:eb:d0:19:b8,74:da:da:c1:3c:99,0c:73:eb:d0:7e:e0,ec:26:ca:0b:d4:1e,0c:73:eb:d0:7f:08,0c:73:eb:d0:11:e8,74:da:da:c1:3c:dd,74:da:da:c1:48:be,74:da:da:c0:f6:15,0c:73:eb:d0:7c:18,74:da:da:c0:d7:ba,74:da:da:98:91:d5,74:da:da:c1:3a:82,0c:73:eb:d0:7c:30,0c:73:eb:d0:7c:40,74:da:da:c1:3c:f6,0c:73:eb:d0:7c:28,74:da:da:c1:56:a2,74:da:da:c0:f4:6a,74:da:da:c0:d7:0e,0c:73:eb:d0:0e:90,c0:61:18:93:3e:54,74:da:da:98:85:01,74:da:da:98:85:61,74:da:da:c1:6b:4e,74:da:da:c1:3a:de,74:da:da:c1:3a:8e,74:da:da:c1:6b:4d,74:da:da:c1:3b:c9,74:da:da:c1:3b:69,0c:73:eb:d0:76:38,74:da:da:c1:56:ee,74:da:da:c0:e0:69,74:da:da:c0:e0:6a,74:da:da:c1:3c:cd,74:da:da:98:8f:30,0c:73:eb:d0:19:98,0c:73:eb:d0:76:48,74:da:da:c1:3c:52,74:da:da:98:92:15,0c:73:eb:d0:76:30,0c:73:eb:d0:13:b8,74:da:da:c1:3c:51,c0:61:18:93:35:28,74:da:da:c0:e0:71
1526448355011,-25,-28,-37,-39,-39,-41,-42,-43,-44,-45,-46,-47,-47,-49,-49,-51,-51,-52,-52,-53,-53,-53,-54,-55,-56,-56,-56,-56,-56,-57,-59,-61,-61,-61,-62,-63,-63,-64,-66,-67,-67,-68,-70,-70,-70,-70,-72,-72,-74,-76,-77,-78,-78,-81,-87,-89,-89,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448358041,-37,-36,-37,-39,-44,-45,-45,-49,-47,-40,-45,-48,-200,-41,-49,-47,-50,-56,-44,-53,-53,-53,-58,-55,-46,-52,-56,-60,-56,-64,-63,-61,-61,-58,-62,-58,-59,-64,-67,-67,-67,-71,-71,-79,-70,-70,-72,-72,-74,-76,-81,-78,-78,-83,-83,-86,-89,-92,-53,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448361069,-36,-53,-37,-41,-44,-44,-44,-49,-44,-40,-43,-52,-200,-40,-49,-49,-50,-56,-39,-53,-49,-200,-58,-63,-42,-50,-56,-60,-55,-60,-63,-57,-200,-58,-63,-54,-61,-74,-70,-200,-67,-69,-73,-74,-70,-200,-72,-200,-73,-76,-83,-200,-69,-82,-86,-84,-89,-200,-53,-69,-72,-76,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448364097,-36,-53,-45,-44,-45,-42,-48,-49,-44,-42,-41,-50,-200,-41,-46,-49,-45,-56,-39,-57,-48,-200,-58,-60,-43,-57,-56,-58,-55,-60,-66,-57,-200,-59,-64,-54,-61,-74,-67,-200,-67,-68,-76,-73,-70,-200,-78,-200,-70,-82,-86,-200,-69,-82,-86,-88,-89,-200,-53,-69,-72,-76,-87,-65,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448367132,-38,-39,-45,-44,-45,-37,-47,-49,-47,-42,-41,-50,-200,-38,-46,-45,-45,-56,-39,-57,-48,-200,-58,-60,-43,-57,-76,-57,-55,-59,-66,-57,-200,-59,-64,-59,-62,-74,-68,-200,-67,-68,-76,-74,-82,-200,-78,-200,-70,-82,-83,-200,-69,-78,-86,-88,-92,-200,-53,-69,-72,-76,-87,-65,-94,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448370160,-36,-35,-48,-46,-45,-40,-50,-49,-51,-38,-44,-50,-200,-42,-43,-45,-44,-52,-46,-57,-48,-200,-58,-58,-46,-52,-76,-57,-55,-63,-66,-57,-200,-62,-67,-57,-61,-74,-68,-200,-200,-71,-76,-74,-82,-200,-79,-200,-70,-80,-83,-200,-69,-82,-86,-86,-92,-200,-53,-69,-72,-76,-84,-65,-94,-64,-75,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526448373189,-38,-35,-48,-55,-49,-36,-49,-49,-53,-36,-48,-50,-200,-39,-48,-49,-44,-54,-43,-57,-44,-200,-58,-58,-43,-52,-76,-54,-55,-61,-66,-58,-200,-62,-64,-55,-61,-74,-66,-200,-200,-70,-72,-74,-82,-200,-78,-200,-69,-82,-85,-200,-68,-81,-88,-86,-91,-200,-61,-69,-72,-77,-84,-65,-94,-64,-75,-86,-77,-200,-200,-200,-200,-200,-200,-200
1526448376218,-30,-34,-47,-47,-55,-36,-49,-49,-54,-40,-48,-56,-200,-43,-48,-45,-44,-56,-43,-57,-49,-200,-57,-58,-43,-56,-76,-50,-55,-63,-70,-61,-200,-64,-68,-62,-61,-74,-68,-200,-200,-65,-73,-76,-82,-200,-77,-200,-73,-86,-85,-200,-68,-79,-86,-86,-91,-200,-61,-69,-72,-77,-84,-65,-94,-64,-75,-86,-77,-88,-200,-200,-200,-200,-200,-200
1526448379253,-32,-32,-47,-50,-55,-38,-49,-52,-54,-40,-48,-56,-200,-39,-48,-44,-45,-52,-43,-57,-49,-53,-58,-58,-43,-56,-76,-56,-62,-60,-66,-61,-200,-64,-68,-59,-61,-74,-68,-200,-200,-69,-73,-74,-82,-200,-77,-200,-74,-83,-85,-200,-68,-82,-87,-83,-91,-200,-61,-69,-72,-77,-86,-65,-87,-64,-75,-86,-77,-88,-90,-200,-200,-200,-200,-200
