,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011314,whu2011309,D-Link_DIR-823Pro,DQKJ,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:7f:18,0c:73:eb:d0:7c:00,74:da:da:c0:e2:d9,74:da:da:c0:d7:19,74:da:da:c0:f3:01,0c:73:eb:d0:11:e0,74:da:da:c1:48:bd,0c:73:eb:d0:7a:68,0c:73:eb:d0:11:f8,0c:73:eb:d0:7f:10,74:da:da:c0:f4:69,74:da:da:98:85:60,74:da:da:c0:d7:b9,0c:73:eb:d0:13:d0,74:da:da:c1:3c:f5,0c:73:eb:d0:7f:08,74:da:da:98:85:00,0c:73:eb:d0:7e:f8,0c:73:eb:d0:7c:38,0c:73:eb:d0:13:a8,74:da:da:c1:3a:81,74:da:da:c0:d7:0d,0c:73:eb:d0:7c:08,0c:73:eb:d0:11:e8,0c:73:eb:d0:11:f0,74:da:da:c1:3a:dd,0c:73:eb:d0:11:d8,74:da:da:c1:6b:4d,74:da:da:c1:56:ed,0c:73:eb:d0:7e:e8,74:da:da:c1:02:8d,74:da:da:c0:f3:02,0c:73:eb:d0:19:b8,74:da:da:98:92:14,0c:73:eb:d0:7c:18,74:da:da:c0:d7:ba,74:da:da:c0:d7:1a,74:da:da:98:91:d5,0c:73:eb:d0:7c:28,74:da:da:c1:3c:f9,74:da:da:c0:f6:15,0c:73:eb:d0:13:d8,74:da:da:c1:3c:f6,74:da:da:98:91:d4,74:da:da:c1:56:a2,0c:73:eb:d0:7c:30,74:da:da:c1:3a:82,74:da:da:c1:6b:4e,74:da:da:c1:48:be,74:da:da:c0:d7:0e,74:da:da:c0:f4:6a,74:da:da:98:85:01,74:da:da:c1:4b:05,74:da:da:98:85:61,74:da:da:c1:4b:02,74:da:da:c1:3a:de,74:da:da:98:92:15,74:da:da:c1:3a:8e,74:da:da:c1:3c:52,74:da:da:c1:56:ee,c0:61:18:93:35:28,c0:61:18:93:3e:54,74:da:da:c1:3c:cd,ec:26:ca:0b:d4:1e,0c:73:eb:d0:76:48,0c:73:eb:d0:76:30,0c:73:eb:d0:7e:e0,0c:73:eb:d0:7c:40,74:da:da:c0:e0:71,74:da:da:c1:3b:c9,74:da:da:c1:3b:69,74:da:da:c1:56:a1,0c:73:eb:d0:7e:f0,74:da:da:c1:3c:51,74:da:da:c1:3c:99,74:da:da:c1:3a:8d,0c:73:eb:d0:76:38,74:da:da:c0:d8:3d,0c:73:eb:d0:13:b8
1526449231197,-35,-36,-39,-40,-40,-41,-44,-46,-46,-47,-49,-49,-49,-50,-50,-51,-51,-53,-54,-54,-54,-55,-56,-56,-56,-56,-57,-57,-57,-60,-60,-62,-62,-62,-64,-65,-66,-67,-67,-68,-69,-69,-70,-70,-71,-71,-77,-78,-79,-80,-81,-81,-84,-85,-88,-89,-89,-90,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449234212,-35,-36,-32,-30,-42,-41,-47,-52,-53,-43,-50,-65,-37,-47,-50,-47,-51,-57,-49,-50,-54,-52,-48,-56,-56,-52,-57,-57,-57,-60,-60,-67,-200,-62,-64,-65,-62,-71,-67,-68,-69,-200,-73,-70,-73,-71,-73,-79,-70,-81,-83,-84,-84,-87,-200,-89,-89,-90,-91,-91,-66,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449237239,-37,-50,-31,-30,-42,-37,-48,-45,-59,-40,-54,-60,-37,-46,-56,-48,-51,-57,-49,-48,-54,-54,-48,-56,-56,-51,-57,-53,-57,-60,-60,-64,-200,-58,-200,-66,-67,-73,-200,-68,-72,-200,-78,-200,-74,-200,-70,-82,-69,-81,-80,-82,-84,-87,-200,-89,-200,-90,-200,-85,-65,-77,-58,-62,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449240272,-37,-54,-27,-28,-41,-37,-48,-47,-61,-40,-54,-60,-37,-46,-56,-44,-49,-59,-51,-48,-54,-54,-47,-56,-73,-51,-57,-51,-57,-60,-60,-63,-62,-57,-200,-66,-70,-70,-200,-68,-72,-200,-75,-200,-77,-81,-72,-82,-68,-82,-81,-80,-84,-87,-200,-89,-200,-90,-200,-85,-65,-76,-59,-61,-79,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449243300,-36,-54,-29,-27,-41,-37,-47,-51,-61,-39,-54,-60,-37,-44,-56,-44,-52,-59,-51,-48,-54,-54,-47,-56,-73,-49,-57,-51,-62,-60,-60,-62,-62,-51,-200,-65,-70,-68,-200,-68,-72,-200,-75,-200,-77,-81,-72,-82,-68,-82,-81,-80,-84,-87,-200,-88,-200,-90,-200,-85,-65,-76,-59,-61,-79,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449246333,-35,-54,-30,-27,-40,-36,-47,-51,-61,-39,-50,-60,-37,-45,-56,-44,-50,-59,-49,-46,-54,-54,-46,-56,-73,-47,-200,-51,-62,-60,-60,-61,-62,-55,-200,-65,-70,-72,-200,-68,-72,-200,-75,-200,-74,-81,-73,-82,-68,-82,-81,-79,-84,-88,-200,-88,-200,-90,-200,-85,-65,-76,-59,-60,-79,-72,-73,-76,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449249372,-35,-54,-30,-27,-40,-36,-46,-51,-61,-43,-50,-60,-37,-46,-56,-44,-50,-59,-50,-46,-54,-56,-48,-56,-73,-50,-200,-55,-62,-67,-200,-61,-62,-55,-200,-65,-67,-73,-70,-68,-72,-200,-75,-200,-73,-81,-70,-79,-68,-82,-83,-79,-200,-87,-200,-88,-200,-90,-200,-85,-65,-76,-59,-59,-79,-72,-73,-76,-78,-70,-81,-200,-200,-200,-200,-200,-200,-200,-200
1526449252401,-34,-54,-27,-27,-43,-41,-47,-51,-61,-39,-50,-60,-38,-48,-56,-50,-50,-59,-50,-48,-200,-56,-45,-200,-73,-50,-200,-55,-61,-67,-200,-62,-63,-55,-200,-62,-67,-70,-70,-200,-72,-200,-75,-200,-76,-81,-71,-84,-68,-83,-83,-79,-200,-88,-200,-87,-200,-90,-200,-85,-65,-76,-57,-61,-79,-72,-73,-76,-78,-70,-81,-46,-200,-200,-200,-200,-200,-200,-200
1526449255433,-34,-55,-34,-31,-43,-41,-48,-51,-61,-39,-50,-53,-38,-47,-54,-51,-50,-59,-50,-48,-200,-56,-43,-200,-73,-47,-200,-54,-61,-67,-200,-61,-63,-55,-200,-66,-66,-70,-70,-200,-72,-200,-75,-200,-74,-81,-70,-81,-70,-85,-83,-79,-200,-87,-200,-87,-200,-200,-200,-85,-65,-76,-59,-61,-79,-72,-73,-76,-78,-70,-81,-45,-75,-200,-200,-200,-200,-200,-200
